Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,9.99,+1.4,Puripol BOONSON,13 JAN 2006,THA,f1,,"Městský stadión Černá hora, Litomyšl (CZE)",01 AUG 2026,1210,men_100m,2026,https://worldathletics.org/athletes/athlete=14992965
2,10.03,+1.5,Yoshihide KIRYU,15 DEC 1995,JPN,1h2,,"Hokuroku Park Athletic Field, Fujiyoshida (JPN)",09 AUG 2026,1196,men_100m,2026,https://worldathletics.org/athletes/athlete=14547456
3,10.04,+1.5,Shoma YAMAMOTO,20 JUN 2002,JPN,2h2,,"Hokuroku Park Athletic Field, Fujiyoshida (JPN)",09 AUG 2026,1193,men_100m,2026,https://worldathletics.org/athletes/japan/shoma-yamamoto-15004822
4,10.06,+1.4,Yuki KOIKE,15 MAY 1995,JPN,1f1,,"Takebishi Stadium, Kyoto (JPN)",24 MAY 2026,1186,men_100m,2026,https://worldathletics.org/athletes/athlete=14547883
5,10.07,+0.9,Fukuto KOMURO,26 JUN 2006,JPN,1h2,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1182,men_100m,2026,https://worldathletics.org/athletes/japan/fukuto-komuro-14979241
5,10.07,+1.4,Ali AL BALUSHI,09 FEB 2002,OMA,1h2,,"General Klapálek ́s stadium, Nové Město nad Metují (CZE)",11 JUL 2026,1182,men_100m,2026,https://worldathletics.org/athletes/athlete=14844149
7,10.09,+0.3,Gurindervir SINGH,24 DEC 2000,IND,1,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",23 MAY 2026,1176,men_100m,2026,https://worldathletics.org/athletes/athlete=14792569
7,10.09,-0.1,Muhammad Azeem MOHD FAHMI,29 APR 2004,MAS,3h3,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",29 MAY 2026,1176,men_100m,2026,https://worldathletics.org/athletes/athlete=14843159
7,10.09,+0.7,Naoki NISHIOKA,19 JUL 2006,JPN,1sf2,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1176,men_100m,2026,https://worldathletics.org/athletes/japan/naoki-nishioka-15030743
7,10.09,-0.1,Xinrui DENG,20 DEC 2003,CHN,1,,"Sports Center, Yulin (CHN)",18 JUL 2026,1176,men_100m,2026,https://worldathletics.org/athletes/pr-of-china/xinrui-deng-15074892
11,10.10,+1.4,Shuhei TADA,24 JUN 1996,JPN,2f1,,"Takebishi Stadium, Kyoto (JPN)",24 MAY 2026,1172,men_100m,2026,https://worldathletics.org/athletes/athlete=14707842
11,10.10,+0.4,Zhenye XIE,17 AUG 1993,CHN,1,,"Sports Center, Quzhou (CHN)",13 AUG 2026,1172,men_100m,2026,https://worldathletics.org/athletes/athlete=14376449
11,10.10,+0.9,Kanata HAYASHI,19 JUN 2001,JPN,2,,"Prefectural Stadium, Fukui (JPN)",15 AUG 2026,1172,men_100m,2026,https://worldathletics.org/athletes/athlete=14854683
11,10.10,+0.6,Ryota SUZUKI,25 JUN 1999,JPN,1h3,,"Prefectural Stadium, Fukui (JPN)",15 AUG 2026,1172,men_100m,2026,https://worldathletics.org/athletes/athlete=14815014
