Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,8:03.43,,Ryuji MIURA,11 FEB 2002,JPN,2,,"Stade Louis II, Monaco (MON)",11 JUL 2025,1242,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14860379
2,8:15.41,,Zakaria EL AHLAAMI,07 JUL 2004,QAT,8,,"Boudewijnstadion, Bruxelles (BEL)",22 AUG 2025,1187,men_3000sc,2025,https://worldathletics.org/athletes/qatar/zakaria-el-ahlaami-14953831
3,8:18.75,,Ryoma AOKI,16 JUN 1997,JPN,5,,"Jack Kemp Stadium - Occidental College, Los Angeles, CA (USA)",12 JUL 2025,1172,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14780168
4,8:19.54,,Yutaro NIINAE,06 FEB 2001,JPN,17f1,,"Putbosstadion, Oordegem (BEL)",09 AUG 2025,1169,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14902797
5,8:20.92,,Avinash Mukund SABLE,13 SEP 1994,IND,1,,"Gumi Civic Stadium, Gumi (KOR)",29 MAY 2025,1162,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14778911
6,8:22.64,,Hibiki OBARA,10 NOV 2001,JPN,4f1,,"Griswold Stadium, Portland, OR (USA)",14 JUN 2025,1155,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14868739
7,8:27.35,,Yasunari KUSU,21 AUG 1993,JPN,1,,"Athletic Stadium, Hikone (JPN)",03 OCT 2025,1134,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14532918
8,8:29.05,,Tetsu SASAKI,24 NOV 2006,JPN,2,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1126,men_3000sc,2025,https://worldathletics.org/athletes/japan/tetsu-sasaki-14996785
9,8:29.11,,Seiya SUNADA,30 OCT 2001,JPN,3,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1126,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14861184
10,8:29.35,,Soma NAGAHARA,12 OCT 2005,JPN,5,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1125,men_3000sc,2025,https://worldathletics.org/athletes/japan/soma-nagahara-14958701
11,8:30.62,,Daichi SHIBATA,02 NOV 2004,JPN,8,,"National Stadium, Tokyo (JPN)",18 MAY 2025,1119,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14904556
12,8:32.54,,Sanetada ONO,06 NOV 2005,JPN,2,,"Athletic Stadium, Hikone (JPN)",03 OCT 2025,1111,men_3000sc,2025,https://worldathletics.org/athletes/japan/sanetada-ono-15007835
13,8:32.67,,Tatsuhiro TANIGUCHI,16 SEP 2000,JPN,3,,"Athletic Stadium, Hikone (JPN)",03 OCT 2025,1110,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14902417
14,8:35.54,,Shuiqing YU,01 OCT 2006,CHN,1f2,,"Sports Center, Jiaxing (CHN)",29 APR 2025,1098,men_3000sc,2025,https://worldathletics.org/athletes/pr-of-china/shuiqing-yu-15073010
15,8:36.60,,Hayate SATO,28 FEB 2001,JPN,5,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2025,1093,men_3000sc,2025,https://worldathletics.org/athletes/japan/hayate-sato-15072378
16,8:37.53,,Hinata YUDA,22 JAN 2005,JPN,7,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1089,men_3000sc,2025,https://worldathletics.org/athletes/japan/hinata-yuda-14996795
17,8:38.19,,Hinata KUROKI,06 JUN 2003,JPN,2,,"Lemon Gas Stadium, Hiratsuka (JPN)",27 APR 2025,1086,men_3000sc,2025,https://worldathletics.org/athletes/japan/hinata-kuroki-14962402
18,8:38.25,,Trung Cuong NGUYEN,27 FEB 2000,VIE,5,,"Gumi Civic Stadium, Gumi (KOR)",29 MAY 2025,1086,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14816348
19,8:38.35,,Soma HATTORI,17 FEB 2003,JPN,1,,"Athletics Stadium, Fukagawa (JPN)",11 JUN 2025,1086,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14895586
20,8:38.91,,Vikram SINGH,03 JUL 1996,IND,1,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",30 SEP 2025,1083,men_3000sc,2025,https://worldathletics.org/athletes/india/vikram-singh-14974559
21,8:39.42,,Yuki MURAO,20 APR 2003,JPN,8,,"National Stadium, Tokyo (JPN)",04 JUL 2025,1081,men_3000sc,2025,https://worldathletics.org/athletes/japan/yuki-murao-14962589
22,8:39.69,,Rohit VERMA,20 OCT 1998,IND,2,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",30 SEP 2025,1080,men_3000sc,2025,https://worldathletics.org/athletes/india/rohit-verma-14997996
23,8:40.06,,Sunil Jinabhai JOLIYA,26 DEC 2002,IND,1f1,,"Jawaharlal Nehru Stadium, Chennai (IND)",15 APR 2025,1078,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14884157
24,8:40.24,,Shaojie WANG,11 MAY 1998,CHN,2,,"Kuishan Sports Center, Rizhao (CHN)",27 SEP 2025,1077,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14702449
25,8:41.17,,Khalid Mohhamed HAZAZI,08 JAN 1989,KSA,9f2,,"Putbosstadion, Oordegem (BEL)",09 AUG 2025,1073,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14484268
26,8:42.06,,Yongzhao CHEN,18 MAY 2001,CHN,2,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",16 NOV 2025,1070,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14913515
27,8:42.15,,Atsushi SHOBU,16 DEC 2001,JPN,3,,"Ishin Me-Life Stadium, Yamaguchi (JPN)",27 SEP 2025,1069,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14854846
28,8:43.01,,Wenjie CHEN,26 JAN 2004,CHN,3,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",16 NOV 2025,1066,men_3000sc,2025,https://worldathletics.org/athletes/pr-of-china/wenjie-chen-14974461
29,8:43.04,,Kousuke TSUJI,02 OCT 2005,JPN,5,,"Prefectural Stadium, Okayama (JPN)",08 JUN 2025,1065,men_3000sc,2025,https://worldathletics.org/athletes/japan/kousuke-tsuji-15002465
30,8:43.39,,So YAMASAKI,21 MAR 2004,JPN,6,,"Prefectural Stadium, Okayama (JPN)",08 JUN 2025,1064,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14916258
31,8:43.71,,Runa YAMAGUCHI,30 DEC 2003,JPN,7,,"Prefectural Stadium, Okayama (JPN)",08 JUN 2025,1063,men_3000sc,2025,https://worldathletics.org/athletes/japan/runa-yamaguchi-14945703
32,8:43.77,,Yuki SATAKE,07 JAN 2002,JPN,4,,"Athletic Stadium, Hikone (JPN)",03 OCT 2025,1062,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14896916
33,8:44.16,,Taiju NISHIKATA,19 JUN 1999,JPN,2,,"Universiade Commemorative Stadium, Kobe (JPN)",20 APR 2025,1061,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14767010
34,8:44.41,,Weizheng TIAN,28 MAY 2002,CHN,3,,"Kuishan Sports Center, Rizhao (CHN)",27 SEP 2025,1060,men_3000sc,2025,https://worldathletics.org/athletes/pr-of-china/weizheng-tian-14979092
35,8:44.66,,. RAJKUMAR,12 DEC 1999,IND,3,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",30 SEP 2025,1058,men_3000sc,2025,https://worldathletics.org/athletes/india/rajkumar-14818556
36,8:44.87,,BAL KISHAN,09 NOV 1998,IND,1f2,,"Jawaharlal Nehru Stadium, Chennai (IND)",15 APR 2025,1058,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14919162
37,8:45.33,,Sangzhu NIMA,08 APR 2006,CHN,4,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",16 NOV 2025,1056,men_3000sc,2025,https://worldathletics.org/athletes/pr-of-china/sangzhu-nima-15071548
38,8:45.38,,Shankar Lal SWAMI,05 JUL 1996,IND,4,,"Maharaja's College Grounds, Kochi (IND)",23 APR 2025,1055,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14734562
39,8:45.52,,Kai OGATA,31 AUG 2003,JPN,3,,"Gion Stadium, Sagamihara (JPN)",11 MAY 2025,1055,men_3000sc,2025,https://worldathletics.org/athletes/japan/kai-ogata-14979890
40,8:45.77,,Yuu KATOU,04 JAN 2008,JPN,5,,"Athletic Stadium, Hikone (JPN)",03 OCT 2025,1054,men_3000sc,2025,https://worldathletics.org/athletes/japan/yuu-katou-15051895
41,8:46.11,,Lal PUKESHWAR,25 MAR 1997,IND,2f2,,"Jawaharlal Nehru Stadium, Chennai (IND)",15 APR 2025,1052,men_3000sc,2025,https://worldathletics.org/athletes/india/lal-pukeshwar-14775831
42,8:46.21,,Sharuk KHAN,25 JUL 2006,IND,1f2,,"War Hero Stadium, Sangrur (IND)",28 JUL 2025,1052,men_3000sc,2025,https://worldathletics.org/athletes/india/sharuk-khan-14971183
43,8:46.25,,Dezhi ZHANG,22 MAY 2005,CHN,5,,"Kuishan Sports Center, Rizhao (CHN)",27 SEP 2025,1052,men_3000sc,2025,https://worldathletics.org/athletes/pr-of-china/dezhi-zhang-14981405
44,8:46.26,,Sumit KUMAR,04 JUL 2000,IND,1,,"Maharana Pratap Sports College Dehradun, Dehradun (IND)",10 FEB 2025,1052,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14925581
45,8:46.42,,Shintaro NAKAZONO,24 NOV 2000,JPN,11,,"National Stadium, Tokyo (JPN)",18 MAY 2025,1051,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14825156
46,8:46.91,,Wonbeen PARK,02 MAY 2001,KOR,6,,"Gumi Civic Stadium, Gumi (KOR)",29 MAY 2025,1049,men_3000sc,2025,https://worldathletics.org/athletes/athlete=14910430
47,8:46.95,,Sota KOGA,05 OCT 2007,JPN,6,,"Athletic Stadium, Hikone (JPN)",03 OCT 2025,1049,men_3000sc,2025,https://worldathletics.org/athletes/japan/sota-koga-15168342
