Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,47.56,,Bassem HEMEIDA,28 MAR 2000,QAT,1,,"Stadio Comunale, Bellinzona (SUI)",30 AUG 2026,1254,men_400h,2026,https://worldathletics.org/athletes/athlete=14827001
2,47.77,,Abderrahman SAMBA,05 SEP 1995,QAT,5,,"Letzigrund, Zürich (SUI)",27 AUG 2026,1243,men_400h,2026,https://worldathletics.org/athletes/athlete=14752208
3,48.09,,Taiju GOTO,05 MAY 2009,JPN,1,,"Municipal Mizuho Stadium, Nagoya (JPN)",14 JUN 2026,1227,men_400h,2026,https://worldathletics.org/athletes/japan/taiju-goto-15181238
4,48.35,,Kazuki KUROKAWA,17 JUN 2001,JPN,1f3,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1213,men_400h,2026,https://worldathletics.org/athletes/athlete=14854957
5,48.55,,Kaito TSUTSUE,02 JUL 1998,JPN,2f3,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1203,men_400h,2026,https://worldathletics.org/athletes/athlete=14825123
6,48.68,,Xinfeng XU,17 MAR 2005,CHN,1,,"Sport Development Center Stadium, Ordos (CHN)",11 JUL 2026,1196,men_400h,2026,https://worldathletics.org/athletes/pr-of-china/xinfeng-xu-15137376
7,48.76,,Daiki OGAWA,17 APR 2003,JPN,3f3,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1192,men_400h,2026,https://worldathletics.org/athletes/athlete=14956478
8,48.77,,Chung-Wei LIN,03 FEB 2004,TPE,4f3,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1192,men_400h,2026,https://worldathletics.org/athletes/athlete=14917229
9,48.84,,Yusaku KODAMA,16 DEC 2000,JPN,2h2,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1188,men_400h,2026,https://worldathletics.org/athletes/athlete=14860384
10,48.96,,Anan YE,17 FEB 2004,CHN,2,,"Taizhou Yuhuan Olympic Sports Center Stadium, Taizhou (CHN)",25 MAY 2026,1182,men_400h,2026,https://worldathletics.org/athletes/pr-of-china/anan-ye-14942860
11,48.98,,Marc Anthony IBRAHIM,05 DEC 2002,LBN,3h3,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",29 MAY 2026,1181,men_400h,2026,https://worldathletics.org/athletes/athlete=14980995
12,49.00,,Yashas PALAKSHA,08 DEC 2001,IND,1,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",25 MAY 2026,1180,men_400h,2026,https://worldathletics.org/athletes/athlete=14881854
