Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,66.39,,Abuduaini TUERGONG,16 JUN 1997,CHN,2,,"Heinz-Steyer-Stadion, Dresden (GER)",31 MAY 2026,1178,men_DT,2026,https://worldathletics.org/athletes/athlete=14638595
2,65.38,,Masateru YUGAMI,14 APR 1993,JPN,2f1,,"Millican Field at Throw Town, Ramona, OK (USA)",26 APR 2026,1159,men_DT,2026,https://worldathletics.org/athletes/athlete=14649141
3,62.87,,Muhammad Irfan SHAMSUDDIN,16 AUG 1995,MAS,1,,"Egyetemi Stadion, Veszprém (HUN)",20 JUN 2026,1113,men_DT,2026,https://worldathletics.org/athletes/athlete=14553217
4,62.02,,Zehao JIANG,22 NOV 2006,CHN,2,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1097,men_DT,2026,https://worldathletics.org/athletes/pr-of-china/zehao-jiang-15096776
5,61.83,,Nanjun WU,25 SEP 2000,CHN,2,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1094,men_DT,2026,https://worldathletics.org/athletes/athlete=14889073
6,60.79,,Zhixin LI,22 AUG 2005,CHN,1,,"Sport Development Center Stadium, Ordos (CHN)",09 JUL 2026,1075,men_DT,2026,https://worldathletics.org/athletes/pr-of-china/zhixin-li-15166574
7,60.60,,Yuji TSUTSUMI,22 DEC 1989,JPN,2,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1071,men_DT,2026,https://worldathletics.org/athletes/athlete=14329692
8,59.74,,Essa Mohamed AL ZENKAWI,17 OCT 1992,KUW,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",17 MAY 2026,1056,men_DT,2026,https://worldathletics.org/athletes/athlete=14416526
9,59.22,,Shitu MA,14 JAN 1994,CHN,4,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1046,men_DT,2026,https://worldathletics.org/athletes/athlete=14430121
10,59.05,,Jiacheng ZHU,27 MAR 2000,CHN,2,,"Sports Center, Jiaxing (CHN)",10 MAY 2026,1043,men_DT,2026,https://worldathletics.org/athletes/athlete=14889063
11,59.03,,Moaaz Mohamed IBRAHIM,08 FEB 1999,QAT,2f1,,"Hedens IP, Helsingborg (SWE)",05 JUL 2026,1043,men_DT,2026,https://worldathletics.org/athletes/athlete=14752921
12,58.89,,Kirpal SINGH BATTH,19 MAY 1992,IND,1,,"Netaji Subhas National Institute of Sports, Patiala (IND)",08 MAR 2026,1040,men_DT,2026,https://worldathletics.org/athletes/athlete=14370266
13,58.88,,Jiadong XING,26 MAY 2001,CHN,5,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1040,men_DT,2026,https://worldathletics.org/athletes/athlete=14857800
14,58.72,,Aziz NURILLAEV,20 SEP 2002,UZB,1,,"AFU Athletics Stadium, Tashkent (UZB)",25 JUN 2026,1037,men_DT,2026,https://worldathletics.org/athletes/uzbekistan/aziz-nurillaev-15001589
15,58.44,,Hiroki KITAHARA,20 NOV 2002,JPN,2,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1032,men_DT,2026,https://worldathletics.org/athletes/athlete=14860423
16,58.42,,Koshiro FUJIWARA,01 AUG 2001,JPN,1er,,"Kyushu Kyoritsu University Stadium, Kitakyushu (JPN)",01 AUG 2026,1031,men_DT,2026,https://worldathletics.org/athletes/athlete=14855255
17,58.22,,Dunyozod SAVFULLAYEV,15 JUN 2004,UZB,1,,"AFU Athletics Stadium, Tashkent (UZB)",23 AUG 2026,1028,men_DT,2026,https://worldathletics.org/athletes/athlete=15001525
18,58.13,,Shinichi YUKINAGA,10 APR 1997,JPN,3,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1026,men_DT,2026,https://worldathletics.org/athletes/athlete=14671487
19,57.90,,Shichen SUN,23 JUL 1997,CHN,5f1,,"Sichuan Xipu Training Base, Chengdu (CHN)",03 APR 2026,1022,men_DT,2026,https://worldathletics.org/athletes/athlete=14638593
20,57.79,,Sadegh SAMIMISHALAMZARI,30 DEC 2002,IRI,1,,"Imam Reza Stadium, Mashhad (IRI)",17 JUL 2026,1020,men_DT,2026,https://worldathletics.org/athletes/athlete=14878452
21,57.49,,Mahamat GUEME,17 MAR 2007,QAT,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",17 MAY 2026,1014,men_DT,2026,https://worldathletics.org/athletes/qatar/mahamat-gueme-15027462
22,57.44,,Liurunxin CAO,09 OCT 2003,CHN,6f1,,"Sichuan Xipu Training Base, Chengdu (CHN)",03 APR 2026,1013,men_DT,2026,https://worldathletics.org/athletes/pr-of-china/liurunxin-cao-14976893
23,57.09,,. ABHIMANYU,18 DEC 2001,IND,1,,"Tau Devi Lal Stadium, Panchkula (IND)",25 AUG 2026,1007,men_DT,2026,https://worldathletics.org/athletes/india/abhimanyu-15114580
24,56.97,,Yuehai GUO,07 JAN 2006,CHN,5,,"Sports Center, Jiaxing (CHN)",10 MAY 2026,1005,men_DT,2026,https://worldathletics.org/athletes/pr-of-china/yuehai-guo-14990316
25,56.87,,Dong-hyuk KIM,16 OCT 1995,KOR,1,,"Jeongseon Sports Complex, Jeongseon (KOR)",12 MAY 2026,1003,men_DT,2026,https://worldathletics.org/athletes/athlete=14758259
26,56.27,,Ilhyun KIM,09 MAR 1994,KOR,1,,"Miryang Sports Complexs, Miryang (KOR)",07 JUN 2026,992,men_DT,2026,https://worldathletics.org/athletes/athlete=14603907
27,56.25,,Chunqiang DAN,03 MAY 2001,CHN,7,,"Sportplatz des OSP Magdeburg, Magdeburg (GER)",14 MAY 2026,992,men_DT,2026,https://worldathletics.org/athletes/athlete=14889080
