Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,2.34,,Sanghyeok WOO,23 APR 1996,KOR,1,,"Stade Louis II, Monaco (MON)",11 JUL 2025,1215,men_HJ,2025,https://worldathletics.org/athletes/athlete=14532326
2,2.33,,Yuto SEKO,16 MAR 1998,JPN,1,,"Prefectural Stadium, Fukui (JPN)",15 AUG 2025,1206,men_HJ,2025,https://worldathletics.org/athletes/athlete=14766775
3,2.29,,Tomohiro SHINNO,17 AUG 1996,JPN,1,,"National Stadium, Tokyo (JPN)",04 JUL 2025,1170,men_HJ,2025,https://worldathletics.org/athletes/athlete=14671473
3,2.29,,Ryoichi AKAMATSU,02 MAY 1995,JPN,2,,"Athletic Stadium, Hikone (JPN)",06 OCT 2025,1170,men_HJ,2025,https://worldathletics.org/athletes/athlete=14663940
5,2.28,,Sarvesh Anil KUSHARE,17 JUN 1995,IND,6,,"National Stadium, Tokyo (JPN)",16 SEP 2025,1161,men_HJ,2025,https://worldathletics.org/athletes/athlete=14675319
6,2.27,,Chao-Hsuan FU,14 DEC 2002,TPE,1,,"Taipei Municipal Stadium, Taipei City (TPE)",16 FEB 2025,1152,men_HJ,2025,https://worldathletics.org/athletes/athlete=14845645
6,2.27,,Yuhang DUAN,16 NOV 2000,CHN,1,,"Sports Center, Jiaxing (CHN)",29 APR 2025,1152,men_HJ,2025,https://worldathletics.org/athletes/athlete=14843213
6,2.27,,Yong ZHA,28 NOV 2005,CHN,2,,"Sports Center, Jiaxing (CHN)",29 APR 2025,1152,men_HJ,2025,https://worldathletics.org/athletes/pr-of-china/yong-zha-15052021
6,2.27,,Takashi ETO,05 FEB 1991,JPN,2,,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2025,1152,men_HJ,2025,https://worldathletics.org/athletes/athlete=14374666
6,2.27,,Zhen WANG,07 OCT 2001,CHN,1,,Chongqing (CHN),15 MAY 2025,1152,men_HJ,2025,https://worldathletics.org/athletes/athlete=14811595
