Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,73.93,,Tatsuto NAKAGAWA,17 OCT 1998,JPN,1,,"Municipal Mizuho Stadium, Nagoya (JPN)",13 JUN 2026,1108,men_HT,2026,https://worldathletics.org/athletes/athlete=14750938
1,73.93,,Qi WANG,10 FEB 2001,CHN,1,,"Sports Center, Quzhou (CHN)",15 AUG 2026,1108,men_HT,2026,https://worldathletics.org/athletes/athlete=14788582
3,73.55,,Mergen MAMMEDOV,24 DEC 1990,TKM,1,,"Sport Complex, Ashgabat (TKM)",21 MAY 2026,1103,men_HT,2026,https://worldathletics.org/athletes/athlete=14376894
4,73.54,,Zixu LI,11 JUN 2005,CHN,2,,"Sports Center, Quzhou (CHN)",15 AUG 2026,1102,men_HT,2026,https://worldathletics.org/athletes/pr-of-china/zixu-li-14975948
5,72.93,,Mohammed AL DUBAISI,01 JUL 1992,KSA,2,,"Werferzentrum Brandberge, Halle (GER)",28 AUG 2026,1093,men_HT,2026,https://worldathletics.org/athletes/athlete=14720601
6,72.77,,Shota FUKUDA,28 NOV 2000,JPN,2,,"Municipal Mizuho Stadium, Nagoya (JPN)",13 JUN 2026,1090,men_HT,2026,https://worldathletics.org/athletes/athlete=14855216
7,71.33,,Ayubkhon FAYOZOV,07 MAR 2004,UZB,2,,"Mokpo Sports Complex, Mokpo (KOR)",02 MAY 2026,1068,men_HT,2026,https://worldathletics.org/athletes/athlete=14915947
8,71.31,,Ashraf ELSEIFY,20 FEB 1995,QAT,3,,"Mokpo Sports Complex, Mokpo (KOR)",02 MAY 2026,1068,men_HT,2026,https://worldathletics.org/athletes/athlete=14523902
8,71.31,,Jiawei CHEN,10 MAY 2008,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1068,men_HT,2026,https://worldathletics.org/athletes/pr-of-china/jiawei-chen-15221558
10,71.02,,Nirbhay CHOUDHARY,22 DEC 2004,IND,1,,"Jawaharlal Nehru Stadium, New Delhi (IND)",10 SEP 2026,1063,men_HT,2026,https://worldathletics.org/athletes/athlete=14926707
11,70.78,,Takahiro KOBATA,09 MAR 1997,JPN,2,,"Tokai University Stadium, Hiratsuka (JPN)",25 APR 2026,1060,men_HT,2026,https://worldathletics.org/athletes/athlete=14809465
12,70.64,,Damneet SINGH,10 MAR 2000,IND,1,,"Netaji Subhas National Institute of Sports, Patiala (IND)",07 MAR 2026,1057,men_HT,2026,https://worldathletics.org/athletes/athlete=14734787
13,70.26,,Ryota KASHIMURA,13 AUG 1991,JPN,3,,"Municipal Mizuho Stadium, Nagoya (JPN)",13 JUN 2026,1052,men_HT,2026,https://worldathletics.org/athletes/athlete=14388911
14,69.59,,Zhengzheng SU,28 JUN 2002,CHN,3,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1041,men_HT,2026,https://worldathletics.org/athletes/pr-of-china/zhengzheng-su-14974420
15,69.58,,Praveen KUMAR,14 DEC 2000,IND,2,,"Kalinga Stadium, Bhubaneshwar (IND)",26 JUN 2026,1041,men_HT,2026,https://worldathletics.org/athletes/athlete=14861990
16,69.55,,Ankang WANG,03 APR 2008,CHN,1q2,,"Sports Center, Quzhou (CHN)",13 AUG 2026,1041,men_HT,2026,https://worldathletics.org/athletes/pr-of-china/ankang-wang-15147098
17,68.79,,Peixun LI,20 MAR 2000,CHN,3f1,,"Sichuan Xipu Training Base, Chengdu (CHN)",30 MAR 2026,1029,men_HT,2026,https://worldathletics.org/athletes/athlete=14748823
18,68.74,,Zheng XU,02 DEC 2006,CHN,2,,"Taizhou Yuhuan Olympic Sports Center Stadium, Taizhou (CHN)",25 MAY 2026,1028,men_HT,2026,https://worldathletics.org/athletes/pr-of-china/zheng-xu-15092432
19,68.72,,Ywunchul LEE,28 MAR 1982,KOR,7,,"Mokpo Sports Complex, Mokpo (KOR)",02 MAY 2026,1028,men_HT,2026,https://worldathletics.org/athletes/athlete=14210424
20,68.52,,Ashish JAKHAR,05 JAN 1999,IND,1,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",22 MAY 2026,1025,men_HT,2026,https://worldathletics.org/athletes/athlete=14675348
21,68.50,,Yuji TARUI,16 SEP 2002,JPN,1,,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2026,1024,men_HT,2026,https://worldathletics.org/athletes/athlete=14921482
22,68.46,,Kyota TAKAHASHI,09 AUG 2006,JPN,1,,"International Stadium, Yokohama (JPN)",05 SEP 2026,1024,men_HT,2026,https://worldathletics.org/athletes/japan/kyota-takahashi-15113104
23,68.39,,Mubeen Rashid Ibrahim AL KINDI,26 APR 2003,OMA,4,,"Sultan Qaboos Sports Complex, Muscat (OMA)",05 SEP 2026,1023,men_HT,2026,https://worldathletics.org/athletes/athlete=14884241
24,67.74,,Yixin QIAO,25 NOV 2003,CHN,1,,"Changshou Sports Center, Chongqing (CHN)",18 MAY 2026,1013,men_HT,2026,https://worldathletics.org/athletes/pr-of-china/yixin-qiao-14959053
25,67.73,,Ju LI,29 JUN 1999,CHN,2f2,,"Sichuan Xipu Training Base, Chengdu (CHN)",03 APR 2026,1012,men_HT,2026,https://worldathletics.org/athletes/athlete=14787361
25,67.73,,Mahdi MOHAMMADI,02 JUL 1994,IRI,1,,"Ghandomi Stadium, Bandar-e Torkman (IRI)",16 JUN 2026,1012,men_HT,2026,https://worldathletics.org/athletes/athlete=14498475
27,67.61,,Andrew ATUOBENG,29 JAN 2007,JPN,2,,"International Stadium, Yokohama (JPN)",05 SEP 2026,1011,men_HT,2026,https://worldathletics.org/athletes/japan/andrew-atuobeng-15112740
28,67.34,,Koshin YAMAKAWA,13 APR 2001,JPN,6,,"Municipal Mizuho Stadium, Nagoya (JPN)",13 JUN 2026,1006,men_HT,2026,https://worldathletics.org/athletes/athlete=14855295
29,67.17,,Zilong ZHANG,04 AUG 2000,CHN,3f1,,"Sichuan Xipu Training Base, Chengdu (CHN)",03 APR 2026,1004,men_HT,2026,https://worldathletics.org/athletes/athlete=14889089
30,67.06,,Boxue CHEN,08 OCT 2001,CHN,4q2,,"Sports Center, Quzhou (CHN)",13 AUG 2026,1002,men_HT,2026,https://worldathletics.org/athletes/athlete=14889093
31,66.99,,Wataru SAKANASHI,25 DEC 2002,JPN,1,,"Lemon Gas Stadium, Hiratsuka (JPN)",25 APR 2026,1001,men_HT,2026,https://worldathletics.org/athletes/japan/wataru-sakanashi-15002415
32,66.92,,Defeng CHENG,08 JAN 2000,CHN,7,,"Sports Center, Quzhou (CHN)",15 AUG 2026,1000,men_HT,2026,https://worldathletics.org/athletes/athlete=14839815
33,66.87,,Talal ALRUSHOUD,10 MAY 2005,KUW,1,,"Suez Canal Authority Stadium, Ismailia (EGY)",22 JUN 2026,999,men_HT,2026,https://worldathletics.org/athletes/kuwait/talal-alrushoud-15049314
34,66.74,,Reijiro AKIYMA,14 AUG 2004,JPN,2,,"Lemon Gas Stadium, Hiratsuka (JPN)",25 APR 2026,997,men_HT,2026,https://worldathletics.org/athletes/japan/reijiro-akiyma-15037994
35,66.54,,Lingqi MENG,28 JAN 2006,CHN,4f2,,"Sichuan Xipu Training Base, Chengdu (CHN)",30 MAR 2026,994,men_HT,2026,https://worldathletics.org/athletes/pr-of-china/lingqi-meng-15092431
36,66.49,,Reza MOGHADDAM,17 NOV 1988,IRI,6,,"Sultan Qaboos Sports Complex, Muscat (OMA)",05 SEP 2026,993,men_HT,2026,https://worldathletics.org/athletes/athlete=14198667
37,66.02,,Khalil BEDOUI,03 JUN 2000,QAT,1,,"Aspire Academy Warm Up Track, Doha (QAT)",20 MAY 2026,986,men_HT,2026,https://worldathletics.org/athletes/athlete=14744993
37,66.02,,Mohd. SHAHBAN,16 APR 2004,IND,5,,"Jawaharlal Nehru Stadium, New Delhi (IND)",10 SEP 2026,986,men_HT,2026,https://worldathletics.org/athletes/athlete=14873457
39,65.89,,Ahmed Amgad EL SEIFY,01 OCT 1996,QAT,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2026,984,men_HT,2026,https://worldathletics.org/athletes/athlete=14480232
40,65.84,,Shouma ISHIZAKA,14 APR 2000,JPN,3,,"Takebishi Stadium, Kyoto (JPN)",13 SEP 2026,983,men_HT,2026,https://worldathletics.org/athletes/athlete=14855217
