Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,90.23,,Neeraj CHOPRA,24 DEC 1997,IND,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",16 MAY 2025,1247,men_JT,2025,https://worldathletics.org/athletes/athlete=14549089
2,87.16,,Yuta SAKIYAMA,05 APR 1996,JPN,1,,"National Stadium, Tokyo (JPN)",05 JUL 2025,1203,men_JT,2025,https://worldathletics.org/athletes/athlete=14703266
3,86.50,,Rumesh Tharanga PATHIRAGE,21 MAR 2003,SRI,1,,"Kalinga Stadium, Bhubaneshwar (IND)",10 AUG 2025,1194,men_JT,2025,https://worldathletics.org/athletes/athlete=14886862
4,86.40,,Arshad NADEEM,02 JAN 1997,PAK,1,,"Gumi Civic Stadium, Gumi (KOR)",31 MAY 2025,1192,men_JT,2025,https://worldathletics.org/athletes/athlete=14698105
5,86.27,,Sachin YADAV,25 OCT 1999,IND,4,,"National Stadium, Tokyo (JPN)",18 SEP 2025,1190,men_JT,2025,https://worldathletics.org/athletes/athlete=14925646
6,85.78,,Sumedha RANASINGHE,10 FEB 1991,SRI,1,,"Mahinda Rajapaksha Stadium, Diyagama (SRI)",09 MAR 2025,1183,men_JT,2025,https://worldathletics.org/athletes/athlete=14671060
7,84.66,,Roderick Genki DEAN,30 DEC 1991,JPN,2,,"National Stadium, Tokyo (JPN)",05 JUL 2025,1168,men_JT,2025,https://worldathletics.org/athletes/athlete=14370411
8,83.65,,Rohit YADAV,06 JUN 2001,IND,1,,"Jawaharlal Nehru Stadium, Chennai (IND)",24 AUG 2025,1153,men_JT,2025,https://worldathletics.org/athletes/athlete=14740932
9,82.57,,Yash Vir SINGH,22 OCT 2001,IND,5,,"Gumi Civic Stadium, Gumi (KOR)",31 MAY 2025,1138,men_JT,2025,https://worldathletics.org/athletes/athlete=14818383
10,81.60,,Haoran HU,28 SEP 1998,CHN,1,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",18 NOV 2025,1124,men_JT,2025,https://worldathletics.org/athletes/athlete=14748795
11,81.54,,Taisei AIBARA,18 AUG 1995,JPN,1,,"Prefectural Stadium, Fukui (JPN)",15 AUG 2025,1123,men_JT,2025,https://worldathletics.org/athletes/athlete=14608107
12,81.23,,Rin SUZUKI,13 DEC 2002,JPN,2,,"WA Athletics Stadium, Perth (AUS)",01 MAR 2025,1119,men_JT,2025,https://worldathletics.org/athletes/athlete=14861006
13,80.95,,Shivam SATISH,14 SEP 2004,IND,1,,Pune (IND),12 JUL 2025,1115,men_JT,2025,https://worldathletics.org/athletes/india/shivam-satish-15030785
14,80.71,,Longyu GAO,29 JAN 2000,CHN,2,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",18 NOV 2025,1111,men_JT,2025,https://worldathletics.org/athletes/athlete=14842052
15,80.69,,Kenji OGURA,08 JUN 1995,JPN,2,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2025,1111,men_JT,2025,https://worldathletics.org/athletes/athlete=14608109
16,80.58,,Gen NAGANUMA,31 MAR 1998,JPN,3,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2025,1109,men_JT,2025,https://worldathletics.org/athletes/athlete=14714601
17,80.53,,Jiajie XU,08 OCT 1997,CHN,3,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",18 NOV 2025,1109,men_JT,2025,https://worldathletics.org/athletes/athlete=14601806
18,80.12,,Rishab NEHRA,10 DEC 1999,IND,1,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",30 SEP 2025,1103,men_JT,2025,https://worldathletics.org/athletes/athlete=14734794
19,79.78,,Yusaku IWAO,12 APR 2002,JPN,4,,"National Stadium, Tokyo (JPN)",05 JUL 2025,1098,men_JT,2025,https://worldathletics.org/athletes/athlete=14861013
20,79.58,,Xiaobo WANG,18 FEB 2005,CHN,1,,"Zhaoqing Sports Center, Zhaoqing (CHN)",11 APR 2025,1095,men_JT,2025,https://worldathletics.org/athletes/pr-of-china/xiaobo-wang-14975960
21,79.33,,Vikash SHARMA,23 APR 2003,IND,3,,"Maharana Pratap Sports College Dehradun, Dehradun (IND)",12 FEB 2025,1092,men_JT,2025,https://worldathletics.org/athletes/india/vikash-sharma-15053475
22,79.23,,Junduan XU,28 JUL 2002,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",28 SEP 2025,1090,men_JT,2025,https://worldathletics.org/athletes/athlete=14889001
23,78.92,,Jie ZHAO,06 FEB 2003,CHN,4,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",18 NOV 2025,1086,men_JT,2025,https://worldathletics.org/athletes/athlete=14939772
24,78.60,,Kishore JENA,06 SEP 1995,IND,8,,"Suhaim bin Hamad Stadium, Doha (QAT)",16 MAY 2025,1081,men_JT,2025,https://worldathletics.org/athletes/athlete=14799976
25,78.57,,Haruka HIGA,31 AUG 1998,JPN,1,,"Kyushu Kyoritsu University Stadium, Kitakyushu (JPN)",12 APR 2025,1081,men_JT,2025,https://worldathletics.org/athletes/athlete=14809469
26,78.35,,Hayato YAMADA,05 DEC 2002,JPN,1,,"Universiade Commemorative Stadium, Kobe (JPN)",20 APR 2025,1078,men_JT,2025,https://worldathletics.org/athletes/japan/hayato-yamada-14946054
27,78.21,,Kai ZHU,24 AUG 1998,CHN,2f1,,Chongqing (CHN),16 MAY 2025,1076,men_JT,2025,https://worldathletics.org/athletes/athlete=14751807
28,78.09,,Chao-Tsun CHENG,17 OCT 1993,TPE,1,,Yunlin (TPE),21 OCT 2025,1074,men_JT,2025,https://worldathletics.org/athletes/athlete=14376112
29,78.01,,Uttam PATIL,01 NOV 1994,IND,2,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",30 SEP 2025,1073,men_JT,2025,https://worldathletics.org/athletes/athlete=14759405
30,77.97,,You-il BAE,16 JUN 1994,KOR,1,,"Yecheon Stadium, Yecheon (KOR)",05 JUN 2025,1072,men_JT,2025,https://worldathletics.org/athletes/athlete=14472170
31,77.92,,Heqing NIU,16 APR 1997,CHN,2f1,,"Sports Center, Jiaxing (CHN)",28 APR 2025,1072,men_JT,2025,https://worldathletics.org/athletes/athlete=14644727
32,77.85,,Ryohei ARAI,23 JUN 1991,JPN,3q1,,"Gumi Civic Stadium, Gumi (KOR)",30 MAY 2025,1071,men_JT,2025,https://worldathletics.org/athletes/athlete=14475539
33,77.84,,Sahil SILWAL,17 DEC 2000,IND,3,,"Maharaja's College Grounds, Kochi (IND)",21 APR 2025,1070,men_JT,2025,https://worldathletics.org/athletes/athlete=14768630
34,77.60,,Ali Fathi GANJI,21 APR 2001,IRI,1,,"Aftab Enghelab Sport Complex, Tehran (IRI)",09 SEP 2025,1067,men_JT,2025,https://worldathletics.org/athletes/athlete=14843080
35,77.43,,Muhammad YASIR,01 MAY 1998,PAK,3,,"Mokpo Stadium, Mokpo (KOR)",22 AUG 2025,1065,men_JT,2025,https://worldathletics.org/athletes/athlete=14756011
36,77.38,,Yukun QUAN,25 MAY 2000,CHN,3f1,,"Sports Center, Jiaxing (CHN)",28 APR 2025,1064,men_JT,2025,https://worldathletics.org/athletes/pr-of-china/yukun-quan-15108464
37,77.20,,Ryusei NAKAMURA,20 FEB 2003,JPN,5,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2025,1061,men_JT,2025,https://worldathletics.org/athletes/athlete=14915499
38,77.00,,Shivpal SINGH,06 JUL 1995,IND,2,,"Reliance,, Mumbai (IND)",21 MAR 2025,1059,men_JT,2025,https://worldathletics.org/athletes/athlete=14722564
39,76.91,,Qinggang ZHAO,24 JUL 1985,CHN,1f2,,"Sports Center, Jiaxing (CHN)",28 APR 2025,1057,men_JT,2025,https://worldathletics.org/athletes/athlete=14170478
40,76.70,,Qingshu SONG,23 DEC 2000,CHN,7,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",18 NOV 2025,1054,men_JT,2025,https://worldathletics.org/athletes/athlete=14748827
41,76.66,,Shashank PATIL,10 OCT 2004,IND,3,,"Reliance,, Mumbai (IND)",21 MAR 2025,1054,men_JT,2025,https://worldathletics.org/athletes/india/shashank-patil-15045451
41,76.66,,Langjia BAIMA,07 JAN 1997,CHN,8,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",18 NOV 2025,1054,men_JT,2025,https://worldathletics.org/athletes/athlete=14748796
43,76.56,,Anand SINGH,03 MAR 2004,IND,1,,"Stadium Hanamkonda, Warangal (IND)",18 OCT 2025,1052,men_JT,2025,https://worldathletics.org/athletes/india/anand-singh-15002918
44,76.50,,. ADITYA,22 OCT 2006,IND,1,,"Kalinga Stadium, Bhubaneshwar (IND)",14 OCT 2025,1051,men_JT,2025,https://worldathletics.org/athletes/india/aditya-15117068
45,76.40,,Kota YAMADA,05 MAR 2004,JPN,3,,"Athletic Stadium, Hikone (JPN)",04 OCT 2025,1050,men_JT,2025,https://worldathletics.org/athletes/japan/kota-yamada-14950717
46,76.26,,Taepoong NAM,11 SEP 1997,KOR,5q1,,"Gumi Civic Stadium, Gumi (KOR)",30 MAY 2025,1048,men_JT,2025,https://worldathletics.org/athletes/athlete=14910385
47,76.09,,Vikrant MALIK,02 JAN 1996,IND,4,,"Reliance,, Mumbai (IND)",21 MAR 2025,1046,men_JT,2025,https://worldathletics.org/athletes/athlete=14672706
48,76.06,,Hiroya KIYOKAWA,21 MAY 2003,JPN,1,,"Gion Stadium, Sagamihara (JPN)",09 MAY 2025,1045,men_JT,2025,https://worldathletics.org/athletes/japan/hiroya-kiyokawa-14956712
49,76.03,,Dipanshu SHARMA,25 APR 2006,IND,1,,"War Hero Stadium, Sangrur (IND)",27 JUL 2025,1045,men_JT,2025,https://worldathletics.org/athletes/india/dipanshu-sharma-15053332
50,76.02,,Ziwei MA,29 SEP 2000,CHN,4f1,,"Guoxin Sports Center, Qingdao (CHN)",20 JUN 2025,1045,men_JT,2025,https://worldathletics.org/athletes/pr-of-china/ziwei-ma-14942478
51,75.96,,Minghao CUI,04 DEC 2004,CHN,1,,"Sports Center, Yulin (CHN)",11 JUL 2025,1044,men_JT,2025,https://worldathletics.org/athletes/pr-of-china/minghao-cui-14976897
52,75.82,,R. RATHUSHAN,11 MAR 1997,SRI,3,,"Mahinda Rajapaksha Stadium, Diyagama (SRI)",19 FEB 2025,1042,men_JT,2025,https://worldathletics.org/athletes/sri-lanka/r-rathushan-15030799
53,75.62,,Artur GAFNER,13 JUL 1998,KAZ,6,,"Mokpo Stadium, Mokpo (KOR)",22 AUG 2025,1039,men_JT,2025,https://worldathletics.org/athletes/athlete=14735770
54,75.17,,Xiangyun WANG,08 JUN 2006,CHN,1f2,,"Sichuan Xipu Training Base, Chengdu (CHN)",01 APR 2025,1033,men_JT,2025,https://worldathletics.org/athletes/pr-of-china/xiangyun-wang-15052004
55,75.13,,. JAIDEEP,12 MAR 1996,IND,7,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",30 SEP 2025,1032,men_JT,2025,https://worldathletics.org/athletes/india/jaideep-14974558
56,74.79,,A.W.T.N DHANANJAYA,30 OCT 2003,SRI,3q2,,"Lohrheidestadion, Wattenscheid, Bochum (GER)",24 JUL 2025,1027,men_JT,2025,https://worldathletics.org/athletes/sri-lanka/awtn-dhananjaya-15169238
57,74.73,,Cong WANG,31 JAN 2001,CHN,1f2,,"Guoxin Sports Center, Qingdao (CHN)",20 JUN 2025,1026,men_JT,2025,https://worldathletics.org/athletes/athlete=14857813
58,74.70,,Bibin ANTONY,04 MAY 1994,IND,6,,"Maharana Pratap Sports College Dehradun, Dehradun (IND)",12 FEB 2025,1026,men_JT,2025,https://worldathletics.org/athletes/india/bibin-antony-14686235
59,74.47,,Xiangfeng KONG,21 SEP 2002,CHN,7f1,,"Sports Center, Jiaxing (CHN)",28 APR 2025,1023,men_JT,2025,https://worldathletics.org/athletes/pr-of-china/xiangfeng-kong-15043983
59,74.47,,Ping-Shen WU,12 OCT 2004,TPE,1,,"Taipei Municipal Stadium, Taipei City (TPE)",17 SEP 2025,1023,men_JT,2025,https://worldathletics.org/athletes/chinese-taipei/ping-shen-wu-14980977
61,74.40,,Ikkei YOSHINO,14 MAR 2003,JPN,8,,"National Stadium, Tokyo (JPN)",05 JUL 2025,1022,men_JT,2025,https://worldathletics.org/athletes/athlete=14921492
62,74.24,,Sarvar ISMOILOV,21 APR 1999,UZB,1,,"Olympic Training Base, Almaty (KAZ)",03 AUG 2025,1019,men_JT,2025,https://worldathletics.org/athletes/athlete=14843183
63,74.16,,Sadegh KHADEMI,01 OCT 1991,IRI,1,,"Shahid Beheshti Stadium, Busehr (IRI)",12 FEB 2025,1018,men_JT,2025,https://worldathletics.org/athletes/athlete=14383841
64,74.05,,Ayumu ISHIYAMA,02 JUN 1996,JPN,2,,"Chukyo University Athletics Field, Toyota (JPN)",21 JUN 2025,1017,men_JT,2025,https://worldathletics.org/athletes/athlete=14595120
65,74.04,,Shih-Feng HUANG,02 MAR 1992,TPE,2,,"Taipei Municipal Stadium, Taipei City (TPE)",08 JUN 2025,1016,men_JT,2025,https://worldathletics.org/athletes/athlete=14376089
66,73.87,,Abdulrahman AL AZEMI,03 NOV 2001,KUW,10,,"Gumi Civic Stadium, Gumi (KOR)",31 MAY 2025,1014,men_JT,2025,https://worldathletics.org/athletes/athlete=14850905
67,73.71,,. PARMOD,03 DEC 1999,IND,7,,"Maharana Pratap Sports College Dehradun, Dehradun (IND)",12 FEB 2025,1012,men_JT,2025,https://worldathletics.org/athletes/india/parmod-15049617
68,73.69,,Minjae KIM,14 JAN 2005,KOR,1,,"Busan Asiad Stadium, Busan (KOR)",21 OCT 2025,1012,men_JT,2025,https://worldathletics.org/athletes/korea/minjae-kim-15128025
69,73.63,,Asadbek MURODOV,09 NOV 2004,UZB,2,,"AFU Athletics Stadium, Tashkent (UZB)",17 AUG 2025,1011,men_JT,2025,https://worldathletics.org/athletes/uzbekistan/asadbek-murodov-15001530
70,73.59,,Aoke ZHANG,18 NOV 2005,CHN,1f2,,Chongqing (CHN),16 MAY 2025,1010,men_JT,2025,https://worldathletics.org/athletes/pr-of-china/aoke-zhang-15147081
71,73.58,,Zhaoyi YANG,11 DEC 2007,CHN,3,,"Sports Center, Bengbu (CHN)",13 JUN 2025,1010,men_JT,2025,https://worldathletics.org/athletes/pr-of-china/zhaoyi-yang-15147101
72,73.56,,Seo-jun LEE,07 MAR 2006,KOR,2,,"Busan Asiad Stadium, Busan (KOR)",21 OCT 2025,1010,men_JT,2025,https://worldathletics.org/athletes/korea/seo-jun-lee-15093411
73,73.51,,Qiang ZHI,20 FEB 1994,CHN,1,,"Liaoning Athletics Management Center, Dalian (CHN)",19 JUL 2025,1009,men_JT,2025,https://worldathletics.org/athletes/athlete=14482057
74,73.35,,Parteek KUMAR,17 JAN 2004,IND,3,,"Stadium Hanamkonda, Warangal (IND)",18 OCT 2025,1007,men_JT,2025,https://worldathletics.org/athletes/india/parteek-kumar-15114670
