Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,8.33,0.0,Yuhao SHI,26 SEP 1998,CHN,3,,"National Stadium, Tokyo (JPN)",17 SEP 2025,1210,men_LJ,2025,https://worldathletics.org/athletes/athlete=14714402
2,8.25,+1.5,Anvar ANVAROV,22 OCT 2000,UZB,1,,"Keskusurheilukenttä, Joensuu (FIN)",12 JUL 2025,1192,men_LJ,2025,https://worldathletics.org/athletes/athlete=14934300
3,8.24,,Mingkun ZHANG,20 OCT 2000,CHN,f2,,"Expocentro, Pombal (POR) (i)",22 FEB 2025,1190,men_LJ,2025,https://worldathletics.org/athletes/athlete=14884079
4,8.23,-0.2,Peiqi GAO,19 AUG 2004,CHN,1,,"Sports Center, Quzhou (CHN)",02 AUG 2025,1189,men_LJ,2025,https://worldathletics.org/athletes/pr-of-china/peiqi-gao-15072924
5,8.22,-0.5,Heng SHU,22 MAY 2004,CHN,1,,"Gumi Civic Stadium, Gumi (KOR)",30 MAY 2025,1189,men_LJ,2025,https://worldathletics.org/athletes/pr-of-china/heng-shu-15072915
6,8.21,,Shunsuke IZUMIYA,26 JAN 2000,JPN,4,,"Sports Training Center, Nanjing (CHN) (i)",23 MAR 2025,1184,men_LJ,2025,https://worldathletics.org/athletes/athlete=14815041
7,8.20,+0.4,Yu-Tang LIN,11 MAY 2000,TPE,2,,"Gumi Civic Stadium, Gumi (KOR)",30 MAY 2025,1181,men_LJ,2025,https://worldathletics.org/athletes/athlete=14831893
8,8.16,+1.7,Chenlong YUAN,04 JAN 2002,CHN,1f1,,"Sports Center, Bengbu (CHN)",15 JUN 2025,1173,men_LJ,2025,https://worldathletics.org/athletes/athlete=14884026
9,8.15,+1.0,Hibiki TSUHA,21 JAN 1998,JPN,2,,"National Stadium, Tokyo (JPN)",18 MAY 2025,1170,men_LJ,2025,https://worldathletics.org/athletes/athlete=14714426
10,8.14,+0.3,Keito YAMAURA,09 NOV 2000,JPN,1,,"National Stadium, Tokyo (JPN)",06 JUL 2025,1168,men_LJ,2025,https://worldathletics.org/athletes/athlete=14855151
11,8.13,,Xinyu WEI,28 JUL 1996,CHN,1f1,,"Xipu Training Base Indoor Athletics Stadium, Chengdu (CHN) (i)",10 FEB 2025,1166,men_LJ,2025,https://worldathletics.org/athletes/athlete=14839810
11,8.13,+1.0,SREESHANKAR,27 MAR 1999,IND,1,,"Kalinga Stadium, Bhubaneshwar (IND)",10 AUG 2025,1166,men_LJ,2025,https://worldathletics.org/athletes/athlete=14734673
13,8.11,-0.3,Junhui TAO,26 APR 1999,CHN,2,,Xi'an (CHN),17 MAY 2025,1163,men_LJ,2025,https://worldathletics.org/athletes/athlete=14849169
13,8.11,+0.1,Riku ITO,16 JAN 2001,JPN,2,,"National Stadium, Tokyo (JPN)",06 JUL 2025,1162,men_LJ,2025,https://worldathletics.org/athletes/athlete=14855118
15,8.10,+1.7,Yuki HASHIOKA,23 JAN 1999,JPN,1,,"Universiade Commemorative Stadium, Kobe (JPN)",20 APR 2025,1160,men_LJ,2025,https://worldathletics.org/athletes/athlete=14719623
16,8.09,+1.2,Jinsuok SUNG,02 JAN 1997,KOR,1,,"Gumi Civic Stadium, Gumi (KOR)",21 APR 2025,1157,men_LJ,2025,https://worldathletics.org/athletes/athlete=14670887
17,8.06,+1.7,C.V. ANURAG,23 JAN 2004,IND,1,,"Stadium Hanamkonda, Warangal (IND)",17 OCT 2025,1151,men_LJ,2025,https://worldathletics.org/athletes/india/cv-anurag-15053108
18,8.04,+1.2,Yege TAO,23 JUN 2000,CHN,2,,"Sports Center, Quzhou (CHN)",02 AUG 2025,1146,men_LJ,2025,https://worldathletics.org/athletes/athlete=14750671
18,8.04,0.0,Shahnavaz KHAN,02 FEB 2008,IND,2,,"Kalinga Stadium, Bhubaneshwar (IND)",10 AUG 2025,1146,men_LJ,2025,https://worldathletics.org/athletes/india/shahnavaz-khan-15139285
20,8.03,+1.1,Koki FUJIHARA,31 MAY 2002,JPN,1f2,,Chongqing (CHN),14 MAY 2025,1144,men_LJ,2025,https://worldathletics.org/athletes/athlete=14854936
21,8.01,,Qichen ZHANG,24 JUN 2000,CHN,2f1,,"Xipu Training Base Indoor Athletics Stadium, Chengdu (CHN) (i)",10 FEB 2025,1140,men_LJ,2025,https://worldathletics.org/athletes/athlete=14858757
21,8.01,,Weiqiang XU,14 JUL 2002,CHN,1f1,,"Shanxi Athletics Administrative Center, Xi'an (CHN) (i)",14 FEB 2025,1140,men_LJ,2025,https://worldathletics.org/athletes/pr-of-china/weiqiang-xu-15072919
21,8.01,0.0,Yaoguang ZHANG,21 JUN 1993,CHN,4,,"Sports Center, Quzhou (CHN)",02 AUG 2025,1140,men_LJ,2025,https://worldathletics.org/athletes/athlete=14420860
24,7.99,+0.8,Ryousei MATSUSHITA,19 SEP 2002,JPN,1,,"Kusanagi Athletic Stadium, Shizuoka (JPN)",12 JUL 2025,1136,men_LJ,2025,https://worldathletics.org/athletes/athlete=14931659
25,7.97,,Changzhou HUANG,20 AUG 1994,CHN,3f1,,"Xipu Training Base Indoor Athletics Stadium, Chengdu (CHN) (i)",10 FEB 2025,1131,men_LJ,2025,https://worldathletics.org/athletes/athlete=14502006
26,7.95,+1.5,Shengming ZHANG,23 MAR 2006,CHN,1f2,,"Sports Center, Jiaxing (CHN)",28 APR 2025,1127,men_LJ,2025,https://worldathletics.org/athletes/pr-of-china/shengming-zhang-15052040
26,7.95,-0.1,Xiangqin ZHUGE,24 OCT 1997,CHN,2f1,,"Guoxin Sports Center, Qingdao (CHN)",18 JUN 2025,1127,men_LJ,2025,https://worldathletics.org/athletes/athlete=14843219
28,7.94,+1.1,David PATTURAJ SOLOMON,17 MAR 2002,IND,1,,"Maharaja's College Grounds, Kochi (IND)",22 APR 2025,1125,men_LJ,2025,https://worldathletics.org/athletes/athlete=14918515
29,7.93,-0.5,Jian WU,08 JUN 2004,CHN,4,,"Zhaoqing Sports Center, Zhaoqing (CHN)",11 APR 2025,1126,men_LJ,2025,https://worldathletics.org/athletes/pr-of-china/jian-wu-15072922
29,7.93,+0.7,Muhammed Anees YAHIYA,03 DEC 1995,IND,1,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",28 JUN 2025,1123,men_LJ,2025,https://worldathletics.org/athletes/athlete=14675320
29,7.93,+0.4,Chengyi ZHOU,19 FEB 2008,CHN,1q1,,"Olympic Center, Shenyang (CHN)",10 AUG 2025,1123,men_LJ,2025,https://worldathletics.org/athletes/pr-of-china/chengyi-zhou-15138386
32,7.92,,Lokesh SATHYANATHAN,21 DEC 1999,IND,1,,"Convention Center, Albuquerque, NM (USA) (i)",14 FEB 2025,1120,men_LJ,2025,https://worldathletics.org/athletes/athlete=14734782
33,7.91,+0.8,Jingqiang ZHANG,08 MAY 1996,CHN,6f1,,"Sports Center, Jiaxing (CHN)",28 APR 2025,1118,men_LJ,2025,https://worldathletics.org/athletes/athlete=14782056
33,7.91,+0.9,Maisong WANG,28 MAY 2005,CHN,2f2,,"Sports Center, Jiaxing (CHN)",28 APR 2025,1118,men_LJ,2025,https://worldathletics.org/athletes/pr-of-china/maisong-wang-15138383
35,7.90,+1.4,Sunny KUMAR,13 JUL 2001,IND,2,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",28 JUN 2025,1116,men_LJ,2025,https://worldathletics.org/athletes/athlete=14859345
36,7.89,,Shuhao WANG,12 JAN 2004,CHN,1f2,,"Xipu Training Base Indoor Athletics Stadium, Chengdu (CHN) (i)",10 FEB 2025,1114,men_LJ,2025,https://worldathletics.org/athletes/athlete=14939886
36,7.89,+0.8,Jimin SHIM,19 JAN 2001,KOR,2,,"Gumi Civic Stadium, Gumi (KOR)",21 APR 2025,1114,men_LJ,2025,https://worldathletics.org/athletes/athlete=14843856
36,7.89,+1.1,Chengliang LI,05 APR 2006,CHN,1,,Taizhou (CHN),23 JUN 2025,1114,men_LJ,2025,https://worldathletics.org/athletes/pr-of-china/chengliang-li-15034362
36,7.89,+1.5,Rikuto FUJIWARA,13 APR 2000,JPN,2,,"Prefectural Stadium, Fukui (JPN)",15 AUG 2025,1114,men_LJ,2025,https://worldathletics.org/athletes/athlete=14819246
40,7.88,+1.8,Natsuki YAMAKAWA,24 JUL 1995,JPN,,,"Kyushu Kyoritsu University Stadium, Kitakyushu (JPN)",22 MAR 2025,1112,men_LJ,2025,https://worldathletics.org/athletes/athlete=14635039
41,7.86,,Zhuofan XU,28 MAR 2006,CHN,3f1,,"Shanxi Athletics Administrative Center, Xi'an (CHN) (i)",14 FEB 2025,1107,men_LJ,2025,https://worldathletics.org/athletes/pr-of-china/zhuofan-xu-15096794
41,7.86,+1.4,Pak Hang WONG,19 APR 2002,HKG,1,,"Wan Chai Sports Ground, Hong Kong (HKG)",11 MAY 2025,1107,men_LJ,2025,https://worldathletics.org/athletes/athlete=14886721
41,7.86,-0.6,Praveen CHITHRAVEL,05 JUN 2001,IND,3,,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",18 JUN 2025,1110,men_LJ,2025,https://worldathletics.org/athletes/athlete=14841034
44,7.85,-0.4,Shoutarou SHIROYAMA,06 MAR 1995,JPN,2,,"Nga Puna Wai Sports Hub, Christchurch (NZL)",22 FEB 2025,1107,men_LJ,2025,https://worldathletics.org/athletes/athlete=14649191
44,7.85,+0.7,Guohang WU,13 JAN 2002,CHN,3f1,,"Guoxin Sports Center, Qingdao (CHN)",18 JUN 2025,1105,men_LJ,2025,https://worldathletics.org/athletes/athlete=14857791
46,7.84,+0.1,Yuto TORIUMI,04 OCT 2001,JPN,1f1,,"Nihon University Stadium, Tokyo (JPN)",23 MAR 2025,1103,men_LJ,2025,https://worldathletics.org/athletes/athlete=14861084
46,7.84,+0.6,Xingchen LIU,01 NOV 2003,CHN,7,,"Sports Center, Quzhou (CHN)",02 AUG 2025,1103,men_LJ,2025,https://worldathletics.org/athletes/pr-of-china/xingchen-liu-15117393
46,7.84,+2.0,Yukiya ONISHI,22 FEB 2006,JPN,1,,"Wan Chai Sports Ground, Hong Kong (HKG)",27 SEP 2025,1103,men_LJ,2025,https://worldathletics.org/athletes/japan/yukiya-onishi-14966784
