Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,5.91,,Ernest John OBIENA,17 NOV 1995,PHI,1,,"Promenada Gwiazd, Miedzyzdroje (POL)",17 AUG 2026,1242,men_PV,2026,https://worldathletics.org/athletes/athlete=14522941
2,5.90,,Seifeldin ABDELSALAM,28 MAR 2005,QAT,1,,"Skwer Kuracyjny, Sopot (POL)",20 AUG 2026,1239,men_PV,2026,https://worldathletics.org/athletes/qatar/seifeldin-abdelsalam-15039267
3,5.86,,Chenyang LI,12 MAY 2003,CHN,1f1,,"Shanghai Sports University Indoor Athletics Stadium, Shanghai (CHN) (i)",25 MAR 2026,1228,men_PV,2026,https://worldathletics.org/athletes/pr-of-china/chenyang-li-14974804
4,5.73,,Jie YAO,21 SEP 1990,CHN,2,,Guangzhou (CHN),22 AUG 2026,1192,men_PV,2026,https://worldathletics.org/athletes/athlete=14462142
5,5.70,,Hussain Asim AL HIZAM,04 JAN 1998,KSA,2f1,,"John McDonnell Field, Fayetteville, AR (USA)",24 APR 2026,1184,men_PV,2026,https://worldathletics.org/athletes/athlete=14523471
5,5.70,,Bokai HUANG,26 SEP 1996,CHN,6,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1184,men_PV,2026,https://worldathletics.org/athletes/athlete=14534938
7,5.66,,Tomoya KARASAWA,17 MAY 2002,JPN,1,,"ND Soft Stadium, Tendo (JPN)",16 MAY 2026,1173,men_PV,2026,https://worldathletics.org/athletes/athlete=14855101
8,5.63,,Tao ZHONG,12 AUG 2002,CHN,3,,Guangzhou (CHN),22 AUG 2026,1165,men_PV,2026,https://worldathletics.org/athletes/athlete=14850896
9,5.60,,Masaki EJIMA,06 MAR 1999,JPN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1157,men_PV,2026,https://worldathletics.org/athletes/athlete=14714512
9,5.60,,Patsapong AMSAM-ANG,02 OCT 1997,THA,2,,"Gwangalli beach, Busan (KOR)",30 MAY 2026,1157,men_PV,2026,https://worldathletics.org/athletes/athlete=14646774
