Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,20.44,,Jialiang XING,26 MAY 2001,CHN,1,,"Sports Center, Quzhou (CHN)",04 AUG 2025,1147,men_SP,2025,https://worldathletics.org/athletes/athlete=14820722
2,20.37,,Chengyu CHEN,25 OCT 2002,CHN,1,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",20 NOV 2025,1143,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/chengyu-chen-15043496
3,20.32,,Mohammad Reza TAYEBI,25 MAR 1997,IRI,1,,"Gumi Civic Stadium, Gumi (KOR)",29 MAY 2025,1140,men_SP,2025,https://worldathletics.org/athletes/athlete=14813812
4,20.30,,Haochen ZHANG,07 OCT 2002,CHN,2,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",20 NOV 2025,1139,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/haochen-zhang-14943121
5,20.28,,Mohammed Daoud B TOLU,30 MAR 2001,KSA,7,,"Sportovní Hala, Nehvizdy (CZE) (i)",19 FEB 2025,1138,men_SP,2025,https://worldathletics.org/athletes/athlete=14902548
6,20.12,,Hongfei CHEN,23 JUL 2002,CHN,3,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",20 NOV 2025,1128,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/hongfei-chen-15072899
7,19.82,,Samardeep Singh GILL,03 JAN 2001,IND,1,,"Jawaharlal Nehru Stadium, Chennai (IND)",23 AUG 2025,1110,men_SP,2025,https://worldathletics.org/athletes/athlete=14881864
8,19.80,,Zizhong TIAN,15 DEC 1992,CHN,3,,"Sports Center, Quzhou (CHN)",04 AUG 2025,1109,men_SP,2025,https://worldathletics.org/athletes/athlete=14420726
9,19.74,,Tajinderpal Singh TOOR,13 NOV 1994,IND,1,,"Maharana Pratap Sports College Dehradun, Dehradun (IND)",10 FEB 2025,1105,men_SP,2025,https://worldathletics.org/athletes/athlete=14624702
10,19.60,,Hassan AJAMIBAKHTIARVAND,08 FEB 1999,IRI,2,,"Imam Reza Stadium, Mashhad (IRI)",25 APR 2025,1097,men_SP,2025,https://worldathletics.org/athletes/islamic-republic-of-iran/hassan-ajamibakhtiarvand-15167657
10,19.60,,Chen DAI,21 AUG 2000,CHN,5,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",20 NOV 2025,1097,men_SP,2025,https://worldathletics.org/athletes/athlete=14811615
12,19.42,,Chenhang RUAN,03 JAN 2003,CHN,1,,"Sports Training Center, Nanjing (CHN) (i)",22 FEB 2025,1086,men_SP,2025,https://worldathletics.org/athletes/athlete=14889029
13,19.36,,. SANYAM,05 OCT 2003,IND,2,,"War Hero Stadium, Sangrur (IND)",28 JUL 2025,1083,men_SP,2025,https://worldathletics.org/athletes/india/sanyam-14971065
14,19.28,,Hau-Wei MA,03 FEB 1999,TPE,1,,"Taipei Municipal Stadium, Taipei City (TPE)",08 JUN 2025,1078,men_SP,2025,https://worldathletics.org/athletes/athlete=14705946
15,19.27,,Abdelrahman MAHMOUD,01 JAN 2001,BRN,4,,"Gumi Civic Stadium, Gumi (KOR)",29 MAY 2025,1077,men_SP,2025,https://worldathletics.org/athletes/athlete=14847215
16,19.14,,Ivan IVANOV,03 JAN 1992,KAZ,1,,"Olympic Training Base, Almaty (KAZ)",26 JUN 2025,1070,men_SP,2025,https://worldathletics.org/athletes/athlete=14375337
17,19.08,,Hitoshi OKUMURA,15 MAY 2000,JPN,1,,"Universiade Commemorative Stadium, Kobe (JPN)",20 APR 2025,1066,men_SP,2025,https://worldathletics.org/athletes/athlete=14728050
18,19.04,,Prabhkirpal SINGH,12 JUL 1997,IND,3,,"Maharana Pratap Sports College Dehradun, Dehradun (IND)",10 FEB 2025,1064,men_SP,2025,https://worldathletics.org/athletes/athlete=14833647
18,19.04,,Xiaodong CHEN,29 SEP 1997,CHN,1f1,,"Sichuan Xipu Training Base, Chengdu (CHN)",01 APR 2025,1064,men_SP,2025,https://worldathletics.org/athletes/athlete=14748787
20,19.01,,Guoyuan XIA,08 SEP 2005,CHN,1,,Ji'an (CHN),02 SEP 2025,1062,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/guoyuan-xia-15083520
21,18.97,,Mingyu LIU,11 NOV 2001,CHN,7,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",20 NOV 2025,1059,men_SP,2025,https://worldathletics.org/athletes/athlete=14885316
22,18.86,,Feng JIE,18 JAN 1986,CHN,1,,"Zhaoqing Sports Center, Zhaoqing (CHN)",13 APR 2025,1053,men_SP,2025,https://worldathletics.org/athletes/athlete=14172343
23,18.84,,Jian CHEN,20 APR 1991,CHN,1,,"Shanxi Athletics Administrative Center, Xi'an (CHN)",30 MAY 2025,1052,men_SP,2025,https://worldathletics.org/athletes/athlete=14430018
24,18.81,,William III Edward MORRISON,23 NOV 1996,PHI,1,,"New Clark City Stadium, New Clark City (PHI)",02 MAY 2025,1050,men_SP,2025,https://worldathletics.org/athletes/athlete=14709100
25,18.78,,Jonah Chang Anak RIGAN,25 MAR 2003,MAS,1,,"Supachalasai National Stadium, Bangkok (THA)",13 DEC 2025,1048,men_SP,2025,https://worldathletics.org/athletes/athlete=14884897
26,18.77,,Yang LIU,29 OCT 1986,CHN,1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",28 FEB 2025,1048,men_SP,2025,https://worldathletics.org/athletes/athlete=14941401
27,18.75,,Jun SHIM,31 MAR 1997,KOR,1,,"Jeongseon Sports Complex, Jeongseon (KOR)",23 JUN 2025,1046,men_SP,2025,https://worldathletics.org/athletes/athlete=14815775
28,18.72,,Morteza NAZEMI,24 DEC 1988,IRI,4,,"Imam Reza Stadium, Mashhad (IRI)",25 APR 2025,1045,men_SP,2025,https://worldathletics.org/athletes/athlete=14445205
29,18.71,,Zhenyu ZHANG,08 MAR 2006,CHN,5f1,,"Guoxin Sports Center, Qingdao (CHN)",20 JUN 2025,1044,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/zhenyu-zhang-15127363
30,18.63,,Tingshuo GE,27 NOV 2005,CHN,4,,"Kuishan Sports Center, Rizhao (CHN)",28 SEP 2025,1039,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/tingshuo-ge-15035420
31,18.51,,Djibrine Adoum AHMAT,15 APR 2005,QAT,4,,Riyadh (KSA),18 NOV 2025,1032,men_SP,2025,https://worldathletics.org/athletes/athlete=15007014
32,18.43,,Yuhan XUE,22 SEP 2000,CHN,7,,"Shanxi Athletics Administrative Center, Xi'an (CHN) (i)",15 FEB 2025,1027,men_SP,2025,https://worldathletics.org/athletes/athlete=14819342
33,18.42,,Yiwen ZHU,05 OCT 2000,CHN,5,,Chongqing (CHN),16 MAY 2025,1027,men_SP,2025,https://worldathletics.org/athletes/athlete=14811616
34,18.39,,Jason ATUOBENG,12 APR 2002,JPN,1,,"Lemon Gas Stadium, Hiratsuka (JPN)",25 APR 2025,1025,men_SP,2025,https://worldathletics.org/athletes/athlete=14949668
35,18.33,,Daichi MORISHITA,09 JUL 1994,JPN,1,,"Prefectural Stadium, Fukui (JPN)",16 AUG 2025,1021,men_SP,2025,https://worldathletics.org/athletes/athlete=14649177
36,18.31,,Sihoon PARK,20 FEB 2007,KOR,6,,"Mokpo Stadium, Mokpo (KOR)",21 AUG 2025,1020,men_SP,2025,https://worldathletics.org/athletes/korea/sihoon-park-14949060
37,18.29,,Yi-Chu CHEN,31 OCT 2002,TPE,,,"Wan Chai Sports Ground, Hong Kong (HKG)",10 MAY 2025,1019,men_SP,2025,https://worldathletics.org/athletes/athlete=14922626
38,18.27,,. SAWAN,28 NOV 2004,IND,2,,"Reliance,, Mumbai (IND)",21 MAR 2025,1018,men_SP,2025,https://worldathletics.org/athletes/athlete=15022622
39,18.23,,Ravi KUMAR,06 MAY 1992,IND,3,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",29 SEP 2025,1015,men_SP,2025,https://worldathletics.org/athletes/india/ravi-kumar-15177027
40,18.19,,Karanveer SINGH,24 JUL 1997,IND,4,,"War Hero Stadium, Sangrur (IND)",28 JUL 2025,1013,men_SP,2025,https://worldathletics.org/athletes/athlete=14734581
41,18.16,,Davinder SINGH,30 OCT 1992,IND,5,,"War Hero Stadium, Sangrur (IND)",28 JUL 2025,1011,men_SP,2025,https://worldathletics.org/athletes/india/davinder-singh-14775801
42,18.15,,. ANIKET,05 NOV 2001,IND,6,,"War Hero Stadium, Sangrur (IND)",28 JUL 2025,1011,men_SP,2025,https://worldathletics.org/athletes/athlete=14921006
43,18.13,,Zhihong SUN,26 AUG 2003,CHN,1f2,,"Guoxin Sports Center, Qingdao (CHN)",20 JUN 2025,1009,men_SP,2025,https://worldathletics.org/athletes/athlete=14885313
44,18.07,,Hayate INAFUKU,24 NOV 2000,JPN,3,,"National Stadium, Tokyo (JPN)",06 JUL 2025,1006,men_SP,2025,https://worldathletics.org/athletes/athlete=14829973
45,18.05,,Akash GREHWAL,01 SEP 2001,IND,1,,"Patliputra Sports Complex, Patna (IND)",19 JUL 2025,1005,men_SP,2025,https://worldathletics.org/athletes/india/akash-grehwal-14999507
46,18.04,,Mehran KHORAND,30 APR 1994,IRI,5,,"Imam Reza Stadium, Mashhad (IRI)",25 APR 2025,1004,men_SP,2025,https://worldathletics.org/athletes/athlete=14532974
47,18.02,,Tianze WANG,24 JAN 2001,CHN,8,,"Sports Training Center, Nanjing (CHN) (i)",22 FEB 2025,1003,men_SP,2025,https://worldathletics.org/athletes/athlete=14819340
47,18.02,,Zijie TANG,31 DEC 2002,CHN,6,,"Zhaoqing Sports Center, Zhaoqing (CHN)",13 APR 2025,1003,men_SP,2025,https://worldathletics.org/athletes/athlete=14939769
47,18.02,,Doston RAJABOV,24 MAR 1994,UZB,1,,"AFU Athletics Stadium, Tashkent (UZB)",18 SEP 2025,1003,men_SP,2025,https://worldathletics.org/athletes/athlete=14757640
50,18.01,,Jong-hyuk JANG,28 FEB 2000,KOR,2,,"Yecheon Stadium, Yecheon (KOR)",08 JUN 2025,1002,men_SP,2025,https://worldathletics.org/athletes/athlete=14843857
51,18.00,,Myung-woo JIN,09 SEP 1997,KOR,1,,"Yecheon Stadium, Yecheon (KOR)",03 SEP 2025,1002,men_SP,2025,https://worldathletics.org/athletes/korea/myung-woo-jin-14611982
52,17.98,,Yanheng TIAN,19 MAR 1999,CHN,12,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",20 NOV 2025,1000,men_SP,2025,https://worldathletics.org/athletes/athlete=14748788
53,17.96,,Aryan TYAGI,14 AUG 2001,IND,7,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",29 SEP 2025,999,men_SP,2025,https://worldathletics.org/athletes/india/aryan-tyagi-14997688
54,17.95,,Akito YAMADA,23 JUL 2004,JPN,5,,"National Stadium, Tokyo (JPN)",06 JUL 2025,999,men_SP,2025,https://worldathletics.org/athletes/japan/akito-yamada-14988049
55,17.94,,Hyogo WATANABE,22 OCT 2004,JPN,1,,"Athletic Stadium, Hikone (JPN)",03 OCT 2025,998,men_SP,2025,https://worldathletics.org/athletes/athlete=14921529
56,17.89,,Yingxu ZHU,20 OCT 2000,CHN,9,,"Sports Center, Jiaxing (CHN)",30 APR 2025,995,men_SP,2025,https://worldathletics.org/athletes/athlete=14748814
57,17.85,,Erfan MIRZAIYAN,22 FEB 2004,IRI,2,,"Aftab Enghelab Sport Complex, Tehran (IRI)",09 SEP 2025,993,men_SP,2025,https://worldathletics.org/athletes/islamic-republic-of-iran/erfan-mirzaiyan-15095296
58,17.84,,Zulipikeer AIZEZI,21 JUL 2006,CHN,3f2,,"Sichuan Xipu Training Base, Chengdu (CHN)",01 APR 2025,992,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/zulipikeer-aizezi-15084788
58,17.84,,Maohung HSUEH,06 AUG 2001,TPE,2,,Yunlin (TPE),19 OCT 2025,992,men_SP,2025,https://worldathletics.org/athletes/athlete=14838033
60,17.83,,Sanyam SANJAY,05 OCT 2003,IND,5,,"Maharana Pratap Sports College Dehradun, Dehradun (IND)",10 FEB 2025,992,men_SP,2025,https://worldathletics.org/athletes/athlete=15022623
61,17.81,,Caiqi ZHI,05 JUL 2004,CHN,7f1,,"Sichuan Xipu Training Base, Chengdu (CHN)",28 MAR 2025,990,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/caiqi-zhi-15110891
62,17.80,,Shinichi YUKINAGA,10 APR 1997,JPN,6,,"National Stadium, Tokyo (JPN)",06 JUL 2025,990,men_SP,2025,https://worldathletics.org/athletes/athlete=14671487
63,17.77,,Varinderpal SINGH,22 DEC 2002,IND,4,,"Reliance,, Mumbai (IND)",21 MAR 2025,988,men_SP,2025,https://worldathletics.org/athletes/india/varinderpal-singh-14970959
64,17.76,,Yang XU,03 APR 2006,CHN,2f2,,"Sichuan Xipu Training Base, Chengdu (CHN)",28 MAR 2025,987,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/yang-xu-15083453
65,17.68,,Jinliang HUANG,06 DEC 2006,CHN,3,,"Shanxi Athletics Administrative Center, Xi'an (CHN)",30 MAY 2025,983,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/jinliang-huang-15239985
66,17.67,,. ATUL,17 JAN 2005,IND,1,,"Stadium Hanamkonda, Warangal (IND)",17 OCT 2025,982,men_SP,2025,https://worldathletics.org/athletes/india/atul-15046416
67,17.66,,Dhanvir SINGH,28 DEC 2002,IND,7,,"Maharana Pratap Sports College Dehradun, Dehradun (IND)",10 FEB 2025,981,men_SP,2025,https://worldathletics.org/athletes/athlete=14831008
67,17.66,,. BALAJI,26 SEP 2000,IND,5,,"Reliance,, Mumbai (IND)",21 MAR 2025,981,men_SP,2025,https://worldathletics.org/athletes/india/balaji-15074843
69,17.61,,Yang LIU,07 APR 2002,CHN,6,,"Sports Center, Yulin (CHN)",12 JUL 2025,978,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/yang-liu-15117337
70,17.59,,Junjia CHEN,14 JAN 2001,CHN,10,,"Sports Center, Jiaxing (CHN)",30 APR 2025,977,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/junjia-chen-14976892
70,17.59,,Geon-joo KIM,06 MAR 2000,KOR,3,,"Yecheon Stadium, Yecheon (KOR)",08 JUN 2025,977,men_SP,2025,https://worldathletics.org/athletes/athlete=14817735
70,17.59,,Adhish GHILDYAL,21 MAY 2002,IND,5q1,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",28 SEP 2025,977,men_SP,2025,https://worldathletics.org/athletes/athlete=14849702
73,17.56,,Mohamed Baqer AHMED MOHAMED,04 FEB 2000,IRQ,9,,"Mokpo Stadium, Mokpo (KOR)",21 AUG 2025,976,men_SP,2025,https://worldathletics.org/athletes/athlete=14816903
74,17.54,,Amit KUMAR,14 NOV 1999,IND,1,,Sangrur (IND),01 APR 2025,974,men_SP,2025,https://worldathletics.org/athletes/athlete=14841036
74,17.54,,Sungbin LEE,19 APR 2001,KOR,4,,"Yecheon Stadium, Yecheon (KOR)",08 JUN 2025,974,men_SP,2025,https://worldathletics.org/athletes/athlete=14759680
76,17.48,,Husain AL NASER,16 MAR 2005,KUW,1,,"Ahmed Al Rashdan Stadium, Al-Kuwait (KUW)",02 DEC 2025,971,men_SP,2025,https://worldathletics.org/athletes/kuwait/husain-al-naser-15038209
77,17.47,,Ziheng CHENG,31 AUG 2001,CHN,11,,"Shanxi Athletics Administrative Center, Xi'an (CHN) (i)",15 FEB 2025,970,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/ziheng-cheng-14959073
78,17.46,,Iqbal SINGH,13 NOV 1999,IND,2,,"Guru Nanak Stadium, Ludhiana (IND)",02 AUG 2025,970,men_SP,2025,https://worldathletics.org/athletes/athlete=14918516
79,17.43,,Anurag Singh KALER,24 JUL 2005,IND,2,,"Stadium Hanamkonda, Warangal (IND)",17 OCT 2025,968,men_SP,2025,https://worldathletics.org/athletes/india/anurag-singh-kaler-14971128
80,17.40,,Shivam CHOUDHARY,25 AUG 1997,IND,8,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",29 SEP 2025,966,men_SP,2025,https://worldathletics.org/athletes/india/shivam-choudhary-14974495
81,17.38,,Ibrahim Juma AL FADHLI,19 JAN 1996,KUW,2,,"Ahmed Al Rashdan Stadium, Al-Kuwait (KUW)",02 DEC 2025,965,men_SP,2025,https://worldathletics.org/athletes/athlete=14643430
82,17.36,,Takuto SANO,11 MAR 1999,JPN,5,,"Universiade Commemorative Stadium, Kobe (JPN)",20 APR 2025,964,men_SP,2025,https://worldathletics.org/athletes/athlete=14853573
83,17.31,,Kang YANG,16 JUN 1996,CHN,3,,"Xinjiang Sports Center, Urumqi (CHN)",25 MAY 2025,961,men_SP,2025,https://worldathletics.org/athletes/athlete=14585332
84,17.29,,Samith Madusanka FERNANDO,09 APR 1998,SRI,2,,"Stade d'Honneur Marcel Roustan, Salon-de-Provence (FRA) (i)",28 FEB 2025,959,men_SP,2025,https://worldathletics.org/athletes/athlete=14811228
85,17.28,,Sahib SINGH,05 NOV 2000,IND,9,,"War Hero Stadium, Sangrur (IND)",28 JUL 2025,959,men_SP,2025,https://worldathletics.org/athletes/india/sahib-singh-14768610
86,17.17,,Jiang SONG,14 MAY 2007,CHN,3f2,,"Sichuan Xipu Training Base, Chengdu (CHN)",28 MAR 2025,952,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/jiang-song-15083546
87,17.12,,Amandeep Singh DHALIWAL,16 MAY 2002,IND,8,,"Maharana Pratap Sports College Dehradun, Dehradun (IND)",10 FEB 2025,949,men_SP,2025,https://worldathletics.org/athletes/athlete=14852413
88,17.11,,Isao TOBIMATSU,04 MAY 1996,JPN,8,,"National Stadium, Tokyo (JPN)",06 JUL 2025,949,men_SP,2025,https://worldathletics.org/athletes/athlete=14795542
89,17.09,,Seiya TOBE,27 MAY 1996,JPN,1,,"Prefectural Stadium, Kumagaya (JPN)",25 MAY 2025,948,men_SP,2025,https://worldathletics.org/athletes/athlete=14809637
90,17.08,,Sang-myung LEE,08 AUG 2000,KOR,4,,"Jeongseon Sports Complex, Jeongseon (KOR)",23 JUN 2025,947,men_SP,2025,https://worldathletics.org/athletes/athlete=14841091
91,17.07,,Sina SARABI,16 AUG 2006,IRI,3,,"Shahid Beheshti Stadium, Busehr (IRI)",12 FEB 2025,946,men_SP,2025,https://worldathletics.org/athletes/islamic-republic-of-iran/sina-sarabi-15114183
92,17.02,,. NIKHLESH,10 AUG 2005,IND,3,,"Stadium Hanamkonda, Warangal (IND)",17 OCT 2025,943,men_SP,2025,https://worldathletics.org/athletes/india/nikhlesh-14971129
93,17.01,,S.Sri KUMARAN,23 AUG 2003,IND,4,,"Stadium Hanamkonda, Warangal (IND)",17 OCT 2025,943,men_SP,2025,https://worldathletics.org/athletes/india/ssri-kumaran-15045071
94,17.00,,Sana CHAUDHARY,24 DEC 2001,IND,8q1,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",28 SEP 2025,942,men_SP,2025,https://worldathletics.org/athletes/india/sana-chaudhary-15010672
95,16.99,,Chetan KAPOOR,23 DEC 1993,IND,1,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",10 APR 2025,942,men_SP,2025,https://worldathletics.org/athletes/athlete=14775806
95,16.99,,A. VISHWA,26 NOV 2003,IND,1,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",28 JUN 2025,942,men_SP,2025,https://worldathletics.org/athletes/india/a-vishwa-15045070
97,16.95,,Yulu JIANG,15 OCT 2005,CHN,4f1,,"Shuangliu Sports Centre, Chengdu (CHN)",04 MAY 2025,939,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/yulu-jiang-15031069
97,16.95,,Shakti SINGH,02 JUL 1989,IND,10,,"War Hero Stadium, Sangrur (IND)",28 JUL 2025,939,men_SP,2025,https://worldathletics.org/athletes/india/shakti-singh-14799971
99,16.91,,Mohamed Baqir AL-HAMIDAWI,,IRQ,1,,"College of Physical Education and Sports Sciences Stadium, Sulaymaniyah (IRQ)",18 APR 2025,937,men_SP,2025,https://worldathletics.org/athletes/iraq/mohamed-baqir-al-hamidawi-15080047
99,16.91,,Siddharth CHOUDHARY,24 SEP 2005,IND,6,,"Maharaja's College Grounds, Kochi (IND)",24 APR 2025,937,men_SP,2025,https://worldathletics.org/athletes/athlete=14926775
101,16.90,,Ruiheng BAO,04 NOV 2002,CHN,5,,Ji'an (CHN),02 SEP 2025,936,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/ruiheng-bao-15117323
102,16.86,,Jaidev DIKKA,27 JUN 2004,IND,7,,"Reliance,, Mumbai (IND)",21 MAR 2025,934,men_SP,2025,https://worldathletics.org/athletes/athlete=14873442
102,16.86,,Omesh RANGA,31 MAY 2003,IND,5,,"Stadium Hanamkonda, Warangal (IND)",17 OCT 2025,934,men_SP,2025,https://worldathletics.org/athletes/athlete=14926774
104,16.85,,Hussain AL-TAMIMI,,KUW,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",07 APR 2025,933,men_SP,2025,https://worldathletics.org/athletes/kuwait/hussain-al-tamimi-15036555
105,16.83,,Ram CHANDRA,01 JAN 1999,IND,6,,Sangrur (IND),01 APR 2025,932,men_SP,2025,https://worldathletics.org/athletes/athlete=14734681
106,16.82,,Dongxu YANG,16 FEB 2003,CHN,3,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",28 FEB 2025,932,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/dongxu-yang-15072900
107,16.80,,Thongchai SILAMOOL,23 DEC 1999,THA,2,,"Supachalasai National Stadium, Bangkok (THA)",13 DEC 2025,930,men_SP,2025,https://worldathletics.org/athletes/athlete=14751074
108,16.77,,Mohamed Saeed Mahmoud Makki MAHMOUD,,QAT,4,,"The Olympic Center For Training National Teams, Cairo (EGY)",10 APR 2025,929,men_SP,2025,https://worldathletics.org/athletes/qatar/mohamed-saeed-mahmoud-makki-mahmoud-15157334
109,16.76,,Yubo MA,04 MAY 2002,CHN,1,,"Handan Sports Center, Handan (CHN)",20 MAR 2025,928,men_SP,2025,https://worldathletics.org/athletes/athlete=14889744
110,16.74,,Yohei TOMARI,04 JUN 2004,JPN,3,,"Prefectural Stadium, Okayama (JPN)",08 JUN 2025,927,men_SP,2025,https://worldathletics.org/athletes/japan/yohei-tomari-15030176
111,16.71,,Hyun-min KIM,10 APR 2003,KOR,1,,"Miryang Sports Complexs, Miryang (KOR)",20 MAY 2025,925,men_SP,2025,https://worldathletics.org/athletes/athlete=14914160
112,16.69,,Yuzhe ZHANG,17 MAY 2004,CHN,1,,"Hebei Olympic Sports Center, Qinhuangdao (CHN)",25 APR 2025,924,men_SP,2025,https://worldathletics.org/athletes/pr-of-china/yuzhe-zhang-14975971
113,16.68,,Tang-Hui LO,10 MAR 2004,TPE,4,,Yunlin (TPE),19 OCT 2025,923,men_SP,2025,https://worldathletics.org/athletes/chinese-taipei/tang-hui-lo-14980975
114,16.67,,. VIKASH,12 FEB 2003,IND,10,,"Jawaharlal Nehru Stadium, Chennai (IND)",23 AUG 2025,923,men_SP,2025,https://worldathletics.org/athletes/india/vikash-15033894
