Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,17.68,+1.0,Ruiting WU,29 NOV 1995,CHN,1,,"Sports Center, Quzhou (CHN)",04 AUG 2025,1237,men_TJ,2025,https://worldathletics.org/athletes/athlete=14637831
2,17.37,+0.6,Praveen CHITHRAVEL,05 JUN 2001,IND,1,,"Maharaja's College Grounds, Kochi (IND)",24 APR 2025,1204,men_TJ,2025,https://worldathletics.org/athletes/athlete=14841034
2,17.37,+1.4,Yaming ZHU,04 MAY 1994,CHN,2,,"Sports Center, Quzhou (CHN)",04 AUG 2025,1204,men_TJ,2025,https://worldathletics.org/athletes/athlete=14691893
4,17.19,+1.7,Abdulla Aboobacker NARANGOLINTEVIDA,17 JAN 1996,IND,1,,"Anju Bobby High Performance Centre, Bengaluru (IND)",22 MAR 2025,1185,men_TJ,2025,https://worldathletics.org/athletes/athlete=14606734
5,17.13,+1.2,Jangwoo KIM,20 AUG 1999,KOR,1,,"Jeongseon Sports Complex, Jeongseon (KOR)",23 JUN 2025,1178,men_TJ,2025,https://worldathletics.org/athletes/athlete=14759670
6,17.09,,Wen SU,10 FEB 1999,CHN,5,,"Sports Training Center, Nanjing (CHN) (i)",21 MAR 2025,1174,men_TJ,2025,https://worldathletics.org/athletes/athlete=14839808
7,16.98,+1.8,Sami BAKHEET,06 DEC 2005,KSA,1,,"King Fahd Sports City Stadium, Taif (KSA)",17 MAY 2025,1162,men_TJ,2025,https://worldathletics.org/athletes/saudi-arabia/sami-bakheet-15036553
8,16.74,-0.3,Yaoqing FANG,20 APR 1996,CHN,2,,"Sports Center, Bengbu (CHN)",13 JUN 2025,1138,men_TJ,2025,https://worldathletics.org/athletes/athlete=14523280
9,16.71,+1.4,Xinping JIAO,18 MAR 2002,CHN,1,,"Stade du Brotillon, Pierre-Bénite (FRA)",15 JUN 2025,1134,men_TJ,2025,https://worldathletics.org/athletes/athlete=14892279
10,16.70,+2.0,Gyumin YU,22 APR 2001,KOR,2,,"Jeongseon Sports Complex, Jeongseon (KOR)",23 JUN 2025,1133,men_TJ,2025,https://worldathletics.org/athletes/athlete=14815809
11,16.67,+0.4,Kohei YAMASHITA,06 SEP 1994,JPN,1,,"National Stadium, Tokyo (JPN)",05 JUL 2025,1129,men_TJ,2025,https://worldathletics.org/athletes/athlete=14547903
12,16.66,+0.8,Hetong XU,23 JAN 2005,CHN,2,,Chongqing (CHN),16 MAY 2025,1128,men_TJ,2025,https://worldathletics.org/athletes/pr-of-china/hetong-xu-14977737
13,16.64,+0.3,Pangshuai LI,09 APR 1992,CHN,3,,Chongqing (CHN),16 MAY 2025,1126,men_TJ,2025,https://worldathletics.org/athletes/athlete=14488693
14,16.63,-0.7,Rongjia ZHOU,12 FEB 2006,CHN,3,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",20 NOV 2025,1129,men_TJ,2025,https://worldathletics.org/athletes/pr-of-china/rongjia-zhou-15096758
15,16.57,+1.4,Yuto ADACHI,16 DEC 2000,JPN,1,,"Prefectural Stadium, Okayama (JPN)",07 JUN 2025,1119,men_TJ,2025,https://worldathletics.org/athletes/athlete=14855197
16,16.54,+0.9,Huafeng HUANG,27 DEC 2001,CHN,5,,"Sports Center, Quzhou (CHN)",04 AUG 2025,1116,men_TJ,2025,https://worldathletics.org/athletes/pr-of-china/huafeng-huang-14980009
17,16.49,+2.0,Selva Prabhu THIRUMARAN,28 DEC 2004,IND,2q1,,"Cushing Stadium, College Station, TX (USA)",30 MAY 2025,1110,men_TJ,2025,https://worldathletics.org/athletes/athlete=14926703
17,16.49,+0.4,Jiajun LUO,28 NOV 2002,CHN,6,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",20 NOV 2025,1110,men_TJ,2025,https://worldathletics.org/athletes/pr-of-china/jiajun-luo-15043501
