Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,12.60,+0.7,Hitomi NAKAJIMA,13 JUL 1995,JPN,1,,"Prefectural Stadium, Fukui (JPN)",15 AUG 2026,1204,women_100h,2026,https://worldathletics.org/athletes/athlete=14444487
2,12.68,+2.0,Masumi AOKI,16 APR 1994,JPN,1h2,,"Hokuroku Park Athletic Field, Fujiyoshida (JPN)",09 AUG 2026,1193,women_100h,2026,https://worldathletics.org/athletes/athlete=14444469
3,12.72,-0.2,Mako FUKUBE,28 OCT 1995,JPN,1sf1,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1189,women_100h,2026,https://worldathletics.org/athletes/athlete=14521635
4,12.81,-0.9,Yumi TANAKA,15 DEC 1998,JPN,2,,"National Stadium, Tokyo (JPN)",17 MAY 2026,1181,women_100h,2026,https://worldathletics.org/athletes/athlete=14712879
5,12.85,0.0,Jyothi YARRAJI,28 AUG 1999,IND,1f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1170,women_100h,2026,https://worldathletics.org/athletes/athlete=14734731
6,12.94,+1.9,Shu MURAOKA,16 JAN 2000,JPN,1,,"ND Soft Stadium, Tendo (JPN)",16 MAY 2026,1158,women_100h,2026,https://worldathletics.org/athletes/athlete=14728064
7,12.96,-0.5,Bo-Ya ZHANG,03 APR 2003,TPE,3,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1158,women_100h,2026,https://worldathletics.org/athletes/athlete=14902578
7,12.96,+0.8,Yuki OMATSU,15 MAY 1996,JPN,2h1,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1155,women_100h,2026,https://worldathletics.org/athletes/athlete=14809498
9,12.99,-0.7,Yanni WU,28 JUL 1997,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1155,women_100h,2026,https://worldathletics.org/athletes/athlete=14585472
10,13.00,-0.7,Yuwei LIN,02 MAY 1999,CHN,2,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1154,women_100h,2026,https://worldathletics.org/athletes/athlete=14702465
11,13.01,-0.9,Chisato KIYOYAMA,24 JUL 1991,JPN,7,,"National Stadium, Tokyo (JPN)",17 MAY 2026,1153,women_100h,2026,https://worldathletics.org/athletes/athlete=14334529
11,13.01,+1.4,Rei HONDA,25 NOV 2001,JPN,2h4,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1148,women_100h,2026,https://worldathletics.org/athletes/athlete=14899565
13,13.04,-0.7,Yunzhe JIANGLI,10 FEB 2002,CHN,3,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1148,women_100h,2026,https://worldathletics.org/athletes/athlete=14857827
14,13.07,-0.7,Jingyang LIU,12 AUG 1997,CHN,4,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1144,women_100h,2026,https://worldathletics.org/athletes/athlete=14635021
15,13.08,+0.7,Jiadie MO,06 JAN 2000,CHN,1,,"Zhaoqing Sports Center, Zhaoqing (CHN)",26 APR 2026,1139,women_100h,2026,https://worldathletics.org/athletes/athlete=14744957
16,13.09,+1.5,Ayumi KOBAYASHI,25 MAR 2001,JPN,5,,"Southwestern University Track Stadium, Georgetown, TX (USA)",20 JUN 2026,1138,women_100h,2026,https://worldathletics.org/athletes/athlete=14819275
16,13.09,+0.7,Mao SHIMANO,02 OCT 2001,JPN,4,,"Prefectural Stadium, Fukui (JPN)",15 AUG 2026,1138,women_100h,2026,https://worldathletics.org/athletes/athlete=14855647
18,13.14,-0.7,Anqi WU,01 OCT 2004,CHN,5,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1135,women_100h,2026,https://worldathletics.org/athletes/pr-of-china/anqi-wu-15206620
19,13.17,+0.7,Manaka SHIBATA,02 MAR 2001,JPN,7,,"Prefectural Stadium, Fukui (JPN)",15 AUG 2026,1127,women_100h,2026,https://worldathletics.org/athletes/athlete=14849058
20,13.20,+1.8,Saki FUJITA,20 FEB 2010,JPN,1,,"Seibu Ryokuchi Park Athletics Stadium, Kanazawa (JPN)",19 JUN 2026,1123,women_100h,2026,https://worldathletics.org/athletes/japan/saki-fujita-15181204
21,13.22,+1.9,Miho SUZUKI,18 NOV 1996,JPN,3,,"ND Soft Stadium, Tendo (JPN)",16 MAY 2026,1120,women_100h,2026,https://worldathletics.org/athletes/athlete=14766835
21,13.22,+1.0,Nandhini KONGAN,13 JUL 1999,IND,2,,"Kalinga Stadium, Bhubaneshwar (IND)",24 JUN 2026,1120,women_100h,2026,https://worldathletics.org/athletes/athlete=14841058
23,13.23,+0.4,Yuka FUKUI,26 AUG 2005,JPN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",15 MAY 2026,1119,women_100h,2026,https://worldathletics.org/athletes/athlete=14904656
24,13.24,-0.1,Bo-An YI,04 JUL 2006,TPE,2h2,,"Banqiao Stadium, New Taipei City (TPE)",06 JUN 2026,1117,women_100h,2026,https://worldathletics.org/athletes/chinese-taipei/bo-an-yi-14976378
25,13.28,+1.0,Ayumi NAKAO,14 DEC 2000,JPN,2,,"Prefectural Yamanokuchi Athletics Stadium, Miyakonojo (JPN)",23 AUG 2026,1112,women_100h,2026,https://worldathletics.org/athletes/athlete=14855629
