Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,11.10,+0.7,Yujie CHEN,29 DEC 2008,CHN,1,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",17 NOV 2025,1178,women_100m,2025,https://worldathletics.org/athletes/pr-of-china/yujie-chen-15138450
2,11.17,+0.8,Edidiong ODIONG,13 MAR 1997,BRN,1,,Riyadh (KSA),18 NOV 2025,1163,women_100m,2025,https://worldathletics.org/athletes/athlete=14541241
3,11.19,+0.2,Xiaojing LIANG,07 APR 1997,CHN,1,,"Sports Center, Quzhou (CHN)",03 AUG 2025,1159,women_100m,2025,https://worldathletics.org/athletes/athlete=14583567
4,11.31,+0.7,Manqi GE,13 OCT 1997,CHN,1f2,,Chongqing (CHN),15 MAY 2025,1133,women_100m,2025,https://worldathletics.org/athletes/athlete=14576460
5,11.32,+0.4,Fawziyah Afoke MANSOOR,04 JUL 2001,QAT,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",16 MAY 2025,1131,women_100m,2025,https://worldathletics.org/athletes/qatar/fawziyah-afoke-mansoor-15210620
6,11.33,+1.0,Midori MIKASE,02 JUN 2001,JPN,1,,"Prefectural Stadium, Fukui (JPN)",16 AUG 2025,1129,women_100m,2025,https://worldathletics.org/athletes/athlete=14806541
7,11.35,+0.7,Yongli WEI,11 OCT 1991,CHN,2f2,,Chongqing (CHN),15 MAY 2025,1125,women_100m,2025,https://worldathletics.org/athletes/athlete=14423021
7,11.35,+0.5,Abigeirufuka IDO,15 JUN 2001,JPN,1h3,,"National Stadium, Tokyo (JPN)",04 JUL 2025,1125,women_100m,2025,https://worldathletics.org/athletes/athlete=14817771
9,11.36,+0.1,Dhanalakshmi SEKAR,05 JUN 1998,IND,1,,"Jawaharlal Nehru Stadium, Chennai (IND)",20 AUG 2025,1123,women_100m,2025,https://worldathletics.org/athletes/athlete=14849689
9,11.36,-0.9,Veronica Shanti PEREIRA,20 SEP 1996,SGP,1,,"Supachalasai National Stadium, Bangkok (THA)",11 DEC 2025,1128,women_100m,2025,https://worldathletics.org/athletes/athlete=14472153
11,11.38,+0.7,Junying ZHU,09 SEP 2004,CHN,3f2,,Chongqing (CHN),15 MAY 2025,1118,women_100m,2025,https://worldathletics.org/athletes/pr-of-china/junying-zhu-15084997
11,11.38,+1.9,Arisa KIMISHIMA,23 DEC 1995,JPN,1h2,,"Prefectural Stadium, Fukui (JPN)",16 AUG 2025,1118,women_100m,2025,https://worldathletics.org/athletes/athlete=14444468
11,11.38,+0.7,Linqi SHI,08 JAN 2002,CHN,3,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",17 NOV 2025,1118,women_100m,2025,https://worldathletics.org/athletes/athlete=14885084
14,11.39,+0.2,Lingyao KONG,03 MAY 1997,CHN,2h4,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",16 NOV 2025,1116,women_100m,2025,https://worldathletics.org/athletes/pr-of-china/lingyao-kong-15072971
15,11.41,+0.4,Nithya GANDHE,10 NOV 1999,IND,1f3,,"Shri Sai Training Center Kengeri NSSC, Bengaluru (IND)",28 MAR 2025,1112,women_100m,2025,https://worldathletics.org/athletes/athlete=14734712
16,11.42,+0.5,Manaka MIURA,14 FEB 2002,JPN,2h3,,"National Stadium, Tokyo (JPN)",04 JUL 2025,1110,women_100m,2025,https://worldathletics.org/athletes/athlete=14860611
17,11.43,+0.1,Xiajun LIU,16 JUL 2005,CHN,5,,"National Stadium, Beijing (CHN)",07 SEP 2025,1108,women_100m,2025,https://worldathletics.org/athletes/pr-of-china/xiajun-liu-14952247
18,11.44,+0.5,Farzaneh FASIHI,03 JAN 1993,IRI,4er1,,"Allmend, Meilen (SUI)",14 JUN 2025,1106,women_100m,2025,https://worldathletics.org/athletes/athlete=14498436
19,11.47,+0.2,Qiqi YUAN,26 OCT 1995,CHN,2,,"Sports Center, Quzhou (CHN)",03 AUG 2025,1099,women_100m,2025,https://worldathletics.org/athletes/athlete=14482253
19,11.47,+1.0,Akiha KOBARI,19 DEC 2006,JPN,3,,"Prefectural Stadium, Fukui (JPN)",16 AUG 2025,1099,women_100m,2025,https://worldathletics.org/athletes/japan/akiha-kobari-14949895
21,11.48,0.0,Maryam TOOSI,05 DEC 1988,IRI,1,,"Sardar Jangal Stadium, Rasht (IRI)",04 MAY 2025,1097,women_100m,2025,https://worldathletics.org/athletes/athlete=14283125
22,11.49,+0.2,Salwa Eid NASER,23 MAY 1998,BRN,3f3,,"Horizon HS, Winter Garden, FL (USA)",14 JUN 2025,1095,women_100m,2025,https://worldathletics.org/athletes/athlete=14643442
22,11.49,+0.7,Shuping HUANG,09 FEB 2003,CHN,1h2,,"Sports Center, Quzhou (CHN)",02 AUG 2025,1095,women_100m,2025,https://worldathletics.org/athletes/athlete=14885082
24,11.50,+1.2,Chia-Chen HU,28 MAR 1997,TPE,1f2,,"Banqiao Stadium, New Taipei City (TPE)",12 MAR 2025,1093,women_100m,2025,https://worldathletics.org/athletes/athlete=14603299
24,11.50,+1.2,Asuka TAKAHASHI,04 DEC 1991,JPN,2h4,,"National Stadium, Tokyo (JPN)",04 JUL 2025,1093,women_100m,2025,https://worldathletics.org/athletes/athlete=14814431
26,11.51,-0.1,Hinami YAMANAKA,12 DEC 1996,JPN,2,,"Yanmar Stadium Nagai, Osaka (JPN)",11 MAY 2025,1091,women_100m,2025,https://worldathletics.org/athletes/athlete=14635041
26,11.51,+0.1,Yue PAN,29 MAR 2003,CHN,6,,"National Stadium, Beijing (CHN)",07 SEP 2025,1091,women_100m,2025,https://worldathletics.org/athletes/athlete=14941844
26,11.51,+0.7,Shuri AONO,03 JUL 2000,JPN,2f1,,"Ishin Me-Life Stadium, Yamaguchi (JPN)",27 SEP 2025,1091,women_100m,2025,https://worldathletics.org/athletes/athlete=14773915
26,11.51,-1.8,Fathima Shafiya YAMICK,01 JUL 1999,SRI,1,,"Mahinda Rajapaksha Stadium, Diyagama (SRI)",30 SEP 2025,1101,women_100m,2025,https://worldathletics.org/athletes/athlete=14860246
30,11.52,+1.6,Zion CORRALES-NELSON,11 OCT 1998,PHI,1h6,,"Cougar Athletic Stadium, Azusa, CA (USA)",09 MAY 2025,1089,women_100m,2025,https://worldathletics.org/athletes/athlete=14581580
30,11.52,+1.2,Mana MATSUMOTO,27 NOV 2007,JPN,3h4,,"National Stadium, Tokyo (JPN)",04 JUL 2025,1089,women_100m,2025,https://worldathletics.org/athletes/japan/mana-matsumoto-15000941
30,11.52,+0.3,Chao DING,13 JAN 1996,CHN,1sf1,,"Sports Center, Yulin (CHN)",12 JUL 2025,1089,women_100m,2025,https://worldathletics.org/athletes/athlete=14857922
30,11.52,+1.9,Ichiko IKI,07 MAY 1997,JPN,2h2,,"Prefectural Stadium, Fukui (JPN)",16 AUG 2025,1089,women_100m,2025,https://worldathletics.org/athletes/athlete=14671502
34,11.53,+1.5,Hamideh Esmaiel NEJAD,23 JUL 1997,IRI,3f1,,"Dubai Police Club Stadium, Dubai (UAE)",11 MAY 2025,1087,women_100m,2025,https://worldathletics.org/athletes/athlete=14751309
34,11.53,+0.9,Aiha YAMAGATA,11 OCT 2005,JPN,3h1,,"Gumi Civic Stadium, Gumi (KOR)",27 MAY 2025,1087,women_100m,2025,https://worldathletics.org/athletes/japan/aiha-yamagata-14962375
34,11.53,+1.0,Jialu XU,16 SEP 2000,CHN,2h4,,"Sports Center, Quzhou (CHN)",02 AUG 2025,1087,women_100m,2025,https://worldathletics.org/athletes/pr-of-china/jialu-xu-14942571
34,11.53,+1.0,Wakana OKANE,11 OCT 2003,JPN,4,,"Prefectural Stadium, Fukui (JPN)",16 AUG 2025,1087,women_100m,2025,https://worldathletics.org/athletes/athlete=14904505
