Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,8:51.54,,Winfred YAVI,31 DEC 1999,BRN,2,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1266,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14695622
2,9:10.90,,Norah JERUTO,02 OCT 1995,KAZ,6,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1216,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14479154
3,9:12.84,,Parul CHAUDHARY,15 APR 1995,IND,7,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1212,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14497992
4,9:27.91,,ANKITA,05 FEB 2002,IND,3f2,,"Cougar Athletic Stadium, Azusa, CA (USA)",16 APR 2026,1174,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14818406
5,9:30.30,,Miu SAITO,22 JUN 2002,JPN,1,,"Municipal Mizuho Stadium, Nagoya (JPN)",14 JUN 2026,1168,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14931241
6,9:38.15,,Xia LUO,10 MAY 2000,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1148,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14892675
7,9:41.84,,Manami NISHIYAMA,09 DEC 1999,JPN,2,,"Municipal Mizuho Stadium, Nagoya (JPN)",14 JUN 2026,1139,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14733877
8,9:45.11,,Yiting YANG,15 MAR 2004,CHN,2,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1131,women_3000sc,2026,https://worldathletics.org/athletes/pr-of-china/yiting-yang-14983614
9,9:47.05,,Shanshan ZHANG,10 SEP 1999,CHN,3,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1126,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14796252
10,9:50.92,,Yuzu NISHIDE,25 JAN 2000,JPN,3,,"Municipal Mizuho Stadium, Nagoya (JPN)",14 JUN 2026,1117,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14858472
11,9:51.17,,Panpan WANG,17 JUN 2003,CHN,4,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1116,women_3000sc,2026,https://worldathletics.org/athletes/athlete=14885772
12,9:52.39,,Zhitong WAN,15 AUG 2008,CHN,3,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1113,women_3000sc,2026,https://worldathletics.org/athletes/pr-of-china/zhitong-wan-15314821
13,9:58.28,,Mengjie LIU,02 APR 2006,CHN,5,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1099,women_3000sc,2026,https://worldathletics.org/athletes/pr-of-china/mengjie-liu-15096990
14,9:58.59,,Xiaoxuan LI,03 FEB 2005,CHN,4,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1098,women_3000sc,2026,https://worldathletics.org/athletes/pr-of-china/xiaoxuan-li-15089499
15,9:59.59,,Nozomi KONDO,20 JUL 2005,JPN,4,,"Municipal Mizuho Stadium, Nagoya (JPN)",14 JUN 2026,1096,women_3000sc,2026,https://worldathletics.org/athletes/japan/nozomi-kondo-15001068
