Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,67.46,,Bin FENG,03 APR 1994,CHN,1,,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2026,1209,women_DT,2026,https://worldathletics.org/athletes/athlete=14430151
2,62.34,,Fang WANG,26 OCT 2000,CHN,1f1,,"Sichuan Xipu Training Base, Chengdu (CHN)",03 APR 2026,1115,women_DT,2026,https://worldathletics.org/athletes/athlete=14888995
3,61.85,,Zhichao JIANG,06 JAN 2005,CHN,2,,"Sports Center, Quzhou (CHN)",15 AUG 2026,1105,women_DT,2026,https://worldathletics.org/athletes/pr-of-china/zhichao-jiang-15035642
4,61.06,,Yixin SU,27 MAY 2007,CHN,1,,"Hayward Field, Eugene, OR (USA)",06 AUG 2026,1091,women_DT,2026,https://worldathletics.org/athletes/pr-of-china/yixin-su-15044002
5,59.73,,. SEEMA,25 FEB 1999,IND,1,,"Kalinga Stadium, Bhubaneshwar (IND)",26 JUN 2026,1066,women_DT,2026,https://worldathletics.org/athletes/athlete=14734752
6,59.23,,Nanaka KORI,02 MAY 1997,JPN,8f2,,"Millican Field at Throw Town, Ramona, OK (USA)",11 APR 2026,1057,women_DT,2026,https://worldathletics.org/athletes/athlete=14649145
7,58.92,,Yuchen XIE,12 MAY 1996,CHN,3,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1051,women_DT,2026,https://worldathletics.org/athletes/athlete=14430469
8,58.85,,Baihetinisa AIMAIER,03 JAN 2003,CHN,1,,"Changshou Sports Center, Chongqing (CHN)",19 MAY 2026,1050,women_DT,2026,https://worldathletics.org/athletes/pr-of-china/baihetinisa-aimaier-14976883
9,58.82,,Nidhi RANI,03 JAN 1997,IND,1,,"Jawaharlal Nehru Stadium, Chennai (IND)",10 MAY 2026,1050,women_DT,2026,https://worldathletics.org/athletes/athlete=14776094
10,58.38,,Jingru HUANG,25 JAN 2005,CHN,3,,"Sports Center, Quzhou (CHN)",15 AUG 2026,1042,women_DT,2026,https://worldathletics.org/athletes/pr-of-china/jingru-huang-15043980
11,58.33,,Subenrat INSAENG,10 FEB 1994,THA,3,,"Kalinga Stadium, Bhubaneshwar (IND)",22 AUG 2026,1041,women_DT,2026,https://worldathletics.org/athletes/athlete=14424032
12,58.08,,Xueke LOU,10 SEP 2001,CHN,3,,"Sports Center, Jiaxing (CHN)",09 MAY 2026,1036,women_DT,2026,https://worldathletics.org/athletes/pr-of-china/xueke-lou-14942448
13,57.72,,Chenyi MA,01 JAN 2008,CHN,1q1,,"Hayward Field, Eugene, OR (USA)",05 AUG 2026,1029,women_DT,2026,https://worldathletics.org/athletes/pr-of-china/chenyi-ma-15144575
14,57.34,,Yelim JEONG,16 JUN 1993,KOR,1,,"Jeongseon Sports Complex, Jeongseon (KOR)",13 MAY 2026,1022,women_DT,2026,https://worldathletics.org/athletes/athlete=14431117
15,56.25,,Xiaoyan LV,25 AUG 2000,CHN,6f1,,"Sichuan Xipu Training Base, Chengdu (CHN)",03 APR 2026,1002,women_DT,2026,https://worldathletics.org/athletes/pr-of-china/xiaoyan-lv-15117617
16,56.16,,. PRIYA,20 JUN 2004,IND,2,,"Netaji Subhas National Institute of Sports, Patiala (IND)",07 MAR 2026,1001,women_DT,2026,https://worldathletics.org/athletes/india/priya-15089101
17,56.05,,Sanya YADAV,09 AUG 2003,IND,2,,"Kalinga Stadium, Bhubaneshwar (IND)",26 JUN 2026,999,women_DT,2026,https://worldathletics.org/athletes/athlete=14873527
18,56.04,,Yujin SHIN,12 MAR 2002,KOR,2,,"Jeongseon Sports Complex, Jeongseon (KOR)",13 MAY 2026,998,women_DT,2026,https://worldathletics.org/athletes/athlete=14857350
19,55.56,,Maki SAITO,13 FEB 2001,JPN,1,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,990,women_DT,2026,https://worldathletics.org/athletes/athlete=14758034
20,55.00,,Krishna JAYASANKAR,10 NOV 2002,IND,3,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",22 MAY 2026,979,women_DT,2026,https://worldathletics.org/athletes/athlete=14921114
21,54.90,,Zheng LIU,09 JUN 1999,CHN,4,,"Sports Center, Jiaxing (CHN)",09 MAY 2026,978,women_DT,2026,https://worldathletics.org/athletes/athlete=14787370
22,54.69,,Wenxuan SONG,03 AUG 2002,CHN,4q1,,"Sports Center, Quzhou (CHN)",14 AUG 2026,974,women_DT,2026,https://worldathletics.org/athletes/athlete=14857856
23,54.48,,Jiani CHEN,17 FEB 2007,CHN,2,,"Olympic Sports Center, Huangshi (CHN)",07 JUN 2026,970,women_DT,2026,https://worldathletics.org/athletes/pr-of-china/jiani-chen-15034326
24,53.82,,Siying YE,28 JUN 2004,CHN,2,,"Taizhou Yuhuan Olympic Sports Center Stadium, Taizhou (CHN)",23 MAY 2026,958,women_DT,2026,https://worldathletics.org/athletes/pr-of-china/siying-ye-15183003
