Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,1.92,,Nagisa TAKAHASHI,15 JAN 2000,JPN,2,,"Městská sportovní hala, Hustopeče (CZE) (i)",08 FEB 2025,1140,women_HJ,2025,https://worldathletics.org/athletes/athlete=14803138
2,1.90,,Kristina OVCHINNIKOVA,21 MAR 2001,KAZ,1,,"Elena Venizelou National Stadium, Chania (GRE)",01 JUN 2025,1121,women_HJ,2025,https://worldathletics.org/athletes/athlete=14824486
2,1.90,,Safina SADULLAYEVA,04 MAR 1998,UZB,1,,"Market square, Białystok (POL)",14 JUN 2025,1121,women_HJ,2025,https://worldathletics.org/athletes/athlete=14672228
2,1.90,,Yuqi SHAO,13 MAY 2002,CHN,1,,"Sports Center, Quzhou (CHN)",01 AUG 2025,1121,women_HJ,2025,https://worldathletics.org/athletes/athlete=14849119
2,1.90,,Jiawen LU,19 AUG 2002,CHN,2,,"Sports Center, Quzhou (CHN)",01 AUG 2025,1121,women_HJ,2025,https://worldathletics.org/athletes/athlete=14805472
6,1.89,,POOJA,21 FEB 2007,IND,1,,"Gumi Civic Stadium, Gumi (KOR)",30 MAY 2025,1111,women_HJ,2025,https://worldathletics.org/athletes/india/pooja-15053572
7,1.88,,Yelizaveta MATVEYEVA,09 DEC 2001,KAZ,1,,"Track & Field complex QAZAQSTAN, Astana (KAZ) (i)",18 JAN 2025,1101,women_HJ,2025,https://worldathletics.org/athletes/athlete=14817826
7,1.88,,Linpeng HU,29 DEC 1995,CHN,1,,"Sports Center, Jiaxing (CHN)",30 APR 2025,1101,women_HJ,2025,https://worldathletics.org/athletes/athlete=14525165
7,1.88,,Dina NUERLAN,25 JUN 1998,CHN,2,,"Sports Center, Jiaxing (CHN)",30 APR 2025,1101,women_HJ,2025,https://worldathletics.org/athletes/athlete=14750689
10,1.87,,Jingyi LIU,27 OCT 1994,CHN,3,,"Sports Center, Quzhou (CHN)",01 AUG 2025,1091,women_HJ,2025,https://worldathletics.org/athletes/athlete=14462011
