Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,78.64,,Jiale ZHANG,22 OCT 2006,CHN,1,,"Sports Center, Quzhou (CHN)",16 AUG 2026,1233,women_HT,2026,https://worldathletics.org/athletes/pr-of-china/jiale-zhang-15034977
2,78.22,,Jie ZHAO,13 OCT 2002,CHN,1f1,,"Sichuan Xipu Training Base, Chengdu (CHN)",03 APR 2026,1226,women_HT,2026,https://worldathletics.org/athletes/athlete=14889043
3,73.79,,Jinyao GAO,30 APR 2004,CHN,3,,"Sports Center, Quzhou (CHN)",16 AUG 2026,1154,women_HT,2026,https://worldathletics.org/athletes/pr-of-china/jinyao-gao-14959060
4,73.28,,Jiangyan LI,22 MAY 1999,CHN,4,,"Sports Center, Quzhou (CHN)",16 AUG 2026,1146,women_HT,2026,https://worldathletics.org/athletes/athlete=14750692
5,73.06,,Axi ZHANG,06 MAR 2002,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",28 JUN 2026,1143,women_HT,2026,https://worldathletics.org/athletes/pr-of-china/axi-zhang-14975956
6,71.70,,Ziyi WANG,15 FEB 2006,CHN,6f1,,"Sichuan Xipu Training Base, Chengdu (CHN)",03 APR 2026,1121,women_HT,2026,https://worldathletics.org/athletes/pr-of-china/ziyi-wang-15083452
7,70.99,,Ling FANG,24 OCT 2005,CHN,5,,"Sports Center, Quzhou (CHN)",16 AUG 2026,1109,women_HT,2026,https://worldathletics.org/athletes/pr-of-china/ling-fang-15083527
8,68.83,,Raika MURAKAMI,13 MAR 2004,JPN,3,,"Sport Development Center Stadium, Ordos (CHN)",09 JUL 2026,1074,women_HT,2026,https://worldathletics.org/athletes/athlete=14915550
9,68.35,,Tanya CHAUDHARY,21 SEP 2003,IND,1,,"Jawaharlal Nehru Stadium, New Delhi (IND)",10 SEP 2026,1067,women_HT,2026,https://worldathletics.org/athletes/india/tanya-chaudhary-14971011
10,67.76,,Joy MCARTHUR,05 JUL 1999,JPN,1f2,,"Jack Rose Track, Long Beach, CA (USA)",06 MAR 2026,1057,women_HT,2026,https://worldathletics.org/athletes/athlete=14751695
11,67.42,,Jiajun CHEN,01 FEB 2008,CHN,5,,"Kuishan Sports Center, Rizhao (CHN)",28 JUN 2026,1051,women_HT,2026,https://worldathletics.org/athletes/pr-of-china/jiajun-chen-15144607
12,67.16,,Ya-Chien YU,20 APR 1999,TPE,7,,"Sichuan Xipu Training Base, Chengdu (CHN)",30 MAR 2026,1047,women_HT,2026,https://worldathletics.org/athletes/athlete=14791200
13,67.02,,Anushka YADAV,04 MAY 2008,IND,1,,"Kalinga Stadium, Bhubaneshwar (IND)",24 JUN 2026,1045,women_HT,2026,https://worldathletics.org/athletes/india/anushka-yadav-15139315
14,65.78,,Yiyao LIU,17 SEP 2003,CHN,8f1,,"Sichuan Xipu Training Base, Chengdu (CHN)",03 APR 2026,1025,women_HT,2026,https://worldathletics.org/athletes/athlete=14889049
15,65.42,,Yuhan ZHANG,01 JUN 2006,CHN,2f2,,"Sichuan Xipu Training Base, Chengdu (CHN)",03 APR 2026,1019,women_HT,2026,https://worldathletics.org/athletes/pr-of-china/yuhan-zhang-15031063
16,65.21,,Weilu HUANG,20 JUL 1999,CHN,8,,"Sports Center, Quzhou (CHN)",16 AUG 2026,1016,women_HT,2026,https://worldathletics.org/athletes/athlete=14800550
17,64.89,,Zarina NOSIRJONOVA,23 MAR 2002,UZB,1,,"AFU Athletics Stadium, Tashkent (UZB)",24 AUG 2026,1011,women_HT,2026,https://worldathletics.org/athletes/athlete=14859391
18,64.77,,Zehan LI,10 FEB 2005,CHN,3f2,,"Sichuan Xipu Training Base, Chengdu (CHN)",03 APR 2026,1009,women_HT,2026,https://worldathletics.org/athletes/pr-of-china/zehan-li-14959059
19,64.10,,Taehui KIM,07 SEP 2005,KOR,,,"Home of Athletics, Singapore (SGP)",17 APR 2026,998,women_HT,2026,https://worldathletics.org/athletes/korea/taehui-kim-15029890
20,62.97,,Man ZHANG,20 SEP 2003,CHN,4,,"Sports Center, Yulin (CHN)",19 JUL 2026,980,women_HT,2026,https://worldathletics.org/athletes/athlete=14889048
21,62.80,,Yiru WANG,02 OCT 2009,CHN,6,,"Sports Center, Bengbu (CHN)",31 MAY 2026,977,women_HT,2026,https://worldathletics.org/athletes/pr-of-china/yiru-wang-15221559
22,62.20,,Mimi SHIMAMOTO,05 APR 2005,JPN,1,,"International Stadium, Yokohama (JPN)",05 SEP 2026,967,women_HT,2026,https://worldathletics.org/athletes/japan/mimi-shimamoto-15001134
23,62.19,,Yura LEE,16 JAN 2000,KOR,1,,"Gimhae Stadium, Gimhae (KOR)",25 MAR 2026,967,women_HT,2026,https://worldathletics.org/athletes/athlete=14762416
24,61.98,,Grace Xiu Mei WONG,18 JAN 2000,MAS,1,,"Stadium UPM, Selangor (MAS)",20 JUN 2026,964,women_HT,2026,https://worldathletics.org/athletes/athlete=14584681
25,61.74,,Teresa EPASAKA,25 APR 2000,JPN,1,,"Takebishi Stadium, Kyoto (JPN)",23 MAY 2026,960,women_HT,2026,https://worldathletics.org/athletes/athlete=14860761
