Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,65.89,,Ziyi YAN,22 MAY 2008,CHN,1,,"Sports Center, Quzhou (CHN)",03 AUG 2025,1187,women_JT,2025,https://worldathletics.org/athletes/pr-of-china/ziyi-yan-15144603
2,64.63,,Haruka KITAGUCHI,16 MAR 1998,JPN,1,,"Bislett Stadion, Oslo (NOR)",12 JUN 2025,1164,women_JT,2025,https://worldathletics.org/athletes/athlete=14649131
3,64.38,,Qianqian DAI,23 AUG 2000,CHN,2,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",03 MAY 2025,1159,women_JT,2025,https://worldathletics.org/athletes/athlete=14748837
4,63.76,,Huihui LYU,26 JUN 1989,CHN,1,,"Sports Center, Jiaxing (CHN)",29 APR 2025,1148,women_JT,2025,https://worldathletics.org/athletes/athlete=14265696
5,63.29,,Lingdan SU,12 JAN 1997,CHN,1,,"Gumi Civic Stadium, Gumi (KOR)",27 MAY 2025,1139,women_JT,2025,https://worldathletics.org/athletes/athlete=14694433
6,62.59,,Annu RANI,29 AUG 1992,IND,1,,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",06 AUG 2025,1126,women_JT,2025,https://worldathletics.org/athletes/athlete=14422692
7,62.20,,Momone UEDA,27 JUN 1999,JPN,1,,"Mokpo Stadium, Mokpo (KOR)",22 AUG 2025,1119,women_JT,2025,https://worldathletics.org/athletes/athlete=14766656
8,61.43,,Xinai LIU,17 NOV 1999,CHN,1q1,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",15 NOV 2025,1104,women_JT,2025,https://worldathletics.org/athletes/athlete=14748807
9,60.94,,Qiaozhen MA,13 FEB 2002,CHN,1q2,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",15 NOV 2025,1095,women_JT,2025,https://worldathletics.org/athletes/athlete=14889052
10,60.57,,Sayuka KURATA,22 MAY 2004,JPN,1,,"Gion Stadium, Sagamihara (JPN)",10 MAY 2025,1089,women_JT,2025,https://worldathletics.org/athletes/japan/sayuka-kurata-14962267
11,60.51,,Sae TAKEMOTO,23 NOV 1999,JPN,1,,"Douglas Track & Field, Auckland (NZL)",09 FEB 2025,1087,women_JT,2025,https://worldathletics.org/athletes/athlete=14766655
12,60.14,,Dilhani LEKAMGE,14 JAN 1987,SRI,1,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",26 OCT 2025,1081,women_JT,2025,https://worldathletics.org/athletes/athlete=14300521
13,60.02,,Jingyi YIN,29 OCT 2002,CHN,4,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",17 NOV 2025,1078,women_JT,2025,https://worldathletics.org/athletes/athlete=14837998
14,59.39,,Marina SAITO,15 OCT 1995,JPN,1,,"Athletic Stadium, Hikone (JPN)",05 OCT 2025,1067,women_JT,2025,https://worldathletics.org/athletes/athlete=14547924
