Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,6.88,+0.7,Ancy SOJAN EDAPPILLY,01 MAR 2001,IND,1,,"Kalinga Stadium, Bhubaneshwar (IND)",27 JUN 2026,1191,women_LJ,2026,https://worldathletics.org/athletes/athlete=14791355
2,6.76,+1.1,Yingying HUANG,18 AUG 2004,CHN,1,,"Sports Center, Nanping (CHN)",03 JUN 2026,1165,women_LJ,2026,https://worldathletics.org/athletes/pr-of-china/yingying-huang-14980007
3,6.67,-0.1,Shaili SINGH,07 JAN 2004,IND,2,,"Kalinga Stadium, Bhubaneshwar (IND)",27 JUN 2026,1145,women_LJ,2026,https://worldathletics.org/athletes/athlete=14862020
4,6.65,+0.2,Shiqi XIONG,09 MAR 2004,CHN,6,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1141,women_LJ,2026,https://worldathletics.org/athletes/pr-of-china/shiqi-xiong-15024650
5,6.63,+1.3,Mengyi TAN,05 SEP 2002,CHN,2,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1136,women_LJ,2026,https://worldathletics.org/athletes/athlete=14857849
6,6.59,+0.7,Yatong DING,20 AUG 2002,CHN,1,,"Sports Center, Bengbu (CHN)",30 MAY 2026,1128,women_LJ,2026,https://worldathletics.org/athletes/pr-of-china/yatong-ding-14942844
7,6.53,+0.7,Mubssina MOHAMMED,22 FEB 2006,IND,3,,"Kalinga Stadium, Bhubaneshwar (IND)",27 JUN 2026,1114,women_LJ,2026,https://worldathletics.org/athletes/india/mubssina-mohammed-14973451
8,6.52,+0.1,Jingyi MAO,14 NOV 2003,CHN,4,,"Sports Center, Quzhou (CHN)",16 AUG 2026,1112,women_LJ,2026,https://worldathletics.org/athletes/athlete=14942105
9,6.50,-0.3,Yiting ZHAO,14 JUN 2005,CHN,2,,"Taizhou Yuhuan Olympic Sports Center Stadium, Taizhou (CHN)",23 MAY 2026,1109,women_LJ,2026,https://worldathletics.org/athletes/athlete=14939897
10,6.47,,Pavana NAGARAJ,07 NOV 2005,IND,1,,"Mosier Indoor Facility, Norman, OK (USA) (i)",16 JAN 2026,1101,women_LJ,2026,https://worldathletics.org/athletes/india/pavana-nagaraj-14971146
10,6.47,+0.6,Reyhaneh MOBINI ARANI,20 NOV 2000,IRI,1,,"Aftab Enghelab Sport Complex, Tehran (IRI)",03 JUL 2026,1101,women_LJ,2026,https://worldathletics.org/athletes/athlete=14760113
12,6.45,+0.7,Zhishuang LI,26 MAY 2003,CHN,4,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1097,women_LJ,2026,https://worldathletics.org/athletes/pr-of-china/zhishuang-li-15117682
13,6.44,0.0,Sumire HATA,04 MAY 1996,JPN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1095,women_LJ,2026,https://worldathletics.org/athletes/athlete=14753584
13,6.44,-0.2,Ziyu XIAO,23 AUG 2002,CHN,2,,"Sports Center, Bengbu (CHN)",30 MAY 2026,1096,women_LJ,2026,https://worldathletics.org/athletes/pr-of-china/ziyu-xiao-14974794
15,6.42,-0.6,Jiayi ZHANG,05 JUL 2008,CHN,1,,"Shangyu Stadium, Shaoxing (CHN)",02 APR 2026,1093,women_LJ,2026,https://worldathletics.org/athletes/pr-of-china/jiayi-zhang-15138389
15,6.42,0.0,Huiling QIN,29 NOV 2003,CHN,5,,"Sports Center, Quzhou (CHN)",16 AUG 2026,1090,women_LJ,2026,https://worldathletics.org/athletes/athlete=14884042
15,6.42,0.0,Bhagavathi BHAVANI,19 DEC 1998,IND,3,,"Jawaharlal Nehru Stadium, New Delhi (IND)",10 SEP 2026,1090,women_LJ,2026,https://worldathletics.org/athletes/athlete=14821676
18,6.40,+0.7,Lianying LIAO,03 FEB 2006,CHN,3,,"Taizhou Yuhuan Olympic Sports Center Stadium, Taizhou (CHN)",23 MAY 2026,1086,women_LJ,2026,https://worldathletics.org/athletes/pr-of-china/lianying-liao-15031054
18,6.40,-0.5,Liwen CHEN,03 JAN 1998,CHN,6,,"Sports Center, Quzhou (CHN)",16 AUG 2026,1089,women_LJ,2026,https://worldathletics.org/athletes/athlete=14684361
20,6.39,+0.7,Sijia GUO,14 FEB 1999,CHN,3q2,,"Sports Center, Quzhou (CHN)",15 AUG 2026,1084,women_LJ,2026,https://worldathletics.org/athletes/athlete=14885335
21,6.37,+1.3,Moumita MONDAL,09 DEC 2001,IND,3,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",04 APR 2026,1079,women_LJ,2026,https://worldathletics.org/athletes/athlete=14859349
21,6.37,+1.6,Ayaka KORA,22 MAR 2001,JPN,1,,"Universiade Commemorative Stadium, Kobe (JPN)",19 APR 2026,1079,women_LJ,2026,https://worldathletics.org/athletes/athlete=14803146
21,6.37,+1.2,Shion HASHIMOTO,10 OCT 2006,JPN,1,,"Kusanagi Athletic Stadium, Shizuoka (JPN)",11 JUL 2026,1079,women_LJ,2026,https://worldathletics.org/athletes/japan/shion-hashimoto-14962965
