Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,4.73,,Chunge NIU,14 FEB 2000,CHN,1,,"Sports Center, Bengbu (CHN)",31 MAY 2026,1186,women_PV,2026,https://worldathletics.org/athletes/athlete=14744719
2,4.51,,Misaki MOROTA,06 OCT 1998,JPN,1,,"Takebishi Stadium, Kyoto (JPN)",12 SEP 2026,1117,women_PV,2026,https://worldathletics.org/athletes/athlete=14646808
3,4.40,,Lingxia WEI,20 MAR 2004,CHN,2f1,,"Shanghai Sports University Indoor Athletics Stadium, Shanghai (CHN) (i)",21 MAR 2026,1083,women_PV,2026,https://worldathletics.org/athletes/pr-of-china/lingxia-wei-14974421
3,4.40,,Qiaoling CHEN,22 NOV 1999,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1083,women_PV,2026,https://worldathletics.org/athletes/athlete=14637842
5,4.35,,Diva Renatta JAYADI,24 JAN 2002,INA,2,,"Changshou Sports Center, Chongqing (CHN)",19 MAY 2026,1068,women_PV,2026,https://worldathletics.org/athletes/athlete=14821406
6,4.25,,Akari OSAKAYA,10 APR 2002,JPN,2,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1037,women_PV,2026,https://worldathletics.org/athletes/athlete=14915517
6,4.25,,G. SINDHUSHREE,23 OCT 2000,IND,1,,"Kalinga Stadium, Bhubaneshwar (IND)",25 JUN 2026,1037,women_PV,2026,https://worldathletics.org/athletes/india/g-sindhushree-15023846
8,4.23,,Baranica ELANGOAN,03 FEB 1997,IND,1,,"Kalinga Stadium, Bhubaneshwar (IND) (i)",03 MAY 2026,1031,women_PV,2026,https://worldathletics.org/athletes/athlete=14859017
9,4.20,,Keni MOU,05 AUG 2008,CHN,1,,"Hubei Olympic Sports Center, Wuhan (CHN)",11 APR 2026,1021,women_PV,2026,https://worldathletics.org/athletes/pr-of-china/keni-mou-15137240
9,4.20,,Kanae TATSUTA,21 JUL 1992,JPN,2,,"Municipal Stadium, Mito (JPN)",05 MAY 2026,1021,women_PV,2026,https://worldathletics.org/athletes/athlete=14523184
9,4.20,,Polina IVANOVA,03 DEC 2002,KAZ,2,,"Gwangalli beach, Busan (KOR)",30 MAY 2026,1021,women_PV,2026,https://worldathletics.org/athletes/athlete=14791683
9,4.20,,Megumi DAINOBU,16 SEP 2001,JPN,1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",26 JUL 2026,1021,women_PV,2026,https://worldathletics.org/athletes/athlete=14849069
9,4.20,,Sora MURATA,30 APR 2004,JPN,1,,"International Stadium, Yokohama (JPN)",07 SEP 2026,1021,women_PV,2026,https://worldathletics.org/athletes/athlete=14901499
14,4.15,,Zixuan ZHANG,27 MAR 2006,CHN,2,,"Pole Vault Stadium of Haining Junior Sports School, Haining (CHN) (i)",14 MAR 2026,1006,women_PV,2026,https://worldathletics.org/athletes/pr-of-china/zixuan-zhang-15034300
14,4.15,,Xiang LI,09 APR 2006,CHN,3f1,,"Shanghai Sports University Indoor Athletics Stadium, Shanghai (CHN) (i)",21 MAR 2026,1006,women_PV,2026,https://worldathletics.org/athletes/pr-of-china/xiang-li-15031059
14,4.15,,Meng GE,27 MAY 2002,CHN,4f1,,"Shanghai Sports University Indoor Athletics Stadium, Shanghai (CHN) (i)",21 MAR 2026,1006,women_PV,2026,https://worldathletics.org/athletes/athlete=14858660
14,4.15,,Mitsuki KOBAYASHI,16 MAR 2005,JPN,2,,"International Stadium, Yokohama (JPN)",07 SEP 2026,1006,women_PV,2026,https://worldathletics.org/athletes/japan/mitsuki-kobayashi-14948363
18,4.14,,Rena TANAKA,29 JUN 2000,JPN,2,,"Universiade Commemorative Stadium, Kobe (JPN)",19 APR 2026,1003,women_PV,2026,https://worldathletics.org/athletes/athlete=14803203
19,4.12,,Rio SASAKI,09 MAY 2003,JPN,2f2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",17 MAY 2026,997,women_PV,2026,https://worldathletics.org/athletes/japan/rio-sasaki-14948364
20,4.11,,Miu SUZAKI,31 JUL 2003,JPN,1,,"Chukyo University Athletics Field, Toyota (JPN)",30 MAY 2026,994,women_PV,2026,https://worldathletics.org/athletes/japan/miu-suzaki-14954447
21,4.10,,Khabut CHONTHICHA,22 NOV 2003,THA,3,,"National Caotun Senior High School Gym, Nantou City (TPE) (i)",25 MAR 2026,990,women_PV,2026,https://worldathletics.org/athletes/athlete=14827273
21,4.10,,Yi-Ju SHENG,,TPE,4,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,990,women_PV,2026,https://worldathletics.org/athletes/athlete=14591682
21,4.10,,Nitika AKARE,31 DEC 2005,IND,2,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",23 MAY 2026,990,women_PV,2026,https://worldathletics.org/athletes/india/nitika-akare-15047835
21,4.10,,Laijia LU,20 JAN 2007,CHN,1,,"Taizhou Yuhuan Olympic Sports Center Stadium, Taizhou (CHN)",23 MAY 2026,990,women_PV,2026,https://worldathletics.org/athletes/pr-of-china/laijia-lu-15074826
21,4.10,,Riho OKADA,21 AUG 2005,JPN,3,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",26 JUL 2026,990,women_PV,2026,https://worldathletics.org/athletes/japan/riho-okada-14957873
21,4.10,,Anna CHERKASHINA,08 APR 2008,KAZ,2q1,,"Hayward Field, Eugene, OR (USA)",05 AUG 2026,990,women_PV,2026,https://worldathletics.org/athletes/kazakhstan/anna-cherkashina-15038089
21,4.10,,V. KARTHIKA,21 NOV 2005,IND,3,,"Jawaharlal Nehru Stadium, New Delhi (IND)",10 SEP 2026,990,women_PV,2026,https://worldathletics.org/athletes/india/v-karthika-15116527
28,4.05,,Xiying LI,03 NOV 2007,CHN,1,,"Kai Tak Youth Sports Ground, Hong Kong (HKG)",30 MAY 2026,975,women_PV,2026,https://worldathletics.org/athletes/pr-of-china/xiying-li-15096795
28,4.05,,Kiyora MATSUURA,19 FEB 2010,JPN,1,,"Athletic Stadium, Hikone (JPN)",03 AUG 2026,975,women_PV,2026,https://worldathletics.org/athletes/japan/kiyora-matsuura-15260650
30,4.00,,Xue LIU,29 SEP 2001,CHN,4,,"Pole Vault Stadium of Haining Junior Sports School, Haining (CHN) (i)",14 MAR 2026,960,women_PV,2026,https://worldathletics.org/athletes/pr-of-china/xue-liu-14811667
