Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,19.63,,Linru ZHANG,23 SEP 1999,CHN,1,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1184,women_SP,2026,https://worldathletics.org/athletes/athlete=14745178
2,18.89,,Jiayuan SONG,15 SEP 1997,CHN,1,,"Sichuan Xipu Training Base, Chengdu (CHN)",29 MAR 2026,1138,women_SP,2026,https://worldathletics.org/athletes/athlete=14668306
3,17.94,,Yue JIANG,06 OCT 1998,CHN,1,,"Sports Center, Yulin (CHN)",19 JUL 2026,1079,women_SP,2026,https://worldathletics.org/athletes/athlete=14647962
4,17.86,,Yue MA,02 MAY 1999,CHN,3,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1074,women_SP,2026,https://worldathletics.org/athletes/athlete=14918129
5,17.75,,Manpreet KAUR,06 JUL 1990,IND,1,,"Kalinga Stadium, Bhubaneshwar (IND)",25 JUN 2026,1067,women_SP,2026,https://worldathletics.org/athletes/athlete=14282904
6,17.58,,Yue SUN,19 JUN 2001,CHN,1,,"Sports Center, Bengbu (CHN)",31 MAY 2026,1056,women_SP,2026,https://worldathletics.org/athletes/athlete=14748828
7,17.43,,Zhuhui DING,11 APR 2006,CHN,5,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1047,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/zhuhui-ding-15096762
8,17.39,,Ching-Yuan CHIANG,31 DEC 2006,TPE,4f2,,"Spec Towns Track, Athens, GA (USA)",11 APR 2026,1044,women_SP,2026,https://worldathletics.org/athletes/chinese-taipei/ching-yuan-chiang-15020007
9,17.35,,Krishna JAYASANKAR,10 NOV 2002,IND,1,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",23 MAY 2026,1042,women_SP,2026,https://worldathletics.org/athletes/athlete=14921114
10,17.30,,Xin WEN,11 AUG 2003,CHN,1,,"Zhaoqing Sports Center, Zhaoqing (CHN)",26 APR 2026,1039,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/xin-wen-15117632
11,17.25,,Xinyi TIAN,09 AUG 2006,CHN,3,,"Shandong Sports Training Center, Jinan (CHN) (i)",27 MAR 2026,1036,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/xinyi-tian-15032226
12,17.13,,Yirui GAO,01 FEB 2004,CHN,6,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1028,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/yirui-gao-15038984
13,17.03,,Ziyi CHEN,24 AUG 2001,CHN,7,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1022,women_SP,2026,https://worldathletics.org/athletes/athlete=14753979
14,17.00,,Xiangyu MENG,16 AUG 2002,CHN,8,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1020,women_SP,2026,https://worldathletics.org/athletes/athlete=14885372
15,16.96,,Srishti VIG,15 JUL 1995,IND,3,,"Kalinga Stadium, Bhubaneshwar (IND)",25 JUN 2026,1018,women_SP,2026,https://worldathletics.org/athletes/athlete=14833642
16,16.82,,. YOGITA,01 NOV 2000,IND,2,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",23 MAY 2026,1009,women_SP,2026,https://worldathletics.org/athletes/athlete=14791357
17,16.69,,Xinrui DU,12 AUG 2002,CHN,4q1,,"Sports Center, Quzhou (CHN)",13 AUG 2026,1001,women_SP,2026,https://worldathletics.org/athletes/athlete=14885377
18,16.65,,Mengdi ZHANG,22 FEB 2003,CHN,2,,"Sichuan Xipu Training Base, Chengdu (CHN)",29 MAR 2026,998,women_SP,2026,https://worldathletics.org/athletes/athlete=14884088
19,16.61,,. SHIKSHA,12 DEC 2002,IND,3,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",23 MAY 2026,996,women_SP,2026,https://worldathletics.org/athletes/athlete=14873524
20,16.54,,Ci-En WU,29 JUL 2001,TPE,1,,"Banqiao Stadium, New Taipei City (TPE)",07 JUN 2026,991,women_SP,2026,https://worldathletics.org/athletes/athlete=14866217
21,16.51,,Yu sun JEONG,19 DEC 1997,KOR,1,,"Jeongseon Sports Complex, Jeongseon (KOR)",11 MAY 2026,990,women_SP,2026,https://worldathletics.org/athletes/athlete=14594949
22,16.39,,Malika NASRIDDINOVA,12 FEB 2004,UZB,1,,"AFU Athletics Stadium, Tashkent (UZB)",25 JUN 2026,982,women_SP,2026,https://worldathletics.org/athletes/athlete=14972681
23,16.35,,. VIDHI,27 DEC 2004,IND,2,,"War Hero Stadium, Sangrur (IND)",09 MAY 2026,980,women_SP,2026,https://worldathletics.org/athletes/athlete=14926749
24,16.23,,Lingmeng WAN,13 JUL 2004,CHN,2,,"Zhaoqing Sports Center, Zhaoqing (CHN)",26 APR 2026,972,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/lingmeng-wan-15043978
25,16.15,,Yuan LIU,17 JUN 2005,CHN,3,,"Zhaoqing Sports Center, Zhaoqing (CHN)",26 APR 2026,967,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/yuan-liu-15035408
26,16.07,,Chiharu SAKA,21 NOV 2006,JPN,1,,"Municipal Mizuho Stadium, Nagoya (JPN)",14 JUN 2026,962,women_SP,2026,https://worldathletics.org/athletes/japan/chiharu-saka-14998622
26,16.07,,Tianmeng ZHANG,27 APR 2005,CHN,5q1,,"Sports Center, Quzhou (CHN)",13 AUG 2026,962,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/tianmeng-zhang-15072910
28,16.02,,Xiaohan ZHAI,09 OCT 2008,CHN,4,,"Xipu Training Base Indoor Athletics Stadium, Chengdu (CHN) (i)",11 MAR 2026,959,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/xiaohan-zhai-15221578
29,16.01,,Poorna RAORANE,26 DEC 2000,IND,2,,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",01 MAY 2026,958,women_SP,2026,https://worldathletics.org/athletes/athlete=14763223
30,15.99,,. ANSHU,13 NOV 2007,IND,4,,"War Hero Stadium, Sangrur (IND)",09 MAY 2026,957,women_SP,2026,https://worldathletics.org/athletes/india/anshu-15053524
30,15.99,,Areerat INTADID,10 MAR 1996,THA,2,,"Banqiao Stadium, New Taipei City (TPE)",07 JUN 2026,957,women_SP,2026,https://worldathletics.org/athletes/athlete=14604764
32,15.95,,Jiaxin LIN,07 FEB 2005,CHN,4,,"Taizhou Yuhuan Olympic Sports Center Stadium, Taizhou (CHN)",25 MAY 2026,955,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/jiaxin-lin-15083512
33,15.92,,Kexin DUAN,08 FEB 2006,CHN,4,,"Zhaoqing Sports Center, Zhaoqing (CHN)",26 APR 2026,953,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/kexin-duan-15031115
33,15.92,,Yuxiao HE,24 NOV 2007,CHN,7,,"Hayward Field, Eugene, OR (USA)",06 AUG 2026,953,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/yuxiao-he-15072912
35,15.83,,Zhuying LU,12 JAN 2004,CHN,3,,"Sichuan Xipu Training Base, Chengdu (CHN)",02 APR 2026,947,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/zhuying-lu-14977736
36,15.81,,. REKHA,02 FEB 2001,IND,1,,"Tau Devi Lal Stadium, Panchkula (IND)",25 AUG 2026,946,women_SP,2026,https://worldathletics.org/athletes/india/rekha-14818463
37,15.79,,Xi ZHEN,24 JAN 2003,CHN,6q1,,"Sports Center, Quzhou (CHN)",13 AUG 2026,945,women_SP,2026,https://worldathletics.org/athletes/athlete=14889098
38,15.77,,Mengchen LU,11 DEC 2002,CHN,1,,"Guoxin Sports Center, Qingdao (CHN)",15 MAY 2026,943,women_SP,2026,https://worldathletics.org/athletes/athlete=14885374
39,15.76,,Jiaxin LI,18 JAN 2007,CHN,7q1,,"Sports Center, Quzhou (CHN)",13 AUG 2026,943,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/jiaxin-li-15172291
40,15.75,,Kachnar CHAUDHARY,17 MAY 1999,IND,1,,"Sawai Mansingh Stadium,, Jaipur (IND)",05 APR 2026,942,women_SP,2026,https://worldathletics.org/athletes/athlete=14734748
41,15.69,,Yuxuan WAN,30 AUG 2008,CHN,6q2,,"Sports Center, Quzhou (CHN)",13 AUG 2026,939,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/yuxuan-wan-15137230
42,15.58,,Yutong WANG,27 NOV 2006,CHN,8,,"Shandong Sports Training Center, Jinan (CHN) (i)",27 MAR 2026,932,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/yutong-wang-15032229
42,15.58,,Haruka OSAKO,05 FEB 2001,JPN,1,,"Universiade Commemorative Stadium, Kobe (JPN)",19 APR 2026,932,women_SP,2026,https://worldathletics.org/athletes/athlete=14815125
44,15.56,,Ruoya FAN,25 MAR 2001,CHN,7,,"Sichuan Xipu Training Base, Chengdu (CHN)",02 APR 2026,930,women_SP,2026,https://worldathletics.org/athletes/athlete=14782083
45,15.53,,Xinyue LOU,05 MAY 2005,CHN,2,,"Sports Center, Nanping (CHN)",04 JUN 2026,929,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/xinyue-lou-15330991
46,15.41,,Kotomi OKUYAMA,23 JUL 2004,JPN,2,,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2026,921,women_SP,2026,https://worldathletics.org/athletes/athlete=14904937
47,15.40,,Yuzheng SUN,12 OCT 2006,CHN,2,,"Olympic Sports Center, Chongqing (CHN)",14 MAY 2026,920,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/yuzheng-sun-15031113
48,15.34,,Chih-Wei TSENG,27 NOV 2001,TPE,6,,"Banqiao Stadium, New Taipei City (TPE)",07 JUN 2026,917,women_SP,2026,https://worldathletics.org/athletes/athlete=14791207
49,15.31,,Anupriya VALLIYOT SASI,17 JUN 2006,IND,5,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",23 MAY 2026,915,women_SP,2026,https://worldathletics.org/athletes/india/anupriya-valliyot-sasi-15045091
50,15.29,,Niko MURASE,13 JAN 2005,JPN,1,,"Lemon Gas Stadium, Hiratsuka (JPN)",24 APR 2026,914,women_SP,2026,https://worldathletics.org/athletes/japan/niko-murase-14950015
50,15.29,,Noora Salem JASIM,27 NOV 1996,BRN,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",17 MAY 2026,914,women_SP,2026,https://worldathletics.org/athletes/athlete=14594947
52,15.23,,Ami TANAKA,29 JUL 2003,JPN,1,,"Takebishi Stadium, Kyoto (JPN)",12 SEP 2026,910,women_SP,2026,https://worldathletics.org/athletes/japan/ami-tanaka-14950098
53,15.22,,Soojung LEE,15 FEB 1993,KOR,2,,"Jeongseon Sports Complex, Jeongseon (KOR)",11 MAY 2026,909,women_SP,2026,https://worldathletics.org/athletes/athlete=14422370
54,15.20,,Qinxuan JIANG,31 MAR 2006,CHN,7f1,,"Shanxi Athletics Administrative Center, Xi'an (CHN)",20 JUN 2026,908,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/qinxuan-jiang-15137231
55,15.19,,Manpreet KAUR,05 MAR 1996,IND,3,,"Tau Devi Lal Stadium, Panchkula (IND)",25 AUG 2026,907,women_SP,2026,https://worldathletics.org/athletes/athlete=14661433
56,15.09,,Suman SHARMA,18 NOV 2000,IND,2,,"Sawai Mansingh Stadium,, Jaipur (IND)",05 APR 2026,901,women_SP,2026,https://worldathletics.org/athletes/india/suman-sharma-15217228
56,15.09,,Yanxue JIANG,08 JUN 2009,CHN,6,,"Sports Center, Yulin (CHN)",19 JUL 2026,901,women_SP,2026,https://worldathletics.org/athletes/pr-of-china/yanxue-jiang-15208593
58,15.04,,Pooja KUMARI,01 JUL 2007,IND,1,,"Netaji Subhas National Institute of Sports, Patiala (IND)",07 MAR 2026,898,women_SP,2026,https://worldathletics.org/athletes/india/pooja-kumari-15053523
