Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,14.33,+1.2,Sharifa DAVRONOVA,27 SEP 2006,UZB,1,,"Lohrheidestadion, Wattenscheid, Bochum (GER)",27 JUL 2025,1151,women_TJ,2025,https://worldathletics.org/athletes/athlete=14956284
2,14.06,-0.6,Hui ZHOU,08 JAN 2006,CHN,1,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",16 NOV 2025,1127,women_TJ,2025,https://worldathletics.org/athletes/pr-of-china/hui-zhou-15094403
3,13.97,+0.1,Qiujiao TAN,28 MAY 2000,CHN,1,,Chongqing (CHN),16 MAY 2025,1114,women_TJ,2025,https://worldathletics.org/athletes/athlete=14795857
4,13.96,+0.2,Yingying HUANG,18 AUG 2004,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",28 SEP 2025,1113,women_TJ,2025,https://worldathletics.org/athletes/pr-of-china/yingying-huang-14980007
5,13.94,+1.6,Maoko TAKASHIMA,07 JUL 1999,JPN,,,"Lemon Gas Stadium, Hiratsuka (JPN)",09 AUG 2025,1111,women_TJ,2025,https://worldathletics.org/athletes/athlete=14815116
6,13.93,-0.2,Yi LI,26 NOV 2005,CHN,1,,"Sports Center, Bengbu (CHN)",13 JUN 2025,1111,women_TJ,2025,https://worldathletics.org/athletes/pr-of-china/yi-li-15052012
7,13.91,,Jie CHEN,02 MAR 1998,CHN,2,,"Shanxi Athletics Administrative Center, Xi'an (CHN) (i)",15 FEB 2025,1108,women_TJ,2025,https://worldathletics.org/athletes/athlete=14691876
7,13.91,-0.5,Rui ZENG,06 FEB 1998,CHN,3,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",16 NOV 2025,1111,women_TJ,2025,https://worldathletics.org/athletes/athlete=14714513
9,13.90,+1.4,Yazhan XIE,30 JAN 2002,CHN,1,,"Sports Center, Jiaxing (CHN)",30 APR 2025,1107,women_TJ,2025,https://worldathletics.org/athletes/pr-of-china/yazhan-xie-14942330
10,13.87,,Mariya YEFREMOVA,19 OCT 1998,KAZ,1,,"Athletic Center Olga Rypakova, Ust-Kamenogorsk (KAZ) (i)",01 MAR 2025,1104,women_TJ,2025,https://worldathletics.org/athletes/athlete=14646811
10,13.87,+0.4,Akari FUNADA,27 AUG 2000,JPN,1,,"Hokuroku Park Athletic Field, Fujiyoshida (JPN)",03 AUG 2025,1104,women_TJ,2025,https://worldathletics.org/athletes/athlete=14855859
12,13.85,+1.3,Maria Natalia LONDA,29 OCT 1990,INA,1,,"Supachalasai National Stadium, Bangkok (THA)",13 DEC 2025,1102,women_TJ,2025,https://worldathletics.org/athletes/athlete=14282715
13,13.84,+1.7,Zenghuan CHENG,12 OCT 2004,CHN,2,,"Sports Center, Jiaxing (CHN)",30 APR 2025,1101,women_TJ,2025,https://worldathletics.org/athletes/pr-of-china/zenghuan-cheng-15117680
14,13.83,+0.8,Mariko MORIMOTO,17 MAR 1995,JPN,4,,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",12 JUL 2025,1100,women_TJ,2025,https://worldathletics.org/athletes/athlete=14458247
15,13.82,+0.5,Ting CHEN,28 AUG 1997,CHN,2,,"Sports Center, Bengbu (CHN)",13 JUN 2025,1099,women_TJ,2025,https://worldathletics.org/athletes/athlete=14744970
16,13.79,+1.3,Parinya CHUAIMAROENG,16 DEC 1997,THA,2,,"Supachalasai National Stadium, Bangkok (THA)",13 DEC 2025,1096,women_TJ,2025,https://worldathletics.org/athletes/athlete=14603339
17,13.75,+0.2,Mengyuan PENG,05 SEP 1996,CHN,3,,"Sports Center, Bengbu (CHN)",13 JUN 2025,1092,women_TJ,2025,https://worldathletics.org/athletes/athlete=14782304
18,13.71,+1.0,Huiling QIN,29 NOV 2003,CHN,3,,Chongqing (CHN),16 MAY 2025,1088,women_TJ,2025,https://worldathletics.org/athletes/athlete=14884042
19,13.68,+1.9,Thi Ngoc Ha VU,21 MAY 2000,VIE,3,,"Supachalasai National Stadium, Bangkok (THA)",13 DEC 2025,1085,women_TJ,2025,https://worldathletics.org/athletes/athlete=14794031
20,13.64,+0.7,Jingjing LIN,18 MAY 2002,CHN,4,,Chongqing (CHN),16 MAY 2025,1081,women_TJ,2025,https://worldathletics.org/athletes/athlete=14884048
21,13.59,0.0,Thi Huong NGUYEN,24 NOV 2001,VIE,5,,"Gumi Civic Stadium, Gumi (KOR)",27 MAY 2025,1075,women_TJ,2025,https://worldathletics.org/athletes/athlete=14816367
22,13.58,+1.4,Niharika VASHISHT,17 OCT 1995,IND,3,,"Dubai Police Club Stadium, Dubai (UAE)",11 MAY 2025,1074,women_TJ,2025,https://worldathletics.org/athletes/athlete=14717127
22,13.58,+1.7,Madushani HERATH,04 MAY 2005,SRI,,,"National Athletics Centre, Pathum Thani (THA)",23 JUN 2025,1074,women_TJ,2025,https://worldathletics.org/athletes/sri-lanka/madushani-herath-15157596
22,13.58,+0.3,Yiqing XIE,29 JAN 2009,CHN,1,,"Olympic Sports Center, Huangshi (CHN)",28 JUN 2025,1074,women_TJ,2025,https://worldathletics.org/athletes/pr-of-china/yiqing-xie-15172594
25,13.56,+0.2,Yang YANG,23 AUG 2001,CHN,3q1,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",15 NOV 2025,1072,women_TJ,2025,https://worldathletics.org/athletes/athlete=14795854
26,13.48,+1.2,Sandra BABU,03 JUL 2001,IND,2,,"Maharaja's College Grounds, Kochi (IND)",23 APR 2025,1064,women_TJ,2025,https://worldathletics.org/athletes/athlete=14791127
27,13.45,-0.2,Shuiqing CHEN,12 APR 2000,CHN,4q2,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",15 NOV 2025,1062,women_TJ,2025,https://worldathletics.org/athletes/athlete=14795856
28,13.44,-0.1,Yanqi GAO,27 JAN 2000,CHN,3,,"Kuishan Sports Center, Rizhao (CHN)",28 SEP 2025,1060,women_TJ,2025,https://worldathletics.org/athletes/athlete=14811675
