Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,84.25,,Bence HALÁSZ,04 AUG 1997,HUN,1,,"Alexander Stadium, Birmingham (GBR)",11 AUG 2026,1269,men_HT,2026,https://worldathletics.org/athletes/athlete=14424480
2,83.64,,Ethan KATZBERG,05 APR 2002,CAN,1,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1259,men_HT,2026,https://worldathletics.org/athletes/athlete=14809348
3,82.44,,Yann CHAUSSINAND,11 MAY 1998,FRA,1,,"Colich Throws Center, Wilmington, CA (USA)",13 JUN 2026,1241,men_HT,2026,https://worldathletics.org/athletes/athlete=14632689
4,82.38,,Mykhaylo KOKHAN,22 JAN 2001,UKR,2,,"Colich Throws Center, Wilmington, CA (USA)",13 JUN 2026,1240,men_HT,2026,https://worldathletics.org/athletes/athlete=14686964
5,82.09,,Paweł FAJDEK,04 JUN 1989,POL,1,,"Stade Raymond Petit, Tomblaine (FRA)",03 JUL 2026,1235,men_HT,2026,https://worldathletics.org/athletes/athlete=14329266
6,81.74,,Merlin HUMMEL,04 JAN 2002,GER,2,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1230,men_HT,2026,https://worldathletics.org/athletes/athlete=14753981
7,81.12,,Rudy WINKLER,06 DEC 1994,USA,2,,"Hayward Field, Eugene, OR (USA)",03 JUL 2026,1220,men_HT,2026,https://worldathletics.org/athletes/athlete=14436941
8,80.95,,Ármin SZABADOS,11 JAN 2006,HUN,1,,"Egyetemi Stadion, Veszprém (HUN)",25 APR 2026,1217,men_HT,2026,https://worldathletics.org/athletes/hungary/armin-szabados-14944879
8,80.95,,Valeriy PRONKIN,15 JUN 1994,RUS,1,,"Meteor, Zhukovskiy (RUS)",05 JUL 2026,1217,men_HT,2026,https://worldathletics.org/athletes/athlete=14408884
10,80.69,,Volodymyr MYSLYVČUK,25 APR 1996,CZE,1f1,,"GPS Stadium, Nicosia (CYP)",15 MAR 2026,1213,men_HT,2026,https://worldathletics.org/athletes/athlete=14524329
11,79.33,,Trey KNIGHT,24 MAY 2002,USA,2f1,,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",28 MAR 2026,1192,men_HT,2026,https://worldathletics.org/athletes/athlete=14874868
12,79.09,,Christos FRANTZESKAKIS,26 APR 2000,GRE,1,,"Elena Venizelou National Stadium, Chania (GRE)",09 MAY 2026,1188,men_HT,2026,https://worldathletics.org/athletes/athlete=14751824
13,78.87,,Texas TANNER,01 OCT 2004,USA,1,,"Jack Rose Track, Long Beach, CA (USA)",17 APR 2026,1185,men_HT,2026,https://worldathletics.org/athletes/united-states/texas-tanner-15039815
14,78.67,,Rowan HAMILTON,29 JAN 2000,CAN,4,,"Colich Throws Center, Wilmington, CA (USA)",13 JUN 2026,1182,men_HT,2026,https://worldathletics.org/athletes/athlete=14760215
15,78.66,,Thomas MARDAL,16 APR 1997,NOR,6,,"Fana Stadion, Bergen (NOR)",28 MAY 2026,1182,men_HT,2026,https://worldathletics.org/athletes/athlete=14533736
16,78.61,,Iosif KESIDIS,19 AUG 2005,CYP,5,,"Sports Park Mladost, Zagreb (CRO)",26 JUN 2026,1181,men_HT,2026,https://worldathletics.org/athletes/athlete=14953034
17,78.18,,Sören KLOSE,14 JUN 2002,GER,2,,"Lohrheidestadion, Wattenscheid, Bochum (GER)",26 JUL 2026,1174,men_HT,2026,https://worldathletics.org/athletes/athlete=14763090
18,78.03,,Hilmar Örn JÓNSSON,06 MAY 1996,ISL,3f1,,"GPS Stadium, Nicosia (CYP)",15 MAR 2026,1172,men_HT,2026,https://worldathletics.org/athletes/athlete=14486453
19,77.97,,Ronald MENCIA ZAYAS,26 AUG 2002,CUB,1,,"Estadio Panamericano, La Habana (CUB)",06 MAY 2026,1171,men_HT,2026,https://worldathletics.org/athletes/athlete=14826732
20,77.92,,Kieran MCKEAG,18 APR 1998,USA,1f2,,"Dornblaser Field - Montana, Missoula, MT (USA)",24 APR 2026,1170,men_HT,2026,https://worldathletics.org/athletes/athlete=14775437
21,77.86,,Alex YOUNG,01 SEP 1994,USA,1,,"Foote Field, Edmonton (CAN)",12 JUL 2026,1169,men_HT,2026,https://worldathletics.org/athletes/athlete=14480954
22,77.76,,Jake NORRIS,30 JUN 1999,GBR,1,,"Werferzentrum Brandberge, Halle (GER)",16 MAY 2026,1168,men_HT,2026,https://worldathletics.org/athletes/athlete=14602072
23,77.71,,Georgios PAPANASTASIOU,09 DEC 2005,GRE,1,,"National Stadium, Serres (GRE)",11 JUL 2026,1167,men_HT,2026,https://worldathletics.org/athletes/greece/georgios-papanastasiou-14945318
24,77.64,,Ryan JOHNSON,26 JAN 2005,USA,1f2,,"Ed Weir Outdoor Track, Lincoln, NE (USA)",17 APR 2026,1166,men_HT,2026,https://worldathletics.org/athletes/united-states/ryan-johnson-15119353
25,77.62,,Tarik O'HAGAN,25 NOV 2003,USA,1f2,,"Ole Miss T&F Complex, Oxford, MS (USA)",20 MAR 2026,1166,men_HT,2026,https://worldathletics.org/athletes/athlete=14994630
26,77.21,,Aliaksandr SHYMANOVICH,09 FEB 1998,BLR,2,,"Meteor, Zhukovskiy (RUS)",05 JUL 2026,1159,men_HT,2026,https://worldathletics.org/athletes/athlete=14631963
27,76.72,,Marcin WROTYŃSKI,11 MAR 1996,POL,1,,"Stadion RKS Skra, Warszawa (POL)",06 JUN 2026,1152,men_HT,2026,https://worldathletics.org/athletes/athlete=14486750
28,76.68,,Tyler WILLIAMS,05 APR 1993,USA,1,,"Ramapo College Athletic Center, Mahwah, NJ (USA)",14 JUN 2026,1151,men_HT,2026,https://worldathletics.org/athletes/athlete=14500820
29,76.57,,Markelo MEMA,24 MAY 2001,ALB,2,,"Panthessaliko Stadium, Volos (GRE)",20 JUN 2026,1149,men_HT,2026,https://worldathletics.org/athletes/athlete=14850840
30,76.52,,Gabriel KEHR,03 SEP 1996,CHI,1,,"Pista Atlética Lázaro Escobar, Temuco (CHI)",28 MAR 2026,1149,men_HT,2026,https://worldathletics.org/athletes/athlete=14543229
31,76.50,,Matija GREGURIĆ,17 SEP 1996,CRO,1f1,,"Ratinan Stadion, Tampere (FIN)",12 JUL 2026,1148,men_HT,2026,https://worldathletics.org/athletes/athlete=14507104
32,76.43,,Joaquin GOMEZ,14 OCT 1996,ARG,,,"Pista de Atletismo Rubén Acevedo, Tigre (ARG)",26 JUL 2026,1147,men_HT,2026,https://worldathletics.org/athletes/athlete=14444291
33,76.36,,Michail ANASTASAKIS,03 DEC 1994,GRE,2,,"Panellinios Sports Club Track, Athina (GRE)",17 MAY 2026,1146,men_HT,2026,https://worldathletics.org/athletes/athlete=14445827
