Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,30:29.16,,Janeth Nyiva MUTUNGI,27 AUG 2003,KEN,1f2,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1221,women_10000m,2026,https://worldathletics.org/athletes/athlete=14849583
2,30:31.39,,Caroline KARIBA,22 APR 2004,KEN,2f2,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1219,women_10000m,2026,https://worldathletics.org/athletes/kenya/caroline-kariba-14965231
3,30:34.33,,Agnes Mwikali MUTUKU,15 DEC 2002,KEN,1,,"Honjo Athletic Stadium, Kitakyushu (JPN)",23 MAY 2026,1216,women_10000m,2026,https://worldathletics.org/athletes/athlete=14915503
4,30:34.96,,Dolphine Nyaboke OMARE,26 JUL 2001,KEN,3f2,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1215,women_10000m,2026,https://worldathletics.org/athletes/athlete=14758190
5,30:46.80,,Jane HEDENGREN,23 SEP 2006,USA,1f1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",03 APR 2026,1205,women_10000m,2026,https://worldathletics.org/athletes/united-states/jane-hedengren-15090151
6,30:49.87,,Tabithanjeri KAMAU,03 JUL 2000,KEN,4f2,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1202,women_10000m,2026,https://worldathletics.org/athletes/athlete=14767078
7,30:49.99,,Pamela KOSGEI,05 JUL 2004,KEN,2f1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",03 APR 2026,1202,women_10000m,2026,https://worldathletics.org/athletes/athlete=15041996
8,30:50.10,,Shelby HOULIHAN,08 FEB 1993,USA,1f2,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",28 MAR 2026,1202,women_10000m,2026,https://worldathletics.org/athletes/athlete=14368938
9,30:50.31,,Maureen KOSTER,03 JUL 1992,NED,1,,"Mestský Stadion, Ostrava (CZE)",15 JUN 2026,1201,women_10000m,2026,https://worldathletics.org/athletes/athlete=14372338
10,30:51.18,,Jana VAN LENT,22 APR 2001,BEL,1,,"Complexe Sportif de Blocry, Louvain-La-Neuve (BEL)",06 JUN 2026,1201,women_10000m,2026,https://worldathletics.org/athletes/athlete=14704113
11,31:15.49,,Jessica MCCLAIN,15 FEB 1992,USA,2f2,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",28 MAR 2026,1179,women_10000m,2026,https://worldathletics.org/athletes/athlete=14335825
