Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,81.13,,Camryn ROGERS,07 JUN 1999,CAN,1,,"Mike A. Myers Stadium, Austin, TX (USA)",02 APR 2026,1273,women_HT,2026,https://worldathletics.org/athletes/athlete=14607142
2,79.33,,Rachel RICHESON,27 SEP 1999,USA,2,,"Cushing Stadium, College Station, TX (USA)",06 JUN 2026,1244,women_HT,2026,https://worldathletics.org/athletes/athlete=14802080
3,79.09,,Brooke ANDERSEN,23 AUG 1995,USA,1,,"Colich Throws Center, Wilmington, CA (USA)",13 JUN 2026,1240,women_HT,2026,https://worldathletics.org/athletes/athlete=14577492
4,78.64,,Jiale ZHANG,22 OCT 2006,CHN,1,,"Sports Center, Quzhou (CHN)",16 AUG 2026,1233,women_HT,2026,https://worldathletics.org/athletes/pr-of-china/jiale-zhang-15034977
5,78.22,,Jie ZHAO,13 OCT 2002,CHN,1f1,,"Sichuan Xipu Training Base, Chengdu (CHN)",03 APR 2026,1226,women_HT,2026,https://worldathletics.org/athletes/athlete=14889043
6,77.71,,DeAnna PRICE,08 JUN 1993,USA,2,,"Colich Throws Center, Wilmington, CA (USA)",13 JUN 2026,1218,women_HT,2026,https://worldathletics.org/athletes/athlete=14491584
7,77.67,,Anastasiya MASLOVA,16 OCT 1997,BLR,1,,"Regional Sport Complex, Brest (BLR)",07 MAY 2026,1217,women_HT,2026,https://worldathletics.org/athletes/athlete=14677647
8,77.64,,Anthonett NABWE,22 JAN 2004,LBR,2f1,,"Drake Stadium, Des Moines, IA (USA)",23 APR 2026,1217,women_HT,2026,https://worldathletics.org/athletes/liberia/anthonett-nabwe-15057062
9,77.35,,Krista TERVO,15 NOV 1997,FIN,1,,"Fana Stadion, Bergen (NOR)",28 MAY 2026,1212,women_HT,2026,https://worldathletics.org/athletes/athlete=14592895
10,76.76,,Erin REESE,04 DEC 1995,USA,1f2,,"Gibson Track & Field Complex, Terre Haute, IN (USA)",08 MAY 2026,1203,women_HT,2026,https://worldathletics.org/athletes/athlete=14586650
11,76.41,,Silja KOSONEN,16 DEC 2002,FIN,2,,"Paavo Nurmen Stadion, Turku (FIN)",03 JUN 2026,1197,women_HT,2026,https://worldathletics.org/athletes/athlete=14763144
12,75.62,,Sara FANTINI,16 SEP 1997,ITA,1,,"Estadio Vallehermoso, Madrid (ESP)",16 JUL 2026,1184,women_HT,2026,https://worldathletics.org/athletes/athlete=14593885
13,75.52,,Katrine Koch JACOBSEN,24 JUN 1999,DEN,1f1,,"GPS Stadium, Nicosia (CYP)",14 MAR 2026,1182,women_HT,2026,https://worldathletics.org/athletes/athlete=14577396
14,75.51,,Annette Nneka ECHIKUNWOKE,29 JUL 1996,USA,5f1,,"Drake Stadium, Des Moines, IA (USA)",23 APR 2026,1182,women_HT,2026,https://worldathletics.org/athletes/athlete=14589891
15,75.36,,Sofiya PALKINA,09 JUN 1998,RUS,1,,"Yunost Stadium, Adler, Sochi (RUS)",23 APR 2026,1180,women_HT,2026,https://worldathletics.org/athletes/athlete=14513668
16,75.19,,Rose LOGA,27 JUL 2002,FRA,2,,"Nyayo National Stadium, Nairobi (KEN)",24 APR 2026,1177,women_HT,2026,https://worldathletics.org/athletes/athlete=14752018
17,75.01,,Anita WŁODARCZYK,08 AUG 1985,POL,2,,"Estadio Vallehermoso, Madrid (ESP)",16 JUL 2026,1174,women_HT,2026,https://worldathletics.org/athletes/athlete=14294652
18,74.40,,Anastasiya GRIGORYEVA,10 SEP 2002,RUS,2,,"Yunost Stadium, Adler, Sochi (RUS)",23 APR 2026,1164,women_HT,2026,https://worldathletics.org/athletes/athlete=14784662
19,73.91,,Madison MALONE,31 MAY 1999,USA,1f2,,"Millican Field at Throw Town, Ramona, OK (USA)",10 APR 2026,1156,women_HT,2026,https://worldathletics.org/athletes/athlete=14761712
20,73.88,,Guðrún Karítas HALLGRÍMSDÓTTIR,07 JUL 2002,ISL,3,,"Nyayo National Stadium, Nairobi (KEN)",24 APR 2026,1156,women_HT,2026,https://worldathletics.org/athletes/athlete=14857735
21,73.79,,Jinyao GAO,30 APR 2004,CHN,3,,"Sports Center, Quzhou (CHN)",16 AUG 2026,1154,women_HT,2026,https://worldathletics.org/athletes/pr-of-china/jinyao-gao-14959060
22,73.67,,Alena TAMASHEVICH,11 MAY 1993,BLR,2,,"Meteor, Zhukovskiy (RUS)",05 JUL 2026,1153,women_HT,2026,https://worldathletics.org/athletes/athlete=14335975
23,73.28,,Jiangyan LI,22 MAY 1999,CHN,4,,"Sports Center, Quzhou (CHN)",16 AUG 2026,1146,women_HT,2026,https://worldathletics.org/athletes/athlete=14750692
24,73.21,,Beatrice Nedberge LLANO,14 DEC 1997,NOR,1,,"Panellinios Sports Club Track, Athina (GRE)",06 JUN 2026,1145,women_HT,2026,https://worldathletics.org/athletes/athlete=14481276
25,73.19,,Elísabet Rut RÚNARSDÓTTIR,28 NOV 2002,ISL,1f2,,"Hayward Field, Eugene, OR (USA)",11 JUN 2026,1145,women_HT,2026,https://worldathletics.org/athletes/athlete=14848464
26,73.06,,Axi ZHANG,06 MAR 2002,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",28 JUN 2026,1143,women_HT,2026,https://worldathletics.org/athletes/pr-of-china/axi-zhang-14975956
27,73.02,,Shelby MORAN,03 APR 2000,USA,1f2,,"Oregon State Whyte Track and Field Center, Corvallis, OR (USA)",01 MAY 2026,1142,women_HT,2026,https://worldathletics.org/athletes/athlete=14756129
28,72.96,,Kamryn CADLE,19 DEC 2004,USA,1f3,,"Jack Rose Track, Long Beach, CA (USA)",16 APR 2026,1141,women_HT,2026,https://worldathletics.org/athletes/united-states/kamryn-cadle-15045935
29,72.73,,Nicola TUTHILL,22 DEC 2003,IRL,1,,"Golęcin Stadion, Poznan (POL)",28 JUN 2026,1137,women_HT,2026,https://worldathletics.org/athletes/athlete=14903460
30,72.63,,Anna PURCHASE,15 SEP 1999,GBR,2,,"Mike A. Myers Stadium, Austin, TX (USA)",02 APR 2026,1136,women_HT,2026,https://worldathletics.org/athletes/athlete=14659644
31,72.44,,Lauren BRUCE,23 MAR 1997,NZL,4,,"Estadio Vallehermoso, Madrid (ESP)",16 JUL 2026,1133,women_HT,2026,https://worldathletics.org/athletes/athlete=14558985
32,72.18,,Charlotte PAYNE,20 MAR 2002,GBR,2,,"Mestský Stadion Sletište, Kladno (CZE)",09 JUN 2026,1128,women_HT,2026,https://worldathletics.org/athletes/athlete=14719870
33,72.17,,Patricia KAMGA,27 JUL 2006,SWE,1f1,,"Sola Arena, Karlstad (SWE)",28 JUN 2026,1128,women_HT,2026,https://worldathletics.org/athletes/sweden/patricia-kamga-14951569
34,72.11,,Aileen KUHN,27 NOV 2003,GER,1f1,,"Sportplatz Langenbrand, Forbach (GER)",10 MAY 2026,1127,women_HT,2026,https://worldathletics.org/athletes/athlete=14840255
35,72.03,,Nayoka CLUNIS,07 OCT 1995,JAM,1f1,,"UVA Lanningan Field, Charlottesville, VA (USA)",17 APR 2026,1126,women_HT,2026,https://worldathletics.org/athletes/athlete=14679899
36,71.98,,Hadley STREIT,,USA,2f1,,"Percy Beard Track, Gainesville, FL (USA)",18 APR 2026,1125,women_HT,2026,https://worldathletics.org/athletes/united-states/hadley-streit-15051680
37,71.96,,Jillian WEIR,09 FEB 1993,CAN,1f1,,"Betty Heidler Arena, Fränkisch-Crumbach (GER)",24 MAY 2026,1125,women_HT,2026,https://worldathletics.org/athletes/athlete=14423557
38,71.82,,Jillian SHIPPEE,19 APR 1999,USA,4f1,,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",28 MAR 2026,1123,women_HT,2026,https://worldathletics.org/athletes/athlete=14636609
39,71.70,,Ziyi WANG,15 FEB 2006,CHN,6f1,,"Sichuan Xipu Training Base, Chengdu (CHN)",03 APR 2026,1121,women_HT,2026,https://worldathletics.org/athletes/pr-of-china/ziyi-wang-15083452
40,71.49,,Malin GARBELL,04 OCT 2005,SWE,1f1,,"Lugnets friidrottsarena, Falun (SWE)",04 MAY 2026,1117,women_HT,2026,https://worldathletics.org/athletes/sweden/malin-garbell-14944278
