athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Jakob INGEBRIGTSEN,NOR,men_1500m,2021,208.32,207.95,0.37,8,2.933,0.0,21.8
Jakob INGEBRIGTSEN,NOR,men_1500m,2022,209.02,207.95,1.07,7,3.2482,-0.7,21.8
Jakob INGEBRIGTSEN,NOR,men_1500m,2023,207.95,207.95,0.0,3,2.4866,0.37,21.8
Timothy CHERUIYOT,KEN,men_1500m,2021,208.28,208.28,0.0,9,3.0004,0.0,26.5
Timothy CHERUIYOT,KEN,men_1500m,2022,210.21,208.28,1.93,11,2.9768,-1.93,26.5
Timothy CHERUIYOT,KEN,men_1500m,2023,209.08,208.28,0.8,2,1.69,-0.8,26.5
Mohamed KATIR,ESP,men_1500m,2021,208.76,208.76,0.0,4,2.5354,0.0,24.3
Mohamed KATIR,ESP,men_1500m,2022,209.9,208.76,1.14,5,2.4415,-1.14,24.3
Mohamed KATIR,ESP,men_1500m,2023,208.89,208.76,0.13,2,5.6993,-0.13,24.3
Yared NUGUSE,USA,men_1500m,2021,214.68,209.02,5.66,6,0.9428,0.0,22.6
Yared NUGUSE,USA,men_1500m,2022,213.26,209.02,4.24,4,1.2611,1.42,22.6
Yared NUGUSE,USA,men_1500m,2023,209.02,209.02,0.0,2,2.8284,4.24,22.6
Josh KERR,GBR,men_1500m,2021,209.05,209.05,0.0,5,3.0383,0.0,24.8
Josh KERR,GBR,men_1500m,2022,210.6,209.05,1.55,7,2.8183,-1.55,24.8
Josh KERR,GBR,men_1500m,2023,209.64,209.05,0.59,2,0.3041,-0.59,24.8
Mario GARCÍA,ESP,men_1500m,2021,215.79,209.18,6.61,3,0.9417,0.0,23.0
Mario GARCÍA,ESP,men_1500m,2022,210.2,209.18,1.02,8,2.3118,5.59,23.0
Mario GARCÍA,ESP,men_1500m,2023,209.18,209.18,0.0,2,3.8962,1.02,23.0
Jake WIGHTMAN,GBR,men_1500m,2021,213.48,209.23,4.25,3,0.8351,0.0,28.0
Jake WIGHTMAN,GBR,men_1500m,2022,209.23,209.23,0.0,5,2.5682,4.25,28.0
Azeddine HABZ,FRA,men_1500m,2021,211.74,209.26,2.48,5,1.9361,0.0,28.8
Azeddine HABZ,FRA,men_1500m,2022,215.05,209.26,5.79,5,0.6445,-3.31,28.8
Azeddine HABZ,FRA,men_1500m,2023,209.26,209.26,0.0,2,3.281,2.48,28.8
Oliver HOARE,AUS,men_1500m,2021,212.66,209.41,3.25,9,1.599,0.0,25.2
Oliver HOARE,AUS,men_1500m,2022,210.12,209.41,0.71,8,2.985,2.54,25.2
Oliver HOARE,AUS,men_1500m,2023,209.41,209.41,0.0,3,3.6501,0.71,25.2
Narve Gilje NORDÅS,NOR,men_1500m,2022,216.23,209.47,6.76,1,0.0,0.0,24.7
Narve Gilje NORDÅS,NOR,men_1500m,2023,209.47,209.47,0.0,4,2.8364,6.76,24.7
Stewart MCSWEYN,AUS,men_1500m,2021,209.51,209.51,0.0,12,2.1037,0.0,26.2
Stewart MCSWEYN,AUS,men_1500m,2022,210.18,209.51,0.67,5,2.1413,-0.67,26.2
Stewart MCSWEYN,AUS,men_1500m,2023,212.85,209.51,3.34,1,0.0,-3.34,26.2
Lamecha GIRMA,ETH,men_1500m,2023,209.51,209.51,0.0,2,2.5739,0.0,22.6
Abel KIPSANG,KEN,men_1500m,2021,209.56,209.56,0.0,10,2.2092,0.0,25.5
Abel KIPSANG,KEN,men_1500m,2022,209.93,209.56,0.37,14,2.5221,-0.37,25.5
Abel KIPSANG,KEN,men_1500m,2023,211.76,209.56,2.2,4,2.2339,-2.2,25.5
Charles Cheboi SIMOTWO,KEN,men_1500m,2021,210.3,210.3,0.0,9,1.9041,0.0,26.2
Charles Cheboi SIMOTWO,KEN,men_1500m,2022,217.35,210.3,7.05,3,0.1819,-7.05,26.2
Marcin LEWANDOWSKI,POL,men_1500m,2021,210.42,210.42,0.0,3,2.6782,0.0,34.1
Samuel TEFERA,ETH,men_1500m,2021,210.71,210.71,0.0,5,2.8728,0.0,21.8
Samuel TEFERA,ETH,men_1500m,2022,216.35,210.71,5.64,2,0.9617,-5.64,21.8
Adel MECHAAL,ESP,men_1500m,2021,210.77,210.77,0.0,5,2.6877,0.0,30.7
Adel MECHAAL,ESP,men_1500m,2022,215.93,210.77,5.16,2,0.4738,-5.16,30.7
Neil GOURLEY,GBR,men_1500m,2022,212.93,210.88,2.05,5,1.6595,0.0,27.4
Neil GOURLEY,GBR,men_1500m,2023,210.88,210.88,0.0,2,1.2374,2.05,27.4
Jake HEYWARD,GBR,men_1500m,2021,212.82,211.08,1.74,8,1.6804,0.0,22.3
Jake HEYWARD,GBR,men_1500m,2022,211.08,211.08,0.0,7,2.1311,1.74,22.3
Samuel TANNER,NZL,men_1500m,2021,216.44,211.34,5.1,1,0.0,0.0,21.9
Samuel TANNER,NZL,men_1500m,2022,211.34,211.34,0.0,6,2.0437,5.1,21.9
Samuel TANNER,NZL,men_1500m,2023,212.27,211.34,0.93,3,2.8744,-0.93,21.9
Cole HOCKER,USA,men_1500m,2021,211.4,211.4,0.0,6,1.8753,0.0,20.2
Cole HOCKER,USA,men_1500m,2022,215.18,211.4,3.78,3,0.5781,-3.78,20.2
Cole HOCKER,USA,men_1500m,2023,214.14,211.4,2.74,1,0.0,-2.74,20.2
Elliot GILES,GBR,men_1500m,2021,213.8,211.56,2.24,3,1.9891,0.0,28.2
Elliot GILES,GBR,men_1500m,2022,213.56,211.56,2.0,4,1.9767,0.24,28.2
Elliot GILES,GBR,men_1500m,2023,211.56,211.56,0.0,4,2.6926,2.0,28.2
Reynold Kipkorir CHERUIYOT,KEN,men_1500m,2022,214.02,211.6,2.42,5,0.698,0.0,18.1
Reynold Kipkorir CHERUIYOT,KEN,men_1500m,2023,211.6,211.6,0.0,4,0.9091,2.42,18.1
Isaac NADER,POR,men_1500m,2021,217.01,211.67,5.34,3,0.1026,0.0,23.8
Isaac NADER,POR,men_1500m,2023,211.67,211.67,0.0,4,2.3459,5.34,23.8
Melese NBERET,ETH,men_1500m,2021,211.82,211.82,0.0,2,1.2233,0.0,20.4
Teddese LEMI,ETH,men_1500m,2021,211.9,211.9,0.0,4,1.9651,0.0,23.4
Teddese LEMI,ETH,men_1500m,2022,212.98,211.9,1.08,4,1.7727,-1.08,23.4
Teddese LEMI,ETH,men_1500m,2023,212.24,211.9,0.34,2,1.393,-0.34,23.4
Soufiane EL BAKKALI,MAR,men_1500m,2021,211.95,211.95,0.0,1,0.0,0.0,25.4
Andreas ALMGREN,SWE,men_1500m,2023,212.0,212.0,0.0,2,3.1961,0.0,28.0
Robert FARKEN,GER,men_1500m,2021,214.64,212.1,2.54,8,1.07,0.0,23.9
Robert FARKEN,GER,men_1500m,2023,212.1,212.1,0.0,1,0.0,2.54,23.9
Filip INGEBRIGTSEN,NOR,men_1500m,2021,212.23,212.23,0.0,2,3.5214,0.0,28.3
Filip INGEBRIGTSEN,NOR,men_1500m,2022,217.42,212.23,5.19,1,0.0,-5.19,28.3
Adam Ali MUSAB,QAT,men_1500m,2021,212.41,212.41,0.0,5,1.8116,0.0,26.2
Baptiste MISCHLER,FRA,men_1500m,2021,212.42,212.42,0.0,5,2.0968,0.0,24.1
Baptiste MISCHLER,FRA,men_1500m,2022,216.11,212.42,3.69,1,0.0,-3.69,24.1
Baptiste MISCHLER,FRA,men_1500m,2023,215.31,212.42,2.89,4,0.9112,-2.89,24.1
Michał ROZMYS,POL,men_1500m,2021,212.67,212.43,0.24,8,1.6052,0.0,27.2
Michał ROZMYS,POL,men_1500m,2022,212.43,212.43,0.0,11,1.6361,0.24,27.2
Michał ROZMYS,POL,men_1500m,2023,217.22,212.43,4.79,1,0.0,-4.79,27.2
Matthew STONIER,GBR,men_1500m,2022,212.5,212.5,0.0,6,1.6471,0.0,20.9
