athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Karsten WARHOLM,NOR,men_400h,2021,45.94,45.94,0.0,7,0.8843,0.0,26.0
Karsten WARHOLM,NOR,men_400h,2022,47.12,45.94,1.18,6,0.8279,-1.18,26.0
Karsten WARHOLM,NOR,men_400h,2023,46.52,45.94,0.58,1,0.0,-0.58,26.0
Rai BENJAMIN,USA,men_400h,2021,46.17,46.17,0.0,8,1.0191,0.0,24.8
Rai BENJAMIN,USA,men_400h,2022,46.89,46.17,0.72,8,0.7803,-0.72,24.8
Rai BENJAMIN,USA,men_400h,2023,47.74,46.17,1.57,2,0.0283,-1.57,24.8
Alison DOS SANTOS,BRA,men_400h,2021,46.72,46.29,0.43,14,0.6937,0.0,21.3
Alison DOS SANTOS,BRA,men_400h,2022,46.29,46.29,0.0,12,0.804,0.43,21.3
Kyron MCMASTER,IVB,men_400h,2021,47.08,47.08,0.0,7,0.5736,0.0,25.5
Kyron MCMASTER,IVB,men_400h,2022,47.34,47.08,0.26,7,0.9762,-0.26,25.5
Kyron MCMASTER,IVB,men_400h,2023,48.57,47.08,1.49,3,0.08,-1.49,25.5
Abderrahman SAMBA,QAT,men_400h,2021,47.12,47.12,0.0,5,0.6269,0.0,25.9
Trevor BASSITT,USA,men_400h,2021,48.8,47.39,1.41,6,0.4513,0.0,24.3
Trevor BASSITT,USA,men_400h,2022,47.39,47.39,0.0,11,0.814,1.41,24.3
Trevor BASSITT,USA,men_400h,2023,48.28,47.39,0.89,6,0.475,-0.89,24.3
Wilfried HAPPIO,FRA,men_400h,2021,49.27,47.41,1.86,7,0.1445,0.0,23.8
Wilfried HAPPIO,FRA,men_400h,2022,47.41,47.41,0.0,18,0.6014,1.86,23.8
Wilfried HAPPIO,FRA,men_400h,2023,48.13,47.41,0.72,5,0.5865,-0.72,23.8
CJ ALLEN,USA,men_400h,2021,48.73,47.58,1.15,8,0.389,0.0,27.4
CJ ALLEN,USA,men_400h,2022,48.17,47.58,0.59,14,0.4352,0.56,27.4
CJ ALLEN,USA,men_400h,2023,47.58,47.58,0.0,7,0.4476,0.59,27.4
Khallifah ROSSER,USA,men_400h,2021,48.81,47.59,1.22,9,0.3399,0.0,26.9
Khallifah ROSSER,USA,men_400h,2022,47.59,47.59,0.0,19,0.6641,1.22,26.9
Khallifah ROSSER,USA,men_400h,2023,48.6,47.59,1.01,5,0.2557,-1.01,26.9
Yasmani COPELLO,TUR,men_400h,2021,47.81,47.81,0.0,14,0.53,0.0,34.8
Yasmani COPELLO,TUR,men_400h,2022,48.27,47.81,0.46,13,0.4112,-0.46,34.8
Yasmani COPELLO,TUR,men_400h,2023,49.25,47.81,1.44,1,0.0,-1.44,34.8
Rasmus MÄGI,EST,men_400h,2021,48.11,47.82,0.29,14,0.262,0.0,29.3
Rasmus MÄGI,EST,men_400h,2022,47.82,47.82,0.0,8,0.3454,0.29,29.3
Rasmus MÄGI,EST,men_400h,2023,48.63,47.82,0.81,1,0.0,-0.81,29.3
Sean BURRELL,USA,men_400h,2021,47.85,47.85,0.0,6,0.6519,0.0,19.3
Sean BURRELL,USA,men_400h,2022,48.7,47.85,0.85,2,0.3465,-0.85,19.3
Sean BURRELL,USA,men_400h,2023,49.32,47.85,1.47,2,0.3677,-1.47,19.3
Alessandro SIBILIO,ITA,men_400h,2021,47.93,47.93,0.0,10,0.6055,0.0,22.2
Alessandro SIBILIO,ITA,men_400h,2023,48.14,47.93,0.21,3,0.3121,-0.21,22.2
Jaheel HYDE,JAM,men_400h,2021,48.18,48.03,0.15,9,0.5946,0.0,25.0
Jaheel HYDE,JAM,men_400h,2022,48.03,48.03,0.0,7,0.6442,0.15,25.0
Jaheel HYDE,JAM,men_400h,2023,48.57,48.03,0.54,2,0.8697,-0.54,25.0
Kenneth SELMON,USA,men_400h,2021,48.08,48.08,0.0,12,0.3538,0.0,24.8
Quincy HALL,USA,men_400h,2021,49.04,48.1,0.94,2,0.5515,0.0,23.8
Quincy HALL,USA,men_400h,2022,48.1,48.1,0.0,7,0.5924,0.94,23.8
Gerald DRUMMOND,CRC,men_400h,2021,49.31,48.11,1.2,4,0.2899,0.0,27.7
Gerald DRUMMOND,CRC,men_400h,2022,48.87,48.11,0.76,7,0.3304,0.44,27.7
Gerald DRUMMOND,CRC,men_400h,2023,48.11,48.11,0.0,2,0.6647,0.76,27.7
Chris ROBINSON,USA,men_400h,2022,49.18,48.12,1.06,1,0.0,0.0,22.2
Chris ROBINSON,USA,men_400h,2023,48.12,48.12,0.0,7,0.4854,1.06,22.2
Thomas BARR,IRL,men_400h,2021,48.26,48.26,0.0,7,0.5516,0.0,30.0
Thomas BARR,IRL,men_400h,2022,49.15,48.26,0.89,5,0.204,-0.89,30.0
Thomas BARR,IRL,men_400h,2023,49.05,48.26,0.79,7,0.336,-0.79,30.0
Ludvy VAILLANT,FRA,men_400h,2021,48.8,48.26,0.54,7,0.4095,0.0,27.3
Ludvy VAILLANT,FRA,men_400h,2022,48.26,48.26,0.0,12,0.4543,0.54,27.3
Ludvy VAILLANT,FRA,men_400h,2023,48.5,48.26,0.24,3,0.0551,-0.24,27.3
Ayden OWENS-DELERME,PUR,men_400h,2023,48.26,48.26,0.0,4,0.7221,0.0,23.0
David KENDZIERA,USA,men_400h,2021,48.38,48.38,0.0,7,0.5547,0.0,27.6
David KENDZIERA,USA,men_400h,2022,49.2,48.38,0.82,6,0.1706,-0.82,27.6
David KENDZIERA,USA,men_400h,2023,48.74,48.38,0.36,4,0.4897,-0.36,27.6
Taylor MCLAUGHLIN,USA,men_400h,2023,48.38,48.38,0.0,1,0.0,0.0,25.8
Caleb DEAN,USA,men_400h,2021,49.77,48.39,1.38,2,0.0071,0.0,21.8
Caleb DEAN,USA,men_400h,2022,49.78,48.39,1.39,1,0.0,-0.01,21.8
Caleb DEAN,USA,men_400h,2023,48.39,48.39,0.0,7,0.6717,1.38,21.8
Ezekiel NATHANIEL,NGR,men_400h,2021,49.89,48.42,1.47,1,0.0,0.0,19.5
Ezekiel NATHANIEL,NGR,men_400h,2022,48.42,48.42,0.0,9,0.3812,1.47,19.5
Ezekiel NATHANIEL,NGR,men_400h,2023,48.52,48.42,0.1,10,0.3838,-0.1,19.5
Isaiah LEVINGSTON,USA,men_400h,2021,48.49,48.49,0.0,9,0.4152,0.0,22.8
Isaiah LEVINGSTON,USA,men_400h,2022,48.82,48.49,0.33,6,0.3855,-0.33,22.8
Carl BENGTSTRÖM,SWE,men_400h,2021,48.53,48.52,0.01,5,0.5821,0.0,22.4
Carl BENGTSTRÖM,SWE,men_400h,2022,48.52,48.52,0.0,8,0.4141,0.01,22.4
Wiseman Were MUKHOBE,KEN,men_400h,2022,49.09,48.52,0.57,4,0.3564,0.0,25.5
Wiseman Were MUKHOBE,KEN,men_400h,2023,48.52,48.52,0.0,7,0.454,0.57,25.5
Kemar MOWATT,JAM,men_400h,2021,48.75,48.53,0.22,7,0.3956,0.0,26.4
Kemar MOWATT,JAM,men_400h,2022,48.53,48.53,0.0,5,0.6287,0.22,26.4
Amere LATTIN,USA,men_400h,2021,48.94,48.53,0.41,9,0.3809,0.0,24.9
Amere LATTIN,USA,men_400h,2022,48.53,48.53,0.0,10,0.4966,0.41,24.9
Amere LATTIN,USA,men_400h,2023,49.18,48.53,0.65,4,0.3413,-0.65,24.9
Corde LONG,USA,men_400h,2022,49.3,48.53,0.77,4,0.3308,0.0,
Corde LONG,USA,men_400h,2023,48.53,48.53,0.0,5,0.5209,0.77,
Aldrich BAILEY JR,USA,men_400h,2021,48.55,48.55,0.0,5,0.5797,0.0,28.3
Aldrich BAILEY JR,USA,men_400h,2022,49.01,48.55,0.46,9,0.2928,-0.46,28.3
Joshua ABUAKU,GER,men_400h,2021,49.5,48.55,0.95,5,0.1973,0.0,26.1
Joshua ABUAKU,GER,men_400h,2022,48.55,48.55,0.0,7,0.5041,0.95,26.1
Joshua ABUAKU,GER,men_400h,2023,48.67,48.55,0.12,4,0.2879,-0.12,26.1
Pablo Andres IBAÑEZ GUEVARA,ESA,men_400h,2022,50.0,48.56,1.44,1,0.0,0.0,24.6
Pablo Andres IBAÑEZ GUEVARA,ESA,men_400h,2023,48.56,48.56,0.0,3,0.5816,1.44,24.6
Abderrahman Almoubarrake S ALSALECK,QAT,men_400h,2023,48.56,48.56,0.0,1,0.0,0.0,27.7
Sokwakhana ZAZINI,RSA,men_400h,2021,48.99,48.58,0.41,2,0.3677,0.0,22.4
Sokwakhana ZAZINI,RSA,men_400h,2022,49.17,48.58,0.59,8,0.2832,-0.18,22.4
Sokwakhana ZAZINI,RSA,men_400h,2023,48.58,48.58,0.0,4,0.5336,0.41,22.4
