athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Miltiadis TENTOGLOU,GRE,men_LJ,2021,8.6,8.6,0.0,7,0.1391,0.0,24.3
Miltiadis TENTOGLOU,GRE,men_LJ,2022,8.52,8.6,0.08,14,0.1396,-0.08,24.3
Miltiadis TENTOGLOU,GRE,men_LJ,2023,8.34,8.6,0.26,6,0.0962,-0.26,24.3
Juan Miguel ECHEVARRÍA,CUB,men_LJ,2021,8.5,8.5,0.0,5,0.0862,0.0,22.9
JuVaughn HARRISON,USA,men_LJ,2021,8.47,8.47,0.0,8,0.1495,0.0,22.2
JuVaughn HARRISON,USA,men_LJ,2023,8.07,8.47,0.4,1,0.0,-0.4,22.2
Simon EHAMMER,SUI,men_LJ,2021,8.1,8.45,0.35,2,0.0283,0.0,22.4
Simon EHAMMER,SUI,men_LJ,2022,8.45,8.45,0.0,8,0.1461,0.35,22.4
Simon EHAMMER,SUI,men_LJ,2023,8.32,8.45,0.13,4,0.0968,-0.13,22.4
Jeswin ALDRIN,IND,men_LJ,2022,8.26,8.42,0.16,4,0.0663,0.0,20.8
Jeswin ALDRIN,IND,men_LJ,2023,8.42,8.42,0.0,2,0.2546,0.16,20.8
. SREESHANKAR,IND,men_LJ,2021,8.26,8.41,0.15,2,0.1485,0.0,23.2
. SREESHANKAR,IND,men_LJ,2022,8.36,8.41,0.05,7,0.1452,0.1,23.2
. SREESHANKAR,IND,men_LJ,2023,8.41,8.41,0.0,4,0.1384,0.05,23.2
Jeff HENDERSON,USA,men_LJ,2021,8.39,8.39,0.0,2,0.2192,0.0,32.3
Maykel MASSÓ,CUB,men_LJ,2021,8.39,8.39,0.0,4,0.1599,0.0,23.1
Maykel MASSÓ,CUB,men_LJ,2022,8.35,8.39,0.04,7,0.1075,-0.04,23.1
Maykel MASSÓ,CUB,men_LJ,2023,8.36,8.39,0.03,1,0.0,-0.03,23.1
Marquis DENDY,USA,men_LJ,2021,8.38,8.38,0.0,2,0.0636,0.0,29.7
Marquis DENDY,USA,men_LJ,2022,8.31,8.38,0.07,7,0.1041,-0.07,29.7
Marquis DENDY,USA,men_LJ,2023,8.34,8.38,0.04,2,0.0566,-0.04,29.7
Wayne PINNOCK,JAM,men_LJ,2021,8.08,8.37,0.29,1,0.0,0.0,21.6
Wayne PINNOCK,JAM,men_LJ,2022,8.14,8.37,0.23,5,0.0537,0.06,21.6
Wayne PINNOCK,JAM,men_LJ,2023,8.37,8.37,0.0,3,0.1637,0.23,21.6
Yuki HASHIOKA,JPN,men_LJ,2021,8.36,8.36,0.0,5,0.1155,0.0,22.8
Yuki HASHIOKA,JPN,men_LJ,2022,8.27,8.36,0.09,4,0.1024,-0.09,22.8
Yuki HASHIOKA,JPN,men_LJ,2023,8.06,8.36,0.3,1,0.0,-0.3,22.8
Jianan WANG,CHN,men_LJ,2021,8.26,8.36,0.1,1,0.0,0.0,26.3
Jianan WANG,CHN,men_LJ,2022,8.36,8.36,0.0,1,0.0,0.1,26.3
Jianan WANG,CHN,men_LJ,2023,8.26,8.36,0.1,2,0.0283,-0.1,26.3
Carey MCLEOD,JAM,men_LJ,2021,8.34,8.34,0.0,4,0.1118,0.0,23.2
Carey MCLEOD,JAM,men_LJ,2023,8.26,8.34,0.08,2,0.0849,-0.08,23.2
Corey CRAWFORD,USA,men_LJ,2021,8.29,8.29,0.0,4,0.1289,0.0,29.5
Tajay GAYLE,JAM,men_LJ,2021,8.29,8.29,0.0,7,0.1205,0.0,25.0
Tajay GAYLE,JAM,men_LJ,2022,8.26,8.29,0.03,2,0.1414,-0.03,25.0
Tajay GAYLE,JAM,men_LJ,2023,8.12,8.29,0.17,3,0.0513,-0.17,25.0
Damian WARNER,CAN,men_LJ,2021,8.28,8.28,0.0,2,0.0283,0.0,31.6
Emiliano LASA,URU,men_LJ,2021,8.11,8.28,0.17,1,0.0,0.0,32.0
Emiliano LASA,URU,men_LJ,2022,8.28,8.28,0.0,3,0.1012,0.17,32.0
Emiliano LASA,URU,men_LJ,2023,8.01,8.28,0.27,1,0.0,-0.27,32.0
Jingqiang ZHANG,CHN,men_LJ,2021,8.01,8.28,0.27,1,0.0,0.0,26.2
Jingqiang ZHANG,CHN,men_LJ,2022,8.28,8.28,0.0,2,0.1414,0.27,26.2
Thobias MONTLER,SWE,men_LJ,2021,8.27,8.27,0.0,8,0.093,0.0,26.3
Thobias MONTLER,SWE,men_LJ,2022,8.27,8.27,0.0,8,0.0798,0.0,26.3
Thobias MONTLER,SWE,men_LJ,2023,8.01,8.27,0.26,1,0.0,-0.26,26.3
Chenault Lionel COETZEE,NAM,men_LJ,2023,8.27,8.27,0.0,2,0.1626,0.0,26.0
Cheswill JOHNSON,RSA,men_LJ,2021,8.26,8.26,0.0,2,0.0849,0.0,24.4
Cheswill JOHNSON,RSA,men_LJ,2022,8.11,8.26,0.15,2,0.0636,-0.15,24.4
Cheswill JOHNSON,RSA,men_LJ,2023,8.08,8.26,0.18,1,0.0,-0.18,24.4
Steffin MCCARTER,USA,men_LJ,2021,8.26,8.26,0.0,6,0.0857,0.0,24.6
Steffin MCCARTER,USA,men_LJ,2022,8.15,8.26,0.11,3,0.0551,-0.11,24.6
Steffin MCCARTER,USA,men_LJ,2023,8.04,8.26,0.22,2,0.0283,-0.22,24.6
Hiromichi YOSHIDA,JPN,men_LJ,2021,8.14,8.26,0.12,1,0.0,0.0,23.0
Hiromichi YOSHIDA,JPN,men_LJ,2022,8.12,8.26,0.14,1,0.0,-0.02,23.0
Hiromichi YOSHIDA,JPN,men_LJ,2023,8.26,8.26,0.0,1,0.0,0.12,23.0
Jarrion LAWSON,USA,men_LJ,2021,8.25,8.25,0.0,1,0.0,0.0,28.0
Jarrion LAWSON,USA,men_LJ,2022,8.02,8.25,0.23,1,0.0,-0.23,28.0
Jarrion LAWSON,USA,men_LJ,2023,8.09,8.25,0.16,1,0.0,-0.16,28.0
Bachana KHORAVA,GEO,men_LJ,2021,8.24,8.24,0.0,1,0.0,0.0,28.2
Mattia FURLANI,ITA,men_LJ,2022,8.04,8.24,0.2,1,0.0,0.0,18.3
Mattia FURLANI,ITA,men_LJ,2023,8.24,8.24,0.0,3,0.1286,0.2,18.3
Samory FRAGA,BRA,men_LJ,2021,8.23,8.23,0.0,1,0.0,0.0,24.4
William WILLIAMS,USA,men_LJ,2022,8.12,8.23,0.11,3,0.0252,0.0,27.8
William WILLIAMS,USA,men_LJ,2023,8.23,8.23,0.0,3,0.095,0.11,27.8
LaQuan NAIRN,BAH,men_LJ,2021,8.04,8.22,0.18,1,0.0,0.0,26.0
