athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Armand DUPLANTIS,SWE,men_PV,2021,6.1,6.21,0.11,13,0.1751,0.0,22.6
Armand DUPLANTIS,SWE,men_PV,2022,6.21,6.21,0.0,14,0.1923,0.11,22.6
Armand DUPLANTIS,SWE,men_PV,2023,6.12,6.21,0.09,4,0.0984,-0.09,22.6
KC LIGHTFOOT,USA,men_PV,2021,5.87,6.07,0.2,16,0.102,0.0,21.8
KC LIGHTFOOT,USA,men_PV,2022,5.71,6.07,0.36,2,0.0778,-0.16,21.8
KC LIGHTFOOT,USA,men_PV,2023,6.07,6.07,0.0,5,0.1553,0.2,21.8
Christopher NILSEN,USA,men_PV,2021,5.97,6.0,0.03,15,0.084,0.0,24.4
Christopher NILSEN,USA,men_PV,2022,6.0,6.0,0.0,19,0.1234,0.03,24.4
Christopher NILSEN,USA,men_PV,2023,5.92,6.0,0.08,5,0.0864,-0.08,24.4
Ernest John OBIENA,PHI,men_PV,2021,5.93,6.0,0.07,16,0.1023,0.0,26.6
Ernest John OBIENA,PHI,men_PV,2022,5.94,6.0,0.06,15,0.0703,0.01,26.6
Ernest John OBIENA,PHI,men_PV,2023,6.0,6.0,0.0,5,0.1394,0.06,26.6
Sam KENDRICKS,USA,men_PV,2021,5.93,5.93,0.0,16,0.0862,0.0,29.0
Sam KENDRICKS,USA,men_PV,2022,5.65,5.93,0.28,1,0.0,-0.28,29.0
Sam KENDRICKS,USA,men_PV,2023,5.91,5.93,0.02,7,0.0976,-0.02,29.0
Timur MORGUNOV,ANA,men_PV,2021,5.93,5.93,0.0,7,0.081,0.0,24.9
Timur MORGUNOV,ANA,men_PV,2022,5.7,5.93,0.23,4,0.0608,-0.23,24.9
Timur MORGUNOV,ANA,men_PV,2023,5.71,5.93,0.22,2,0.1485,-0.22,24.9
Thiago BRAZ,BRA,men_PV,2021,5.87,5.93,0.06,7,0.0919,0.0,28.5
Thiago BRAZ,BRA,men_PV,2022,5.93,5.93,0.0,8,0.1404,0.06,28.5
Renaud LAVILLENIE,FRA,men_PV,2021,5.92,5.92,0.0,9,0.1163,0.0,35.8
