athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Sydney MCLAUGHLIN,USA,women_400h,2021,51.46,50.68,0.78,7,1.1165,0.0,22.8
Sydney MCLAUGHLIN,USA,women_400h,2022,50.68,50.68,0.0,8,1.2335,0.78,22.8
Dalilah MUHAMMAD,USA,women_400h,2021,51.58,51.58,0.0,10,1.2252,0.0,31.5
Dalilah MUHAMMAD,USA,women_400h,2022,53.13,51.58,1.55,8,0.5522,-1.55,31.5
Dalilah MUHAMMAD,USA,women_400h,2023,55.72,51.58,4.14,1,0.0,-4.14,31.5
Femke BOL,NED,women_400h,2021,52.03,52.03,0.0,12,0.7548,0.0,22.3
Femke BOL,NED,women_400h,2022,52.27,52.03,0.24,11,0.5982,-0.24,22.3
Femke BOL,NED,women_400h,2023,52.3,52.03,0.27,4,0.3669,-0.27,22.3
Shamier LITTLE,USA,women_400h,2021,52.39,52.39,0.0,11,0.7692,0.0,26.5
Shamier LITTLE,USA,women_400h,2022,53.61,52.39,1.22,8,0.9495,-1.22,26.5
Shamier LITTLE,USA,women_400h,2023,53.38,52.39,0.99,2,0.4031,-0.99,26.5
Anna RYZHYKOVA,UKR,women_400h,2021,52.96,52.96,0.0,15,0.5956,0.0,32.5
Anna RYZHYKOVA,UKR,women_400h,2022,54.25,52.96,1.29,15,0.4863,-1.29,32.5
Anna RYZHYKOVA,UKR,women_400h,2023,55.41,52.96,2.45,3,0.3062,-2.45,32.5
Janieve RUSSELL,JAM,women_400h,2021,53.08,53.08,0.0,16,0.6815,0.0,28.5
Janieve RUSSELL,JAM,women_400h,2022,53.52,53.08,0.44,15,0.6563,-0.44,28.5
Janieve RUSSELL,JAM,women_400h,2023,54.91,53.08,1.83,2,0.3536,-1.83,28.5
Britton WILSON,USA,women_400h,2022,53.08,53.08,0.0,14,0.7473,0.0,21.6
Britton WILSON,USA,women_400h,2023,53.23,53.08,0.15,8,1.0533,-0.15,21.6
Rushell CLAYTON,JAM,women_400h,2022,53.33,53.33,0.0,16,0.6397,0.0,29.8
Rushell CLAYTON,JAM,women_400h,2023,53.84,53.33,0.51,4,0.3707,-0.51,29.8
Andrenette KNIGHT,JAM,women_400h,2021,55.75,53.39,2.36,3,0.0755,0.0,25.6
Andrenette KNIGHT,JAM,women_400h,2022,53.39,53.39,0.0,7,0.719,2.36,25.6
Andrenette KNIGHT,JAM,women_400h,2023,54.2,53.39,0.81,3,0.4804,-0.81,25.6
Gianna WOODRUFF,PAN,women_400h,2021,54.2,53.69,0.51,10,0.5631,0.0,28.6
Gianna WOODRUFF,PAN,women_400h,2022,53.69,53.69,0.0,17,0.6094,0.51,28.6
Gianna WOODRUFF,PAN,women_400h,2023,54.46,53.69,0.77,4,0.7856,-0.77,28.6
Anna COCKRELL,USA,women_400h,2021,53.7,53.7,0.0,8,0.6901,0.0,23.9
Anna COCKRELL,USA,women_400h,2022,53.98,53.7,0.28,5,0.6616,-0.28,23.9
Anna COCKRELL,USA,women_400h,2023,55.06,53.7,1.36,2,0.3253,-1.36,23.9
Viktoriya TKACHUK,UKR,women_400h,2021,53.76,53.76,0.0,14,0.486,0.0,27.6
Viktoriya TKACHUK,UKR,women_400h,2022,54.24,53.76,0.48,14,0.3925,-0.48,27.6
Viktoriya TKACHUK,UKR,women_400h,2023,54.71,53.76,0.95,6,0.4532,-0.95,27.6
Shiann SALMON,JAM,women_400h,2021,54.97,53.82,1.15,2,0.0212,0.0,23.3
Shiann SALMON,JAM,women_400h,2022,53.82,53.82,0.0,11,0.5342,1.15,23.3
Shiann SALMON,JAM,women_400h,2023,54.42,53.82,0.6,5,0.5944,-0.6,23.3
Line KLOSTER,NOR,women_400h,2021,55.14,53.91,1.23,4,0.2729,0.0,32.3
Line KLOSTER,NOR,women_400h,2022,53.91,53.91,0.0,5,0.7592,1.23,32.3
Line KLOSTER,NOR,women_400h,2023,55.87,53.91,1.96,2,0.0636,-1.96,32.3
Jessie KNIGHT,GBR,women_400h,2021,54.23,54.09,0.14,8,0.5077,0.0,28.0
Jessie KNIGHT,GBR,women_400h,2022,54.09,54.09,0.0,14,0.4921,0.14,28.0
Jessie KNIGHT,GBR,women_400h,2023,54.32,54.09,0.23,6,0.5994,-0.23,28.0
Cara Nnenya HAILEY,USA,women_400h,2021,54.21,54.21,0.0,12,0.5186,0.0,27.4
Emma ZAPLETALOVÁ,SVK,women_400h,2021,54.28,54.28,0.0,8,0.5059,0.0,21.3
Carolina KRAFZIK,GER,women_400h,2021,54.72,54.32,0.4,7,0.3695,0.0,26.4
Carolina KRAFZIK,GER,women_400h,2022,54.32,54.32,0.0,3,0.7214,0.4,26.4
Carolina KRAFZIK,GER,women_400h,2023,54.47,54.32,0.15,3,0.4402,-0.15,26.4
Ronda WHYTE,JAM,women_400h,2021,54.33,54.33,0.0,7,0.5415,0.0,30.8
Ronda WHYTE,JAM,women_400h,2022,55.59,54.33,1.26,2,0.2687,-1.26,30.8
Ronda WHYTE,JAM,women_400h,2023,55.11,54.33,0.78,4,0.298,-0.78,30.8
Sara GALLEGO,ESP,women_400h,2021,55.2,54.34,0.86,1,0.0,0.0,21.7
Sara GALLEGO,ESP,women_400h,2022,54.34,54.34,0.0,9,0.3765,0.86,21.7
Ayomide FOLORUNSO,ITA,women_400h,2021,54.65,54.34,0.31,2,0.6435,0.0,25.8
Ayomide FOLORUNSO,ITA,women_400h,2022,54.34,54.34,0.0,12,0.4964,0.31,25.8
Ayomide FOLORUNSO,ITA,women_400h,2023,54.79,54.34,0.45,3,0.2768,-0.45,25.8
Viivi LEHIKOINEN,FIN,women_400h,2021,55.42,54.4,1.02,6,0.19,0.0,22.9
Viivi LEHIKOINEN,FIN,women_400h,2022,54.5,54.4,0.1,10,0.3859,0.92,22.9
Viivi LEHIKOINEN,FIN,women_400h,2023,54.4,54.4,0.0,6,0.3441,0.1,22.9
