athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Athing MU,USA,women_800m,2021,115.04,115.04,0.0,8,2.3554,0.0,19.6
Athing MU,USA,women_800m,2022,116.3,115.04,1.26,7,2.0475,-1.26,19.6
Athing MU,USA,women_800m,2023,118.73,115.04,3.69,1,0.0,-3.69,19.6
Keely HODGKINSON,GBR,women_800m,2021,115.88,115.77,0.11,10,1.6128,0.0,20.2
Keely HODGKINSON,GBR,women_800m,2022,116.38,115.77,0.61,12,1.3616,-0.5,20.2
Keely HODGKINSON,GBR,women_800m,2023,115.77,115.77,0.0,2,1.8385,0.11,20.2
Rose Mary ALMANZA,CUB,women_800m,2021,116.28,116.28,0.0,8,1.6177,0.0,29.4
Rose Mary ALMANZA,CUB,women_800m,2022,118.6,116.28,2.32,4,1.5932,-2.32,29.4
Rose Mary ALMANZA,CUB,women_800m,2023,119.57,116.28,3.29,4,0.4479,-3.29,29.4
Natoya GOULE,JAM,women_800m,2021,116.44,116.44,0.0,12,1.2494,0.0,31.2
Natoya GOULE,JAM,women_800m,2022,116.98,116.44,0.54,13,1.1005,-0.54,31.2
Natoya GOULE,JAM,women_800m,2023,118.23,116.44,1.79,3,1.3947,-1.79,31.2
Werkuha GETACHEW,ETH,women_800m,2021,116.67,116.67,0.0,1,0.0,0.0,25.5
Mary MORAA,KEN,women_800m,2021,119.25,116.71,2.54,11,0.8073,0.0,22.0
Mary MORAA,KEN,women_800m,2022,116.71,116.71,0.0,13,1.541,2.54,22.0
Mary MORAA,KEN,women_800m,2023,117.43,116.71,0.72,4,0.992,-0.72,22.0
Laura MUIR,GBR,women_800m,2021,116.73,116.73,0.0,5,1.6483,0.0,28.2
Laura MUIR,GBR,women_800m,2022,117.87,116.73,1.14,3,0.5086,-1.14,28.2
Raevyn ROGERS,USA,women_800m,2021,116.81,116.81,0.0,9,1.4802,0.0,25.6
Raevyn ROGERS,USA,women_800m,2022,117.96,116.81,1.15,9,1.3753,-1.15,25.6
Raevyn ROGERS,USA,women_800m,2023,120.0,116.81,3.19,2,0.1414,-3.19,25.6
