athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Anzhelika SIDOROVA,ANA,women_PV,2021,5.01,5.01,0.0,10,0.1375,0.0,30.2
Anzhelika SIDOROVA,ANA,women_PV,2022,4.91,5.01,0.1,7,0.0975,-0.1,30.2
Katie NAGEOTTE,USA,women_PV,2021,4.95,4.95,0.0,12,0.176,0.0,30.1
Katie NAGEOTTE,USA,women_PV,2022,4.85,4.95,0.1,6,0.181,-0.1,30.1
Holly BRADSHAW,GBR,women_PV,2021,4.9,4.9,0.0,13,0.1147,0.0,29.8
Holly BRADSHAW,GBR,women_PV,2022,4.6,4.9,0.3,5,0.05,-0.3,29.8
Holly BRADSHAW,GBR,women_PV,2023,4.51,4.9,0.39,1,0.0,-0.39,29.8
Sandi MORRIS,USA,women_PV,2021,4.84,4.85,0.01,8,0.1612,0.0,29.9
Sandi MORRIS,USA,women_PV,2022,4.85,4.85,0.0,10,0.1045,0.01,29.9
Sandi MORRIS,USA,women_PV,2023,4.71,4.85,0.14,4,0.05,-0.14,29.9
Wilma MURTO,FIN,women_PV,2021,4.72,4.85,0.13,11,0.1281,0.0,24.1
Wilma MURTO,FIN,women_PV,2022,4.85,4.85,0.0,13,0.1391,0.13,24.1
Wilma MURTO,FIN,women_PV,2023,4.77,4.85,0.08,8,0.1532,-0.08,24.1
Nina KENNEDY,AUS,women_PV,2021,4.82,4.82,0.0,9,0.1335,0.0,25.2
Nina KENNEDY,AUS,women_PV,2022,4.81,4.82,0.01,13,0.1371,-0.01,25.2
Nina KENNEDY,AUS,women_PV,2023,4.77,4.82,0.05,4,0.1399,-0.05,25.2
Katie MOON,USA,women_PV,2023,4.82,4.82,0.0,4,0.0608,0.0,32.0
Aikaterini STEFANIDI,GRE,women_PV,2021,4.8,4.8,0.0,11,0.1095,0.0,32.3
Aikaterini STEFANIDI,GRE,women_PV,2022,4.75,4.8,0.05,15,0.098,-0.05,32.3
Aikaterini STEFANIDI,GRE,women_PV,2023,4.55,4.8,0.25,5,0.0643,-0.25,32.3
