Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,3:35.14,,Benson SEUREI,27 MAR 1984,BRN,12,,"Stade de France, Paris-St-Denis (FRA)",04 JUL 2015,1173,men_1500m,2015,https://worldathletics.org/athletes/athlete=14420554
2,3:35.78,,Mohamad ALGARNI,02 JUL 1992,QAT,2f1,,Sollentuna (SWE),25 JUN 2015,1164,men_1500m,2015,https://worldathletics.org/athletes/athlete=14373540
3,3:37.59,,Rashid RAMZI,17 JUL 1980,BRN,3f1,,Ninove (BEL),01 AUG 2015,1139,men_1500m,2015,https://worldathletics.org/athletes/athlete=14175117
4,3:38.99,,Yusuf Saad KAMEL,29 MAR 1983,BRN,1,,Ried im Innkreis (AUT),17 JUL 2015,1120,men_1500m,2015,https://worldathletics.org/athletes/athlete=14175129
5,3:39.18,,Mohammed Ayoub TIOUALI,26 MAY 1991,BRN,1,,Bern (SUI),29 JUL 2015,1117,men_1500m,2015,https://worldathletics.org/athletes/athlete=14441527
6,3:39.62,,Abdullah Obaid AL SALHI,01 JAN 1994,KSA,5f1,,Kessel-Lo (BEL),08 AUG 2015,1112,men_1500m,2015,https://worldathletics.org/athletes/athlete=14479899
7,3:40.69,,Musaeb Abdulrahman BALLA,19 MAR 1989,QAT,3,,Granollers (ESP),08 AUG 2015,1097,men_1500m,2015,https://worldathletics.org/athletes/athlete=14411825
8,3:40.82,,Said ADEN,1993,QAT,7,,"Stadio Guidobaldi, Rieti (ITA)",13 SEP 2015,1095,men_1500m,2015,https://worldathletics.org/athletes/athlete=14721107
9,3:41.16,,Kota MURAYAMA,23 FEB 1993,JPN,3f2,,Kumamoto (JPN),04 APR 2015,1091,men_1500m,2015,https://worldathletics.org/athletes/athlete=14439660
10,3:42.06,,Hazuma HATTORI,07 FEB 1995,JPN,1f1,,Kitami (JPN),12 JUL 2015,1079,men_1500m,2015,https://worldathletics.org/athletes/athlete=14520155
11,3:42.14,,Masaki TODA,21 JUN 1993,JPN,3,,Kobe (JPN),26 APR 2015,1078,men_1500m,2015,https://worldathletics.org/athletes/athlete=14483461
12,3:42.15,,Daiki HIROSE,06 OCT 1991,JPN,4,,Kobe (JPN),26 APR 2015,1078,men_1500m,2015,https://worldathletics.org/athletes/athlete=14446284
13,3:42.51,,Tatsuhiko HORI,04 APR 1995,JPN,2f1,,Kitami (JPN),12 JUL 2015,1073,men_1500m,2015,https://worldathletics.org/athletes/athlete=14574805
14,3:42.52,,Yuta MATSUDA,12 APR 1988,JPN,3f1,,Kitami (JPN),12 JUL 2015,1073,men_1500m,2015,https://worldathletics.org/athletes/japan/yuta-matsuda-14516091
15,3:42.69,,Toshihiro KENMOTSU,25 JUN 1990,JPN,4f1,,Kitami (JPN),12 JUL 2015,1071,men_1500m,2015,https://worldathletics.org/athletes/athlete=14423278
16,3:43.11,,Tetsuya YOROIZAKA,20 MAR 1990,JPN,3f4,,Liège (BEL),15 JUL 2015,1065,men_1500m,2015,https://worldathletics.org/athletes/athlete=14327538
17,3:43.16,,Yasunari KUSU,21 AUG 1993,JPN,4f4,,Liège (BEL),15 JUL 2015,1064,men_1500m,2015,https://worldathletics.org/athletes/athlete=14532918
18,3:43.47,,Nanami ARAI,26 DEC 1994,JPN,1,,Nagoya (JPN),27 JUN 2015,1060,men_1500m,2015,https://worldathletics.org/athletes/athlete=14610362
19,3:43.58,,Tsukasa ANZAI,13 JUL 1994,JPN,2,,Shibetsu (JPN),05 JUL 2015,1059,men_1500m,2015,https://worldathletics.org/athletes/athlete=14562698
20,3:43.67,,Belal Mansoor ALI,17 OCT 1988,BRN,3,,Wuhan (CHN),03 JUN 2015,1058,men_1500m,2015,https://worldathletics.org/athletes/athlete=14175141
21,3:43.87,,Hashim Mohamed SALAH,15 APR 1994,QAT,1f2,,Duffel (BEL),20 JUN 2015,1055,men_1500m,2015,https://worldathletics.org/athletes/athlete=14423995
22,3:43.89,,Toshiki IMAZAKI,10 APR 1990,JPN,2f2,,Amagasaki (JPN),23 MAY 2015,1055,men_1500m,2015,https://worldathletics.org/athletes/athlete=14203332
23,3:43.92,,Yuki AKIMOTO,07 OCT 1992,JPN,5,,Kobe (JPN),26 APR 2015,1054,men_1500m,2015,https://worldathletics.org/athletes/athlete=14512802
