Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,8:14.75,,John KOECH,23 AUG 1995,BRN,3,,"National Stadium, Beijing (CHN)",20 MAY 2015,1190,men_3000sc,2015,https://worldathletics.org/athletes/athlete=14530682
2,8:32.89,,Hironori TSUETAKI,08 MAY 1993,JPN,1,,Nagoya (JPN),26 JUN 2015,1109,men_3000sc,2015,https://worldathletics.org/athletes/athlete=14528840
3,8:33.25,,Hashim Mohamed SALAH,15 APR 1994,QAT,5,,Sollentuna (SWE),25 JUN 2015,1108,men_3000sc,2015,https://worldathletics.org/athletes/athlete=14423995
4,8:33.52,,Evans Rutto CHEMATOT,19 MAR 1996,BRN,4,,Mungyeong (KOR),08 OCT 2015,1107,men_3000sc,2015,https://worldathletics.org/athletes/athlete=14597338
5,8:33.69,,Aoi MATSUMOTO,07 SEP 1987,JPN,7,,"Todoroki Stadium, Kawasaki (JPN)",10 MAY 2015,1106,men_3000sc,2015,https://worldathletics.org/athletes/athlete=14330415
6,8:35.41,,Jun SHINOTO,02 APR 1985,JPN,3,,Lapinlahti (FIN),19 JUL 2015,1098,men_3000sc,2015,https://worldathletics.org/athletes/athlete=14205825
7,8:36.61,,Minato YAMASHITA,15 NOV 1988,JPN,3,,Nagoya (JPN),26 JUN 2015,1093,men_3000sc,2015,https://worldathletics.org/athletes/athlete=14419469
8,8:37.35,,Nelson KIPKOGEI,09 MAR 1993,BRN,8,,"Stadion Juliska, Praha (CZE)",08 JUN 2015,1090,men_3000sc,2015,https://worldathletics.org/athletes/athlete=14425939
9,8:42.80,,Kazuya SHIOJIRI,08 NOV 1996,JPN,1,,Osaka (JPN),11 SEP 2015,1066,men_3000sc,2015,https://worldathletics.org/athletes/athlete=14648834
10,8:44.56,,Kosei YAMAGUCHI,19 AUG 1991,JPN,4,,Nagoya (JPN),26 JUN 2015,1059,men_3000sc,2015,https://worldathletics.org/athletes/athlete=14428736
11,8:45.05,,Shuya TSUDA,15 AUG 1993,JPN,2,,Osaka (JPN),11 SEP 2015,1057,men_3000sc,2015,https://worldathletics.org/athletes/japan/shuya-tsuda-14591150
12,8:46.06,,Hiroyoshi UMEGAE,05 JAN 1984,JPN,3,,Gifu (JPN),26 SEP 2015,1053,men_3000sc,2015,https://worldathletics.org/athletes/athlete=14206608
