Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,49.05,,Chieh CHEN,08 MAY 1992,TPE,1,,Kaohsiung (TPE),21 OCT 2015,1178,men_400h,2015,https://worldathletics.org/athletes/athlete=14228710
2,49.08,,Keisuke NOZAWA,07 JUN 1991,JPN,1h1,,Gifu (JPN),26 SEP 2015,1176,men_400h,2015,https://worldathletics.org/athletes/athlete=14388871
3,49.12,,Eric CRAY,06 NOV 1988,PHI,1,,George Town (CAY),16 MAY 2015,1174,men_400h,2015,https://worldathletics.org/athletes/athlete=14326210
4,49.14,,Yuki MATSUSHITA,09 SEP 1991,JPN,1,,Chiba (JPN),15 AUG 2015,1173,men_400h,2015,https://worldathletics.org/athletes/athlete=14563847
5,49.17,,Takayuki KISHIMOTO,06 MAY 1990,JPN,1f1,,Tokyo (JPN),26 JUL 2015,1171,men_400h,2015,https://worldathletics.org/athletes/athlete=14334340
6,49.56,,Wen CHENG,18 MAR 1992,CHN,4h4,,"National Stadium, Beijing (CHN)",22 AUG 2015,1152,men_400h,2015,https://worldathletics.org/athletes/athlete=14514472
7,49.58,,Yuta KONISHI,31 JUL 1990,JPN,1,,Wuhan (CHN),06 JUN 2015,1151,men_400h,2015,https://worldathletics.org/athletes/athlete=14334348
8,49.89,,Takaoki HASHIMOTO,18 JUL 1992,JPN,1,,Osaka (JPN),13 SEP 2015,1135,men_400h,2015,https://worldathletics.org/athletes/athlete=14523586
9,49.92,,Yasuhiro FUEKI,20 DEC 1985,JPN,4,,Gifu (JPN),26 SEP 2015,1134,men_400h,2015,https://worldathletics.org/athletes/athlete=14202654
10,49.95,,Kazuaki YOSHIDA,31 OCT 1987,JPN,3,,Wuhan (CHN),06 JUN 2015,1132,men_400h,2015,https://worldathletics.org/athletes/athlete=14329680
11,50.04,,Chia-Hsuan YU,22 JAN 1995,TPE,2,,Kaohsiung (TPE),21 OCT 2015,1128,men_400h,2015,https://worldathletics.org/athletes/athlete=14497696
12,50.06,,Naoto NOGUCHI,07 MAY 1994,JPN,4,,Chiba (JPN),15 AUG 2015,1127,men_400h,2015,https://worldathletics.org/athletes/japan/naoto-noguchi-14562705
13,50.10,,Ali Khamis KHAMIS,30 JUN 1995,BRN,1,,Manama (BRN),27 APR 2015,1125,men_400h,2015,https://worldathletics.org/athletes/athlete=14479839
14,50.14,,Shotaro TANABE,23 APR 1994,JPN,2h1,,Nagoya (JPN),27 JUN 2015,1123,men_400h,2015,https://worldathletics.org/athletes/athlete=14444464
15,50.29,,Durgesh Pal KUMAR,24 APR 1994,IND,1,,Mangalore (IND),02 MAY 2015,1115,men_400h,2015,https://worldathletics.org/athletes/athlete=14421571
