Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,65.75,,Vikas GOWDA,05 JUL 1983,IND,1,,"San Diego, CA (USA)",25 APR 2015,1166,men_DT,2015,https://worldathletics.org/athletes/athlete=14197977
2,65.22,,Ehsan HADADI,20 JAN 1985,IRI,,,Grevenmacher (LUX),19 JUL 2015,1156,men_DT,2015,https://worldathletics.org/athletes/athlete=14198605
3,63.22,,Essa Mohamed AL ZENKAWI,17 OCT 1992,KUW,1,,Manama (BRN),27 APR 2015,1120,men_DT,2015,https://worldathletics.org/athletes/athlete=14416526
4,63.08,,Mahmoud SAMIMI,18 SEP 1988,IRI,1,,Rabat (MAR),01 MAY 2015,1117,men_DT,2015,https://worldathletics.org/athletes/athlete=14372014
5,63.01,,Ahmed Mohamed DHEEB,29 SEP 1985,QAT,2,,Manama (BRN),27 APR 2015,1116,men_DT,2015,https://worldathletics.org/athletes/athlete=14219001
6,60.60,,Mustafa AL SAAMAH,29 NOV 1995,IRQ,3,,Manama (BRN),27 APR 2015,1071,men_DT,2015,https://worldathletics.org/athletes/athlete=14498470
7,60.43,,Sultan Mubarak AL DAWOODI,1977,KSA,1,,Radom (POL),27 JUN 2015,1068,men_DT,2015,https://worldathletics.org/athletes/athlete=14210624
8,60.42,,Mohammad SAMIMI,29 MAR 1987,IRI,2,,Shiraz (IRI),03 SEP 2015,1068,men_DT,2015,https://worldathletics.org/athletes/athlete=14198718
9,59.89,,Jian WU,25 MAY 1986,CHN,1f1,,Jinan (CHN),01 MAY 2015,1058,men_DT,2015,https://worldathletics.org/athletes/athlete=14171096
10,58.51,,Arjun KUMAR,01 JUL 1993,IND,1,,Mangalore (IND),04 MAY 2015,1033,men_DT,2015,https://worldathletics.org/athletes/athlete=14389609
11,58.41,,Raj DHARAM,26 JAN 1991,IND,2,,Mangalore (IND),04 MAY 2015,1031,men_DT,2015,https://worldathletics.org/athletes/athlete=14447588
12,58.40,,Shen TAN,09 MAR 1991,CHN,1,,Suzhou (CHN),22 SEP 2015,1031,men_DT,2015,https://worldathletics.org/athletes/athlete=14171573
13,58.04,,Muhammad Irfan SHAMSUDDIN,16 AUG 1995,MAS,1,,Kuala Lumpur (MAS),28 MAR 2015,1024,men_DT,2015,https://worldathletics.org/athletes/athlete=14553217
14,57.52,,Yevgeniy LABUTOV,17 NOV 1984,KAZ,1,,Shimkent (KAZ),26 JUN 2015,1015,men_DT,2015,https://worldathletics.org/athletes/athlete=14207214
15,57.45,,Maksad MAMEDOV,24 DEC 1990,TKM,1,,Ashgabat (TKM),21 MAY 2015,1014,men_DT,2015,https://worldathletics.org/athletes/athlete=14497535
16,57.15,,Yuji TSUTSUMI,22 DEC 1989,JPN,1,,Nagoya (JPN),27 JUN 2015,1008,men_DT,2015,https://worldathletics.org/athletes/athlete=14329692
17,57.02,,Mengjie ZHANG,11 MAR 1992,CHN,2,,Beijing (CHN),29 JUN 2015,1006,men_DT,2015,https://worldathletics.org/athletes/athlete=14423018
18,56.63,,Jia XIN,01 MAR 1988,CHN,3,,Suzhou (CHN),22 SEP 2015,998,men_DT,2015,https://worldathletics.org/athletes/athlete=14171008
