Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,2.41,,Mutaz Essa BARSHIM,24 JUN 1991,QAT,1,,Athlone (IRL) (i),18 FEB 2015,1278,men_HJ,2015,https://worldathletics.org/athletes/athlete=14377312
2,2.38,,Guowei ZHANG,04 JUN 1991,CHN,2,,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1251,men_HJ,2015,https://worldathletics.org/athletes/athlete=14420855
3,2.32,,Seung-hyun YUN,01 JUN 1994,KOR,,,Yeosu (KOR),01 SEP 2015,1197,men_HJ,2015,https://worldathletics.org/athletes/athlete=14427080
4,2.31,,Yu WANG,18 AUG 1991,CHN,2,,"National Stadium, Beijing (CHN)",20 MAY 2015,1188,men_HJ,2015,https://worldathletics.org/athletes/athlete=14334837
4,2.31,,Majd Eddin GHAZAL,21 APR 1987,SYR,1,,Mungyeong (KOR),05 OCT 2015,1188,men_HJ,2015,https://worldathletics.org/athletes/athlete=14228259
6,2.29,,Naoto TOBE,31 MAR 1992,JPN,4,,"Shanghai Stadium, Shanghai (CHN)",17 MAY 2015,1170,men_HJ,2015,https://worldathletics.org/athletes/athlete=14329684
6,2.29,,Chun-Hsieng HSIANG,04 SEP 1993,TPE,1,,Kaohsiung (TPE),21 OCT 2015,1170,men_HJ,2015,https://worldathletics.org/athletes/athlete=14383863
8,2.28,,Takashi ETO,05 FEB 1991,JPN,1,,Fukuroi (JPN),03 MAY 2015,1161,men_HJ,2015,https://worldathletics.org/athletes/athlete=14374666
8,2.28,,Hiromi TAKAHARI,13 NOV 1987,JPN,4,,"Todoroki Stadium, Kawasaki (JPN)",10 MAY 2015,1161,men_HJ,2015,https://worldathletics.org/athletes/athlete=14206083
8,2.28,,Yuji HIRAMATSU,11 JAN 1997,JPN,1,,Yokohama (JPN),16 MAY 2015,1161,men_HJ,2015,https://worldathletics.org/athletes/athlete=14603270
