Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,79.36,,Dilshod NAZAROV,06 MAY 1982,TJK,2,,"Mestský Stadion, Ostrava (CZE)",25 MAY 2015,1193,men_HT,2015,https://worldathletics.org/athletes/athlete=14228612
2,78.04,,Ashraf ELSEIFY,20 FEB 1995,QAT,1,,Rhede (GER),04 JUL 2015,1172,men_HT,2015,https://worldathletics.org/athletes/athlete=14523902
3,76.95,,Sukhrob KHODJAEV,21 MAY 1993,UZB,1,,Almaty (KAZ),14 JUN 2015,1155,men_HT,2015,https://worldathletics.org/athletes/athlete=14427108
4,74.74,,Yong WAN,22 JUL 1987,CHN,3,,Grodno (BLR),24 JUL 2015,1121,men_HT,2015,https://worldathletics.org/athletes/athlete=14170763
5,74.61,,Shizhu WANG,20 FEB 1989,CHN,1f1,,Chengdu (CHN),31 MAR 2015,1119,men_HT,2015,https://worldathletics.org/athletes/athlete=14171260
6,74.30,,Kaveh MOUSAVI,27 MAY 1985,IRI,1,,Shiraz (IRI),02 SEP 2015,1114,men_HT,2015,https://worldathletics.org/athletes/athlete=14198685
7,72.86,,K.P. SINGH,11 NOV 1987,IND,3,,"Tucson, AZ (USA)",21 MAY 2015,1092,men_HT,2015,https://worldathletics.org/athletes/india/kp-singh-014198381
8,72.33,,Pezhman GHALEHNOEI,29 JAN 1992,IRI,1,,Tehran (IRI),09 AUG 2015,1084,men_HT,2015,https://worldathletics.org/athletes/athlete=14375809
9,71.98,,Hiroshi NOGUCHI,03 MAY 1983,JPN,1,,Nagoya (JPN),27 JUN 2015,1078,men_HT,2015,https://worldathletics.org/athletes/athlete=14205047
10,71.08,,Mergen MAMMEDOV,24 DEC 1990,TKM,1,,Ashgabat (TKM),21 MAY 2015,1064,men_HT,2015,https://worldathletics.org/athletes/athlete=14376894
11,70.65,,Amanmurad HOMMADOV,28 JAN 1989,TKM,1,,Ashgabat (TKM),20 OCT 2015,1058,men_HT,2015,https://worldathletics.org/athletes/athlete=14941036
12,70.46,,Yushiro HOSAKA,16 OCT 1991,JPN,1,,Tsukuba (JPN),29 APR 2015,1055,men_HT,2015,https://worldathletics.org/athletes/athlete=14388912
