Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,84.66,,Ryohei ARAI,23 JUN 1991,JPN,1q1,,"National Stadium, Beijing (CHN)",24 AUG 2015,1168,men_JT,2015,https://worldathletics.org/athletes/athlete=14475539
2,83.04,,Sumedha RANASINGHE,10 FEB 1991,SRI,1,,Diyagama (SRI),03 DEC 2015,1144,men_JT,2015,https://worldathletics.org/athletes/athlete=14671060
3,82.23,,Rajender SINGH,05 APR 1986,IND,1,,Thiruvanthapuram (IND),12 FEB 2015,1133,men_JT,2015,https://worldathletics.org/athletes/athlete=14198418
4,81.78,,Chao-Tsun CHENG,17 OCT 1993,TPE,3,,"Todoroki Stadium, Kawasaki (JPN)",10 MAY 2015,1127,men_JT,2015,https://worldathletics.org/athletes/athlete=14376112
5,81.48,,Shih-Feng HUANG,02 MAR 1992,TPE,1,,Taipei City (TPE),17 MAR 2015,1122,men_JT,2015,https://worldathletics.org/athletes/athlete=14376089
6,81.04,,Neeraj CHOPRA,24 DEC 1997,IND,1q1,,Patiala (IND),31 DEC 2015,1116,men_JT,2015,https://worldathletics.org/athletes/athlete=14549089
7,79.47,,Qinggang ZHAO,24 JUL 1985,CHN,11q2,,"National Stadium, Beijing (CHN)",24 AUG 2015,1094,men_JT,2015,https://worldathletics.org/athletes/athlete=14170478
8,79.39,,Qun MA,08 FEB 1994,CHN,1f1,,Chengdu (CHN),31 MAR 2015,1093,men_JT,2015,https://worldathletics.org/athletes/athlete=14441114
9,79.09,,Bobur SHOKIRJONOV,05 DEC 1990,UZB,2,,Wuhan (CHN),06 JUN 2015,1088,men_JT,2015,https://worldathletics.org/athletes/athlete=14330081
10,79.05,,Yukifumi MURAKAMI,23 DEC 1979,JPN,3,,Wuhan (CHN),06 JUN 2015,1088,men_JT,2015,https://worldathletics.org/athletes/athlete=14204705
11,77.88,,Ahmed Bader MAGOUR,03 MAR 1996,QAT,1,,Düsseldorf (GER),30 AUG 2015,1071,men_JT,2015,https://worldathletics.org/athletes/athlete=14709346
12,77.75,,Amarendar SINGH,,IND,1,,Hyderabad (IND),23 JUL 2015,1069,men_JT,2015,https://worldathletics.org/athletes/india/amarendar-singh-14579587
13,77.51,,Roderick Genki DEAN,30 DEC 1991,JPN,1,,Wakayama (JPN),05 OCT 2015,1066,men_JT,2015,https://worldathletics.org/athletes/athlete=14370411
14,77.50,,Amit KUMAR,18 SEP 1992,IND,2,,Hyderabad (IND),23 JUL 2015,1066,men_JT,2015,https://worldathletics.org/athletes/athlete=14497951
15,77.23,,Davinder SINGH,18 DEC 1988,IND,3,,Hyderabad (IND),23 JUL 2015,1062,men_JT,2015,https://worldathletics.org/athletes/athlete=14658886
