Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,8.34,+1.5,Xinglong GAO,12 MAR 1994,CHN,1,,Beijing (CHN),07 AUG 2015,1212,men_LJ,2015,https://worldathletics.org/athletes/athlete=14522578
2,8.26,+1.3,Jinzhe LI,01 SEP 1989,CHN,1,,Beijing (CHN),08 MAY 2015,1194,men_LJ,2015,https://worldathletics.org/athletes/athlete=14172132
3,8.25,+0.9,Jianan WANG,27 AUG 1996,CHN,3,,"Shanghai Stadium, Shanghai (CHN)",17 MAY 2015,1192,men_LJ,2015,https://worldathletics.org/athletes/athlete=14514470
4,8.18,+1.3,Yohei SUGAI,14 JUN 1985,JPN,2,,"Walnut, CA (USA)",18 APR 2015,1177,men_LJ,2015,https://worldathletics.org/athletes/athlete=14205913
5,8.17,+1.8,Gongchen TANG,24 APR 1989,CHN,1,,Chanthaburi (THA),29 JUN 2015,1175,men_LJ,2015,https://worldathletics.org/athletes/athlete=14171424
5,8.17,-0.5,Changzhou HUANG,20 AUG 1994,CHN,2,,Beijing (CHN),07 AUG 2015,1178,men_LJ,2015,https://worldathletics.org/athletes/athlete=14502006
7,8.11,+1.3,Ahmed Fayez AL DOSARI,03 JUL 1985,KSA,1,,Qatif (KSA),09 APR 2015,1162,men_LJ,2015,https://worldathletics.org/athletes/athlete=14210625
7,8.11,+1.6,Shinichiro SHIMONO,10 OCT 1990,JPN,1,,Fukuoka (JPN),02 AUG 2015,1162,men_LJ,2015,https://worldathletics.org/athletes/athlete=14388824
9,8.04,+1.3,Ankit SHARMA,20 JUL 1992,IND,1,,Thiruvanthapuram (IND),10 FEB 2015,1146,men_LJ,2015,https://worldathletics.org/athletes/athlete=14335673
9,8.04,+1.3,Kumaravel PREM KUMAR,02 JUN 1993,IND,3,,"Walnut, CA (USA)",18 APR 2015,1146,men_LJ,2015,https://worldathletics.org/athletes/athlete=14433111
11,8.03,+1.9,Tomoya TAKAMASA,13 JUN 1993,JPN,1,,Yokohama (JPN),15 MAY 2015,1144,men_LJ,2015,https://worldathletics.org/athletes/athlete=14532966
12,7.98,+0.5,Yaoguang ZHANG,21 JUN 1993,CHN,2,,Suzhou (CHN),23 SEP 2015,1133,men_LJ,2015,https://worldathletics.org/athletes/athlete=14420860
13,7.92,,Zhipeng LI,01 MAY 1995,CHN,4,,Xianlin (CHN) (i),08 MAR 2015,1120,men_LJ,2015,https://worldathletics.org/athletes/athlete=14472746
14,7.91,0.0,Yuhi OIWA,17 DEC 1991,JPN,,,Fukuoka (JPN),04 APR 2015,1118,men_LJ,2015,https://worldathletics.org/athletes/athlete=14335074
14,7.91,0.0,Yaoqing FANG,20 APR 1996,CHN,1q,,Fuzhou (CHN),28 MAY 2015,1118,men_LJ,2015,https://worldathletics.org/athletes/athlete=14523280
16,7.90,+0.9,Saleh Abdelaziz AL HADDAD,07 APR 1986,KUW,2,,Qatif (KSA),09 APR 2015,1116,men_LJ,2015,https://worldathletics.org/athletes/athlete=14210801
16,7.90,+0.3,Ted HOOPER,31 JAN 1991,TPE,1q2,,"Main Stadium, Gwangju (KOR)",11 JUL 2015,1116,men_LJ,2015,https://worldathletics.org/athletes/athlete=14413392
18,7.89,+0.9,Ming Tai CHAN,30 JAN 1995,HKG,4,,"Main Stadium, Gwangju (KOR)",12 JUL 2015,1114,men_LJ,2015,https://worldathletics.org/athletes/athlete=14547439
19,7.88,,Yu ZHANG,17 JUL 1992,CHN,5,,Xianlin (CHN) (i),08 MAR 2015,1112,men_LJ,2015,https://worldathletics.org/athletes/athlete=14483312
19,7.88,+0.5,Hiroyuki FUKASAWA,10 DEC 1992,JPN,,,Yokohama (JPN),15 MAY 2015,1112,men_LJ,2015,https://worldathletics.org/athletes/athlete=14432918
19,7.88,+2.0,Kota MINEMURA,22 DEC 1992,JPN,1,,Nagano (JPN),19 JUL 2015,1112,men_LJ,2015,https://worldathletics.org/athletes/athlete=14432915
22,7.87,+1.3,Deokhyeon KIM,08 DEC 1985,KOR,,,Mungyeong (KOR),27 JUN 2015,1109,men_LJ,2015,https://worldathletics.org/athletes/athlete=14210240
23,7.85,-0.6,Kosuke INOUE,17 JUL 1990,JPN,1,,Gifu (JPN),26 SEP 2015,1108,men_LJ,2015,https://worldathletics.org/athletes/japan/kosuke-inoue-14334353
23,7.85,-0.9,Hung-Min LIN,07 SEP 1990,TPE,1,,Kaohsiung (TPE),18 OCT 2015,1110,men_LJ,2015,https://worldathletics.org/athletes/athlete=14498495
25,7.84,+1.2,Jangjun KIM,10 MAY 1987,KOR,2,,Mungyeong (KOR),27 JUN 2015,1103,men_LJ,2015,https://worldathletics.org/athletes/athlete=14210260
26,7.83,+0.5,Lin QING,05 APR 1995,CHN,1f1,,Jinan (CHN),30 APR 2015,1101,men_LJ,2015,https://worldathletics.org/athletes/athlete=14461992
27,7.82,,Lei XIE,08 MAY 1989,CHN,2,,Beijing (CHN) (i),15 MAR 2015,1099,men_LJ,2015,https://worldathletics.org/athletes/athlete=14462150
27,7.82,+1.6,Chengbin LI,22 FEB 1990,CHN,3,,Chanthaburi (THA),29 JUN 2015,1099,men_LJ,2015,https://worldathletics.org/athletes/athlete=14365836
29,7.80,+1.6,Eunjae JU,12 JUN 1993,KOR,3,,Mungyeong (KOR),27 JUN 2015,1094,men_LJ,2015,https://worldathletics.org/athletes/athlete=14532926
29,7.80,+0.6,Janaka PRASAD,08 SEP 1992,SRI,1,,Diyagama (SRI),26 JUL 2015,1094,men_LJ,2015,https://worldathletics.org/athletes/athlete=14606673
31,7.79,+0.3,Daiki ODA,15 JAN 1996,JPN,3,,Nagoya (JPN),28 JUN 2015,1092,men_LJ,2015,https://worldathletics.org/athletes/athlete=14594816
32,7.77,+0.5,Emeka OKOLI,13 JUL 1990,QAT,1,,Sofia (BUL),20 MAY 2015,1088,men_LJ,2015,https://worldathletics.org/athletes/athlete=14215069
32,7.77,+0.7,Yasuhiro MORO,21 DEC 1994,JPN,7,,"Main Stadium, Gwangju (KOR)",12 JUL 2015,1088,men_LJ,2015,https://worldathletics.org/athletes/athlete=14591153
32,7.77,+1.2,Konstantin SAFRONOV,02 SEP 1987,KAZ,2,,Almaty (KAZ),26 JUL 2015,1088,men_LJ,2015,https://worldathletics.org/athletes/athlete=14207257
32,7.77,+0.2,Chiao-Heng TAI,12 MAR 1994,TPE,2,,Kaohsiung (TPE),18 OCT 2015,1088,men_LJ,2015,https://worldathletics.org/athletes/chinese-taipei/chiao-heng-tai-14497883
36,7.75,+0.5,Xiongfeng SU,21 MAR 1987,CHN,1f2,,Jinan (CHN),30 APR 2015,1083,men_LJ,2015,https://worldathletics.org/athletes/athlete=14171500
36,7.75,0.0,Sukhasvasti Na Ayudhaya SUPANARA,11 JUN 1992,THA,1,,Singapore (SGP),12 JUN 2015,1083,men_LJ,2015,https://worldathletics.org/athletes/athlete=14375538
36,7.75,+1.6,Shunsuke NARISADA,11 JUL 1993,JPN,2,,Hiratsuka (JPN),13 JUN 2015,1083,men_LJ,2015,https://worldathletics.org/athletes/athlete=14707904
39,7.74,,Tianjie LU,15 MAR 1996,CHN,4,,Shanghai (CHN) (i),01 MAR 2015,1081,men_LJ,2015,https://worldathletics.org/athletes/athlete=14635686
39,7.74,,Zhaodan JIANG,12 SEP 1989,CHN,7,,Xianlin (CHN) (i),08 MAR 2015,1081,men_LJ,2015,https://worldathletics.org/athletes/athlete=14334800
39,7.74,+0.9,Motosato MATSUZOE,22 SEP 1996,JPN,3,,Yokohama (JPN),15 MAY 2015,1081,men_LJ,2015,https://worldathletics.org/athletes/athlete=14703225
39,7.74,+0.6,Kazuma ADACHI,16 OCT 1997,JPN,1,,Wakayama (JPN),31 JUL 2015,1081,men_LJ,2015,https://worldathletics.org/athletes/athlete=14719621
39,7.74,+1.4,Hiroshi TEBIRA,06 AUG 1992,JPN,4,,Wakayama (JPN),02 OCT 2015,1081,men_LJ,2015,https://worldathletics.org/athletes/athlete=14444376
44,7.73,+0.5,Sobhan TAHERKHANI,21 SEP 1992,IRI,3,,Pathum Thani (THA),25 JUN 2015,1079,men_LJ,2015,https://worldathletics.org/athletes/athlete=14498544
45,7.71,+1.1,Milantha Sampath DISSANAYAKE,07 FEB 1993,SRI,2,,Diyagama (SRI),26 JUL 2015,1075,men_LJ,2015,https://worldathletics.org/athletes/athlete=14429014
46,7.70,+1.5,Shoutarou SHIROYAMA,06 MAR 1995,JPN,,,Kobe (JPN),26 APR 2015,1073,men_LJ,2015,https://worldathletics.org/athletes/athlete=14649191
47,7.69,,Xiang LING,21 JAN 1993,CHN,5,,Shanghai (CHN) (i),01 MAR 2015,1070,men_LJ,2015,https://worldathletics.org/athletes/athlete=14583562
48,7.68,+1.3,Satoshi NINOMIYA,24 NOV 1994,JPN,1,,Nagoya (JPN),18 JUL 2015,1068,men_LJ,2015,https://worldathletics.org/athletes/japan/satoshi-ninomiya-14371664
49,7.67,,Zhiming YUN,09 OCT 1988,CHN,8,,Xianlin (CHN) (i),08 MAR 2015,1066,men_LJ,2015,https://worldathletics.org/athletes/athlete=14170678
49,7.67,,Chao GAO,01 JUN 1992,CHN,9,,Xianlin (CHN) (i),08 MAR 2015,1066,men_LJ,2015,https://worldathletics.org/athletes/pr-of-china/chao-gao-14637833
49,7.67,,Geng DONG,16 JUL 1995,CHN,5,,Beijing (CHN) (i),15 MAR 2015,1066,men_LJ,2015,https://worldathletics.org/athletes/athlete=14691742
49,7.67,+1.2,Ahmed Fayez MARZOUK,06 SEP 1979,KSA,4q,,Wuhan (CHN),03 JUN 2015,1066,men_LJ,2015,https://worldathletics.org/athletes/athlete=14210759
49,7.67,0.0,Tenju TOGAWA,08 JAN 1997,JPN,,,Hiratsuka (JPN),13 JUN 2015,1066,men_LJ,2015,https://worldathletics.org/athletes/athlete=14671479
