Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,5.70,,Seito YAMAMOTO,11 MAR 1992,JPN,1,,Gifu (JPN),27 SEP 2015,1184,men_PV,2015,https://worldathletics.org/athletes/athlete=14432907
2,5.65,,Hiroki OGITA,30 DEC 1987,JPN,1f2,,Orléans (FRA) (i),17 JAN 2015,1171,men_PV,2015,https://worldathletics.org/athletes/athlete=14205146
2,5.65,,Wei ZHANG,22 MAR 1994,CHN,1,,Beijing (CHN),27 JUN 2015,1171,men_PV,2015,https://worldathletics.org/athletes/athlete=14430011
2,5.65,,Jie YAO,21 SEP 1990,CHN,2,,Beijing (CHN),27 JUN 2015,1171,men_PV,2015,https://worldathletics.org/athletes/athlete=14462142
2,5.65,,Nikita FILIPPOV,07 OCT 1991,KAZ,,,Almaty (KAZ),18 JUL 2015,1171,men_PV,2015,https://worldathletics.org/athletes/athlete=14940978
6,5.53,,Minsub JIN,02 SEP 1992,KOR,8,,Leverkusen (GER),07 AUG 2015,1138,men_PV,2015,https://worldathletics.org/athletes/athlete=14334595
7,5.51,,Hiroki SASASE,17 AUG 1989,JPN,1,,Shizuoka (JPN),12 JUL 2015,1132,men_PV,2015,https://worldathletics.org/athletes/athlete=14205589
7,5.51,,Duhyeon HAN,28 JUL 1994,KOR,1,,Gangneung (KOR),18 OCT 2015,1132,men_PV,2015,https://worldathletics.org/athletes/athlete=14432116
9,5.50,,Bokai HUANG,26 SEP 1996,CHN,3,,Düsseldorf (GER) (i),29 JAN 2015,1129,men_PV,2015,https://worldathletics.org/athletes/athlete=14534938
9,5.50,,Xiang XIA,28 MAR 1991,CHN,1,,Shanghai (CHN) (i),01 MAR 2015,1129,men_PV,2015,https://worldathletics.org/athletes/athlete=14941109
9,5.50,,Sergey GRIGORYEV,24 JUN 1992,KAZ,1,,Almaty (KAZ),25 JUL 2015,1129,men_PV,2015,https://worldathletics.org/athletes/athlete=14376042
12,5.45,,Ernest John OBIENA,17 NOV 1995,PHI,1,,Pasig (PHI),27 SEP 2015,1116,men_PV,2015,https://worldathletics.org/athletes/athlete=14522941
13,5.43,,Akira ONODERA,02 APR 1980,JPN,1,,Kitakami (JPN),16 AUG 2015,1110,men_PV,2015,https://worldathletics.org/athletes/athlete=14205318
14,5.42,,Tomoki YAMAMOTO,25 AUG 1992,JPN,1f2,,Yokohama (JPN),17 MAY 2015,1108,men_PV,2015,https://worldathletics.org/athletes/athlete=14444405
15,5.41,,Ryo TANAKA,11 DEC 1991,JPN,1,,Wakayama (JPN),11 APR 2015,1105,men_PV,2015,https://worldathletics.org/athletes/athlete=14560355
16,5.40,,Yansheng YANG,05 JAN 1988,CHN,9,,Malmö (SWE) (i),25 FEB 2015,1102,men_PV,2015,https://worldathletics.org/athletes/athlete=14170839
16,5.40,,Changrui XUE,31 MAY 1991,CHN,4f1,,Jinan (CHN),29 APR 2015,1102,men_PV,2015,https://worldathletics.org/athletes/athlete=14462143
