Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,20.65,,Inderjeet SINGH,19 APR 1988,IND,1,,Mangalore (IND),02 MAY 2015,1160,men_SP,2015,https://worldathletics.org/athletes/athlete=14477752
2,19.69,,Yang LIU,29 OCT 1986,CHN,1,,Beijing (CHN),29 JUN 2015,1102,men_SP,2015,https://worldathletics.org/athletes/athlete=14941401
3,19.61,,Zizhong TIAN,15 DEC 1992,CHN,1,,Sapporo (JPN),12 JUL 2015,1098,men_SP,2015,https://worldathletics.org/athletes/athlete=14420726
4,19.56,,Minghuang CHANG,07 AUG 1982,TPE,2,,Wuhan (CHN),03 JUN 2015,1095,men_SP,2015,https://worldathletics.org/athletes/athlete=14228685
5,19.55,,Guangfu WANG,15 NOV 1987,CHN,2,,Chanthaburi (THA),29 JUN 2015,1094,men_SP,2015,https://worldathletics.org/athletes/athlete=14171347
6,19.49,,Ilwoo JUNG,28 MAR 1986,KOR,2,,Sapporo (JPN),12 JUL 2015,1090,men_SP,2015,https://worldathletics.org/athletes/athlete=14210117
7,19.37,,Sergey DEMENTYEV,01 JUN 1990,UZB,1,,Almaty (KAZ),25 JUL 2015,1083,men_SP,2015,https://worldathletics.org/athletes/athlete=14330181
8,19.35,,Sultan Abdulmajeed AL HEBSHI,23 FEB 1983,KSA,1,,Biala Podlaska (POL),29 AUG 2015,1082,men_SP,2015,https://worldathletics.org/athletes/athlete=14210639
9,19.26,,Yanxiang GUO,29 JAN 1987,CHN,2,,Pathum Thani (THA),25 JUN 2015,1077,men_SP,2015,https://worldathletics.org/athletes/athlete=14172548
10,19.24,,Tajinderpal Singh TOOR,13 NOV 1994,IND,5,,"Main Stadium, Gwangju (KOR)",08 JUL 2015,1076,men_SP,2015,https://worldathletics.org/athletes/athlete=14624702
11,19.18,,Ivan IVANOV,03 JAN 1992,KAZ,2,,Almaty (KAZ),25 JUL 2015,1072,men_SP,2015,https://worldathletics.org/athletes/athlete=14375337
12,19.09,,Zibin HAN,05 APR 1987,CHN,1,,Taiyuan (CHN),12 MAY 2015,1067,men_SP,2015,https://worldathletics.org/athletes/athlete=14172518
13,18.78,,Satoshi HATASE,18 DEC 1982,JPN,1,,Nagoya (JPN),28 JUN 2015,1048,men_SP,2015,https://worldathletics.org/athletes/athlete=14202984
14,18.68,,Ali SAMARI,07 JAN 1993,IRI,1,,Tehran (IRI) (i),13 FEB 2015,1042,men_SP,2015,https://worldathletics.org/athletes/athlete=14498545
15,18.60,,Ahmed Abdullah GHOLOUM,31 MAY 1980,KUW,1,,Doha (QAT),29 APR 2015,1037,men_SP,2015,https://worldathletics.org/athletes/athlete=14210860
16,18.55,,Jiaxiang WU,29 MAR 1990,CHN,4,,Beijing (CHN) (i),15 MAR 2015,1034,men_SP,2015,https://worldathletics.org/athletes/athlete=14430420
17,18.47,,Christopher SAIKALIS,1994,LBN,1,,"Bowling Green, KY (USA)",11 APR 2015,1030,men_SP,2015,https://worldathletics.org/athletes/athlete=14487128
18,18.45,,Jamshidi ABDOLLAH,,IRI,1,,Shiraz (IRI),03 SEP 2015,1028,men_SP,2015,https://worldathletics.org/athletes/athlete=14522918
19,18.44,,Jun LI,02 JAN 1993,CHN,1,,Lianyungang (CHN),05 MAY 2015,1028,men_SP,2015,https://worldathletics.org/athletes/athlete=14430115
20,18.32,,Fei HAN,07 SEP 1993,CHN,6,,Jinan (CHN),01 MAY 2015,1021,men_SP,2015,https://worldathletics.org/athletes/athlete=14430114
20,18.32,,Shuai SUN,20 JAN 1996,CHN,4,,Beijing (CHN),29 JUN 2015,1021,men_SP,2015,https://worldathletics.org/athletes/athlete=14488699
22,18.30,,Shihao ZUO,07 FEB 1991,CHN,5,,Suzhou (CHN),22 SEP 2015,1020,men_SP,2015,https://worldathletics.org/athletes/athlete=14170319
23,18.26,,Like WANG,02 APR 1989,CHN,5f1,,Chengdu (CHN),31 MAR 2015,1017,men_SP,2015,https://worldathletics.org/athletes/athlete=14171289
24,18.24,,Satyender KUMAR SINGH,1995,IND,2,,Thiruvanthapuram (IND),10 FEB 2015,1016,men_SP,2015,https://worldathletics.org/athletes/athlete=14498300
25,18.16,,Jagroop SINGH,07 JAN 1985,IND,1,,Thiruvanthapuram (IND),08 SEP 2015,1011,men_SP,2015,https://worldathletics.org/athletes/athlete=14383443
26,18.15,,In-sung HWANG,15 AUG 1984,KOR,2,,Mungyeong (KOR),28 JUN 2015,1011,men_SP,2015,https://worldathletics.org/athletes/athlete=14210167
27,18.12,,Ali Reza MEHRSAFOOTI,21 FEB 1991,IRI,2,,Tehran (IRI) (i),13 FEB 2015,1009,men_SP,2015,https://worldathletics.org/athletes/athlete=14376820
28,18.02,,Om Prakash Singh KARHANA,11 JAN 1987,IND,3,,Mangalore (IND),02 MAY 2015,1003,men_SP,2015,https://worldathletics.org/athletes/athlete=14198188
29,17.93,,Hongjian LIU,15 JUL 1995,CHN,6f1,,Chengdu (CHN),04 APR 2015,998,men_SP,2015,https://worldathletics.org/athletes/athlete=14502014
30,17.85,,Hayato YAMAMOTO,17 NOV 1991,JPN,6,,Wuhan (CHN),03 JUN 2015,993,men_SP,2015,https://worldathletics.org/athletes/athlete=14524093
30,17.85,,Feng JIE,18 JAN 1986,CHN,8,,Suzhou (CHN),22 SEP 2015,993,men_SP,2015,https://worldathletics.org/athletes/athlete=14172343
32,17.81,,Morteza NAZEMI,24 DEC 1988,IRI,3,,Tehran (IRI) (i),13 FEB 2015,990,men_SP,2015,https://worldathletics.org/athletes/athlete=14445205
