Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,17.12,+1.5,Bin DONG,22 NOV 1988,CHN,,,Sapporo (JPN),12 JUL 2015,1177,men_TJ,2015,https://worldathletics.org/athletes/athlete=14172734
2,17.00,,Roman VALIYEV,27 MAR 1984,KAZ,1,,Ust-Kamenogorsk (KAZ) (i),15 FEB 2015,1165,men_TJ,2015,https://worldathletics.org/athletes/athlete=14207290
2,17.00,+1.8,Deokhyeon KIM,08 DEC 1985,KOR,,,Sapporo (JPN),12 JUL 2015,1165,men_TJ,2015,https://worldathletics.org/athletes/athlete=14210240
4,16.93,+0.4,Xiaolong XU,20 DEC 1992,CHN,1,,Taiyuan (CHN),13 MAY 2015,1157,men_TJ,2015,https://worldathletics.org/athletes/athlete=14430417
5,16.83,+0.3,Ruiting WU,29 NOV 1995,CHN,2,,Suzhou (CHN),25 SEP 2015,1146,men_TJ,2015,https://worldathletics.org/athletes/athlete=14637831
6,16.79,+1.2,Haitao FU,13 JAN 1993,CHN,2,,Taiyuan (CHN),13 MAY 2015,1142,men_TJ,2015,https://worldathletics.org/athletes/athlete=14424014
7,16.78,0.0,Jialei LI,14 SEP 1994,CHN,3,,Taiyuan (CHN),13 MAY 2015,1141,men_TJ,2015,https://worldathletics.org/athletes/athlete=14522580
8,16.77,-0.1,Shuo CAO,08 OCT 1991,CHN,2,,Wuhan (CHN),06 JUN 2015,1140,men_TJ,2015,https://worldathletics.org/athletes/athlete=14172916
9,16.76,-0.2,Muhammad Hakimi ISMAIL,08 APR 1991,MAS,1,,Singapore (SGP),09 JUN 2015,1140,men_TJ,2015,https://worldathletics.org/athletes/athlete=14212573
10,16.66,+1.5,Renjith MAHESWARY,30 JAN 1986,IND,1,,Thiruvanthapuram (IND),12 FEB 2015,1128,men_TJ,2015,https://worldathletics.org/athletes/athlete=14198107
11,16.55,+0.5,Yaoqing FANG,20 APR 1996,CHN,4,,Taiyuan (CHN),13 MAY 2015,1117,men_TJ,2015,https://worldathletics.org/athletes/athlete=14523280
12,16.49,-0.5,Daigo HASEGAWA,27 FEB 1990,JPN,1,,Gifu (JPN),27 SEP 2015,1113,men_TJ,2015,https://worldathletics.org/athletes/athlete=14380358
