Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,12.85,+0.8,Shujiao WU,19 JUN 1991,CHN,1,,"National Stadium, Beijing (CHN)",20 MAY 2015,1170,women_100h,2015,https://worldathletics.org/athletes/athlete=14420965
2,13.23,-4.4,Valentina KIBALNIKOVA,16 OCT 1990,UZB,4h2,,Cheboksary (RUS),04 AUG 2015,1145,women_100h,2015,https://worldathletics.org/athletes/athlete=14325027
3,13.24,+1.3,Ayako KIMURA,11 JUN 1988,JPN,3f2,,"Walnut, CA (USA)",18 APR 2015,1117,women_100h,2015,https://worldathletics.org/athletes/athlete=14286780
4,13.25,+0.5,Anastasiya VINOGRADOVA,13 SEP 1986,KAZ,1,,Bangkok (THA),22 JUN 2015,1116,women_100h,2015,https://worldathletics.org/athletes/athlete=14288746
5,13.27,-0.5,Hyelim JUNG,01 JUL 1987,KOR,1,,Taipei City (TPE),15 MAY 2015,1116,women_100h,2015,https://worldathletics.org/athletes/athlete=14289676
5,13.27,-0.2,Hitomi SHIMURA,08 NOV 1990,JPN,1,,Nagoya (JPN),27 JUN 2015,1114,women_100h,2015,https://worldathletics.org/athletes/athlete=14329735
7,13.30,-0.2,Anri TANAKA,10 JUL 1994,JPN,2,,Nagoya (JPN),27 JUN 2015,1110,women_100h,2015,https://worldathletics.org/athletes/athlete=14642861
8,13.31,-0.1,Dou WANG,18 MAY 1993,CHN,2,,Suzhou (CHN),23 SEP 2015,1108,women_100h,2015,https://worldathletics.org/athletes/athlete=14420739
8,13.31,-0.1,Ya KANG,16 MAR 1990,CHN,3,,Suzhou (CHN),23 SEP 2015,1108,women_100h,2015,https://worldathletics.org/athletes/athlete=14266115
10,13.34,+2.0,Airi ITO,05 JUL 1989,JPN,1,,Wakayama (JPN),05 OCT 2015,1104,women_100h,2015,https://worldathletics.org/athletes/athlete=14286558
11,13.35,+2.0,Masumi AOKI,16 APR 1994,JPN,1,,Hiratsuka (JPN),12 JUN 2015,1103,women_100h,2015,https://worldathletics.org/athletes/athlete=14444469
12,13.36,-0.2,Minjing SUN,22 APR 1988,CHN,1h2,,Beijing (CHN),28 JUN 2015,1103,women_100h,2015,https://worldathletics.org/athletes/athlete=14265273
13,13.37,+0.8,Deng RU,21 NOV 1989,CHN,6,,"National Stadium, Beijing (CHN)",20 MAY 2015,1100,women_100h,2015,https://worldathletics.org/athletes/athlete=14265406
14,13.41,+0.9,Yawei SUN,17 OCT 1987,CHN,1,,Jinan (CHN),01 MAY 2015,1095,women_100h,2015,https://worldathletics.org/athletes/athlete=14265240
15,13.43,+2.0,Haruka ABE,27 AUG 1994,JPN,2,,Hiratsuka (JPN),12 JUN 2015,1092,women_100h,2015,https://worldathletics.org/athletes/japan/haruka-abe-14664076
16,13.45,+2.0,Manami KIRA,23 OCT 1991,JPN,2,,Wakayama (JPN),05 OCT 2015,1090,women_100h,2015,https://worldathletics.org/athletes/athlete=14439813
17,13.46,-0.2,Miku FUJIWARA,07 DEC 1992,JPN,4,,Nagoya (JPN),27 JUN 2015,1089,women_100h,2015,https://worldathletics.org/athletes/athlete=14433362
18,13.48,+0.6,Chisato KIYOYAMA,24 JUL 1991,JPN,2h2,,Nagoya (JPN),27 JUN 2015,1086,women_100h,2015,https://worldathletics.org/athletes/athlete=14334529
19,13.50,+0.2,Meg HEMPHILL,23 MAY 1996,JPN,4,,Fukuroi (JPN),03 MAY 2015,1083,women_100h,2015,https://worldathletics.org/athletes/athlete=14594788
