Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,9:20.65,,Tigest Getent MEKONEN,07 JUL 1997,BRN,8,,"Stade Louis II, Monaco (MON)",17 JUL 2015,1192,women_3000sc,2015,https://worldathletics.org/athletes/athlete=14429103
2,9:21.40,,Ruth JEBET,17 NOV 1996,BRN,9,,"Stade Louis II, Monaco (MON)",17 JUL 2015,1190,women_3000sc,2015,https://worldathletics.org/athletes/athlete=14588310
3,9:27.86,,Lalita BABAR,02 JUN 1989,IND,4h2,,"National Stadium, Beijing (CHN)",24 AUG 2015,1174,women_3000sc,2015,https://worldathletics.org/athletes/athlete=14383687
4,9:41.43,,Zhenzhu LI,13 DEC 1985,CHN,2,,Wuhan (CHN),06 JUN 2015,1140,women_3000sc,2015,https://worldathletics.org/athletes/athlete=14265898
5,9:46.82,,Xinyan ZHANG,09 FEB 1994,CHN,3,,Wuhan (CHN),06 JUN 2015,1127,women_3000sc,2015,https://worldathletics.org/athletes/athlete=14488655
6,9:47.31,,Sudha SINGH,25 JUN 1986,IND,2,,Kolkata (IND),17 SEP 2015,1126,women_3000sc,2015,https://worldathletics.org/athletes/athlete=14283075
7,9:53.72,,Anju TAKAMIZAWA,06 MAR 1996,JPN,4,,Paris (FRA),13 SEP 2015,1110,women_3000sc,2015,https://worldathletics.org/athletes/athlete=14654017
8,10:02.92,,Xiaoqian ZHONG,24 OCT 1997,CHN,1,,Fuzhou (CHN),23 OCT 2015,1088,women_3000sc,2015,https://worldathletics.org/athletes/athlete=14702473
9,10:04.12,,Chikako MORI,25 NOV 1992,JPN,2,,Nagoya (JPN),28 JUN 2015,1085,women_3000sc,2015,https://worldathletics.org/athletes/athlete=14427119
10,10:05.94,,Misaki MISHIMA,14 JUN 1994,JPN,1,,Osaka (JPN),13 SEP 2015,1081,women_3000sc,2015,https://worldathletics.org/athletes/athlete=14602920
11,10:06.37,,Moeno SHIMIZU,20 MAR 1997,JPN,2,,Osaka (JPN),13 SEP 2015,1080,women_3000sc,2015,https://worldathletics.org/athletes/athlete=14649179
12,10:06.50,,Xiamei YU,29 MAR 1996,CHN,2,,Fuzhou (CHN),23 OCT 2015,1079,women_3000sc,2015,https://worldathletics.org/athletes/athlete=14647953
