Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,50.86,,Kemi ADEKOYA,16 JAN 1993,BRN,2,,Luzern (SUI),14 JUL 2015,1171,women_400m,2015,https://worldathletics.org/athletes/athlete=14419510
2,51.39,,Salwa Eid NASER,23 MAY 1998,BRN,1,,Mungyeong (KOR),07 OCT 2015,1150,women_400m,2015,https://worldathletics.org/athletes/athlete=14643442
3,51.98,,Huizhen YANG,13 AUG 1992,CHN,3,,"Main Stadium, Gwangju (KOR)",10 JUL 2015,1127,women_400m,2015,https://worldathletics.org/athletes/athlete=14635020
4,52.00,,Thi Huyen NGUYEN,19 MAY 1993,VIE,1,,Singapore (SGP),12 JUN 2015,1126,women_400m,2015,https://worldathletics.org/athletes/athlete=14524764
5,52.46,,Chong CHENG,22 SEP 1992,CHN,1,,Beijing (CHN),28 JUN 2015,1109,women_400m,2015,https://worldathletics.org/athletes/athlete=14430026
6,52.52,,Thi Lan QUACH,18 OCT 1995,VIE,2,,Singapore (SGP),12 JUN 2015,1106,women_400m,2015,https://worldathletics.org/athletes/athlete=14483951
7,52.60,,Poovamma Raju MACHETTIRA,05 JUN 1990,IND,2f1,,Chanthaburi (THA),29 JUN 2015,1103,women_400m,2015,https://worldathletics.org/athletes/athlete=14282957
8,52.61,,Yulia RAKHMANOVA,25 OCT 1991,KAZ,1,,Almaty (KAZ),14 JUN 2015,1103,women_400m,2015,https://worldathletics.org/athletes/athlete=14427003
9,52.63,,Thi Oanh NGUYEN,22 FEB 1996,VIE,1,,Ho Chi-Minh (VIE),12 OCT 2015,1102,women_400m,2015,https://worldathletics.org/athletes/athlete=14434122
10,52.71,,Anilda THOMAS,06 MAY 1993,IND,1,,Thiruvanthapuram (IND),11 FEB 2015,1099,women_400m,2015,https://worldathletics.org/athletes/athlete=14583858
11,52.83,,Anastasiya KUDINOVA,27 FEB 1988,KAZ,1,,Almaty (KAZ),12 MAY 2015,1094,women_400m,2015,https://worldathletics.org/athletes/athlete=14288642
12,53.05,,Sayaka AOKI,15 DEC 1986,JPN,1,,Nagoya (JPN),27 JUN 2015,1086,women_400m,2015,https://worldathletics.org/athletes/athlete=14286092
13,53.14,,Sayaka FUJISAWA,11 MAR 1991,JPN,2,,Nagoya (JPN),27 JUN 2015,1083,women_400m,2015,https://worldathletics.org/athletes/athlete=14528786
13,53.14,,Jisna MATHEW,07 JAN 1999,IND,2,,Apia (SAM),08 SEP 2015,1083,women_400m,2015,https://worldathletics.org/athletes/athlete=14617779
15,53.19,,Huan WANG,21 SEP 1994,CHN,2,,Beijing (CHN),28 JUN 2015,1081,women_400m,2015,https://worldathletics.org/athletes/athlete=14420866
16,53.30,,Haruko ISHIZUKA,02 JUN 1997,JPN,1,,Wakayama (JPN),29 JUL 2015,1076,women_400m,2015,https://worldathletics.org/athletes/athlete=14649124
17,53.33,,Seika AOYAMA,01 MAY 1996,JPN,1,,Osaka (JPN),11 SEP 2015,1075,women_400m,2015,https://worldathletics.org/athletes/athlete=14547929
18,53.58,,Konomi TAKEISHI,09 OCT 1991,JPN,4,,Nagoya (JPN),27 JUN 2015,1066,women_400m,2015,https://worldathletics.org/athletes/athlete=14388922
19,53.65,,Asami CHIBA,25 SEP 1985,JPN,5,,Nagoya (JPN),27 JUN 2015,1063,women_400m,2015,https://worldathletics.org/athletes/athlete=14288159
20,53.68,,Debasree MAJUMDAR,06 APR 1991,IND,3,,Chennai (IND),13 JUL 2015,1062,women_400m,2015,https://worldathletics.org/athletes/athlete=14282959
21,53.78,,Asami SHINTAKU,08 MAR 1994,JPN,6,,Nagoya (JPN),27 JUN 2015,1058,women_400m,2015,https://worldathletics.org/athletes/athlete=14643502
22,53.79,,Chandrika Subashini RASNAYAKE,20 JUN 1987,SRI,1,,Diyagama (SRI),26 JUL 2015,1058,women_400m,2015,https://worldathletics.org/athletes/athlete=14300468
23,53.88,,Anu RAGHAVAN,20 APR 1993,IND,4,,Chennai (IND),13 JUL 2015,1055,women_400m,2015,https://worldathletics.org/athletes/athlete=14436789
24,53.91,,Kaede KASHIYAMA,11 OCT 1994,JPN,2,,Osaka (JPN),11 SEP 2015,1053,women_400m,2015,https://worldathletics.org/athletes/athlete=14664056
25,54.00,,Hinako SATO,02 MAY 1996,JPN,7,,Nagoya (JPN),27 JUN 2015,1050,women_400m,2015,https://worldathletics.org/athletes/athlete=14608113
26,54.10,,Guifen HUANG,20 AUG 1997,CHN,3,,Suzhou (CHN),23 SEP 2015,1046,women_400m,2015,https://worldathletics.org/athletes/athlete=14583568
27,54.24,,Ayaka NISHIDA,15 JUL 1993,JPN,4,,Osaka (JPN),11 SEP 2015,1041,women_400m,2015,https://worldathletics.org/athletes/athlete=14521626
28,54.25,,Thi Ngoc HOANG,10 FEB 1995,VIE,2,,Ho Chi-Minh (VIE),12 OCT 2015,1041,women_400m,2015,https://worldathletics.org/athletes/vietnam/thi-ngoc-hoang-14553361
29,54.26,,Shereen Samson VALLABOUY,10 JUL 1998,MAS,3,,Singapore (SGP),12 JUN 2015,1040,women_400m,2015,https://worldathletics.org/athletes/athlete=14651484
30,54.28,,Gui ZHANG,17 JAN 1996,CHN,4,,Beijing (CHN),28 JUN 2015,1040,women_400m,2015,https://worldathletics.org/athletes/athlete=14702468
30,54.28,,Yuna IWATA,17 OCT 1997,JPN,1,,Wakayama (JPN),05 OCT 2015,1040,women_400m,2015,https://worldathletics.org/athletes/athlete=14671508
32,54.29,,Siti Nur AFIQAH ABDUL RAZAK,21 MAR 1998,MAS,4f1,,Melbourne (AUS),28 FEB 2015,1039,women_400m,2015,https://worldathletics.org/athletes/athlete=14596084
33,54.31,,Nanako MATSUMOTO,03 SEP 1996,JPN,8,,Nagoya (JPN),27 JUN 2015,1038,women_400m,2015,https://worldathletics.org/athletes/athlete=14547918
33,54.31,,E.W.K. RATHNAKUMARI,02 NOV 1987,SRI,2,,Diyagama (SRI),20 DEC 2015,1038,women_400m,2015,https://worldathletics.org/athletes/athlete=14429018
35,54.33,,Elina MIKHINA,16 JUL 1994,KAZ,5f1,,Pathum Thani (THA),25 JUN 2015,1038,women_400m,2015,https://worldathletics.org/athletes/athlete=14424019
36,54.43,,Gaoqin PAN,12 DEC 1991,CHN,4,,Suzhou (CHN),23 SEP 2015,1034,women_400m,2015,https://worldathletics.org/athletes/athlete=14265515
37,54.47,,Manami KIRA,23 OCT 1991,JPN,3,,Gifu (JPN),27 SEP 2015,1032,women_400m,2015,https://worldathletics.org/athletes/athlete=14439813
38,54.49,,Aki ODAGAKI,14 SEP 1993,JPN,3h4,,Osaka (JPN),11 SEP 2015,1032,women_400m,2015,https://worldathletics.org/athletes/athlete=14584054
39,54.50,,Jingwen CHEN,08 FEB 1990,CHN,2,,Jinan (CHN),30 APR 2015,1031,women_400m,2015,https://worldathletics.org/athletes/athlete=14266692
39,54.50,,Nimali WALIWARSHA,19 SEP 1989,SRI,3,,Diyagama (SRI),20 DEC 2015,1031,women_400m,2015,https://worldathletics.org/athletes/athlete=14376422
41,54.51,,Ayaka NAGURA,21 JUL 1994,JPN,1h2,,Osaka (JPN),11 SEP 2015,1031,women_400m,2015,https://worldathletics.org/athletes/athlete=14479662
41,54.51,,Omaya Udayangani MUTHUMALA,19 OCT 1997,MAS,2,,Diyagama (SRI),03 DEC 2015,1031,women_400m,2015,https://worldathletics.org/athletes/athlete=14651485
43,54.52,,Xue LI,29 MAY 1992,CHN,5,,Beijing (CHN),28 JUN 2015,1031,women_400m,2015,https://worldathletics.org/athletes/athlete=14691763
44,54.59,,Misaki YOSHIMI,17 DEC 1994,JPN,4h4,,Osaka (JPN),11 SEP 2015,1028,women_400m,2015,https://worldathletics.org/athletes/japan/misaki-yoshimi-14707936
45,54.72,,Ke HE,13 NOV 1993,CHN,6,,Beijing (CHN),28 JUN 2015,1023,women_400m,2015,https://worldathletics.org/athletes/athlete=14514463
45,54.72,,Santosh KUMARI,15 JAN 1990,IND,6,,Chennai (IND),13 JUL 2015,1023,women_400m,2015,https://worldathletics.org/athletes/athlete=14545221
