Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,64.27,,Xinyue SU,08 NOV 1991,CHN,1,,Jinan (CHN),29 APR 2015,1150,women_DT,2015,https://worldathletics.org/athletes/athlete=14265301
2,62.97,,Jian TAN,22 JAN 1988,CHN,2,,Wuhan (CHN),04 JUN 2015,1126,women_DT,2015,https://worldathletics.org/athletes/athlete=14265227
3,62.30,,Xiaoxin LU,22 FEB 1989,CHN,3,,Wuhan (CHN),04 JUN 2015,1114,women_DT,2015,https://worldathletics.org/athletes/athlete=14334068
4,62.20,,Chunxia WENG,29 AUG 1992,CHN,1,,Pathum Thani (THA),25 JUN 2015,1112,women_DT,2015,https://worldathletics.org/athletes/athlete=14334861
5,62.07,,Bin FENG,03 APR 1994,CHN,1,,Mungyeong (KOR),07 OCT 2015,1110,women_DT,2015,https://worldathletics.org/athletes/athlete=14430151
6,61.16,,Yang CHEN,10 JUL 1991,CHN,3,,Beijing (CHN),28 JUN 2015,1093,women_DT,2015,https://worldathletics.org/athletes/athlete=14423031
7,60.90,,Yanbo YANG,09 MAR 1990,CHN,1,,"Walnut, CA (USA)",17 APR 2015,1088,women_DT,2015,https://worldathletics.org/athletes/athlete=14264644
8,60.09,,Subenrat INSAENG,10 FEB 1994,THA,1,,Taipei City (TPE),15 MAY 2015,1073,women_DT,2015,https://worldathletics.org/athletes/athlete=14424032
9,58.43,,Fengjing JIANG,28 AUG 1987,CHN,1,,Taiyuan (CHN),12 MAY 2015,1042,women_DT,2015,https://worldathletics.org/athletes/pr-of-china/fengjing-jiang-14266218
10,58.30,,Siyu GU,11 FEB 1993,CHN,5,,Suzhou (CHN),24 SEP 2015,1040,women_DT,2015,https://worldathletics.org/athletes/athlete=14336735
11,57.94,,Yan LIANG,02 JAN 1995,CHN,4,,Jinan (CHN),29 APR 2015,1033,women_DT,2015,https://worldathletics.org/athletes/athlete=14480178
12,57.82,,Fei YANG,20 JUL 1987,CHN,7f1,,Chengdu (CHN),05 APR 2015,1031,women_DT,2015,https://worldathletics.org/athletes/athlete=14264691
13,55.80,,Wen-Hua LI,03 DEC 1989,TPE,2,,Taipei City (TPE),15 MAY 2015,994,women_DT,2015,https://worldathletics.org/athletes/athlete=14302880
13,55.80,,Yuchen XIE,12 MAY 1996,CHN,11,,Suzhou (CHN),24 SEP 2015,994,women_DT,2015,https://worldathletics.org/athletes/athlete=14430469
15,55.26,,Lan WANG,08 JUL 1993,CHN,10f1,,Chengdu (CHN),05 APR 2015,984,women_DT,2015,https://worldathletics.org/athletes/athlete=14441113
16,53.58,,Ayumi TAKAHASHI,31 AUG 1989,JPN,1,,Nagoya (JPN),26 JUN 2015,953,women_DT,2015,https://worldathletics.org/athletes/athlete=14423345
17,53.53,,Navjeet Kaur DHILLON,06 MAR 1995,IND,4,,Chanthaburi (THA),29 JUN 2015,952,women_DT,2015,https://worldathletics.org/athletes/athlete=14282905
18,53.50,,Shanshan LI,06 JAN 1992,CHN,13,,Suzhou (CHN),24 SEP 2015,952,women_DT,2015,https://worldathletics.org/athletes/athlete=14265968
19,53.45,,Mariya ZOLOTKO,03 APR 1994,KAZ,1,,Shimkent (KAZ),28 MAR 2015,951,women_DT,2015,https://worldathletics.org/athletes/athlete=14383886
20,53.12,,Kangping SUN,07 MAR 1997,CHN,4,,Lianyungang (CHN),05 MAY 2015,945,women_DT,2015,https://worldathletics.org/athletes/athlete=14579682
21,52.73,,Natsumi FUJIMORI,20 AUG 1995,JPN,1,,Hiratsuka (JPN),14 JUN 2015,938,women_DT,2015,https://worldathletics.org/athletes/athlete=14649122
22,52.30,,Shan LING,26 JUN 1994,CHN,1f2,,Chengdu (CHN),05 APR 2015,930,women_DT,2015,https://worldathletics.org/athletes/athlete=14482058
23,52.22,,Xingyun LIANG,04 JUN 1996,CHN,2f2,,Chengdu (CHN),05 APR 2015,928,women_DT,2015,https://worldathletics.org/athletes/athlete=14579681
24,51.52,,Xue HAN,07 JAN 1995,CHN,11,,Jinan (CHN),29 APR 2015,915,women_DT,2015,https://worldathletics.org/athletes/athlete=14482040
25,51.33,,Jing LIU,14 FEB 1993,CHN,3f2,,Chengdu (CHN),01 APR 2015,912,women_DT,2015,https://worldathletics.org/athletes/athlete=14430152
26,50.88,,Aoxue LIN,05 OCT 1997,CHN,5f2,,Chengdu (CHN),01 APR 2015,904,women_DT,2015,https://worldathletics.org/athletes/athlete=14585484
27,50.78,,Eriko NAKATA,18 SEP 1992,JPN,1,,Kobe (JPN),26 APR 2015,902,women_DT,2015,https://worldathletics.org/athletes/athlete=14388937
28,50.68,,Ai SHIKIMOTO,21 AUG 1983,JPN,2,,Gifu (JPN),27 SEP 2015,900,women_DT,2015,https://worldathletics.org/athletes/athlete=14287833
29,50.54,,Yelim JEONG,16 JUN 1993,KOR,8q2,,"Main Stadium, Gwangju (KOR)",08 JUL 2015,897,women_DT,2015,https://worldathletics.org/athletes/athlete=14431117
30,50.49,,. PRAMILA,15 MAY 1991,IND,2,,Chennai (IND),13 JUL 2015,897,women_DT,2015,https://worldathletics.org/athletes/india/pramila-014409566
31,50.43,,Hye-rim CHO,26 AUG 1986,KOR,1,,Mungyeong (KOR),30 JUN 2015,895,women_DT,2015,https://worldathletics.org/athletes/athlete=14289595
32,50.33,,Ran CUI,07 FEB 1994,CHN,3f2,,Chengdu (CHN),05 APR 2015,894,women_DT,2015,https://worldathletics.org/athletes/athlete=14522591
33,50.29,,Kamalpreet KAUR,04 MAR 1996,IND,2,,Patiala (IND),30 DEC 2015,893,women_DT,2015,https://worldathletics.org/athletes/athlete=14621360
34,50.23,,Fatemeh KHAYATI,03 JAN 1996,IRI,1,,Tehran (IRI),09 OCT 2015,892,women_DT,2015,https://worldathletics.org/athletes/athlete=14560045
35,49.87,,Noora Salem JASIM,27 NOV 1996,BRN,6,,Mungyeong (KOR),07 OCT 2015,885,women_DT,2015,https://worldathletics.org/athletes/athlete=14594947
36,49.21,,Nozomi KUSAKA,11 MAY 1990,JPN,1,,Inzai (JPN),24 OCT 2015,873,women_DT,2015,https://worldathletics.org/athletes/athlete=14329761
37,49.10,,Nanaka KORI,02 MAY 1997,JPN,4,,Nagoya (JPN),26 JUN 2015,871,women_DT,2015,https://worldathletics.org/athletes/athlete=14649145
