Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,1.94,,Svetlana RADZIVIL,17 JAN 1987,UZB,2,,"Moratalaz, Madrid (ESP)",11 JUL 2015,1160,women_HJ,2015,https://worldathletics.org/athletes/athlete=14325056
2,1.92,,Xingjuan ZHENG,20 MAR 1989,CHN,1,,"Albuquerque, NM (USA) (i)",24 JAN 2015,1140,women_HJ,2015,https://worldathletics.org/athletes/athlete=14264284
3,1.88,,Yang WANG,14 FEB 1989,CHN,2,,Wuhan (CHN),03 JUN 2015,1101,women_HJ,2015,https://worldathletics.org/athletes/athlete=14265015
4,1.86,,Wanida BOONWAN,30 AUG 1986,THA,1,,Taipei City (TPE),15 MAY 2015,1082,women_HJ,2015,https://worldathletics.org/athletes/athlete=14302648
4,1.86,,Lin WANG,08 JAN 1995,CHN,1,,Chanthaburi (THA),29 JUN 2015,1082,women_HJ,2015,https://worldathletics.org/athletes/athlete=14472023
6,1.85,,Regina KAYSAROVA,07 APR 1993,KAZ,1,,Almaty (KAZ),12 MAY 2015,1072,women_HJ,2015,https://worldathletics.org/athletes/athlete=14421725
7,1.84,,Suat Li Michelle SNG,19 MAY 1987,SGP,1,,Santa Cruz (PHI),19 MAR 2015,1062,women_HJ,2015,https://worldathletics.org/athletes/athlete=14300036
7,1.84,,Luyu ZHANG,18 AUG 1994,CHN,1f1,,Jinan (CHN),30 APR 2015,1062,women_HJ,2015,https://worldathletics.org/athletes/athlete=14472022
7,1.84,,Marina AITOVA,13 SEP 1982,KAZ,1,,Almaty (KAZ),15 JUN 2015,1062,women_HJ,2015,https://worldathletics.org/athletes/athlete=14288634
7,1.84,,Jingyi LIU,27 OCT 1994,CHN,3,,Beijing (CHN),29 JUN 2015,1062,women_HJ,2015,https://worldathletics.org/athletes/athlete=14462011
7,1.84,,Alesya PAKLINA,27 JUL 1985,KGZ,4,,Yerino (RUS),10 JUL 2015,1062,women_HJ,2015,https://worldathletics.org/athletes/athlete=14330185
7,1.84,,Yuki WATANABE,12 AUG 1988,JPN,1,,Tokyo (JPN),26 JUL 2015,1062,women_HJ,2015,https://worldathletics.org/athletes/athlete=14643505
13,1.83,,Thi Diem PHAM,24 JAN 1990,VIE,2,,Taipei City (TPE),15 MAY 2015,1052,women_HJ,2015,https://worldathletics.org/athletes/athlete=14434123
14,1.81,,Shieriai TSUDA,09 SEP 1996,JPN,1,,Fukuroi (JPN),03 MAY 2015,1033,women_HJ,2015,https://worldathletics.org/athletes/athlete=14528949
14,1.81,,Yuka SOMA,23 MAY 1993,JPN,2,,Fukuroi (JPN),03 MAY 2015,1033,women_HJ,2015,https://worldathletics.org/athletes/japan/yuka-soma-14671353
14,1.81,,Miyuki FUKUMOTO,04 JAN 1977,JPN,1,,Gifu (JPN),27 SEP 2015,1033,women_HJ,2015,https://worldathletics.org/athletes/athlete=14286094
17,1.80,,Sahana KUMARI,06 MAR 1981,IND,1,,Thiruvanthapuram (IND),09 FEB 2015,1023,women_HJ,2015,https://worldathletics.org/athletes/athlete=14282935
17,1.80,,Yiwen JIN,19 JAN 1995,CHN,3f1,,Jinan (CHN),30 APR 2015,1023,women_HJ,2015,https://worldathletics.org/athletes/athlete=14462175
17,1.80,,Xueyi WANG,03 AUG 1991,CHN,3f1,,Jinan (CHN),30 APR 2015,1023,women_HJ,2015,https://worldathletics.org/athletes/athlete=14941031
17,1.80,,Chai YANBO,24 JAN 1997,CHN,1f2,,Jinan (CHN),30 APR 2015,1023,women_HJ,2015,https://worldathletics.org/athletes/athlete=14603333
17,1.80,,Jian ZHAO,24 MAR 1991,CHN,2f2,,Jinan (CHN),30 APR 2015,1023,women_HJ,2015,https://worldathletics.org/athletes/athlete=14420966
17,1.80,,Xiaoyun LIU,12 JUN 1993,CHN,2,,Taiyuan (CHN),13 MAY 2015,1023,women_HJ,2015,https://worldathletics.org/athletes/athlete=14365842
17,1.80,,Sepideh TAVAKOLY,02 MAR 1989,IRI,1ce,,Wuhan (CHN),03 JUN 2015,1023,women_HJ,2015,https://worldathletics.org/athletes/athlete=14376789
17,1.80,,Alexandra LOSHKAREVA,31 DEC 1996,KAZ,2,,Almaty (KAZ),26 JUL 2015,1023,women_HJ,2015,https://worldathletics.org/athletes/athlete=14552961
17,1.80,,Ekaterina VORONINA,16 FEB 1992,UZB,5ce2,,"National Stadium, Beijing (CHN)",22 AUG 2015,1023,women_HJ,2015,https://worldathletics.org/athletes/athlete=14330186
17,1.80,,Thi Viet Anh DUONG,30 DEC 1990,VIE,1,,Ho Chi-Minh (VIE),10 OCT 2015,1023,women_HJ,2015,https://worldathletics.org/athletes/athlete=14329676
27,1.79,,Sean Yee YAP,05 JAN 1995,MAS,1,,Kuantan (MAS),25 APR 2015,1013,women_HJ,2015,https://worldathletics.org/athletes/athlete=14498405
27,1.79,,Jaruwan KITTIPHAT,03 MAY 1994,THA,3,,Pathum Thani (THA),25 JUN 2015,1013,women_HJ,2015,https://worldathletics.org/athletes/thailand/jaruwan-kittiphat-14427118
27,1.79,,Hoai Nhi NGUYEN THI,1996,VIE,2,,Ho Chi-Minh (VIE),01 AUG 2015,1013,women_HJ,2015,https://worldathletics.org/athletes/athlete=14543371
27,1.79,,Mahsa KARGAR,29 OCT 1993,IRI,1,,Shiraz (IRI),02 AUG 2015,1013,women_HJ,2015,https://worldathletics.org/athletes/athlete=14497908
31,1.78,,Svetlana ZUBOVA,18 JUN 1995,KAZ,1,,Ust-Kamenogorsk (KAZ) (i),15 FEB 2015,1004,women_HJ,2015,https://worldathletics.org/athletes/kazakhstan/svetlana-zubova-14478221
31,1.78,,Nanami INOUE,15 DEC 1991,JPN,2,,Nagoya (JPN),26 JUN 2015,1004,women_HJ,2015,https://worldathletics.org/athletes/japan/nanami-inoue-014591155
31,1.78,,Moeko KYOYA,13 JUN 1991,JPN,1,,Hakodate (JPN),19 JUL 2015,1004,women_HJ,2015,https://worldathletics.org/athletes/japan/moeko-kyoya-14439815
34,1.77,,Haruka NAKANO,11 APR 1996,JPN,2,,Tokyo (JPN),26 JUL 2015,994,women_HJ,2015,https://worldathletics.org/athletes/athlete=14662814
35,1.76,,Tatyana YAKIMKINA,26 JUN 1994,KAZ,1,,Ust-Kamenogorsk (KAZ) (i),07 FEB 2015,984,women_HJ,2015,https://worldathletics.org/athletes/kazakhstan/tatyana-yakimkina-14591508
35,1.76,,Min HUANG,13 JAN 1996,CHN,1ce,,Taiyuan (CHN),12 MAY 2015,984,women_HJ,2015,https://worldathletics.org/athletes/pr-of-china/min-huang-14635022
35,1.76,,Satomi TERATANI,23 NOV 1996,JPN,3,,Osaka (JPN),11 SEP 2015,984,women_HJ,2015,https://worldathletics.org/athletes/athlete=14649130
35,1.76,,Mio IWASHITA,12 MAR 1996,JPN,3,,Osaka (JPN),11 SEP 2015,984,women_HJ,2015,https://worldathletics.org/athletes/athlete=14722799
39,1.75,,Xin SHEN,05 NOV 1992,CHN,2,,Shanghai (CHN) (i),02 MAR 2015,974,women_HJ,2015,https://worldathletics.org/athletes/athlete=14334856
39,1.75,,Xiyao ZHANG,20 DEC 1995,CHN,2,,Shanghai (CHN) (i),02 MAR 2015,974,women_HJ,2015,https://worldathletics.org/athletes/athlete=14462009
39,1.75,,Sang LIU,23 DEC 1996,CHN,2,,Shanghai (CHN) (i),02 MAR 2015,974,women_HJ,2015,https://worldathletics.org/athletes/pr-of-china/sang-liu-14578522
39,1.75,,Yuqing TONG,17 NOV 1994,CHN,2,,Xianlin (CHN) (i),09 MAR 2015,974,women_HJ,2015,https://worldathletics.org/athletes/pr-of-china/yuqing-tong-14644586
39,1.75,,Siyi DENG,21 AUG 1997,CHN,3,,Xianlin (CHN) (i),09 MAR 2015,974,women_HJ,2015,https://worldathletics.org/athletes/athlete=14635025
39,1.75,,Bin YUAN,28 JUL 1996,CHN,3,,Beijing (CHN) (i),16 MAR 2015,974,women_HJ,2015,https://worldathletics.org/athletes/athlete=14439907
39,1.75,,Yuanyuan FENG,16 DEC 1993,CHN,5f2,,Jinan (CHN),30 APR 2015,974,women_HJ,2015,https://worldathletics.org/athletes/pr-of-china/yuanyuan-feng-14488712
39,1.75,,Azumi MAEDA,09 NOV 1990,JPN,7,,Fukuroi (JPN),03 MAY 2015,974,women_HJ,2015,https://worldathletics.org/athletes/japan/azumi-maeda-14560358
39,1.75,,Ai TSUJI,28 JUL 1996,JPN,3,,Hiratsuka (JPN),14 JUN 2015,974,women_HJ,2015,https://worldathletics.org/athletes/athlete=14562723
39,1.75,,Yuzuki ISHIOKA,01 AUG 1997,JPN,4,,Nagoya (JPN),26 JUN 2015,974,women_HJ,2015,https://worldathletics.org/athletes/athlete=14671352
