Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,76.33,,Wenxiu ZHANG,22 MAR 1986,CHN,2,,"National Stadium, Beijing (CHN)",27 AUG 2015,1196,women_HT,2015,https://worldathletics.org/athletes/athlete=14264385
2,74.92,,Zheng WANG,14 DEC 1987,CHN,1f1,,Chengdu (CHN),01 APR 2015,1173,women_HT,2015,https://worldathletics.org/athletes/athlete=14264987
3,71.40,,Tingting LIU,29 JAN 1990,CHN,1f1,,Halle (GER),16 MAY 2015,1116,women_HT,2015,https://worldathletics.org/athletes/athlete=14941347
4,68.07,,Wang LU,22 DEC 1991,CHN,3f1,,Chengdu (CHN),01 APR 2015,1062,women_HT,2015,https://worldathletics.org/athletes/athlete=14372180
5,67.11,,Na LUO,08 OCT 1993,CHN,4,,"Main Stadium, Gwangju (KOR)",11 JUL 2015,1046,women_HT,2015,https://worldathletics.org/athletes/athlete=14430153
6,66.25,,Ni YAN,07 FEB 1993,CHN,5,,Mungyeong (KOR),07 OCT 2015,1033,women_HT,2015,https://worldathletics.org/athletes/athlete=14430157
7,66.05,,Masumi AYA,01 JAN 1980,JPN,1,,Nagoya (JPN),28 JUN 2015,1029,women_HT,2015,https://worldathletics.org/athletes/athlete=14286119
8,64.92,,Akane WATANABE,13 AUG 1991,JPN,1,,Gifu (JPN),27 SEP 2015,1011,women_HT,2015,https://worldathletics.org/athletes/athlete=14369920
9,64.59,,Dongxue DAN,23 MAR 1992,CHN,5,,Beijing (CHN),27 JUN 2015,1006,women_HT,2015,https://worldathletics.org/athletes/athlete=14369325
10,63.31,,Xinying XU,17 FEB 1997,CHN,3,,Minsk (BLR),10 JUL 2015,985,women_HT,2015,https://worldathletics.org/athletes/athlete=14638605
11,63.10,,Youlian XIA,04 AUG 1993,CHN,5f1,,Jinan (CHN),29 APR 2015,982,women_HT,2015,https://worldathletics.org/athletes/athlete=14423034
12,62.94,,Yumao LI,28 MAR 1993,CHN,7,,Suzhou (CHN),24 SEP 2015,979,women_HT,2015,https://worldathletics.org/athletes/athlete=14430046
13,62.58,,Ningyu SHANG,26 MAY 1998,CHN,1f2,,Chengdu (CHN),05 APR 2015,973,women_HT,2015,https://worldathletics.org/athletes/athlete=14638606
14,61.82,,Na-ru KANG,25 APR 1983,KOR,1,,Mungyeong (KOR),27 JUN 2015,961,women_HT,2015,https://worldathletics.org/athletes/athlete=14289683
15,61.38,,Galina MITYAEVA,29 APR 1991,TJK,1,,Sainte-Therese (CAN),01 AUG 2015,954,women_HT,2015,https://worldathletics.org/athletes/athlete=14302749
16,61.31,,Dan ZONG,19 JAN 1995,CHN,9,,Suzhou (CHN),24 SEP 2015,953,women_HT,2015,https://worldathletics.org/athletes/athlete=14585428
17,61.25,,Hitomi KATSUYAMA,21 MAY 1994,JPN,3,,Wakayama (JPN),02 OCT 2015,952,women_HT,2015,https://worldathletics.org/athletes/athlete=14533044
18,61.22,,Lamei WANG,15 JAN 1990,CHN,7f1,,Chengdu (CHN),01 APR 2015,951,women_HT,2015,https://worldathletics.org/athletes/athlete=14265103
19,60.52,,Luxia CHEN,14 MAR 1993,CHN,2f2,,Chengdu (CHN),05 APR 2015,940,women_HT,2015,https://worldathletics.org/athletes/athlete=14369326
20,59.90,,Wakana SATO,27 JAN 1988,JPN,3,,Nagoya (JPN),28 JUN 2015,930,women_HT,2015,https://worldathletics.org/athletes/athlete=14287774
21,59.89,,Misaki FUKUSHIMA,24 DEC 1993,JPN,1,,Osaka (JPN),12 SEP 2015,930,women_HT,2015,https://worldathletics.org/athletes/athlete=14533043
22,59.66,,Qiao XIE,12 MAR 1994,CHN,8f1,,Chengdu (CHN),01 APR 2015,926,women_HT,2015,https://worldathletics.org/athletes/athlete=14502126
23,59.63,,Haruno CHINEN,14 APR 1990,JPN,2,,Kitakyushu (JPN),17 MAY 2015,926,women_HT,2015,https://worldathletics.org/athletes/athlete=14334569
24,59.26,,Fan ZHAO,26 MAR 1997,CHN,3f2,,Chengdu (CHN),05 APR 2015,920,women_HT,2015,https://worldathletics.org/athletes/athlete=14694426
25,59.04,,Tamami SAEKI,05 AUG 1993,JPN,2,,Osaka (JPN),12 SEP 2015,916,women_HT,2015,https://worldathletics.org/athletes/athlete=14664092
26,59.03,,Hee-seon PARK,21 DEC 1992,KOR,2,,Mungyeong (KOR),27 JUN 2015,916,women_HT,2015,https://worldathletics.org/athletes/athlete=14373678
27,58.97,,Sarita Romit SINGH,26 OCT 1989,IND,1,,Kolkata (IND),16 SEP 2015,915,women_HT,2015,https://worldathletics.org/athletes/athlete=14497435
28,58.57,,Suzuka ASADA,18 OCT 1987,JPN,6,,Nagoya (JPN),28 JUN 2015,909,women_HT,2015,https://worldathletics.org/athletes/athlete=14329765
29,58.41,,K.M. RACHNA,01 MAR 1993,IND,1,,Moodbidri (IND),20 JAN 2015,906,women_HT,2015,https://worldathletics.org/athletes/india/km-rachna-14624721
29,58.41,,Yang ZHOU,26 OCT 1993,CHN,5f2,,Chengdu (CHN),05 APR 2015,906,women_HT,2015,https://worldathletics.org/athletes/athlete=14430155
31,58.27,,Mika TAKEKAWA,26 JUN 1985,JPN,3,,Taipei City (TPE),16 MAY 2015,904,women_HT,2015,https://worldathletics.org/athletes/athlete=14288066
32,58.16,,. SONAM,16 MAY 1992,IND,2,,Kolkata (IND),16 SEP 2015,902,women_HT,2015,https://worldathletics.org/athletes/india/sonam-14497985
33,57.65,,RITU DHIMAN,24 AUG 1995,IND,1,,Chennai (IND),10 JUL 2015,894,women_HT,2015,https://worldathletics.org/athletes/athlete=14650066
34,57.29,,Aimi ARIMOTO,17 MAY 1994,JPN,1,,Kumamoto (JPN),24 OCT 2015,888,women_HT,2015,https://worldathletics.org/athletes/japan/aimi-arimoto-14664091
35,56.91,,Gunjan SINGH,20 NOV 1989,IND,2,,Bhopal (IND),06 AUG 2015,882,women_HT,2015,https://worldathletics.org/athletes/athlete=14383479
