Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,66.13,,Huihui LYU,26 JUN 1989,CHN,2,,"National Stadium, Beijing (CHN)",30 AUG 2015,1192,women_JT,2015,https://worldathletics.org/athletes/athlete=14265696
2,65.07,,Lingyu LI,26 JAN 1989,CHN,2q2,,"National Stadium, Beijing (CHN)",28 AUG 2015,1172,women_JT,2015,https://worldathletics.org/athletes/athlete=14266005
3,63.80,,Yuki EBIHARA,28 OCT 1985,JPN,4,,"Todoroki Stadium, Kawasaki (JPN)",10 MAY 2015,1148,women_JT,2015,https://worldathletics.org/athletes/athlete=14286145
4,62.95,,Li ZHANG,17 JAN 1989,CHN,1,,Mungyeong (KOR),04 OCT 2015,1133,women_JT,2015,https://worldathletics.org/athletes/athlete=14264439
5,62.77,,Shiying LIU,24 SEP 1993,CHN,1f1,,Chengdu (CHN),01 APR 2015,1129,women_JT,2015,https://worldathletics.org/athletes/athlete=14430159
6,61.92,,Xinli YANG,07 FEB 1988,CHN,2f1,,Chengdu (CHN),01 APR 2015,1114,women_JT,2015,https://worldathletics.org/athletes/athlete=14368004
7,58.85,,Annu RANI,29 AUG 1992,IND,1,,Kolkata (IND),18 SEP 2015,1057,women_JT,2015,https://worldathletics.org/athletes/athlete=14422692
8,58.76,,Ai YAMAUCHI,06 DEC 1994,JPN,1,,Osaka (JPN),17 MAY 2015,1055,women_JT,2015,https://worldathletics.org/athletes/athlete=14444442
9,58.74,,Haean SEO,01 JUL 1985,KOR,1,,Goseong (KOR),18 JUN 2015,1055,women_JT,2015,https://worldathletics.org/athletes/athlete=14289889
10,58.61,,Anastasiya SVECHNIKOVA,20 SEP 1992,UZB,1,,Bishkek (KGZ),20 JUN 2015,1052,women_JT,2015,https://worldathletics.org/athletes/athlete=14325074
11,58.58,,Xiaowei DU,11 AUG 1987,CHN,2,,Beijing (CHN),28 JUN 2015,1052,women_JT,2015,https://worldathletics.org/athletes/athlete=14266522
12,58.52,,Nadeeka LAKMALI,18 SEP 1981,SRI,1,,Diyagama (SRI),20 DEC 2015,1051,women_JT,2015,https://worldathletics.org/athletes/athlete=14300512
13,58.51,,Hitomi SUKENAGA,04 MAY 1988,JPN,2,,Nagoya (JPN),26 JUN 2015,1050,women_JT,2015,https://worldathletics.org/athletes/athlete=14287926
14,57.91,,Risa MIYASHITA,26 APR 1984,JPN,1,,Kitakyushu (JPN),03 NOV 2015,1039,women_JT,2015,https://worldathletics.org/athletes/athlete=14418697
15,57.73,,Marina SAITO,15 OCT 1995,JPN,3,,Nagoya (JPN),26 JUN 2015,1036,women_JT,2015,https://worldathletics.org/athletes/athlete=14547924
16,57.56,,Dandan ZHU,01 MAR 1994,CHN,1f2,,Chengdu (CHN),01 APR 2015,1033,women_JT,2015,https://worldathletics.org/athletes/athlete=14488716
17,57.25,,Gyeongae GIM,05 MAR 1988,KOR,2,,Goseong (KOR),18 JUN 2015,1027,women_JT,2015,https://worldathletics.org/athletes/athlete=14289719
18,57.15,,Suman DEVI,15 JUL 1985,IND,2,,Kolkata (IND),18 SEP 2015,1025,women_JT,2015,https://worldathletics.org/athletes/athlete=14282827
19,57.02,,Haruka KITAGUCHI,16 MAR 1998,JPN,1,,Wakayama (JPN),04 OCT 2015,1023,women_JT,2015,https://worldathletics.org/athletes/athlete=14649131
20,56.77,,Daixian HE,01 SEP 1994,CHN,4,,Suzhou (CHN),23 SEP 2015,1018,women_JT,2015,https://worldathletics.org/athletes/athlete=14420742
21,56.54,,Mizuki KATO,27 OCT 1993,JPN,1,,Kyoto (JPN),12 APR 2015,1014,women_JT,2015,https://worldathletics.org/athletes/athlete=14649134
22,56.34,,Chunfeng CHANG,04 MAY 1988,CHN,2f1,,Chengdu (CHN),05 APR 2015,1010,women_JT,2015,https://worldathletics.org/athletes/athlete=14266720
23,56.29,,Jiajia CHEN,14 OCT 1998,CHN,4,,Beijing (CHN),28 JUN 2015,1009,women_JT,2015,https://worldathletics.org/athletes/athlete=14694432
24,55.74,,Shiori TOMA,07 FEB 1996,JPN,4,,Hiroshima (JPN),19 APR 2015,999,women_JT,2015,https://worldathletics.org/athletes/athlete=14608127
25,55.35,,Mikako YAMASHITA,03 MAY 1997,JPN,2,,Wakayama (JPN),04 OCT 2015,992,women_JT,2015,https://worldathletics.org/athletes/athlete=14719729
26,55.29,,Dilhani LEKAMGE,14 JAN 1987,SRI,2,,Diyagama (SRI),20 DEC 2015,991,women_JT,2015,https://worldathletics.org/athletes/athlete=14300521
27,55.25,,Kihou KUZE,28 MAR 1995,JPN,1,,Yokohama (JPN),15 MAY 2015,990,women_JT,2015,https://worldathletics.org/athletes/athlete=14523599
28,55.14,,Mingyue HUANG,08 JAN 1995,CHN,1,,Beijing (CHN),17 MAY 2015,988,women_JT,2015,https://worldathletics.org/athletes/athlete=14638589
29,54.72,,Hye-rim LEE,06 MAR 1989,KOR,2,,Yecheon (KOR),22 APR 2015,980,women_JT,2015,https://worldathletics.org/athletes/athlete=14289782
30,54.38,,Nachan NATTA,06 APR 1990,THA,1,,Singapore (SGP),10 JUN 2015,974,women_JT,2015,https://worldathletics.org/athletes/athlete=14302687
