Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,6.84,+1.2,Konomi KAI,10 JUL 1993,JPN,1,,Konosu (JPN),24 OCT 2015,1183,women_LJ,2015,https://worldathletics.org/athletes/athlete=14649161
2,6.70,0.0,Maria Natalia LONDA,29 OCT 1990,INA,1,,Singapore (SGP),10 JUN 2015,1152,women_LJ,2015,https://worldathletics.org/athletes/athlete=14282715
3,6.65,+0.2,Thu Thao BUI THI,29 APR 1992,VIE,2,,Singapore (SGP),10 JUN 2015,1141,women_LJ,2015,https://worldathletics.org/athletes/athlete=14426970
4,6.59,0.0,Xiaoling XU,13 MAY 1992,CHN,1,,Beijing (CHN),27 JUN 2015,1128,women_LJ,2015,https://worldathletics.org/athletes/athlete=14264772
5,6.55,+0.6,Xiaoxue ZHOU,19 JUN 1992,CHN,1f1,,Jinan (CHN),29 APR 2015,1119,women_LJ,2015,https://worldathletics.org/athletes/athlete=14376363
6,6.53,0.0,Marestella SUNANG,20 FEB 1981,PHI,1,,Taipei City (TPE),16 MAY 2015,1114,women_LJ,2015,https://worldathletics.org/athletes/athlete=14293347
7,6.52,-0.4,Minjia LU,29 DEC 1990,CHN,1,,Wuhan (CHN),03 JUN 2015,1114,women_LJ,2015,https://worldathletics.org/athletes/athlete=14265688
8,6.47,+0.8,Soon-ok JUNG,23 APR 1983,KOR,2,,Wuhan (CHN),03 JUN 2015,1101,women_LJ,2015,https://worldathletics.org/athletes/athlete=14289678
9,6.43,+0.3,Wupin WANG,18 JAN 1991,CHN,2,,Beijing (CHN),27 JUN 2015,1092,women_LJ,2015,https://worldathletics.org/athletes/athlete=14941411
9,6.43,+1.2,N.C.D. PRIYADHARSHANI,15 SEP 1979,SRI,1,,Diyagama (SRI),19 DEC 2015,1092,women_LJ,2015,https://worldathletics.org/athletes/athlete=14300529
11,6.41,,Olga RYPAKOVA,30 NOV 1984,KAZ,1,,Ust-Kamenogorsk (KAZ) (i),14 FEB 2015,1088,women_LJ,2015,https://worldathletics.org/athletes/athlete=14288693
12,6.40,-0.2,Katherine KAY SANTOS,29 OCT 1990,PHI,3,,Singapore (SGP),04 APR 2015,1087,women_LJ,2015,https://worldathletics.org/athletes/athlete=14483920
13,6.39,+1.7,Varakil NEENA,02 MAY 1991,IND,1,,Thiruvanthapuram (IND),11 FEB 2015,1084,women_LJ,2015,https://worldathletics.org/athletes/athlete=14400771
14,6.35,+1.5,Yekaterina EKTOVA,30 AUG 1992,KAZ,1,,Shimkent (KAZ),19 MAY 2015,1075,women_LJ,2015,https://worldathletics.org/athletes/athlete=14288595
15,6.32,,Rong WANG,01 JUL 1996,CHN,3,,Xianlin (CHN) (i),08 MAR 2015,1068,women_LJ,2015,https://worldathletics.org/athletes/athlete=14514481
15,6.32,,Yanfei JIANG,05 JUL 1992,CHN,2,,Beijing (CHN) (i),15 MAR 2015,1068,women_LJ,2015,https://worldathletics.org/athletes/athlete=14365848
17,6.29,+1.2,Amira NAFIAH NOOR,16 JUL 1989,MAS,5,,Wuhan (CHN),03 JUN 2015,1062,women_LJ,2015,https://worldathletics.org/athletes/athlete=14360046
17,6.29,0.0,Irina EKTOVA,08 JAN 1987,KAZ,1,,Almaty (KAZ),26 JUL 2015,1062,women_LJ,2015,https://worldathletics.org/athletes/athlete=14288653
19,6.28,,Ying LI,29 MAR 1994,CHN,4,,Xianlin (CHN) (i),08 MAR 2015,1060,women_LJ,2015,https://worldathletics.org/athletes/athlete=14441107
20,6.27,0.0,Shardha GHULE,03 JUN 1991,IND,2,,Chennai (IND),10 JUL 2015,1057,women_LJ,2015,https://worldathletics.org/athletes/athlete=14334472
21,6.26,,Li LI,05 DEC 1989,CHN,5,,Xianlin (CHN) (i),08 MAR 2015,1055,women_LJ,2015,https://worldathletics.org/athletes/athlete=14375165
21,6.26,+0.9,Bingling FU,23 JUN 1991,CHN,1f2,,Jinan (CHN),29 APR 2015,1055,women_LJ,2015,https://worldathletics.org/athletes/athlete=14266475
23,6.25,+0.3,Maliakhal PRAJUSHA,20 MAY 1987,IND,2,,Thiruvanthapuram (IND),11 FEB 2015,1053,women_LJ,2015,https://worldathletics.org/athletes/athlete=14283002
24,6.24,-0.3,Mayookha JOHNY,04 SEP 1988,IND,6,,Wuhan (CHN),03 JUN 2015,1052,women_LJ,2015,https://worldathletics.org/athletes/athlete=14282867
25,6.23,+1.7,Bhumika THAKUR,12 JAN 1995,IND,3,,Thiruvanthapuram (IND),11 FEB 2015,1049,women_LJ,2015,https://worldathletics.org/athletes/athlete=14498127
25,6.23,+1.9,Min-ji KIM,09 FEB 1990,KOR,1,,Mungyeong (KOR),27 JUN 2015,1049,women_LJ,2015,https://worldathletics.org/athletes/athlete=14849644
27,6.21,+0.6,Saeko OKAYAMA,12 APR 1982,JPN,1,,Nagoya (JPN),27 JUN 2015,1044,women_LJ,2015,https://worldathletics.org/athletes/athlete=14287572
27,6.21,+1.3,Ekaterina VORONINA,16 FEB 1992,UZB,ce,,Tashkent (UZB),19 SEP 2015,1044,women_LJ,2015,https://worldathletics.org/athletes/athlete=14330186
29,6.19,,Qingling WANG,14 JAN 1993,CHN,1ce,,Beijing (CHN) (i),16 MAR 2015,1040,women_LJ,2015,https://worldathletics.org/athletes/athlete=14430050
29,6.19,-0.1,Yurina HIRAKA,04 JUN 1991,JPN,1,,Kobe (JPN),26 APR 2015,1040,women_LJ,2015,https://worldathletics.org/athletes/athlete=14334565
29,6.19,+1.9,Liksy JOSEPH,17 FEB 1990,IND,1ce,,Wuhan (CHN),04 JUN 2015,1040,women_LJ,2015,https://worldathletics.org/athletes/athlete=14333828
32,6.18,,Darya REZNICHENKO,03 APR 1991,UZB,1,,Tashkent (UZB) (i),23 JAN 2015,1038,women_LJ,2015,https://worldathletics.org/athletes/athlete=14376900
32,6.18,+0.4,Eugenia TAN,20 FEB 1996,SGP,5,,Singapore (SGP),10 JUN 2015,1038,women_LJ,2015,https://worldathletics.org/athletes/athlete=14497533
34,6.17,,Hongyu CHEN,02 JAN 1988,CHN,6,,Xianlin (CHN) (i),08 MAR 2015,1036,women_LJ,2015,https://worldathletics.org/athletes/athlete=14266698
34,6.17,+1.6,Hitomi KAWAMURA,24 DEC 1985,JPN,6,,Wakayama (JPN),04 OCT 2015,1036,women_LJ,2015,https://worldathletics.org/athletes/athlete=14436778
