Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,4.66,,Ling LI,06 JUL 1989,CHN,1,,Wuhan (CHN),06 JUN 2015,1164,women_PV,2015,https://worldathletics.org/athletes/athlete=14266007
2,4.50,,Mengqian REN,04 OCT 1993,CHN,1,,Taiyuan (CHN),12 MAY 2015,1114,women_PV,2015,https://worldathletics.org/athletes/athlete=14335476
3,4.30,,Huiqin XU,04 SEP 1993,CHN,2,,Taiyuan (CHN),12 MAY 2015,1052,women_PV,2015,https://worldathletics.org/athletes/athlete=14335475
3,4.30,,Tingting SONG,08 OCT 1993,CHN,2,,Beijing (CHN),28 JUN 2015,1052,women_PV,2015,https://worldathletics.org/athletes/athlete=14488657
5,4.20,,Tomomi ABIKO,17 MAR 1988,JPN,1,,Hiroshima (JPN),19 APR 2015,1021,women_PV,2015,https://worldathletics.org/athletes/athlete=14286039
5,4.20,,Miho IMANO,25 JAN 1990,JPN,2,,Mito (JPN),31 MAY 2015,1021,women_PV,2015,https://worldathletics.org/athletes/athlete=14326327
5,4.20,,Yee-un CHOI,22 DEC 1994,KOR,4,,Wuhan (CHN),06 JUN 2015,1021,women_PV,2015,https://worldathletics.org/athletes/athlete=14427200
5,4.20,,Eun-ji LIM,02 APR 1989,KOR,2,,Sapporo (JPN),12 JUL 2015,1021,women_PV,2015,https://worldathletics.org/athletes/athlete=14289820
5,4.20,,Megumi IGETA,10 JUL 1984,JPN,1,,Maebashi (JPN) (i),02 AUG 2015,1021,women_PV,2015,https://worldathletics.org/athletes/athlete=14286463
10,4.15,,Sainan SUN,15 DEC 1993,CHN,4,,Xianlin (CHN) (i),08 MAR 2015,1006,women_PV,2015,https://worldathletics.org/athletes/athlete=14420871
10,4.15,,Chaoqun LI,20 FEB 1997,CHN,4,,Jinan (CHN),30 APR 2015,1006,women_PV,2015,https://worldathletics.org/athletes/athlete=14585477
10,4.15,,Kanae TATSUTA,21 JUL 1992,JPN,1,,Nagoya (JPN),26 JUN 2015,1006,women_PV,2015,https://worldathletics.org/athletes/athlete=14523184
10,4.15,,Qiaoling CHEN,22 NOV 1999,CHN,5,,Suzhou (CHN),23 SEP 2015,1006,women_PV,2015,https://worldathletics.org/athletes/athlete=14637842
14,4.12,,Megumi NAKADA,06 DEC 1988,JPN,1,,Kumagaya (JPN),16 MAY 2015,997,women_PV,2015,https://worldathletics.org/athletes/athlete=14287302
15,4.10,,Chayanisa CHOMCHUENDEE,09 SEP 1988,THA,1,,Singapore (SGP),11 JUN 2015,990,women_PV,2015,https://worldathletics.org/athletes/athlete=14383566
16,4.05,,Natalie UY,06 SEP 1994,PHI,3,,"Columbus, OH (USA)",02 MAY 2015,975,women_PV,2015,https://worldathletics.org/athletes/philippines/natalie-uy-014545977
