Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,20.34,,Lijiao GONG,24 JAN 1989,CHN,1,,Gotha (GER),19 JUL 2015,1229,women_SP,2015,https://worldathletics.org/athletes/athlete=14266426
2,19.04,,Yang GAO,01 MAR 1993,CHN,5,,"National Stadium, Beijing (CHN)",22 AUG 2015,1147,women_SP,2015,https://worldathletics.org/athletes/athlete=14514468
3,18.71,,Ka BIAN,05 JAN 1993,CHN,1,,Suzhou (CHN),25 SEP 2015,1127,women_SP,2015,https://worldathletics.org/athletes/athlete=14462024
4,18.59,,Tianqian GUO,01 JUN 1995,CHN,1,,Wuhan (CHN),07 JUN 2015,1119,women_SP,2015,https://worldathletics.org/athletes/athlete=14430502
5,18.04,,Leyla RAJABI,18 APR 1983,IRI,1,,Almaty (KAZ),25 JUL 2015,1085,women_SP,2015,https://worldathletics.org/athletes/athlete=14269878
6,17.96,,Manpreet KAUR,06 JUL 1990,IND,1,,Kolkata (IND),16 SEP 2015,1080,women_SP,2015,https://worldathletics.org/athletes/athlete=14282904
7,17.37,,Qianqian MENG,06 JAN 1991,CHN,2,,Shanghai (CHN) (i),02 MAR 2015,1043,women_SP,2015,https://worldathletics.org/athletes/athlete=14265590
8,17.16,,Shuang GENG,09 JUL 1993,CHN,4,,Jinan (CHN),01 MAY 2015,1030,women_SP,2015,https://worldathletics.org/athletes/athlete=14430150
9,17.03,,Yangzi DONG,22 OCT 1992,CHN,2,,Beijing (CHN) (i),16 MAR 2015,1022,women_SP,2015,https://worldathletics.org/athletes/athlete=14365855
10,16.84,,Xiangrong LIU,06 JUN 1988,CHN,2,,Beijing (CHN),29 JUN 2015,1010,women_SP,2015,https://worldathletics.org/athletes/athlete=14265747
11,16.44,,Chia-Ying LIN,05 NOV 1982,TPE,1,,Taipei City (TPE),16 MAY 2015,985,women_SP,2015,https://worldathletics.org/athletes/athlete=14302885
12,16.38,,Yilin CAI,27 NOV 1990,CHN,5,,Taiyuan (CHN),13 MAY 2015,981,women_SP,2015,https://worldathletics.org/athletes/athlete=14266740
13,16.22,,Xiaoyun WANG,07 DEC 1993,CHN,4,,Beijing (CHN) (i),16 MAR 2015,971,women_SP,2015,https://worldathletics.org/athletes/athlete=14420614
14,16.19,,Yang XU,22 APR 1991,CHN,6,,Jinan (CHN),01 MAY 2015,970,women_SP,2015,https://worldathletics.org/athletes/athlete=14430503
