Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,14.77,+0.1,Olga RYPAKOVA,30 NOV 1984,KAZ,3,,"National Stadium, Beijing (CHN)",24 AUG 2015,1196,women_TJ,2015,https://worldathletics.org/athletes/athlete=14288693
2,14.32,0.0,Irina EKTOVA,08 JAN 1987,KAZ,,,Almaty (KAZ),17 JUL 2015,1150,women_TJ,2015,https://worldathletics.org/athletes/athlete=14288653
3,14.21,,Yanmei LI,06 FEB 1990,CHN,1,,Xianlin (CHN) (i),09 MAR 2015,1139,women_TJ,2015,https://worldathletics.org/athletes/athlete=14265929
4,14.20,+1.6,Xiaohong LI,08 JAN 1995,CHN,1,,Chanthaburi (THA),29 JUN 2015,1138,women_TJ,2015,https://worldathletics.org/athletes/athlete=14462015
5,14.10,+0.6,Wupin WANG,18 JAN 1991,CHN,1,,Beijing (CHN),08 MAY 2015,1128,women_TJ,2015,https://worldathletics.org/athletes/athlete=14941411
6,13.89,+1.6,Linuo DENG,16 MAR 1992,CHN,3,,Chanthaburi (THA),29 JUN 2015,1106,women_TJ,2015,https://worldathletics.org/athletes/athlete=14266563
7,13.84,0.0,Huy Hoa TRAN,08 AUG 1991,VIE,1,,Taipei City (TPE),15 MAY 2015,1101,women_TJ,2015,https://worldathletics.org/athletes/athlete=14377267
8,13.78,0.0,Mayookha JOHNY,04 SEP 1988,IND,1,,Kolkata (IND),18 SEP 2015,1095,women_TJ,2015,https://worldathletics.org/athletes/athlete=14282867
9,13.76,+0.4,Aleksandra KOTLYAROVA,10 OCT 1988,UZB,2,,Bangkok (THA),22 JUN 2015,1093,women_TJ,2015,https://worldathletics.org/athletes/athlete=14325034
10,13.75,0.0,Maria Natalia LONDA,29 OCT 1990,INA,1,,Singapore (SGP),11 JUN 2015,1092,women_TJ,2015,https://worldathletics.org/athletes/athlete=14282715
11,13.73,0.0,Rong WANG,01 JUL 1996,CHN,1f1,,Jinan (CHN),30 APR 2015,1090,women_TJ,2015,https://worldathletics.org/athletes/athlete=14514481
12,13.67,+0.4,Xiaofang WANG,20 JAN 1992,CHN,1,,Taiyuan (CHN),12 MAY 2015,1084,women_TJ,2015,https://worldathletics.org/athletes/athlete=14472024
13,13.65,+0.1,Thitima MUANGJAN,13 APR 1983,THA,3,,Singapore (SGP),11 JUN 2015,1082,women_TJ,2015,https://worldathletics.org/athletes/athlete=14302684
14,13.60,+1.2,Dilyara ABUOVA,06 JAN 1994,KAZ,1,,Almaty (KAZ),17 JUL 2015,1076,women_TJ,2015,https://worldathletics.org/athletes/athlete=14446400
15,13.54,+0.9,Chanmi BAE,24 MAR 1991,KOR,1,,Mungyeong (KOR),29 JUN 2015,1070,women_TJ,2015,https://worldathletics.org/athletes/athlete=14289578
16,13.52,,Sun YAN,30 MAR 1991,CHN,4,,Xianlin (CHN) (i),09 MAR 2015,1068,women_TJ,2015,https://worldathletics.org/athletes/athlete=14264714
17,13.43,,Mudan CHEN,04 OCT 1993,CHN,5,,Shanghai (CHN) (i),02 MAR 2015,1059,women_TJ,2015,https://worldathletics.org/athletes/athlete=14462000
18,13.42,+0.3,Tingchao ZENG,29 JAN 1996,CHN,4,,Beijing (CHN),28 JUN 2015,1058,women_TJ,2015,https://worldathletics.org/athletes/athlete=14514480
19,13.40,+0.4,Mingchen WEI,04 JAN 1991,CHN,5,,Beijing (CHN),28 JUN 2015,1056,women_TJ,2015,https://worldathletics.org/athletes/athlete=14264971
20,13.33,0.0,Maliakhal PRAJUSHA,20 MAY 1987,IND,1,,Chennai (IND),12 JUL 2015,1049,women_TJ,2015,https://worldathletics.org/athletes/athlete=14283002
21,13.32,+1.9,Mary OTOARUAH,18 APR 1994,BRN,2,,Manama (BRN),27 APR 2015,1048,women_TJ,2015,https://worldathletics.org/athletes/athlete=14416676
22,13.30,+1.7,H.D. Vidusha LAKSHANI,28 DEC 1996,SRI,1,,Diyagama (SRI),25 JUL 2015,1046,women_TJ,2015,https://worldathletics.org/athletes/athlete=14533042
23,13.29,+0.1,Thi Men VU,10 JUL 1990,VIE,4,,Singapore (SGP),11 JUN 2015,1045,women_TJ,2015,https://worldathletics.org/athletes/athlete=14816365
24,13.27,-1.2,Nellickal Verkay SHEENA,22 NOV 1992,IND,1,,Thiruvanthapuram (IND),13 FEB 2015,1050,women_TJ,2015,https://worldathletics.org/athletes/athlete=14498425
24,13.27,+1.3,Kaede MIYASAKA,12 DEC 1992,JPN,1,,Tokyo (JPN),26 JUL 2015,1043,women_TJ,2015,https://worldathletics.org/athletes/athlete=14418694
26,13.25,-0.3,Sirui LI,17 FEB 1996,CHN,6,,Suzhou (CHN),24 SEP 2015,1042,women_TJ,2015,https://worldathletics.org/athletes/athlete=14594768
27,13.22,,Anastasiya ZHURAVLYEVA,09 OCT 1981,UZB,4,,Spala (POL) (i),14 FEB 2015,1038,women_TJ,2015,https://worldathletics.org/athletes/athlete=14325082
28,13.21,-0.1,Mengqin LAI,21 JAN 1991,CHN,6f1,,Jinan (CHN),30 APR 2015,1037,women_TJ,2015,https://worldathletics.org/athletes/athlete=14266103
29,13.18,,Li LI,05 DEC 1989,CHN,7,,Shanghai (CHN) (i),02 MAR 2015,1034,women_TJ,2015,https://worldathletics.org/athletes/athlete=14375165
29,13.18,-0.2,Waka MAEDA,09 JUL 1990,JPN,1,,Hiroshima (JPN),19 APR 2015,1035,women_TJ,2015,https://worldathletics.org/athletes/athlete=14287003
31,13.17,+0.5,Pei-Ning HUNG,10 FEB 1994,TPE,1,,Taipei City (TPE),04 MAY 2015,1033,women_TJ,2015,https://worldathletics.org/athletes/athlete=14383873
31,13.17,-0.3,Jingyu LI,04 JUN 1995,CHN,7,,Mungyeong (KOR),06 OCT 2015,1034,women_TJ,2015,https://worldathletics.org/athletes/athlete=14479734
33,13.15,,Xiuhong YANG,28 FEB 1993,CHN,7,,Xianlin (CHN) (i),09 MAR 2015,1031,women_TJ,2015,https://worldathletics.org/athletes/athlete=14426625
34,13.11,-0.4,Amitha BABY,20 MAR 1991,IND,2,,Thiruvanthapuram (IND),13 FEB 2015,1029,women_TJ,2015,https://worldathletics.org/athletes/india/amitha-baby-14380282
34,13.11,+1.8,Mariya OVCHINNIKOVA,19 OCT 1998,KAZ,1,,Shimkent (KAZ),26 MAY 2015,1027,women_TJ,2015,https://worldathletics.org/athletes/athlete=14646811
36,13.09,+2.0,Arisa NAKAO,13 OCT 1987,JPN,1,,Nagoya (JPN),26 JUN 2015,1025,women_TJ,2015,https://worldathletics.org/athletes/japan/arisa-nakao-14374559
37,13.08,,Nuo QU,27 SEP 1991,CHN,6,,Beijing (CHN) (i),16 MAR 2015,1024,women_TJ,2015,https://worldathletics.org/athletes/athlete=14430466
37,13.08,+0.1,Xiaotan YUAN,29 SEP 1996,CHN,5,,Taiyuan (CHN),12 MAY 2015,1024,women_TJ,2015,https://worldathletics.org/athletes/athlete=14637844
39,13.07,,Henan LI,23 DEC 1993,CHN,8,,Xianlin (CHN) (i),09 MAR 2015,1023,women_TJ,2015,https://worldathletics.org/athletes/pr-of-china/henan-li-14643620
40,13.05,-0.4,Yue MA,11 MAR 1997,CHN,6,,Taiyuan (CHN),12 MAY 2015,1023,women_TJ,2015,https://worldathletics.org/athletes/athlete=14585480
