discipline,athlete_a,athlete_b,wins,meetings,win_rate
men_100m,Aaron Brown,Abdul Hakim Sani Brown,1,2,0.5
men_100m,Aaron Brown,Ackeem Blake,1,1,1.0
men_100m,Aaron Brown,Afghanistan,0,1,0.0
men_100m,Aaron Brown,Akani Simbine,0,1,0.0
men_100m,Aaron Brown,Andre de Grasse,1,1,1.0
men_100m,Aaron Brown,Arthur Cissé,1,1,1.0
men_100m,Aaron Brown,Australia,0,1,0.0
men_100m,Aaron Brown,Benjamin Azamati,1,1,1.0
men_100m,Aaron Brown,Cejhae Greene,1,1,1.0
men_100m,Aaron Brown,Chituru Ali,1,1,1.0
men_100m,Aaron Brown,Christian Coleman,0,1,0.0
men_100m,Aaron Brown,Clarence Munyai,1,1,1.0
men_100m,Aaron Brown,Craig Gill,1,1,1.0
men_100m,Aaron Brown,César Almirón,0,1,0.0
men_100m,Aaron Brown,Desmond Rogo,1,2,0.5
men_100m,Aaron Brown,Dorian Keletela,0,1,0.0
men_100m,Aaron Brown,Ebrahima Camara,0,1,0.0
men_100m,Aaron Brown,Edward Osei-Nketia,1,1,1.0
men_100m,Aaron Brown,Emanuel Archibald,0,1,0.0
men_100m,Aaron Brown,Emmanuel Matadi,0,1,0.0
men_100m,Aaron Brown,Erik Cardoso,1,1,1.0
men_100m,Aaron Brown,Felipe Bardi,1,1,1.0
men_100m,Aaron Brown,Femi Ogunode,1,1,1.0
men_100m,Aaron Brown,Ferdinand Omanyala,1,1,1.0
men_100m,Aaron Brown,Francesco Sansovini,1,1,1.0
men_100m,Aaron Brown,Fred Kerley,0,1,0.0
men_100m,Aaron Brown,Gift Leotlela,1,1,1.0
men_100m,Aaron Brown,Hassan Saaid,1,1,1.0
men_100m,Aaron Brown,Henrik Larsson,2,2,1.0
men_100m,Aaron Brown,Ignacio Blaluk,1,1,1.0
men_100m,Aaron Brown,Ildar Akhmadiev,1,1,1.0
men_100m,Aaron Brown,Imranur Rahman,0,1,0.0
men_100m,Aaron Brown,Isiah Young,0,1,0.0
men_100m,Aaron Brown,Ismaël Koné,1,1,1.0
men_100m,Aaron Brown,Jake Doran,1,1,1.0
men_100m,Aaron Brown,Jerod Elcock,1,1,1.0
men_100m,Aaron Brown,Jerome Blake,2,2,1.0
men_100m,Aaron Brown,Jimmy Vicaut,1,1,1.0
men_100m,Aaron Brown,Joseph Paul Amoah,1,1,1.0
men_100m,Aaron Brown,Julian Wagner,1,1,1.0
men_100m,Aaron Brown,Karalo Maibuca,1,1,1.0
men_100m,Aaron Brown,Lalu Muhammad Zohri,0,1,0.0
men_100m,Aaron Brown,Lataisi Mwea,1,1,1.0
men_100m,Aaron Brown,Letsile Tebogo,0,1,0.0
men_100m,Aaron Brown,Lionel Tshimanga Muteba,0,1,0.0
men_100m,Aaron Brown,Marcell Jacobs,1,1,1.0
men_100m,Aaron Brown,Marvin Bracy,1,2,0.5
men_100m,Aaron Brown,Melique García,1,1,1.0
men_100m,Aaron Brown,Milo Wahlgren,1,1,1.0
men_100m,Aaron Brown,Mipham Yoezer Gurung,1,1,1.0
men_100m,Aaron Brown,Nathan Crumpton,1,1,1.0
men_100m,Aaron Brown,Nehumi Tuihalamaka,1,1,1.0
men_100m,Aaron Brown,Noureddine Hadid,1,1,1.0
men_100m,Aaron Brown,Oblique Seville,0,1,0.0
men_100m,Aaron Brown,Odain Rose,1,1,1.0
men_100m,Aaron Brown,Omar Aburouss,1,1,1.0
men_100m,Aaron Brown,Raphael Bouju,0,1,0.0
