meet,year,competition_level,date
2021 Doha Diamond League,2021,DL,2021-05-28
2021 British Grand Prix (athletics),2021,DL,2021-05-23
2021 Bislett Games,2021,DL,2021-07-01
2021 Prefontaine Classic,2021,DL,2021-08-21
2021 Herculis,2021,DL,2021-07-09
2021 Athletissima,2021,DL,2021-08-26
2021 Bauhausgalan,2021,DL,2021-07-04
2021 Weltklasse Zürich,2021,DL,2021-09-09
2021 Memorial Van Damme,2021,DL,2021-09-01
2022 Doha Diamond League,2022,DL,2022-05-14
2022 Birmingham Diamond League,2022,DL,2022-05-21
2022 Prefontaine Classic,2022,DL,2022-05-28
2022 Bislett Games,2022,DL,2022-06-16
2022 Bauhausgalan,2022,DL,2022-06-30
2022 Herculis,2022,DL,2022-08-10
2022 Meeting de Paris,2022,DL,2022-06-18
2022 Athletissima,2022,DL,2022-08-26
2022 Kamila Skolimowska Memorial,2022,DL,2022-08-06
2022 Weltklasse Zürich,2022,DL,2022-09-08
2022 Memorial Van Damme,2022,DL,2022-09-01
2023 Doha Diamond League,2023,DL,2023-05-05
2023 Meeting International Mohammed VI d'Athlétisme de Rabat,2023,DL,2023-05-28
2023 Meeting de Paris,2023,DL,2023-06-18
2023 Bislett Games,2023,DL,2023-06-15
2023 Athletissima,2023,DL,2023-06-30
2023 Bauhausgalan,2023,DL,2023-07-02
2023 Kamila Skolimowska Memorial,2023,DL,2023-07-16
2023 Herculis,2023,DL,2023-07-21
2023 London Athletics Meet,2023,DL,2023-07-23
2023 Weltklasse Zürich,2023,DL,2023-08-30
2023 Memorial Van Damme,2023,DL,2023-09-07
2023 Prefontaine Classic,2023,DL,2023-09-17
2024 Shanghai Diamond League,2024,DL,2024-04-27
2024 Doha Diamond League,2024,DL,2024-05-10
2024 Prefontaine Classic,2024,DL,2024-05-25
2024 Bislett Games,2024,DL,2024-05-30
2024 Bauhausgalan,2024,DL,2024-06-02
2024 Meeting de Paris,2024,DL,2024-07-07
2024 Herculis,2024,DL,2024-07-12
2024 London Athletics Meet,2024,DL,2024-07-20
2024 Athletissima,2024,DL,2024-08-22
2024 Kamila Skolimowska Memorial,2024,DL,2024-08-25
2024 Weltklasse Zürich,2024,DL,2024-09-05
2024 Memorial Van Damme,2024,DL,2024-09-14
2025 Doha Diamond League,2025,DL,2025-05-16
2025 Shanghai Diamond League,2025,DL,2025-05-03
2025 Meeting International Mohammed VI d'Athlétisme de Rabat,2025,DL,2025-05-25
2025 Bislett Games,2025,DL,2025-06-12
2025 Bauhausgalan,2025,DL,2025-06-15
2025 Meeting de Paris,2025,DL,2025-06-20
2025 Prefontaine Classic,2025,DL,2025-07-05
2025 London Athletics Meet,2025,DL,2025-07-19
2025 Herculis,2025,DL,2025-07-11
2025 Athletissima,2025,DL,2025-08-20
2025 Kamila Skolimowska Memorial,2025,DL,2025-08-16
2025 Weltklasse Zürich,2025,DL,2025-08-28
2025 Memorial Van Damme,2025,DL,2025-08-22
Athletics at the 2020 Summer Olympics,2021,Olympics,2021-08-08
Athletics at the 2024 Summer Olympics,2024,Olympics,2024-08-11
2022 World Athletics Championships,2022,Worlds,2022-07-24
2023 World Athletics Championships,2023,Worlds,2023-08-27
2025 World Athletics Championships,2025,Worlds,2025-09-21
2022 European Athletics Championships,2022,Europeans,2022-08-21
2024 European Athletics Championships,2024,Europeans,2024-06-12
2026 European Athletics Championships,2026,Europeans,2026-08-16
2022 World Athletics Championships – Men's 100 metres,2022,Worlds,2022-07-16
2022 World Athletics Championships – Women's 100 metres,2022,Worlds,2022-07-17
2022 World Athletics Championships – Men's 200 metres,2022,Worlds,2022-07-21
2022 World Athletics Championships – Women's 200 metres,2022,Worlds,2022-07-21
2022 World Athletics Championships – Men's 400 metres,2022,Worlds,2022-07-22
2022 World Athletics Championships – Women's 400 metres,2022,Worlds,2022-07-22
2022 World Athletics Championships – Men's 110 metres hurdles,2022,Worlds,2022-07-17
2022 World Athletics Championships – Women's 100 metres hurdles,2022,Worlds,2022-07-24
2022 World Athletics Championships – Men's 400 metres hurdles,2022,Worlds,2022-07-19
2022 World Athletics Championships – Women's 400 metres hurdles,2022,Worlds,2022-07-22
2022 World Athletics Championships – Men's 800 metres,2022,Worlds,2022-07-23
2022 World Athletics Championships – Women's 800 metres,2022,Worlds,2022-07-24
2022 World Athletics Championships – Men's 1500 metres,2022,Worlds,2022-07-19
2022 World Athletics Championships – Women's 1500 metres,2022,Worlds,2022-07-18
2022 World Athletics Championships – Men's 5000 metres,2022,Worlds,2022-07-24
2022 World Athletics Championships – Women's 5000 metres,2022,Worlds,2022-07-23
2022 World Athletics Championships – Men's 3000 metres steeplechase,2022,Worlds,2022-07-18
2022 World Athletics Championships – Women's 3000 metres steeplechase,2022,Worlds,2022-07-20
2022 World Athletics Championships – Men's high jump,2022,Worlds,2022-07-18
2022 World Athletics Championships – Women's high jump,2022,Worlds,2022-07-19
2022 World Athletics Championships – Men's pole vault,2022,Worlds,2022-07-24
2022 World Athletics Championships – Women's pole vault,2022,Worlds,2022-07-17
2022 World Athletics Championships – Men's long jump,2022,Worlds,2022-07-16
2022 World Athletics Championships – Women's long jump,2022,Worlds,2022-07-24
2022 World Athletics Championships – Men's triple jump,2022,Worlds,2022-07-23
2022 World Athletics Championships – Women's triple jump,2022,Worlds,2022-07-18
2022 World Athletics Championships – Men's shot put,2022,Worlds,2022-07-17
2022 World Athletics Championships – Women's shot put,2022,Worlds,2022-07-16
2022 World Athletics Championships – Men's discus throw,2022,Worlds,2022-07-19
2022 World Athletics Championships – Women's discus throw,2022,Worlds,2022-07-20
2022 World Athletics Championships – Men's javelin throw,2022,Worlds,2022-07-23
2022 World Athletics Championships – Women's javelin throw,2022,Worlds,2022-07-22
2023 World Athletics Championships – Men's 100 metres,2023,Worlds,2023-08-20
2023 World Athletics Championships – Women's 100 metres,2023,Worlds,2023-08-21
2023 World Athletics Championships – Men's 200 metres,2023,Worlds,2023-08-25
2023 World Athletics Championships – Women's 200 metres,2023,Worlds,2023-08-25
2023 World Athletics Championships – Men's 400 metres,2023,Worlds,2023-08-24
2023 World Athletics Championships – Women's 400 metres,2023,Worlds,2023-08-23
2023 World Athletics Championships – Men's 110 metres hurdles,2023,Worlds,2023-08-21
2023 World Athletics Championships – Women's 100 metres hurdles,2023,Worlds,2023-08-24
2023 World Athletics Championships – Men's 400 metres hurdles,2023,Worlds,2023-08-23
2023 World Athletics Championships – Women's 400 metres hurdles,2023,Worlds,2023-08-24
2023 World Athletics Championships – Men's 800 metres,2023,Worlds,2023-08-26
2023 World Athletics Championships – Women's 800 metres,2023,Worlds,2023-08-27
2023 World Athletics Championships – Men's 1500 metres,2023,Worlds,2023-08-23
2023 World Athletics Championships – Women's 1500 metres,2023,Worlds,2023-08-22
2023 World Athletics Championships – Men's 5000 metres,2023,Worlds,2023-08-27
2023 World Athletics Championships – Women's 5000 metres,2023,Worlds,2023-08-26
2023 World Athletics Championships – Men's 3000 metres steeplechase,2023,Worlds,2023-08-22
2023 World Athletics Championships – Women's 3000 metres steeplechase,2023,Worlds,2023-08-27
2023 World Athletics Championships – Men's high jump,2023,Worlds,2023-08-22
