discipline,year,competition,date,athlete_name,place,mark,tier,name_key
men_100m,2018,Diamond League Final,2018-08-18,Christian COLEMAN,1,9.79,dl_final,CHRISTIAN COLEMAN
men_100m,2018,Diamond League Final,2018-08-18,Ronnie BAKER,2,9.93,dl_final,RONNIE BAKER
men_100m,2018,Diamond League Final,2018-08-18,Yohan BLAKE,3,9.94,dl_final,YOHAN BLAKE
men_100m,2018,European Athletics Championships,2018-08-07,Zharnel HUGHES,1,9.95,continental,ZHARNEL HUGHES
men_100m,2018,European Athletics Championships,2018-08-07,Reece PRESCOD,2,9.96,continental,REECE PRESCOD
men_100m,2018,European Athletics Championships,2018-08-07,Jak Ali HARVEY,3,10.01,continental,JAK ALI HARVEY
men_100m,2018,IAAF Continental Cup,2018-09-09,Noah LYLES,1,10.01,continental,NOAH LYLES
men_100m,2018,IAAF Continental Cup,2018-09-09,Bingtian SU,2,10.03,continental,BINGTIAN SU
men_100m,2018,IAAF Continental Cup,2018-09-09,Akani SIMBINE,3,10.11,continental,AKANI SIMBINE
men_110h,2018,Diamond League Final,2018-08-18,Sergey SHUBENKOV,1,12.97,dl_final,SERGEY SHUBENKOV
men_110h,2018,Diamond League Final,2018-08-18,Orlando ORTEGA,2,13.10,dl_final,ORLANDO ORTEGA
men_110h,2018,Diamond League Final,2018-08-18,Hansle PARCHMENT,3,13.35,dl_final,HANSLE PARCHMENT
men_110h,2018,European Athletics Championships,2018-08-10,Pascal MARTINOT-LAGARDE,1,13.17,continental,PASCAL MARTINOT-LAGARDE
men_110h,2018,European Athletics Championships,2018-08-10,Sergey SHUBENKOV,2,13.17,continental,SERGEY SHUBENKOV
men_110h,2018,European Athletics Championships,2018-08-10,Orlando ORTEGA,3,13.34,continental,ORLANDO ORTEGA
men_110h,2018,IAAF Continental Cup,2018-09-09,Sergey SHUBENKOV,1,13.03,continental,SERGEY SHUBENKOV
men_110h,2018,IAAF Continental Cup,2018-09-09,Ronald LEVY,2,13.12,continental,RONALD LEVY
men_110h,2018,IAAF Continental Cup,2018-09-09,Pascal MARTINOT-LAGARDE,3,13.31,continental,PASCAL MARTINOT-LAGARDE
men_1500m,2018,Diamond League Final,2018-08-18,Timothy CHERUIYOT,1,3:30.27,dl_final,TIMOTHY CHERUIYOT
men_1500m,2018,Diamond League Final,2018-08-18,Elijah Motonei MANANGOI,2,3:31.16,dl_final,ELIJAH MOTONEI MANANGOI
men_1500m,2018,Diamond League Final,2018-08-18,Ayanleh SOULEIMAN,3,3:31.24,dl_final,AYANLEH SOULEIMAN
men_1500m,2018,European Athletics Championships,2018-08-10,Jakob INGEBRIGTSEN,1,3:38.10,continental,JAKOB INGEBRIGTSEN
men_1500m,2018,European Athletics Championships,2018-08-10,Marcin LEWANDOWSKI,2,3:38.14,continental,MARCIN LEWANDOWSKI
men_1500m,2018,European Athletics Championships,2018-08-10,Jake WIGHTMAN,3,3:38.25,continental,JAKE WIGHTMAN
men_1500m,2018,IAAF Continental Cup,2018-09-09,Elijah Motonei MANANGOI,1,3:40.00,continental,ELIJAH MOTONEI MANANGOI
men_1500m,2018,IAAF Continental Cup,2018-09-09,Marcin LEWANDOWSKI,2,3:40.42,continental,MARCIN LEWANDOWSKI
men_1500m,2018,IAAF Continental Cup,2018-09-09,Jakob INGEBRIGTSEN,3,3:40.80,continental,JAKOB INGEBRIGTSEN
men_200m,2018,Diamond League Final,2018-08-18,Noah LYLES,1,19.67,dl_final,NOAH LYLES
men_200m,2018,Diamond League Final,2018-08-18,Ramil GULIYEV,2,19.98,dl_final,RAMIL GULIYEV
men_200m,2018,Diamond League Final,2018-08-18,Jereem RICHARDS,3,20.04,dl_final,JEREEM RICHARDS
men_200m,2018,European Athletics Championships,2018-08-09,Ramil GULIYEV,1,19.76,continental,RAMIL GULIYEV
men_200m,2018,European Athletics Championships,2018-08-09,Nethaneel MITCHELL-BLAKE,2,20.04,continental,NETHANEEL MITCHELL-BLAKE
men_200m,2018,European Athletics Championships,2018-08-09,Alex WILSON,3,20.04,continental,ALEX WILSON
men_200m,2018,IAAF Continental Cup,2018-09-08,Alonso EDWARD,1,20.19,continental,ALONSO EDWARD
men_200m,2018,IAAF Continental Cup,2018-09-08,Ramil GULIYEV,2,20.28,continental,RAMIL GULIYEV
men_200m,2018,IAAF Continental Cup,2018-09-08,Alex QUIÑÓNEZ,3,20.36,continental,ALEX QUINONEZ
men_3000sc,2018,Diamond League Final,2018-08-18,Conseslus KIPRUTO,1,8:10.15,dl_final,CONSESLUS KIPRUTO
men_3000sc,2018,Diamond League Final,2018-08-18,Soufiane EL BAKKALI,2,8:10.19,dl_final,SOUFIANE EL BAKKALI
men_3000sc,2018,Diamond League Final,2018-08-18,Evan JAGER,3,8:13.22,dl_final,EVAN JAGER
men_3000sc,2018,European Athletics Championships,2018-08-09,Mahiedine MEKHISSI,1,8:31.66,continental,MAHIEDINE MEKHISSI
men_3000sc,2018,European Athletics Championships,2018-08-09,Fernando CARRO,2,8:34.16,continental,FERNANDO CARRO
men_3000sc,2018,European Athletics Championships,2018-08-09,Yohanes CHIAPPINELLI,3,8:35.81,continental,YOHANES CHIAPPINELLI
