Rank,Mark,wind,athlete_name,dob,country,pos,venue,date,results_score,year,discipline_key,discipline_label,age,wind_legal
4,19.31,0.4,Noah LYLES,1997-07-18,USA,1,"Hayward Field, Eugene, OR (USA)",2022-07-21,1331,2022,men_200m,Men 200m,25.0,True
9,19.46,0.8,Noah LYLES,1997-07-18,USA,1,"Stade Louis II, Monaco (MON)",2022-08-10,1306,2022,men_200m,Men 200m,25.1,True
10,19.49,1.4,Erriyon KNIGHTON,2004-01-29,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2022-04-30,1302,2022,men_200m,Men 200m,18.3,True
12,19.52,1.5,Noah LYLES,1997-07-18,USA,1,"Hayward Field, Eugene, OR (USA)",2021-08-21,1297,2021,men_200m,Men 200m,24.1,True
12,19.52,-0.6,Noah LYLES,1997-07-18,USA,1,"Letzigrund, Zürich (SUI)",2022-09-08,1300,2022,men_200m,Men 200m,25.1,True
17,19.56,1.3,Noah LYLES,1997-07-18,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2022-08-26,1290,2022,men_200m,Men 200m,25.1,True
24,19.61,1.3,Noah LYLES,1997-07-18,USA,1,"Icahn Stadium, New York, NY (USA)",2022-06-12,1282,2022,men_200m,Men 200m,24.9,True
25,19.62,-0.5,Andre DE GRASSE,1994-11-10,CAN,1,"National Stadium, Tokyo (JPN)",2021-08-04,1284,2021,men_200m,Men 200m,26.7,True
25,19.62,1.1,Noah LYLES,1997-07-18,USA,1sf2,"Hayward Field, Eugene, OR (USA)",2022-07-19,1281,2022,men_200m,Men 200m,25.0,True
28,19.63,1.2,Reynier MENA,1996-11-21,CUB,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",2022-07-03,1279,2022,men_200m,Men 200m,25.6,True
37,19.67,-0.3,Noah LYLES,1997-07-18,USA,1,"Hayward Field, Eugene, OR (USA)",2022-06-26,1273,2022,men_200m,Men 200m,24.9,True
37,19.67,0.3,Noah LYLES,1997-07-18,USA,1,"National Stadium, Kingston (JAM)",2023-06-03,1272,2023,men_200m,Men 200m,25.9,True
41,19.68,-0.5,Kenneth BEDNAREK,1998-10-14,USA,2,"National Stadium, Tokyo (JPN)",2021-08-04,1274,2021,men_200m,Men 200m,22.8,True
47,19.69,-0.3,Erriyon KNIGHTON,2004-01-29,USA,2,"Hayward Field, Eugene, OR (USA)",2022-06-26,1270,2022,men_200m,Men 200m,18.4,True
52,19.7,0.5,Kenneth BEDNAREK,1998-10-14,USA,1,"Letzigrund, Zürich (SUI)",2021-09-09,1268,2021,men_200m,Men 200m,22.9,True
58,19.72,0.5,Andre DE GRASSE,1994-11-10,CAN,2,"Letzigrund, Zürich (SUI)",2021-09-09,1264,2021,men_200m,Men 200m,26.8,True
63,19.73,0.2,Andre DE GRASSE,1994-11-10,CAN,1sf3,"National Stadium, Tokyo (JPN)",2021-08-03,1263,2021,men_200m,Men 200m,26.7,True
67,19.74,0.3,Noah LYLES,1997-07-18,USA,1,"Hayward Field, Eugene, OR (USA)",2021-06-27,1261,2021,men_200m,Men 200m,23.9,True
67,19.74,-0.5,Noah LYLES,1997-07-18,USA,3,"National Stadium, Tokyo (JPN)",2021-08-04,1264,2021,men_200m,Men 200m,24.0,True
77,19.76,2.0,Fred KERLEY,1995-05-07,USA,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2021-09-18,1258,2021,men_200m,Men 200m,26.4,True
77,19.76,1.3,Michael NORMAN,1997-12-03,USA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",2022-08-26,1258,2022,men_200m,Men 200m,24.7,True
77,19.76,0.6,Udodi Chudi ONWUZURIKE,2003-01-29,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-07,1258,2023,men_200m,Men 200m,20.4,True
87,19.77,0.3,Erriyon KNIGHTON,2004-01-29,USA,1sf3,"Hayward Field, Eugene, OR (USA)",2022-07-19,1256,2022,men_200m,Men 200m,18.5,True
87,19.77,0.4,Kenneth BEDNAREK,1998-10-14,USA,2,"Hayward Field, Eugene, OR (USA)",2022-07-21,1256,2022,men_200m,Men 200m,23.8,True
87,19.77,0.6,Erriyon KNIGHTON,2004-01-29,USA,1,"Bislett Stadion, Oslo (NOR)",2023-06-15,1256,2023,men_200m,Men 200m,19.4,True
93,19.78,0.3,Kenneth BEDNAREK,1998-10-14,USA,2,"Hayward Field, Eugene, OR (USA)",2021-06-27,1255,2021,men_200m,Men 200m,22.7,True
100,19.79,1.6,Fred KERLEY,1995-05-07,USA,1,"Stade Charléty, Paris (FRA)",2021-08-28,1253,2021,men_200m,Men 200m,26.3,True
100,19.79,1.6,Kenneth BEDNAREK,1998-10-14,USA,2,"Stade Charléty, Paris (FRA)",2021-08-28,1253,2021,men_200m,Men 200m,22.9,True
100,19.79,1.3,James DADZIE,2001-05-17,GHA,1f1,"Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)",2023-04-29,1253,2023,men_200m,Men 200m,21.9,True
113,19.8,1.5,Kenneth BEDNAREK,1998-10-14,USA,2,"Hayward Field, Eugene, OR (USA)",2021-08-21,1252,2021,men_200m,Men 200m,22.9,True
113,19.8,1.6,Fred KERLEY,1995-05-07,USA,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",2022-04-16,1252,2022,men_200m,Men 200m,26.9,True
113,19.8,0.4,Erriyon KNIGHTON,2004-01-29,USA,3,"Hayward Field, Eugene, OR (USA)",2022-07-21,1252,2022,men_200m,Men 200m,18.5,True
113,19.8,1.1,Jereem RICHARDS,1994-01-13,TTO,1,"Alexander Stadium, Birmingham (GBR)",2022-08-06,1252,2022,men_200m,Men 200m,28.6,True
124,19.81,0.8,Terrance LAIRD,1998-10-12,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",2021-03-27,1250,2021,men_200m,Men 200m,22.5,True
124,19.81,1.2,Noah LYLES,1997-07-18,USA,1sf1,"Hayward Field, Eugene, OR (USA)",2022-06-26,1250,2022,men_200m,Men 200m,24.9,True
130,19.82,1.7,Terrance LAIRD,1998-10-12,USA,1,"Cushing Stadium, College Station, TX (USA)",2021-05-15,1248,2021,men_200m,Men 200m,22.6,True
130,19.82,0.6,Luxolo ADAMS,1996-08-01,RSA,1,"Stade Charléty, Paris (FRA)",2022-06-18,1248,2022,men_200m,Men 200m,25.9,True
138,19.83,0.2,Kenneth BEDNAREK,1998-10-14,USA,2sf3,"National Stadium, Tokyo (JPN)",2021-08-03,1247,2021,men_200m,Men 200m,22.8,True
138,19.83,0.5,Fred KERLEY,1995-05-07,USA,3,"Letzigrund, Zürich (SUI)",2021-09-09,1247,2021,men_200m,Men 200m,26.3,True
138,19.83,1.6,Michael NORMAN,1997-12-03,USA,2,"Hilmer Lodge Stadium, Walnut, CA (USA)",2022-04-16,1247,2022,men_200m,Men 200m,24.4,True
138,19.83,0.6,Joseph FAHNBULLEH,2001-09-11,LBR,1,"Hayward Field, Eugene, OR (USA)",2022-06-10,1247,2022,men_200m,Men 200m,20.7,True
138,19.83,-0.3,Fred KERLEY,1995-05-07,USA,3,"Hayward Field, Eugene, OR (USA)",2022-06-26,1248,2022,men_200m,Men 200m,27.1,True
138,19.83,0.3,Jereem RICHARDS,1994-01-13,TTO,1f1,"Hasely Crawford Stadium, Port-of-Spain (TTO)",2022-06-26,1247,2022,men_200m,Men 200m,28.4,True
138,19.83,0.8,Noah LYLES,1997-07-18,USA,1,"Icahn Stadium, New York, NY (USA)",2023-06-24,1247,2023,men_200m,Men 200m,25.9,True
151,19.84,0.3,Erriyon KNIGHTON,2004-01-29,USA,3,"Hayward Field, Eugene, OR (USA)",2021-06-27,1245,2021,men_200m,Men 200m,17.4,True
151,19.84,1.1,Kenneth BEDNAREK,1998-10-14,USA,2sf2,"Hayward Field, Eugene, OR (USA)",2022-07-19,1245,2022,men_200m,Men 200m,23.8,True
151,19.84,0.4,Joseph FAHNBULLEH,2001-09-11,LBR,4,"Hayward Field, Eugene, OR (USA)",2022-07-21,1245,2022,men_200m,Men 200m,20.9,True
151,19.84,0.8,Erriyon KNIGHTON,2004-01-29,USA,2,"Stade Louis II, Monaco (MON)",2022-08-10,1245,2022,men_200m,Men 200m,18.5,True
151,19.84,0.9,Udodi Chudi ONWUZURIKE,2003-01-29,NGR,1,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-09,1245,2023,men_200m,Men 200m,20.4,True
177,19.86,0.8,Noah LYLES,1997-07-18,USA,1f1,"National Training Center, Clermont, FL (USA)",2022-05-01,1242,2022,men_200m,Men 200m,24.8,True
177,19.86,1.1,Jereem RICHARDS,1994-01-13,TTO,3sf2,"Hayward Field, Eugene, OR (USA)",2022-07-19,1242,2022,men_200m,Men 200m,28.5,True
177,19.86,0.9,Courtney LINDSEY,1998-11-18,USA,2,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-09,1242,2023,men_200m,Men 200m,24.6,True
195,19.87,-0.3,Kenneth BEDNAREK,1998-10-14,USA,4,"Hayward Field, Eugene, OR (USA)",2022-06-26,1242,2022,men_200m,Men 200m,23.7,True
195,19.87,0.6,Andrew HUDSON,1996-12-14,JAM,1,"Grand Bahama Sports Complex, Freeport (BAH)",2022-08-21,1241,2022,men_200m,Men 200m,25.7,True
195,19.87,-0.3,Letsile TEBOGO,2003-06-07,BOT,1f1,"National Stadium, Gaborone (BOT)",2023-04-29,1242,2023,men_200m,Men 200m,19.9,True
195,19.87,0.9,Terrence JONES,2002-11-08,BAH,3,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-09,1241,2023,men_200m,Men 200m,20.6,True
211,19.88,1.6,Divine ODUDURU,1996-10-07,NGR,1f1,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",2021-04-29,1239,2021,men_200m,Men 200m,24.6,True
211,19.88,0.4,Kenneth BEDNAREK,1998-10-14,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",2021-05-28,1239,2021,men_200m,Men 200m,22.6,True
211,19.88,1.1,Erriyon KNIGHTON,2004-01-29,USA,1sf2,"Hayward Field, Eugene, OR (USA)",2021-06-26,1239,2021,men_200m,Men 200m,17.4,True
211,19.88,0.8,Erriyon KNIGHTON,2004-01-29,USA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",2022-08-08,1239,2022,men_200m,Men 200m,18.5,True
211,19.88,0.6,Courtney LINDSEY,1998-11-18,USA,1sf3,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-07,1239,2023,men_200m,Men 200m,24.6,True
232,19.89,0.4,Andre DE GRASSE,1994-11-10,CAN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",2021-05-28,1237,2021,men_200m,Men 200m,26.5,True
232,19.89,1.3,Gary Noa Jerrel BIBI,2000-08-21,MRI,1,"Stadium Municipal, Albi (FRA)",2022-07-10,1237,2022,men_200m,Men 200m,21.9,True
232,19.89,0.0,Erriyon KNIGHTON,2004-01-29,USA,1,"Stadio Luigi Ridolfi, Firenze (ITA)",2023-06-02,1237,2023,men_200m,Men 200m,19.3,True
232,19.89,0.9,Robert GREGORY,2001-12-12,USA,4,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-09,1237,2023,men_200m,Men 200m,21.5,True
248,19.9,0.7,Noah LYLES,1997-07-18,USA,1f1,"Hilmer Lodge Stadium, Walnut, CA (USA)",2021-05-09,1236,2021,men_200m,Men 200m,23.8,True
248,19.9,0.9,Kenneth BEDNAREK,1998-10-14,USA,1sf1,"Hayward Field, Eugene, OR (USA)",2021-06-26,1236,2021,men_200m,Men 200m,22.7,True
248,19.9,0.3,Fred KERLEY,1995-05-07,USA,4,"Hayward Field, Eugene, OR (USA)",2021-06-27,1236,2021,men_200m,Men 200m,26.1,True
267,19.91,-0.4,Joseph FAHNBULLEH,2001-09-11,LBR,1,"Hayward Field, Eugene, OR (USA)",2021-06-11,1236,2021,men_200m,Men 200m,19.7,True
267,19.91,1.1,Noah LYLES,1997-07-18,USA,2sf2,"Hayward Field, Eugene, OR (USA)",2021-06-26,1234,2021,men_200m,Men 200m,23.9,True
