Rank,Mark,athlete_name,dob,country,pos,venue,date,results_score,year,discipline_key,discipline_label,wind,age,wind_legal
1,45.94,Karsten WARHOLM,1996-02-28,NOR,1,"National Stadium, Tokyo (JPN)",2021-08-03,1341,2021,men_400h,Men 400m Hurdles,,25.4,True
2,46.17,Rai BENJAMIN,1997-07-27,USA,2,"National Stadium, Tokyo (JPN)",2021-08-03,1328,2021,men_400h,Men 400m Hurdles,,24.0,True
3,46.29,Alison DOS SANTOS,2000-06-03,BRA,1,"Hayward Field, Eugene, OR (USA)",2022-07-19,1322,2022,men_400h,Men 400m Hurdles,,22.1,True
4,46.52,Karsten WARHOLM,1996-02-28,NOR,1,"Bislett Stadion, Oslo (NOR)",2023-06-15,1309,2023,men_400h,Men 400m Hurdles,,27.3,True
5,46.7,Karsten WARHOLM,1996-02-28,NOR,1,"Bislett Stadion, Oslo (NOR)",2021-07-01,1300,2021,men_400h,Men 400m Hurdles,,25.3,True
6,46.72,Alison DOS SANTOS,2000-06-03,BRA,3,"National Stadium, Tokyo (JPN)",2021-08-03,1299,2021,men_400h,Men 400m Hurdles,,21.2,True
8,46.8,Alison DOS SANTOS,2000-06-03,BRA,1,"Olympiastadion, Stockholm (SWE)",2022-06-30,1294,2022,men_400h,Men 400m Hurdles,,22.1,True
9,46.83,Rai BENJAMIN,1997-07-27,USA,1,"Hayward Field, Eugene, OR (USA)",2021-06-26,1293,2021,men_400h,Men 400m Hurdles,,23.9,True
11,46.89,Rai BENJAMIN,1997-07-27,USA,2,"Hayward Field, Eugene, OR (USA)",2022-07-19,1290,2022,men_400h,Men 400m Hurdles,,25.0,True
13,46.98,Alison DOS SANTOS,2000-06-03,BRA,1,"Letzigrund, Zürich (SUI)",2022-09-08,1285,2022,men_400h,Men 400m Hurdles,,22.3,True
19,47.04,Rai BENJAMIN,1997-07-27,USA,1,"Hayward Field, Eugene, OR (USA)",2022-06-26,1282,2022,men_400h,Men 400m Hurdles,,24.9,True
21,47.08,Karsten WARHOLM,1996-02-28,NOR,1,"Stade Louis II, Monaco (MON)",2021-07-09,1280,2021,men_400h,Men 400m Hurdles,,25.4,True
21,47.08,Kyron MCMASTER,1997-01-03,IVB,4,"National Stadium, Tokyo (JPN)",2021-08-03,1280,2021,men_400h,Men 400m Hurdles,,24.6,True
26,47.12,Abderrahman SAMBA,1995-09-05,QAT,5,"National Stadium, Tokyo (JPN)",2021-08-03,1277,2021,men_400h,Men 400m Hurdles,,25.9,True
26,47.12,Karsten WARHOLM,1996-02-28,NOR,1,"Olympiastadion, München (GER)",2022-08-19,1277,2022,men_400h,Men 400m Hurdles,,26.5,True
29,47.13,Rai BENJAMIN,1997-07-27,USA,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",2021-05-09,1277,2021,men_400h,Men 400m Hurdles,,23.8,True
36,47.23,Alison DOS SANTOS,2000-06-03,BRA,1,"Hayward Field, Eugene, OR (USA)",2022-05-28,1272,2022,men_400h,Men 400m Hurdles,,22.0,True
39,47.24,Alison DOS SANTOS,2000-06-03,BRA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",2022-05-13,1271,2022,men_400h,Men 400m Hurdles,,21.9,True
39,47.24,Karsten WARHOLM,1996-02-28,NOR,1,"Olympiastadion, Berlin (GER)",2022-09-04,1271,2022,men_400h,Men 400m Hurdles,,26.5,True
44,47.26,Alison DOS SANTOS,2000-06-03,BRA,1,"Bislett Stadion, Oslo (NOR)",2022-06-16,1270,2022,men_400h,Men 400m Hurdles,,22.0,True
48,47.3,Karsten WARHOLM,1996-02-28,NOR,1sf1,"National Stadium, Tokyo (JPN)",2021-08-01,1268,2021,men_400h,Men 400m Hurdles,,25.4,True
50,47.31,Alison DOS SANTOS,2000-06-03,BRA,1sf2,"National Stadium, Tokyo (JPN)",2021-08-01,1267,2021,men_400h,Men 400m Hurdles,,21.2,True
54,47.34,Alison DOS SANTOS,2000-06-03,BRA,1,"Olympiastadion, Stockholm (SWE)",2021-07-04,1266,2021,men_400h,Men 400m Hurdles,,21.1,True
