Rank,Mark,athlete_name,dob,country,pos,venue,date,results_score,year,discipline_key,discipline_label,wind,age,wind_legal
1,6.21,Armand DUPLANTIS,1999-11-10,SWE,1,"Hayward Field, Eugene, OR (USA)",2022-07-24,1325,2022,men_PV,Men Pole Vault,,22.7,True
2,6.16,Armand DUPLANTIS,1999-11-10,SWE,1,"Olympiastadion, Stockholm (SWE)",2022-06-30,1311,2022,men_PV,Men Pole Vault,,22.6,True
6,6.12,Armand DUPLANTIS,1999-11-10,SWE,1,"Mestský Stadion, Ostrava (CZE)",2023-06-27,1300,2023,men_PV,Men Pole Vault,,23.6,True
8,6.11,Armand DUPLANTIS,1999-11-10,SWE,1,"FBK Stadium, Hengelo (NED)",2023-06-04,1297,2023,men_PV,Men Pole Vault,,23.6,True
10,6.1,Armand DUPLANTIS,1999-11-10,SWE,1,"FBK Stadium, Hengelo (NED)",2021-06-06,1294,2021,men_PV,Men Pole Vault,,21.6,True
10,6.1,Armand DUPLANTIS,1999-11-10,SWE,1,"Stadion Śląski, Chorzów (POL)",2022-08-06,1294,2022,men_PV,Men Pole Vault,,22.7,True
10,6.1,Armand DUPLANTIS,1999-11-10,SWE,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2022-08-25,1294,2022,men_PV,Men Pole Vault,,22.8,True
16,6.07,Armand DUPLANTIS,1999-11-10,SWE,1,"Letzigrund, Zürich (SUI)",2022-09-08,1286,2022,men_PV,Men Pole Vault,,22.8,True
16,6.07,KC LIGHTFOOT,1999-11-11,USA,1,"Vanderbilt Track, Nashville, TN (USA)",2023-06-02,1286,2023,men_PV,Men Pole Vault,,23.6,True
20,6.06,Armand DUPLANTIS,1999-11-10,SWE,1,"Letzigrund, Zürich (SUI)",2021-09-09,1283,2021,men_PV,Men Pole Vault,,21.8,True
20,6.06,Armand DUPLANTIS,1999-11-10,SWE,1,"Olympiastadion, München (GER)",2022-08-20,1283,2022,men_PV,Men Pole Vault,,22.8,True
24,6.05,Armand DUPLANTIS,1999-11-10,SWE,1,"Boudewijnstadion, Bruxelles (BEL)",2021-09-03,1281,2021,men_PV,Men Pole Vault,,21.8,True
39,6.02,Armand DUPLANTIS,1999-11-10,SWE,1,"Olympiastadion, Stockholm (SWE)",2021-07-04,1272,2021,men_PV,Men Pole Vault,,21.6,True
39,6.02,Armand DUPLANTIS,1999-11-10,SWE,1,"National Stadium, Tokyo (JPN)",2021-08-03,1272,2021,men_PV,Men Pole Vault,,21.7,True
39,6.02,Armand DUPLANTIS,1999-11-10,SWE,1,"Bislett Stadion, Oslo (NOR)",2022-06-16,1272,2022,men_PV,Men Pole Vault,,22.6,True
48,6.01,Armand DUPLANTIS,1999-11-10,SWE,1,"Bislett Stadion, Oslo (NOR)",2021-07-01,1270,2021,men_PV,Men Pole Vault,,21.6,True
48,6.01,Armand DUPLANTIS,1999-11-10,SWE,1,"Stade Charléty, Paris (FRA)",2021-08-28,1270,2021,men_PV,Men Pole Vault,,21.8,True
48,6.01,Armand DUPLANTIS,1999-11-10,SWE,1,"FBK Stadium, Hengelo (NED)",2022-06-06,1270,2022,men_PV,Men Pole Vault,,22.6,True
48,6.01,Armand DUPLANTIS,1999-11-10,SWE,1,"Bislett Stadion, Oslo (NOR)",2023-06-15,1270,2023,men_PV,Men Pole Vault,,23.6,True
64,6.0,Armand DUPLANTIS,1999-11-10,SWE,1,"Tingvalla IP, Karlstad (SWE)",2021-06-22,1267,2021,men_PV,Men Pole Vault,,21.6,True
