Rank,Mark,wind,athlete_name,dob,country,pos,venue,date,results_score,year,discipline_key,discipline_label,age,wind_legal
2,10.54,0.9,Elaine THOMPSON-HERAH,1992-06-28,JAM,1,"Hayward Field, Eugene, OR (USA)",2021-08-21,1302,2021,women_100m,Women 100m,29.1,True
3,10.6,1.7,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,1289,2021,women_100m,Women 100m,34.7,True
4,10.61,-0.6,Elaine THOMPSON-HERAH,1992-06-28,JAM,1,"National Stadium, Tokyo (JPN)",2021-07-31,1289,2021,women_100m,Women 100m,29.1,True
6,10.62,0.4,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1,"Stade Louis II, Monaco (MON)",2022-08-10,1284,2022,women_100m,Women 100m,35.6,True
8,10.63,1.3,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1f1,"National Stadium, Kingston (JAM)",2021-06-05,1282,2021,women_100m,Women 100m,34.4,True
9,10.64,1.7,Elaine THOMPSON-HERAH,1992-06-28,JAM,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,1280,2021,women_100m,Women 100m,29.2,True
11,10.65,0.6,Elaine THOMPSON-HERAH,1992-06-28,JAM,1,"Letzigrund, Zürich (SUI)",2021-09-09,1277,2021,women_100m,Women 100m,29.2,True
11,10.65,-0.8,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1,"Letzigrund, Zürich (SUI)",2022-09-08,1281,2022,women_100m,Women 100m,35.7,True
14,10.66,0.5,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1,"Stadion Śląski, Chorzów (POL)",2022-08-06,1275,2022,women_100m,Women 100m,35.6,True
15,10.67,-0.4,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2022-05-07,1275,2022,women_100m,Women 100m,35.4,True
15,10.67,0.5,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1,"Stade Charléty, Paris (FRA)",2022-06-18,1273,2022,women_100m,Women 100m,35.5,True
15,10.67,0.8,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1,"Hayward Field, Eugene, OR (USA)",2022-07-17,1273,2022,women_100m,Women 100m,35.6,True
15,10.67,1.3,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",2022-08-08,1273,2022,women_100m,Women 100m,35.6,True
20,10.7,1.1,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1h2,"National Stadium, Kingston (JAM)",2022-06-23,1266,2022,women_100m,Women 100m,35.5,True
26,10.71,1.0,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1,"National Stadium, Kingston (JAM)",2021-06-25,1264,2021,women_100m,Women 100m,34.5,True
26,10.71,0.6,Elaine THOMPSON-HERAH,1992-06-28,JAM,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",2021-07-06,1264,2021,women_100m,Women 100m,29.0,True
26,10.71,0.4,Shericka JACKSON,1994-07-16,JAM,2,"Stade Louis II, Monaco (MON)",2022-08-10,1264,2022,women_100m,Women 100m,28.1,True
35,10.72,1.6,Sha'Carri RICHARDSON,2000-03-25,USA,1f2,"Ansin Sports Complex, Miramar, FL (USA)",2021-04-10,1262,2021,women_100m,Women 100m,21.0,True
35,10.72,1.3,Elaine THOMPSON-HERAH,1992-06-28,JAM,1,"Stade Charléty, Paris (FRA)",2021-08-28,1262,2021,women_100m,Women 100m,29.2,True
35,10.72,0.4,Marie-Josée TA LOU,1988-11-18,CIV,3,"Stade Louis II, Monaco (MON)",2022-08-10,1262,2022,women_100m,Women 100m,33.7,True
43,10.73,0.3,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1sf3,"National Stadium, Tokyo (JPN)",2021-07-31,1259,2021,women_100m,Women 100m,34.6,True
43,10.73,0.9,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,2,"Hayward Field, Eugene, OR (USA)",2021-08-21,1259,2021,women_100m,Women 100m,34.7,True
43,10.73,0.8,Shericka JACKSON,1994-07-16,JAM,2,"Hayward Field, Eugene, OR (USA)",2022-07-17,1259,2022,women_100m,Women 100m,28.0,True
43,10.73,0.6,Shericka JACKSON,1994-07-16,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",2022-09-02,1259,2022,women_100m,Women 100m,28.1,True
51,10.74,1.1,Sha'Carri RICHARDSON,2000-03-25,USA,1h1,"Hilmer Lodge Stadium, Walnut, CA (USA)",2021-05-09,1257,2021,women_100m,Women 100m,21.1,True
51,10.74,-0.6,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,2,"National Stadium, Tokyo (JPN)",2021-07-31,1260,2021,women_100m,Women 100m,34.6,True
51,10.74,0.6,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,2,"Boudewijnstadion, Bruxelles (BEL)",2022-09-02,1257,2022,women_100m,Women 100m,35.7,True
58,10.75,0.9,Marie-Josée TA LOU,1988-11-18,CIV,1,"Bislett Stadion, Oslo (NOR)",2023-06-15,1255,2023,women_100m,Women 100m,34.6,True
64,10.76,-0.6,Shericka JACKSON,1994-07-16,JAM,3,"National Stadium, Tokyo (JPN)",2021-07-31,1256,2021,women_100m,Women 100m,27.0,True
64,10.76,0.0,Elaine THOMPSON-HERAH,1992-06-28,JAM,1sf1,"National Stadium, Tokyo (JPN)",2021-07-31,1253,2021,women_100m,Women 100m,29.1,True
64,10.76,0.9,Shericka JACKSON,1994-07-16,JAM,3,"Hayward Field, Eugene, OR (USA)",2021-08-21,1253,2021,women_100m,Women 100m,27.1,True
64,10.76,0.9,Sha'Carri RICHARDSON,2000-03-25,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",2023-05-05,1253,2023,women_100m,Women 100m,23.1,True
73,10.77,-1.2,Sha'Carri RICHARDSON,2000-03-25,USA,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",2021-05-09,1258,2021,women_100m,Women 100m,21.1,True
73,10.77,0.9,Shericka JACKSON,1994-07-16,JAM,1sf1,"National Stadium, Kingston (JAM)",2021-06-25,1251,2021,women_100m,Women 100m,26.9,True
73,10.77,0.9,Shericka JACKSON,1994-07-16,JAM,1,"National Stadium, Kingston (JAM)",2022-06-24,1251,2022,women_100m,Women 100m,27.9,True
80,10.78,1.8,Elaine THOMPSON-HERAH,1992-06-28,JAM,1f1,"National Training Center, Clermont, FL (USA)",2021-05-02,1248,2021,women_100m,Women 100m,28.8,True
80,10.78,-0.3,Marie-Josée TA LOU,1988-11-18,CIV,1h4,"National Stadium, Tokyo (JPN)",2021-07-30,1249,2021,women_100m,Women 100m,32.7,True
80,10.78,0.5,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1f1,"Stadio Comunale, Bellinzona (SUI)",2021-09-14,1248,2021,women_100m,Women 100m,34.7,True
80,10.78,0.6,Marie-Josée TA LOU,1988-11-18,CIV,3,"Boudewijnstadion, Bruxelles (BEL)",2022-09-02,1248,2022,women_100m,Women 100m,33.8,True
80,10.78,0.9,Marie-Josée TA LOU,1988-11-18,CIV,1f1,"National Training Center, Clermont, FL (USA)",2023-05-14,1248,2023,women_100m,Women 100m,34.5,True
80,10.78,1.6,Shericka JACKSON,1994-07-16,JAM,1f1,"National Stadium, Kingston (JAM)",2023-06-03,1248,2023,women_100m,Women 100m,28.9,True
101,10.79,-0.2,Marie-Josée TA LOU,1988-11-18,CIV,1sf2,"National Stadium, Tokyo (JPN)",2021-07-31,1247,2021,women_100m,Women 100m,32.7,True
101,10.79,-0.2,Shericka JACKSON,1994-07-16,JAM,2sf2,"National Stadium, Tokyo (JPN)",2021-07-31,1247,2021,women_100m,Women 100m,27.0,True
101,10.79,0.7,Elaine THOMPSON-HERAH,1992-06-28,JAM,1,"Hayward Field, Eugene, OR (USA)",2022-05-28,1246,2022,women_100m,Women 100m,29.9,True
122,10.81,0.4,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1,"Stadion Śląski, Chorzów (POL)",2021-09-05,1242,2021,women_100m,Women 100m,34.7,True
122,10.81,1.7,Julien ALFRED,2001-06-10,LCA,1h2,"Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)",2022-05-14,1242,2022,women_100m,Women 100m,20.9,True
122,10.81,0.5,Aleia HOBBS,1996-02-24,USA,1sf1,"Hayward Field, Eugene, OR (USA)",2022-06-24,1242,2022,women_100m,Women 100m,26.3,True
122,10.81,0.8,Elaine THOMPSON-HERAH,1992-06-28,JAM,3,"Hayward Field, Eugene, OR (USA)",2022-07-17,1242,2022,women_100m,Women 100m,30.1,True
122,10.81,0.4,Aleia HOBBS,1996-02-24,USA,4,"Stade Louis II, Monaco (MON)",2022-08-10,1242,2022,women_100m,Women 100m,26.5,True
122,10.81,-0.8,Shericka JACKSON,1994-07-16,JAM,2,"Letzigrund, Zürich (SUI)",2022-09-08,1246,2022,women_100m,Women 100m,28.1,True
143,10.82,1.0,Shericka JACKSON,1994-07-16,JAM,2,"National Stadium, Kingston (JAM)",2021-06-25,1239,2021,women_100m,Women 100m,26.9,True
143,10.82,1.1,Elaine THOMPSON-HERAH,1992-06-28,JAM,1sf2,"National Stadium, Kingston (JAM)",2021-06-25,1239,2021,women_100m,Women 100m,29.0,True
143,10.82,0.6,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,2,"Bregyó Athletic Center, Székesfehérvár (HUN)",2021-07-06,1239,2021,women_100m,Women 100m,34.5,True
143,10.82,0.1,Elaine THOMPSON-HERAH,1992-06-28,JAM,1h2,"National Stadium, Tokyo (JPN)",2021-07-30,1239,2021,women_100m,Women 100m,29.1,True
143,10.82,0.5,Melissa JEFFERSON,2001-02-21,USA,2sf1,"Hayward Field, Eugene, OR (USA)",2022-06-24,1239,2022,women_100m,Women 100m,21.3,True
143,10.82,-0.2,Elaine THOMPSON-HERAH,1992-06-28,JAM,1sf2,"Hayward Field, Eugene, OR (USA)",2022-07-17,1240,2022,women_100m,Women 100m,30.1,True
143,10.82,0.6,Twanisha TERRY,1999-01-24,USA,1,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",2022-07-30,1239,2022,women_100m,Women 100m,23.5,True
143,10.82,-0.1,Shericka JACKSON,1994-07-16,JAM,1f1,"National Stadium, Kingston (JAM)",2023-04-22,1239,2023,women_100m,Women 100m,28.8,True
143,10.82,0.0,Marie-Josée TA LOU,1988-11-18,CIV,1,"Stadion Śląski, Chorzów (POL)",2023-06-04,1239,2023,women_100m,Women 100m,34.5,True
168,10.83,0.9,Teahna DANIELS,1997-03-25,USA,4,"Hayward Field, Eugene, OR (USA)",2021-08-21,1237,2021,women_100m,Women 100m,24.4,True
168,10.83,0.3,Elaine THOMPSON-HERAH,1992-06-28,JAM,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2022-06-05,1237,2022,women_100m,Women 100m,29.9,True
168,10.83,1.3,Aleia HOBBS,1996-02-24,USA,1,"Icahn Stadium, New York, NY (USA)",2022-06-12,1237,2022,women_100m,Women 100m,26.3,True
168,10.83,0.8,Dina ASHER-SMITH,1995-12-04,GBR,4,"Hayward Field, Eugene, OR (USA)",2022-07-17,1237,2022,women_100m,Women 100m,26.6,True
168,10.83,0.6,Tamari DAVIS,2003-02-15,USA,2,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",2022-07-30,1237,2022,women_100m,Women 100m,19.5,True
168,10.83,-0.1,Shericka JACKSON,1994-07-16,JAM,1,"Grand Bahama Sports Complex, Freeport (BAH)",2022-08-20,1237,2022,women_100m,Women 100m,28.1,True
168,10.83,0.7,Julien ALFRED,2001-06-10,LCA,1h1,"Hornet Stadium - Sac St., Sacramento, CA (USA)",2023-05-27,1237,2023,women_100m,Women 100m,22.0,True
200,10.84,1.1,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1,"Suhaim bin Hamad Stadium, Doha (QAT)",2021-05-28,1235,2021,women_100m,Women 100m,34.4,True
200,10.84,1.0,Elaine THOMPSON-HERAH,1992-06-28,JAM,3,"National Stadium, Kingston (JAM)",2021-06-25,1235,2021,women_100m,Women 100m,29.0,True
200,10.84,1.1,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,2sf2,"National Stadium, Kingston (JAM)",2021-06-25,1235,2021,women_100m,Women 100m,34.5,True
200,10.84,1.3,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1h5,"National Stadium, Tokyo (JPN)",2021-07-30,1235,2021,women_100m,Women 100m,34.6,True
200,10.84,1.2,Dina ASHER-SMITH,1995-12-04,GBR,1h5,"Hayward Field, Eugene, OR (USA)",2022-07-16,1235,2022,women_100m,Women 100m,26.6,True
200,10.84,-0.2,Shericka JACKSON,1994-07-16,JAM,1sf1,"Hayward Field, Eugene, OR (USA)",2022-07-17,1236,2022,women_100m,Women 100m,28.0,True
200,10.84,0.2,Julien ALFRED,2001-06-10,LCA,1,"John Jacobs Track Complex, Norman, OK (USA)",2023-05-14,1235,2023,women_100m,Women 100m,21.9,True
225,10.85,1.3,Sha'Carri RICHARDSON,2000-03-25,USA,2,"Icahn Stadium, New York, NY (USA)",2022-06-12,1233,2022,women_100m,Women 100m,22.2,True
225,10.85,0.9,Shericka JACKSON,1994-07-16,JAM,2,"Suhaim bin Hamad Stadium, Doha (QAT)",2023-05-05,1233,2023,women_100m,Women 100m,28.8,True
255,10.86,0.6,Marie-Josée TA LOU,1988-11-18,CIV,3,"Bregyó Athletic Center, Székesfehérvár (HUN)",2021-07-06,1231,2021,women_100m,Women 100m,32.6,True
255,10.86,0.1,Marie-Josée TA LOU,1988-11-18,CIV,1,"Stadio Comunale, Bellinzona (SUI)",2022-09-12,1231,2022,women_100m,Women 100m,33.8,True
255,10.86,1.9,Aleia HOBBS,1996-02-24,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2023-04-22,1231,2023,women_100m,Women 100m,27.2,True
284,10.87,1.3,Natasha MORRISON,1992-11-17,JAM,1,"Tropical Park Track, Miami, FL (USA)",2021-04-24,1228,2021,women_100m,Women 100m,28.4,True
