Rank,Mark,athlete_name,dob,country,pos,venue,date,results_score,year,discipline_key,discipline_label,wind,age,wind_legal
1,50.68,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Hayward Field, Eugene, OR (USA)",2022-07-22,1312,2022,women_400h,Women 400m Hurdles,,23.0,True
2,51.41,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Hayward Field, Eugene, OR (USA)",2022-06-25,1288,2022,women_400h,Women 400m Hurdles,,22.9,True
3,51.46,Sydney MCLAUGHLIN,1999-08-07,USA,1,"National Stadium, Tokyo (JPN)",2021-08-04,1286,2021,women_400h,Women 400m Hurdles,,22.0,True
4,51.58,Dalilah MUHAMMAD,1990-02-07,USA,2,"National Stadium, Tokyo (JPN)",2021-08-04,1282,2021,women_400h,Women 400m Hurdles,,31.5,True
5,51.61,Sydney MCLAUGHLIN,1999-08-07,USA,1f1,"Vanderbilt Track, Nashville, TN (USA)",2022-06-05,1281,2022,women_400h,Women 400m Hurdles,,22.8,True
6,51.68,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",2022-08-08,1279,2022,women_400h,Women 400m Hurdles,,23.0,True
7,51.9,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Hayward Field, Eugene, OR (USA)",2021-06-27,1272,2021,women_400h,Women 400m Hurdles,,21.9,True
8,52.03,Femke BOL,2000-02-23,NED,3,"National Stadium, Tokyo (JPN)",2021-08-04,1267,2021,women_400h,Women 400m Hurdles,,21.4,True
10,52.17,Sydney MCLAUGHLIN,1999-08-07,USA,1sf3,"Hayward Field, Eugene, OR (USA)",2022-07-20,1263,2022,women_400h,Women 400m Hurdles,,23.0,True
13,52.27,Femke BOL,2000-02-23,NED,1,"Olympiastadion, Stockholm (SWE)",2022-06-30,1260,2022,women_400h,Women 400m Hurdles,,22.3,True
13,52.27,Femke BOL,2000-02-23,NED,2,"Hayward Field, Eugene, OR (USA)",2022-07-22,1260,2022,women_400h,Women 400m Hurdles,,22.4,True
15,52.3,Femke BOL,2000-02-23,NED,1,"Bislett Stadion, Oslo (NOR)",2023-06-15,1259,2023,women_400h,Women 400m Hurdles,,23.3,True
17,52.37,Femke BOL,2000-02-23,NED,1,"Olympiastadion, Stockholm (SWE)",2021-07-04,1256,2021,women_400h,Women 400m Hurdles,,21.4,True
18,52.39,Shamier LITTLE,1995-03-20,USA,2,"Olympiastadion, Stockholm (SWE)",2021-07-04,1256,2021,women_400h,Women 400m Hurdles,,26.3,True
19,52.42,Dalilah MUHAMMAD,1990-02-07,USA,2,"Hayward Field, Eugene, OR (USA)",2021-06-27,1255,2021,women_400h,Women 400m Hurdles,,31.4,True
21,52.43,Femke BOL,2000-02-23,NED,1,"Stadio Luigi Ridolfi, Firenze (ITA)",2023-06-02,1254,2023,women_400h,Women 400m Hurdles,,23.3,True
23,52.61,Femke BOL,2000-02-23,NED,1,"Bislett Stadion, Oslo (NOR)",2022-06-16,1249,2022,women_400h,Women 400m Hurdles,,22.3,True
29,52.67,Femke BOL,2000-02-23,NED,1,"Olympiastadion, München (GER)",2022-08-19,1247,2022,women_400h,Women 400m Hurdles,,22.5,True
35,52.76,Femke BOL,2000-02-23,NED,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2023-06-30,1244,2023,women_400h,Women 400m Hurdles,,23.3,True
36,52.77,Dalilah MUHAMMAD,1990-02-07,USA,1,"Hayward Field, Eugene, OR (USA)",2021-08-21,1243,2021,women_400h,Women 400m Hurdles,,31.5,True
41,52.8,Femke BOL,2000-02-23,NED,1,"Letzigrund, Zürich (SUI)",2021-09-09,1243,2021,women_400h,Women 400m Hurdles,,21.5,True
42,52.81,Femke BOL,2000-02-23,NED,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",2021-07-06,1242,2021,women_400h,Women 400m Hurdles,,21.4,True
46,52.83,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Nashville, TN (USA)",2021-06-06,1242,2021,women_400h,Women 400m Hurdles,,21.8,True
48,52.84,Femke BOL,2000-02-23,NED,1sf2,"Hayward Field, Eugene, OR (USA)",2022-07-20,1241,2022,women_400h,Women 400m Hurdles,,22.4,True
50,52.85,Shamier LITTLE,1995-03-20,USA,2,"Bregyó Athletic Center, Székesfehérvár (HUN)",2021-07-06,1241,2021,women_400h,Women 400m Hurdles,,26.3,True
55,52.9,Sydney MCLAUGHLIN,1999-08-07,USA,1sf1,"Hayward Field, Eugene, OR (USA)",2022-06-24,1239,2022,women_400h,Women 400m Hurdles,,22.9,True
61,52.95,Femke BOL,2000-02-23,NED,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2022-08-26,1238,2022,women_400h,Women 400m Hurdles,,22.5,True
64,52.96,Anna RYZHYKOVA,1989-11-24,UKR,3,"Olympiastadion, Stockholm (SWE)",2021-07-04,1237,2021,women_400h,Women 400m Hurdles,,31.6,True
72,53.02,Femke BOL,2000-02-23,NED,1,"Stadio Olimpico, Roma (ITA)",2022-06-09,1235,2022,women_400h,Women 400m Hurdles,,22.3,True
75,53.03,Sydney MCLAUGHLIN,1999-08-07,USA,1sf1,"Hayward Field, Eugene, OR (USA)",2021-06-26,1235,2021,women_400h,Women 400m Hurdles,,21.9,True
