Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat,Venue,Date,Results Score,discipline,year,ProfileURL,source
1,26:25.97,,Kenenisa BEKELE,13 JUN 1982,ETH,1,,"Eugene, OR (USA)",08 JUN 2008,1281,men_10000m,2008,https://worldathletics.org/athletes/athlete=14181357,toplist
2,26:50.53,,Sileshi SIHINE,29 JAN 1983,ETH,1,,"FBK Stadium, Hengelo (NED)",24 MAY 2008,1241,men_10000m,2008,https://worldathletics.org/athletes/athlete=14181623,toplist
3,26:51.20,,Haile GEBRSELASSIE,18 APR 1973,ETH,2,,"FBK Stadium, Hengelo (NED)",24 MAY 2008,1240,men_10000m,2008,https://worldathletics.org/athletes/athlete=14181475,toplist
4,26:54.32,,Eliud KIPCHOGE,05 NOV 1984,KEN,3,,"FBK Stadium, Hengelo (NED)",24 MAY 2008,1235,men_10000m,2008,https://worldathletics.org/athletes/athlete=14208194,toplist
5,26:57.08,,Leonard Patrick KOMON,10 JAN 1988,KEN,4,,"FBK Stadium, Hengelo (NED)",24 MAY 2008,1231,men_10000m,2008,https://worldathletics.org/athletes/athlete=14208682,toplist
6,27:04.11,,Micah Kemboi KOGO,30 JUN 1986,KEN,3,,"National Stadium, Beijing (CHN)",17 AUG 2008,1220,men_10000m,2008,https://worldathletics.org/athletes/athlete=14208652,toplist
6,27:04.11,,Moses Ndiema MASAI,01 JUN 1986,KEN,4,,"National Stadium, Beijing (CHN)",17 AUG 2008,1220,men_10000m,2008,https://worldathletics.org/athletes/athlete=14209038,toplist
8,27:05.11,,Zersenay TADESE,01 JAN 1982,ERI,5,,"National Stadium, Beijing (CHN)",17 AUG 2008,1218,men_10000m,2008,https://worldathletics.org/athletes/athlete=14167401,toplist
9,27:06.16,,Kidane TADESSE,31 AUG 1987,ERI,1f1,,Neerpelt (BEL),31 MAY 2008,1216,men_10000m,2008,https://worldathletics.org/athletes/athlete=14167421,toplist
10,27:08.06,,Bernard Kiprop KIPYEGO,16 JUL 1986,KEN,3,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008,1213,men_10000m,2008,https://worldathletics.org/athletes/athlete=14208525,toplist
11,27:08.25,,Martin Irungu MATHATHI,25 DEC 1985,KEN,7,,"National Stadium, Beijing (CHN)",17 AUG 2008,1213,men_10000m,2008,https://worldathletics.org/athletes/athlete=14209051,toplist
12,27:09.11,,Ahmad Hassan ABDULLAH,04 APR 1981,QAT,4,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008,1212,men_10000m,2008,https://worldathletics.org/athletes/athlete=14218968,toplist
13,27:09.37,,Josphat Kiprono MENJO,20 AUG 1979,KEN,2f1,,Neerpelt (BEL),31 MAY 2008,1211,men_10000m,2008,https://worldathletics.org/athletes/athlete=14209102,toplist
14,27:09.8h,,Bernard Kipkemoi ROTICH,11 AUG 1986,KEN,1,,Nairobi (KEN),30 MAY 2008,1210,men_10000m,2008,https://worldathletics.org/athletes/athlete=14209650,toplist
15,27:11.09,,Peter KAMAIS,07 NOV 1976,KEN,3f1,,Neerpelt (BEL),31 MAY 2008,1208,men_10000m,2008,https://worldathletics.org/athletes/athlete=14207789,toplist
16,27:13.85,,Ibrahim JEILAN,12 JUN 1989,ETH,2,,"Eugene, OR (USA)",08 JUN 2008,1204,men_10000m,2008,https://worldathletics.org/athletes/athlete=14181523,toplist
17,27:14.03,,Josphat Muchiri NDAMBIRI,12 FEB 1985,KEN,1,,Shizuoka (JPN),03 MAY 2008,1204,men_10000m,2008,https://worldathletics.org/athletes/athlete=14209351,toplist
18,27:14.13,,Terefe Zewdie MEREGA,23 OCT 1982,ETH,3,,"Eugene, OR (USA)",08 JUN 2008,1204,men_10000m,2008,https://worldathletics.org/athletes/athlete=14327606,toplist
19,27:14.67,,Mark Kosgei KIPTOO,21 JUN 1976,KEN,4,,"Eugene, OR (USA)",08 JUN 2008,1203,men_10000m,2008,https://worldathletics.org/athletes/athlete=14208497,toplist
20,27:15.17,,Tadesse TOLA,31 OCT 1987,ETH,5,,"Eugene, OR (USA)",08 JUN 2008,1202,men_10000m,2008,https://worldathletics.org/athletes/athlete=14181703,toplist
21,27:16.49,,Kimutai KIPLIMO,10 DEC 1981,KEN,6,,"Eugene, OR (USA)",08 JUN 2008,1200,men_10000m,2008,https://worldathletics.org/athletes/athlete=14208143,toplist
22,27:16.99,,Abdi ABDIRAHMAN,01 JAN 1977,USA,7,,"Eugene, OR (USA)",08 JUN 2008,1199,men_10000m,2008,https://worldathletics.org/athletes/athlete=14230897,toplist
23,27:17.27,,Abebe DINKESA,06 MAR 1984,ETH,1,,Pergine Valsugana (ITA),12 JUL 2008,1199,men_10000m,2008,https://worldathletics.org/athletes/athlete=14181589,toplist
24,27:17.91,,Gideon NGATUNYI,10 OCT 1986,KEN,2f3,,Kobe (JPN),27 APR 2008,1198,men_10000m,2008,https://worldathletics.org/athletes/athlete=14209399,toplist
25,27:19.26,,Boniface KIPROP,12 OCT 1985,UGA,5,,"FBK Stadium, Hengelo (NED)",24 MAY 2008,1195,men_10000m,2008,https://worldathletics.org/athletes/athlete=14229604,toplist
26,27:19.72,,Fabiano Joseph NAASI,24 DEC 1985,TAN,6,,"FBK Stadium, Hengelo (NED)",24 MAY 2008,1195,men_10000m,2008,https://worldathletics.org/athletes/athlete=14228387,toplist
27,27:19.81,,Robert Sigei KIPNGETICH,03 JAN 1982,KEN,5,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008,1195,men_10000m,2008,https://worldathletics.org/athletes/athlete=14208371,toplist
28,27:20.65,,Gebregziabher GEBREMARIAM,10 SEP 1984,ETH,7,,"FBK Stadium, Hengelo (NED)",24 MAY 2008,1193,men_10000m,2008,https://worldathletics.org/athletes/athlete=14181464,toplist
29,27:24.46,,Ali Hassan MAHBOOB,31 DEC 1981,BRN,4f1,,Neerpelt (BEL),31 MAY 2008,1187,men_10000m,2008,https://worldathletics.org/athletes/athlete=14175122,toplist
30,27:26.31,,Silas KIPRUTO,26 SEP 1984,KEN,8,,"FBK Stadium, Hengelo (NED)",24 MAY 2008,1184,men_10000m,2008,https://worldathletics.org/athletes/athlete=14208446,toplist
31,27:27.57,,Hunegnaw MESFIN,31 JAN 1989,ETH,5f1,,Neerpelt (BEL),31 MAY 2008,1182,men_10000m,2008,https://worldathletics.org/athletes/athlete=14181516,toplist
32,27:27.64,,Mekubo MOGUSU,25 DEC 1986,KEN,1,,Tokyo (JPN),18 MAY 2008,1182,men_10000m,2008,https://worldathletics.org/athletes/athlete=14209132,toplist
33,27:28.31,,Juan Carlos DE LA OSSA,25 NOV 1976,ESP,1,,Vigo (ESP),12 JUL 2008,1181,men_10000m,2008,https://worldathletics.org/athletes/athlete=14166768,toplist
34,27:29.31,,Eshetu WENDIMU,03 OCT 1986,ETH,9,,"FBK Stadium, Hengelo (NED)",24 MAY 2008,1180,men_10000m,2008,https://worldathletics.org/athletes/athlete=14334119,toplist
35,27:29.33,,Selim BAYRAK,30 NOV 1987,TUR,11,,"National Stadium, Beijing (CHN)",17 AUG 2008,1180,men_10000m,2008,https://worldathletics.org/athletes/athlete=14181495,toplist
36,27:30.85,,Josphat Kipkoech BETT,12 JUN 1990,KEN,1,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",09 JUL 2008,1177,men_10000m,2008,https://worldathletics.org/athletes/athlete=14330102,toplist
