Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,9.79,-0.3,Christian COLEMAN,06 MAR 1996,USA,1,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1281.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14541956,toplist
2.0,9.87,-0.1,Ronnie BAKER,15 OCT 1993,USA,1,,"Stadion Śląski, Chorzów (POL)",22 AUG 2018,1252.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14498578,toplist
3.0,9.88,1.1,Noah LYLES,18 JUL 1997,USA,1,,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2018,1248.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14536762,toplist
4.0,9.89,1.4,Michael RODGERS,24 APR 1985,USA,1h3,,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2018,1245.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14249856,toplist
5.0,9.91,0.4,Zharnel HUGHES,13 JUL 1995,GBR,1f1,,Kingston (JAM),09 JUN 2018,1238.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14414524,toplist
5.0,9.91,0.2,Bingtian SU,29 AUG 1989,CHN,1,,"Moratalaz, Madrid (ESP)",22 JUN 2018,1238.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14171509,toplist
5.0,9.91,0.8,Jimmy VICAUT,27 FEB 1992,FRA,2,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1238.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14334964,toplist
8.0,9.92,0.7,Isiah YOUNG,05 JAN 1990,USA,1f1,,"Montverde, FL (USA)",09 JUN 2018,1234.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14360879,toplist
9.0,9.93,1.4,Cameron BURRELL,11 SEP 1994,USA,2h3,,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2018,1231.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14425758,toplist
9.0,9.93,0.2,Akani SIMBINE,21 SEP 1993,RSA,2h2,,"Olympic Stadium, London (GBR)",21 JUL 2018,1231.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14417763,toplist
